placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Adams+Tree+Service+Inc/data=!4m7!3m6!1s0x88531a9d2e8cc6bd:0x1c4c2ac2d297ebcf!8m2!3d36.0108474!4d-79.8863365!16s%2Fg%2F1tkrmhpj!19sChIJvcaMLp0aU4gRz-uX0sIqTBw,Adams Tree Service Inc,5.0,8,Tree service,"3220 Forsyth Dr, Greensboro, NC 27407, United States","2467+8F Greensboro, North Carolina, USA",,+1 336-852-2536,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QOjoVItl7NfJDTtSyHCrSw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=244.0242&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:27:41.546Z,,,,,,,,,,,
"https://www.google.com/maps/place/General+Tree+Service,+Inc./data=!4m7!3m6!1s0x8853108283861d05:0xae6f2aa0d86c515f!8m2!3d36.0066312!4d-79.8656256!16s%2Fg%2F11f30s_5v5!19sChIJBR2Gg4IQU4gRX1Fs2KAqb64","General Tree Service, Inc.",5.0,30,Tree service,"4013 Groometown Rd, Greensboro, NC 27407, United States","244M+MP Greensboro, North Carolina, USA",https://generaltreeservicenc.com/,+1 336-213-3449,Closed · Opens 8 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKS8055JeL1mfQUcJn6h4qT5zZgDzIz9c2rn-HelwpqkWheAgpM3xdKiX9JcGXOvAHjU7Jxy2-NLXIqpeJrHTMd3TH6dAxa9X5VEkb5B0Xjq6lgiUD4fRK2dXDZKZEHosMUQem=w408-h306-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:27:47.328Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,,,
https://www.google.com/maps/place/The+Davey+Tree+Expert+Company/data=!4m7!3m6!1s0x885304942bf7373f:0x35204177c0e05248!8m2!3d36.0833572!4d-79.9448487!16s%2Fg%2F1whdk17y!19sChIJPzf3K5QEU4gRSFLgwHdBIDU,The Davey Tree Expert Company,4.9,434,Tree service,"7609 Boeing Dr, Greensboro, NC 27409, United States","33M4+83 Greensboro, North Carolina, USA",http://www.davey.com/local-offices/triad-tree-service-and-lawn-service/?utm_source=gmb&utm_medium=organic&utm_campaign=rc_triad,+1 336-554-7865,"Closed · Opens 8 am

Updated by this business 10 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1g3yk5g5LdZP3eXtYn-2ZnO3Ymdi4TNLBuEvtj9O7AqNtRXNDGm4ax7VuOxmq78Gf3uZW9_o-Vm_jVr5FBGTRg26QlYcdx2s3l1hhp8-vwsp17eBfYvI38Cyz3EFrExWb74iJtKybUNk=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:27:52.218Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,,,
https://www.google.com/maps/place/Greensboro+Tree+Service/data=!4m7!3m6!1s0x885305dbea686511:0x476815e9b53a5e79!8m2!3d36.0972109!4d-79.9964597!16s%2Fg%2F11ymnddxfg!19sChIJEWVo6tsFU4gReV46tekVaEc,Greensboro Tree Service,5.0,14,Tree service,"3303 Sandy Ridge Rd, Colfax, NC 27235, United States","32W3+VC Colfax, North Carolina, USA",,+1 336-586-6177,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEw343_JH_R-nvd3s10ll82g_R5ukNJZ8Qt29dGGoZqhGuWStQhEOIIX_6lPQZtzx_0pGisg3bTDiGhzuZV3Rqr6LQ2XIIYQt0hPHKYoJp2dRHXVbOsZpVYyHO5OH5njR223R29T4CUHdNY=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:27:57.620Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/God%27s+Way+Tree+Service/data=!4m7!3m6!1s0x88531913bea5b535:0x7fd70ca405b699a3!8m2!3d36.0424292!4d-79.815995!16s%2Fg%2F11ft48mhqc!19sChIJNbWlvhMZU4gRo5m2BaQM138,God's Way Tree Service,4.5,160,Tree service,"2511 Freeman Mill Rd, Greensboro, NC 27406, United States","25RM+XJ Greensboro, North Carolina, USA",http://www.godswaytreeservice.com/,+1 336-296-1632,"Open 24 hours

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGFQpHlzSOJ_Tfsh7XymSzqxIUXcRp-ZTkOw8DWVHkg9ddGTUDbeXra6wHafMEIjeruvGQ5iUmCRDmWYMhkCxJp-K9mxdVrYbpY-gvhaIhUl-G9RMLglSgEevjUQCzKqqZlQFrM=w426-h240-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:28:02.464Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/JR+Tree+Service+%26+Landscaping/data=!4m7!3m6!1s0x88531963dcc377e1:0x778099c5cda1bfd9!8m2!3d36.0620338!4d-79.8256849!16s%2Fg%2F11bzx1zkl3!19sChIJ4XfD3GMZU4gR2b-hzcWZgHc,JR Tree Service & Landscaping,4.9,51,Tree service,"1916 Oakland Ave, Greensboro, NC 27403, United States","356F+RP Greensboro, North Carolina, USA",https://jrtree.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp_link_click,+1 336-282-2902,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHykpCXJYzXbUUSKZbuo_XOKrKrNwBx4178kfP5CiG3A7bOFgMlddSpi70VDtqg-CHdhMMvAnejZDx4kD5I0NVx0ogBz8uewjdai8SZHeTaNVeW81ljOsvtpkUMlABJB1rq4mztYA=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:28:07.242Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Mel%E2%80%99s+Tree+Service/data=!4m7!3m6!1s0x88531e58cb339db5:0xecd7cd3707b62b17!8m2!3d36.0377405!4d-79.7567512!16s%2Fg%2F11fzf3_d_b!19sChIJtZ0zy1geU4gRFyu2BzfN1-w,Mel’s Tree Service,4.9,327,Tree service,"1608 Sharpe Rd, Greensboro, NC 27406, United States","26QV+37 Greensboro, North Carolina, USA",https://www.meltreeservice.com/,+1 336-554-3274,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFNehwwB3MZIogsedec7Ks_BhmX6dC4q-D7AhI9wGedT7yGMFx6ggh4lT5K8EoWgq6E_Y2drzMD7AIqZlV86aaS-LoZn82fav2YCUxpb98wsPUwqFuC0v09zR5R2j8NyQIBXLdtcw=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:28:12.173Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Triad+Tree+Removal/data=!4m7!3m6!1s0x720f2e87424567b:0xcdc72d183dd8930!8m2!3d35.9918478!4d-79.7779008!16s%2Fg%2F11rhw07pml!19sChIJe1YkdOjyIAcRMIndg9Fy3Aw,Triad Tree Removal,5.0,220,Tree service,"4262 Pleasant Garden Rd, Greensboro, NC 27406, United States","X6RC+PR Greensboro, North Carolina, USA",,+1 336-908-7990,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFkz9Kd6mvVimp_d9YX_7iWN2IsafUbrHlmIcaJIU_KVN9IH018oCmmtMT7WxHFbmdXM0WCoQ6XOchPWaOUojvJd7D85uBDo3-yBKXril7kg7SEg6j94JUKG1qJG8v2MYUl-BNP=w408-h306-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:28:17.106Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/A2Z+Solutions+Tree+Service+LLC/data=!4m7!3m6!1s0x2e39e2bb9d9a95e5:0x56fe0f272f38ca88!8m2!3d35.9576218!4d-79.8544595!16s%2Fg%2F11w46wdncl!19sChIJ5ZWanbviOS4RiMo4LycP_lY,A2Z Solutions Tree Service LLC,5.0,34,Tree service,"1432 Burnetts Chapel Rd, Greensboro, NC 27407, United States","X45W+26 Greensboro, North Carolina, USA",https://www.a2zsolutionstreeservice.com/,+1 336-382-9361,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGI1LvRGqQWg05vmrZ04VYgqgjSl49RUJZ9afS6NAjDnhO7uikqFiWZ73A7Qw4rQBdjgrvi4o-WFnXBx1y1u1Q6pIzFwl_nmEItbD1zhnScT6OYkP6xLDOk3U8Y_3PZSP6zdC1h=w408-h306-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:28:22.053Z,Open 24 hours,Open 24 hours,Open 24 hours,8 am–10 pm,9 am–9 pm,Open 24 hours,Open 24 hours,,,,
"https://www.google.com/maps/place/JD+TREE,+LLC/data=!4m7!3m6!1s0x885319cb7cbf5afd:0xaa7b040951dba4aa!8m2!3d36.067177!4d-79.8022009!16s%2Fg%2F11jjjz9bft!19sChIJ_Vq_fMsZU4gRqqTbUQkEe6o","JD TREE, LLC",4.8,49,Tree service,"909 Morehead Ave C, Greensboro, NC 27403, United States","358X+V4 Greensboro, North Carolina, USA",https://jdtreenc.com/,+1 919-818-0575,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFdOB81WdrvWOs58UC_QGa2RpHKHjA00H9tUZdvq0u3rBrq5h38elAJripfNaoqvmT4MPSMCWUpQsXPoc9c6iBXIbd8HEHa1Ck847A4qMnYcwF2gIT8Cl_Js1pbLksHRA-2td39=w408-h544-k-no,true,"https://www.google.com/maps/search/tree+service+businesses+in+Adams+Farm+Greensboro+NC/@36.0237585,-79.9052768,14z",2026-04-29T05:28:27.028Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
