placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,attributes,info,isBlackOwned
https://www.google.com/maps/place/Mickle%27s+Automotive/data=!4m7!3m6!1s0x89de7856eda25285:0x55d1607b581d7ce5!8m2!3d42.7005591!4d-74.0751739!16s%2Fg%2F1tnpl_pv!19sChIJhVKi7VZ43okR5XwdWHtg0VU,Mickle's Automotive,4.7,29,Auto repair shop,"1126 Township Rd, Altamont, NY 12009, United States","PW2F+6W Altamont, New York, USA",,+1 518-861-8395,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6z7-stittk3mjLEW936wZw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=11.982297&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:11.193Z,,,,,,,,,,
https://www.google.com/maps/place/Auto+Cosmetics+Of+Altamont+LLC/data=!4m7!3m6!1s0x89de7778e8d7a0f5:0x87f65184f36a3445!8m2!3d42.7041866!4d-74.0222728!16s%2Fg%2F1tvymsmk!19sChIJ9aDX6Hh33okRRTRq84RR9oc,Auto Cosmetics Of Altamont LLC,5.0,235,Auto body shop,"98 Main St, Altamont, NY 12009, United States","PX3H+M3 Altamont, New York, USA",http://autocosmeticsny.com/,+1 518-861-5429,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoaCchB3iRgZJZCjpnJKG6UbIfhKLLA9WMx5nr6mQgETJ7JWoYlKvRGcj4mGwnD2Yit6E5WVFPcLmBI93KhZpidq6m6FxmN4zERzMkwk3HCNEYbGx_bNcylTH9lMDQk6LwCDZ7R=w408-h306-k-no,true,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:16.587Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,,,
https://www.google.com/maps/place/John+Foley%27s+Garage/data=!4m7!3m6!1s0x89de76438259fe7f:0x4329a3d763a9e152!8m2!3d42.6823895!4d-73.964836!16s%2Fg%2F1wk7rw60!19sChIJf_5ZgkN23okRUuGpY9ejKUM,John Foley's Garage,4.7,116,Auto repair shop,"5859 Depot Rd, Altamont, NY 12009, United States","M2JP+X3 Altamont, New York, USA",http://s-foley-garage.edan.io/,+1 518-861-8321,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XIDTRu1tFTIWBU_WGG0Big&cb_client=search.gws-prod.gps&w=408&h=240&yaw=251.49593&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:21.422Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/Adirondack+Tire+%26+Service/data=!4m7!3m6!1s0x89de74d10ceaaa27:0x4b04a6bd8080e973!8m2!3d42.6845331!4d-73.8494214!16s%2Fg%2F1tt1tpnp!19sChIJJ6rqDNF03okRc-mAgL2mBEs,Adirondack Tire & Service,4.4,212,Auto repair shop,"1610 Western Ave, Albany, NY 12203, United States","M5M2+R6 Albany, New York, USA",https://www.mavis.com/locations/albany-western-ave-ny/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=2369,+1 518-243-8419,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepsBgRH1L2KmxzY9LRFiuwHwMYQXQD6TBITINuJEY4DXEpypYjWvWTbXky_87dd3HcptxEqGA0CXdAqAgtoXFg-_bk5aEEII3q6lHGEOT-Ef9crrfvOcu5HW9Hrz-2xQdx1WPlP=w426-h240-k-no,true,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:26.568Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,9 am–5 am,,,
https://www.google.com/maps/place/Adirondack+Tire+%26+Service/data=!4m7!3m6!1s0x89de71bbfce7cecb:0x8d2d87b11528f243!8m2!3d42.7848086!4d-73.9660874!16s%2Fg%2F1tmqsc9l!19sChIJy87n_Ltx3okRQ_IoFbGHLY0,Adirondack Tire & Service,4.7,275,Auto repair shop,"1226 Curry Rd, Rotterdam, NY 12306, United States","Q2MM+WH Rotterdam, New York, USA",https://www.mavis.com/locations/schenectady-curry-rd-ny/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=2370,+1 518-243-8436,"Open · Closes 6 pm

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAwep4goFdYWOqmwW_Dwky7pGYvScBotgiAgzsGiK-1_xrFQmc9QeFgmllvRfMzjF--0Xqx1V4kYF4LsYcRKbPZH9V9CR6tDoWLSk9InBPgDBr3Hdhawv6_hwbk2ft1tF-er7coY-rpA=w426-h240-k-no,true,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:31.460Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,9 am–5 am,,,
https://www.google.com/maps/place/K+and+K+Auto+Services+Inc/data=!4m7!3m6!1s0x89de741941de4511:0xc40179a986cafa3a!8m2!3d42.7121368!4d-73.9284065!16s%2Fg%2F1tfscvs6!19sChIJEUXeQRl03okROvrKhql5AcQ,K and K Auto Services Inc,4.6,64,Auto repair shop,"2516 Western Ave, Altamont, NY 12009, United States","P36C+VJ Altamont, New York, USA",http://kandkauto.org/,+1 518-452-0376,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo7rVB2TqZYU1J4ltbm7OEPiZhVkB0KClSuqOk8X9MsBVsfDleCtpHoyuvz-JkWO1-F5GmFXQCKVO5jpog4KltpeYCTQHKm2nK3nZ2MzWucySybanK5SF8RLYW7yAUIAZCfLMAD=w408-h544-k-no,true,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:36.488Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–4:30 pm,Closed,,,
https://www.google.com/maps/place/JD+Tire/data=!4m7!3m6!1s0x89de7319ca0d990f:0xb1035754213f7eac!8m2!3d42.7483735!4d-73.8685228!16s%2Fg%2F1tcy59gl!19sChIJD5kNyhlz3okRrH4_IVRXA7E,JD Tire,4.4,163,Tire shop,"2040 Central Ave, Albany, NY 12205, United States","P4XJ+8H Albany, New York, USA",https://jdtirecenter.com/,+1 518-456-8473,"Open · Closes 5 pm

Confirmed by this business 6 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoLn5wQ6ARwnEwUd7xm3aHnnsqC6QTZTBUPzdnMNMtFVXRcyA2qqTt2qrEAFvT73HtlRmmVPNU4qvI4gF-IoBdnpzwfpCenWkSHVAjdFv7Suo1bw7_joVrh8oFtVEnVHylHQCib=w408-h306-k-no,true,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:41.336Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,,,
https://www.google.com/maps/place/Mr.+Tire+Auto+Service+Centers/data=!4m7!3m6!1s0x89de0b5d8e1bdc15:0xdcfed79aabd5d239!8m2!3d42.7050996!4d-73.819192!16s%2Fg%2F1tk6wxd1!19sChIJFdwbjl0L3okROdLVq5rX_tw,Mr. Tire Auto Service Centers,4.6,1003,Tire shop,"1394 Central Ave, Albany, NY 12205, United States","P54J+28 Albany, New York, USA",https://locations.mrtire.com/ny/albany/1394-central-avenue?&utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-store_1326,+1 518-459-2296,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqIERGzO9tUiZCzAC_hH3NH8NdPORf_-_14VS3AtPn6P-NGWecaiGUiJbelkhdnzgKwwZx9cklOEHIXIM8M5fyfznEiBroEgN5SRjjda6T-ADF8XeyMCIyLRLxx0-ClvqOTsC6-PQ=w408-h306-k-no,true,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:46.378Z,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–7 pm,7:30 am–6 pm,9 am–5 pm,· In-store shopping · In-store pick-up,LGBTQ+ friendly,
https://www.google.com/maps/place/Adirondack+Tire+%26+Service/data=!4m7!3m6!1s0x89de73181478f71f:0xecca9ed3b1bf9652!8m2!3d42.7479138!4d-73.866642!16s%2Fg%2F1tf618t5!19sChIJH_d4FBhz3okRUpa_sdOeyuw,Adirondack Tire & Service,4.7,135,Auto repair shop,"2015 Central Ave, Colonie, NY 12205, United States","P4XM+58 Colonie, New York, USA",https://www.mavis.com/locations/albany-2015-central-ave-ny/?utm_source=yext&utm_medium=organic&utm_campaign=gmb&stnum=2364,+1 518-243-8363,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq91jN3bKtni6ZppVn2YADba1HpDWvhy9f-UfZ4wQaxKPo9p77Z0392jj7Lni9cUtvHXVPVxIn0k8EvwtRfyzBJQ4fHq9xZs0m9j1lTF5kVPTJ3GuESJ4_UdPwsRdcU_Qv6zGhR=w426-h240-k-no,true,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:51.279Z,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–5 pm,9 am–5 am,,,
https://www.google.com/maps/place/GC+Mart/data=!4m7!3m6!1s0x89de76f22130535d:0x8192153cded28427!8m2!3d42.7024912!4d-73.9655934!16s%2Fg%2F1tdl73lm!19sChIJXVMwIfJ23okRJ4TS3jwVkoE,GC Mart,4.6,12,Gas station,"456 NY-146, Altamont, NY 12009, United States","P22M+XQ Altamont, New York, USA",,+1 518-861-5657,Open · Closes 10 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Td85fB71Csv1FBLsMEwo7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.20541&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/tire+service+in+Altamont+Albany+NY/@42.7006324,-74.0337382,14z",2026-03-23T14:48:56.736Z,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,,,
