placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/Guenther+Property+Management/data=!4m7!3m6!1s0x549e195204e4fd69:0xbe0b6ca28a5acdd2!8m2!3d47.6547089!4d-117.419787!16s%2Fg%2F1tnmrfrr!19sChIJaf3kBFIZnlQR0s1aiqJsC74,Guenther Property Management,4.2,298,Property management company,"502 W 2nd Ave Ste 200, Spokane, WA 99201, United States","MH3J+V3 Spokane, Washington, USA",http://www.guenthermanagement.com/,+1 509-869-3721,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipPtFsSa9MkWtwFAhWenr0Ovw_-iMKjkalhZ_Yvq=w408-h362-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:09:56.658Z,,,,
"https://www.google.com/maps/place/Domaci+Property+Management,+LLC/data=!4m7!3m6!1s0x549e18c2a46db8e9:0x20c1dffc91db5e6e!8m2!3d47.6755133!4d-117.3992819!16s%2Fg%2F11c1vjpt6q!19sChIJ6bhtpMIYnlQRbl7bkfzfwSA","Domaci Property Management, LLC",4.2,40,Property management company,"710 E Baldwin Ave, Spokane, WA 99207, United States","MJG2+67 Spokane, Washington, USA",http://www.domacipropertymanagement.com/,+1 509-251-9385,,https://lh3.googleusercontent.com/p/AF1QipOSw50UJG_jL1Tzpf03x5WZ3ZTmWfU-b4mZnwcQ=w408-h484-k-no,true,11 am–5 pm,11 am–5 pm,Closed,Closed,11 am–5 pm,11 am–5 pm,11 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:10:02.293Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Windermere+Property+Management+Wrents/data=!4m7!3m6!1s0x549e1c05455597e1:0xd8f636c166b0538e!8m2!3d47.6775016!4d-117.4269796!16s%2Fg%2F1v6p8kw9!19sChIJ4ZdVRQUcnlQRjlOwZsE29tg,Windermere Property Management Wrents,4.1,344,Property management company,"2127 N Monroe St, Spokane, WA 99205, United States","MHHF+26 Spokane, Washington, USA",https://www.wrents.com/,+1 509-467-2202,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOhKuCCmQVkJflOcQW-W1niZd8WAIHDFKHw0Jas=w408-h271-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:10:06.977Z,,,,
https://www.google.com/maps/place/RC+Schwartz+Property+Management/data=!4m7!3m6!1s0x549e1888e3652aa5:0x7a84136bc8124c06!8m2!3d47.6552008!4d-117.40801!16s%2Fg%2F1thtp9hv!19sChIJpSpl44gYnlQRBkwSyGsThHo,RC Schwartz Property Management,2.6,117,Property management company,"159 S Cowley St, Spokane, WA 99202, United States","MH4R+3Q Spokane, Washington, USA",http://www.rcschwartz.com/,+1 509-624-9784,Open ⋅ Closes 3 pm,https://lh3.googleusercontent.com/p/AF1QipP1ErZuw5T1fv8pZrRFed0whjksTexuvP-g7_F1=w408-h272-k-no,true,9 am–3 pm,9 am–1 pm,Closed,Closed,9 am–3 pm,9 am–3 pm,9 am–3 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:10:11.546Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/River+City+Management+LLC/data=!4m7!3m6!1s0x549e225dbe8fc2b7:0xa0f1b16c093fcdb7!8m2!3d47.6519548!4d-117.4057712!16s%2Fg%2F1tg8jg1z!19sChIJt8KPvl0inlQRt80_CWyx8aA,River City Management LLC,3.5,66,Property management company,"351 E 5th Ave, Spokane, WA 99202, United States","MH2V+QM Spokane, Washington, USA",http://rivercitymanagement.com/,+1 509-534-9764,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq4TMxM63ToH61Sia5DNlh3uPpekRkvaktarPNFDT9hcPBLHAsXljvwGVdilsBUZGDmbAzn2HqcnrQd78tuJ8MA6LX7gJ0m7uSEVsA8ls970-TlLL4NPF0YAjZ2jHfCKC-rxeB-=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:10:16.363Z,,,,
https://www.google.com/maps/place/Deese+Property+Management/data=!4m7!3m6!1s0x549e19e92482123f:0x973d75eba588238d!8m2!3d47.6551956!4d-117.4247896!16s%2Fg%2F11t4d4wygg!19sChIJPxKCJOkZnlQRjSOIpet1PZc,Deese Property Management,4.1,30,Property management company,"159 S Lincoln St, Spokane, WA 99201, United States","MH4G+33 Spokane, Washington, USA",http://www.deesepropertymanagement.com/,+1 509-872-5254,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipO6IsVyUSr4760NC8jy7rypUNWYCPOw0hvSP6ww=w408-h306-k-no,true,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:10:21.128Z,,,,
https://www.google.com/maps/place/Windermere+Lease+Source+and+Property+Management/data=!4m7!3m6!1s0x549e18e5d8330a8f:0x540ef856d355920f!8m2!3d47.6758494!4d-117.4092735!16s%2Fg%2F1tfgp3f9!19sChIJjwoz2OUYnlQRD5JV01b4DlQ,Windermere Lease Source and Property Management,2.0,184,Property management company,"102 E Baldwin Ave, Spokane, WA 99207, United States","MHGR+87 Spokane, Washington, USA",https://www.windermereleasesource.com/,+1 509-325-2127,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-kc1_5R-H_hSZ3KsEYQ5xw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=159.85637&pitch=0&thumbfov=100,true,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:10:25.707Z,,,,
https://www.google.com/maps/place/Spokane+Property+Management/data=!4m7!3m6!1s0x549e18f905029cd7:0x591206774b4f8bb0!8m2!3d47.6725565!4d-117.4264899!16s%2Fg%2F11cs4gxywx!19sChIJ15wCBfkYnlQRsItPS3cGElk,Spokane Property Management,5.0,1,Property management company,"1608 N Monroe St, Spokane, WA 99205, United States","MHFF+2C Spokane, Washington, USA",,+1 509-475-4002,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SZN1M8o-OIwo2sqk8PPbuQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=114.98819&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:10:28.061Z,,,,
https://www.google.com/maps/place/West+%26+Company+Realty+LLC/data=!4m7!3m6!1s0x549e193490eb0f51:0xb6a94f016278835a!8m2!3d47.6539007!4d-117.4071336!16s%2Fg%2F11jcnvwrlp!19sChIJUQ_rkDQZnlQRWoN4YgFPqbY,West & Company Realty LLC,3.5,57,Property management company,"225 E 3rd Ave #3, Spokane, WA 99202, United States","MH3V+H4 Spokane, Washington, USA",http://www.westandcospokane.com/,+1 509-838-5823,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=huAh0c8IupG036naYS1dbg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=293.1747&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:10:32.746Z,,,,
"https://www.google.com/maps/place/Black+Realty+Management,+Inc./data=!4m7!3m6!1s0x549e196e4bf13493:0xd98ce6a54d8a0711!8m2!3d47.657676!4d-117.4239512!16s%2Fg%2F11h0565p0v!19sChIJkzTxS24ZnlQREQeKTaXmjNk","Black Realty Management, Inc.",3.1,49,Property management company,"801 W Riverside Ave Suite 400, Spokane, WA 99201, United States","MH5G+3C Spokane, Washington, USA",http://blackrealtymanagement.com/,+1 509-838-8100,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RDgPQUsqPESjoXCIPUNRbw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=182.68782&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Spokane+Spokane+WA/@47.6579711,-117.4235319,14z",2025-09-25T18:10:37.435Z,,,,
