placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,attributes,info,isBlackOwned,error
https://www.google.com/maps/place/Cherry+Creek+East+Deck/data=!4m7!3m6!1s0x876c7f69474cfb97:0x4f9c08901b164ee7!8m2!3d39.7150786!4d-104.9506762!16s%2Fg%2F11s753g0qn!19sChIJl_tMR2l_bIcR504WG5AInE8,Cherry Creek East Deck,4.5,2,Parking garage,"101 S Steele St, Denver, CO 80209, United States","P28X+2P Denver, Colorado, USA",https://denisonparking.com/cherry-creek-shopping-center/,+1 303-270-9501,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Nciph4hhya1jNJ1P_lq82A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=143.52411&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2025-10-28T18:32:21.817Z,,,,,,,,,,,
https://www.google.com/maps/place/ABM+Parking/data=!4m7!3m6!1s0x876c7f6d7325443d:0x7dc4290ec80c16df!8m2!3d39.7204428!4d-104.9584726!16s%2Fg%2F11gk6sprd8!19sChIJPUQlc21_bIcR3xYMyA4pxH0,ABM Parking,1.0,5,Parking garage,"253 Josephine St, Denver, CO 80206, United States","P2CR+5J Denver, Colorado, USA",https://www.abm.com/services/parking-transportation/,+1 303-394-1107,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KDODa3vZYSlVCUUSTojeew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=240.06801&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2025-10-28T18:32:28.195Z,,,,,,,,,,,
https://www.google.com/maps/place/Star+Parking+Systems/data=!4m7!3m6!1s0x876c78d0be930d73:0x73b25c987ca88c7d!8m2!3d39.7466479!4d-104.9926486!16s%2Fg%2F1tw1f9tn!19sChIJcw2TvtB4bIcRfYyofJhcsnM,Star Parking Systems,2.6,20,Valet parking service,"1635 Stout St, Denver, CO 80202, United States","P2W4+MW Denver, Colorado, USA",http://starparkingsystems.com/,+1 305-532-9970,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzpOfxZINxirO7lOcBq9ka14KtsnJZ1RpUaK1f3sOs21Wrxld16ZD2AklDyBaLDPBeB0IeufT8_1JAi64pieb6TC45ph7_Uabn4eDths74iYVvZwtmDA7ui499KHqLgi5DMnTnKKw=w408-h307-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2025-10-28T18:32:34.676Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Parking/data=!4m7!3m6!1s0x876c7e97364f2f35:0x82003e5a660ee4de!8m2!3d39.7176152!4d-104.9521273!16s%2Fg%2F1233c1_4p!19sChIJNS9PNpd-bIcR3uQOZlo-AII,Parking,2.7,7,Parking garage,"3000 E 1st Ave, Denver, CO 80206, United States","P29X+24 Denver, Colorado, USA",,+1 720-827-2238,Temporarily closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E_u0mTzf0VTRRQ5RcHm2ZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=204.45316&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2025-10-28T18:32:39.692Z,,,,,,,,,,,
https://www.google.com/maps/place/Moxy+Denver+Cherry+Creek+%28Propark%29/data=!4m7!3m6!1s0x876c7f4071a50285:0x7eb4cb11cfebb50c!8m2!3d39.7202589!4d-104.9578231!16s%2Fg%2F11vr9wsfb3!19sChIJhQKlcUB_bIcRDLXrzxHLtH4,Moxy Denver Cherry Creek (Propark),,,Valet parking service,"240 Josephine St, Denver, CO 80206, United States","P2CR+4V Denver, Colorado, USA",https://www.propark.com/,+1 303-463-6699,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ObieEnRjB_ru97jk2Ah_ew&cb_client=search.gws-prod.gps&w=408&h=240&yaw=102.12378&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2025-10-28T18:32:44.624Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Great+West+Property+Services-+Financial+House+Valet/data=!4m7!3m6!1s0x876c7f13f24713bf:0x5146bcb6ca3619ce!8m2!3d39.7196236!4d-104.9551159!16s%2Fg%2F11rst9rkpz!19sChIJvxNH8hN_bIcRzhk2yra8RlE,Great West Property Services- Financial House Valet,4.0,1,Valet parking service,"2727 E 2nd Ave, Denver, CO 80206, United States","P29V+RX Denver, Colorado, USA",https://cherrycreeknorth.com/garage/financial-house,+1 303-993-9898,Open ⋅ Closes 6:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-OorPma1zcUgJeVzcq1bMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=54.19029&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2025-10-28T18:32:49.912Z,7 am–6:30 pm,7 am–6:30 pm,7 am–6:30 pm,7 am–6:30 pm,8 am–1 pm,Closed,7 am–6:30 pm,,,,
"https://www.google.com/maps/place/DPW+Parking,+LLC/data=!4m7!3m6!1s0x876c7e95ccf7462b:0x2dd3d2cee17cf1ba!8m2!3d39.7196834!4d-104.9580056!16s%2Fg%2F1wj_tr_4!19sChIJK0b3zJV-bIcRuvF84c7S0y0","DPW Parking, LLC",,,,"201 Columbine St, Denver, CO 80206, United States","P29R+VQ Denver, Colorado, USA",,+1 303-377-2546,Permanently closed,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0cymM714BL9I-lZ1NK_b3w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=116.97608&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Cherry+Creek+Denver+CO/@39.7177954,-104.950215,14z",2025-10-28T18:32:55.362Z,,,,,,,,,,,
https://www.google.com/maps/place/Colorado+Valets/data=!4m7!3m6!1s0x876c79575b422a3d:0x903dc7105b3b9ae4!8m2!3d39.747808!4d-104.9997449!16s%2Fg%2F11g1f691sz!19sChIJPSpCW1d5bIcR5Jo7WxDHPZA,Colorado Valets,3.8,10,Valet parking service,"1415 Larimer St, Denver, CO 80202, United States","P2X2+44 Denver, Colorado, USA",https://www.coloradovalets.com/,+1 303-495-5074,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KnkdBuPnff_mQLJ3umm82g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=308.02353&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Capitol+Hill+Denver+CO/@39.7336946,-104.982297,14z",2025-10-28T18:33:10.106Z,,,,,,,,,,,
https://www.google.com/maps/place/All+American+Parking/data=!4m7!3m6!1s0x876c7f2cc152fbf3:0x660897d9ed4c8e9d!8m2!3d39.7364335!4d-104.9932628!16s%2Fg%2F11fyzcw8r5!19sChIJ8_tSwSx_bIcRnY5M7dmXCGY,All American Parking,1.5,8,Parking lot,"1201 Delaware St, Denver, CO 80204, United States","P2P4+HM Denver, Colorado, USA",https://www.allameriparking.com/,+1 720-296-0918,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xv14jAyHuLEKvMZQzTfUaw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.02606&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Capitol+Hill+Denver+CO/@39.7336946,-104.982297,14z",2025-10-28T18:33:16.125Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Ambassador+Parking+Management/data=!4m7!3m6!1s0x876c78c4af2e0583:0xa23c74cf5902d2e2!8m2!3d39.7518055!4d-104.9979419!16s%2Fg%2F1263zvn8x!19sChIJgwUur8R4bIcR4tICWc90PKI,Ambassador Parking Management,3.1,14,Parking lot,"1707 Blake St, Denver, CO 80202, United States","Q222+PR Denver, Colorado, USA",,+1 303-972-4510,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxcuZFu3GS11FGPFohy6Chu-9IpNd8LQob7A7VX5fk-7nm1m14Y1_Wrn_7im3QUNhPEBVMkPHSPH_If0utN-PR-bwB84jt14kW2ToriFfbBWuE8TsPJf2jdb6Fj-TlICG2i5gjpGA=w408-h307-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Capitol+Hill+Denver+CO/@39.7336946,-104.982297,14z",2025-10-28T18:33:19.207Z,,,,,,,,,,,
https://www.google.com/maps/place/5280+Parking+Maintenance+Services/data=!4m7!3m6!1s0x876c792ad2e626a9:0x50dcde44731d6242!8m2!3d39.738702!4d-104.9832019!16s%2Fg%2F11b6_7t3xs!19sChIJqSbm0ip5bIcRQmIdc0Te3FA,5280 Parking Maintenance Services,1.7,35,Parking lot,"1410 Grant St, Denver, CO 80203, United States","P2Q8+FP Denver, Colorado, USA",http://www.5280parkingservices.com/,+1 303-434-1111,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UBSzGwvoCeK7VISzeoBlqw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.83951&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Capitol+Hill+Denver+CO/@39.7336946,-104.982297,14z",2025-10-28T18:33:22.870Z,,,,,,,,,,,
