placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/Smoky+Mountain+Garage+Door+Services/data=!4m7!3m6!1s0x885c15839dc41b3f:0xab86dba92f2d26a1!8m2!3d35.914663!4d-83.9829794!16s%2Fg%2F11jjkf2bdv!19sChIJPxvEnYMVXIgRoSYtL6nbhqs,Smoky Mountain Garage Door Services,5.0,512,Garage door supplier,,,https://www.smokymountaingaragedoor.com/?utm_source=google&utm_medium=business_profile&utm_campaign=website,+1 865-410-3800,Closes soon ⋅ 6 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPmCN-F5Ci0mUtIZsPANhqtOeki0vaKBMsWV63x=w444-h240-k-no,true,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:04.228Z,,,,
https://www.google.com/maps/place/Garage+Door+Solutions+of+TN/data=!4m7!3m6!1s0x885c235128595ed7:0x962109892ee33ac7!8m2!3d35.9275986!4d-84.0055424!16s%2Fg%2F11syrlcb3g!19sChIJ115ZKFEjXIgRxzrjLokJIZY,Garage Door Solutions of TN,5.0,44,Garage door supplier,"333 Troy Cir SW Suite T, Knoxville, TN 37919, United States","WXHV+2Q Knoxville, Tennessee, USA",https://knoxvillegaragedoors.com/?utm_source=cumulus&utm_medium=onlinepresence&utm_campaign=gbp,+1 865-219-5543,Closes soon ⋅ 6 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPziJqeRqcceAOYUqfCez39ZHBbqhRmlgIXYyM3=w408-h408-k-no,true,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:08.936Z,,,,
https://www.google.com/maps/place/Precision+Door+Service/data=!4m7!3m6!1s0x885c2f05e55b1717:0xade91cd6b44c36fa!8m2!3d35.898289!4d-84.1352044!16s%2Fg%2F1tdn9d8v!19sChIJFxdb5QUvXIgR-jZMtNYc6a0,Precision Door Service,4.9,2530,Garage door supplier,"10525 Kingston Pike E, Knoxville, TN 37922, United States","VVX7+8W Knoxville, Tennessee, USA",https://www.garagedoorsknoxville.com/?utm_source=GMBListing&utm_medium=organic,+1 865-221-7068,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzXjWyxcUDT4FGOfBJqOtMQFKSId1hGNpgSn8mOivRWZ5V89dbooCFXw3-iHdLo9rxKmUN6m9EGPjahGM0pdBeZlZzy63ZhYTejkrAcWA8uBkALPc7-Pq0TiH3MCuEUQlaonY5dJ0Tx-pP4=w408-h544-k-no,true,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:13.851Z,,,,
https://www.google.com/maps/place/OGD+Overhead+Garage+Door/data=!4m7!3m6!1s0x885c3d7a1e079ec3:0x88fd2b1498d08bef!8m2!3d35.9358531!4d-83.9907245!16s%2Fg%2F11sfqlzghj!19sChIJw54HHno9XIgR74vQmBQr_Yg,OGD Overhead Garage Door,4.7,265,Garage door supplier,"5400 Homberg Dr Suite 37, Knoxville, TN 37919, United States","W2P5+8P Knoxville, Tennessee, USA",https://ogd.com/tn/knoxville/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-knx-01&ogd_src=ogd-knx-01-google_business_profile,+1 865-910-8873,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNaWjy_XYvK4jdPwqf8cUITVn1dMIGXQoK4ybBE=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:18.338Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Knoxville/data=!4m7!3m6!1s0x885c17bfc4c50a99:0xcfff844fdc4b6da0!8m2!3d35.9580124!4d-83.9093378!16s%2Fg%2F1tdxllq2!19sChIJmQrFxL8XXIgRoG1L3E-E_88,Overhead Door Company of Knoxville,4.8,189,Garage door supplier,"715 Sevier Ave, Knoxville, TN 37920, United States","X35R+67 Knoxville, Tennessee, USA",https://www.overheadonline.com/,+1 865-573-1950,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOorOm8rbFtDiS9tRAU_GvdVsB_W_Hp0_ydo84=w426-h240-k-no,true,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:22.722Z,,,,
https://www.google.com/maps/place/Rose+Quality+Garage+Doors/data=!4m7!3m6!1s0x885c174052937c4b:0x7d68486371eca22c!8m2!3d35.9623492!4d-83.9163714!16s%2Fg%2F11m6np8lhp!19sChIJS3yTUkAXXIgRLKLscWNIaH0,Rose Quality Garage Doors,4.9,40,Garage door supplier,"800 S Gay St Suite 700 #2226, Knoxville, TN 37929, United States","X36M+WF Knoxville, Tennessee, USA",https://rosequalitygaragedoors.com/garage-doors-knoxville,+1 865-412-8877,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOc4OYNEBWPkHFWbpIArgSFVbvnD_EwByRV7bM=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:27.121Z,,,,
https://www.google.com/maps/place/Anytime+Garage+Door+TN/data=!4m7!3m6!1s0x885c2537ce4d95e5:0xdcbdc95109011a5c!8m2!3d35.948211!4d-83.9179965!16s%2Fg%2F11s8947s58!19sChIJ5ZVNzjclXIgRXBoBCVHJvdw,Anytime Garage Door TN,4.9,836,Garage door supplier,,,https://www.anytimegaragedoor.com/service-areas/knoxville-tn-garage-door-repair?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 865-346-5162,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzeD6424jFeaDC2ktM53dK7sSagAtMeIvn9KM8DxLxfY-b_iSUV5hTWnje9FwXhR4-qEKhc-s_rp15Lg60yquFXPDBuaBEMmg_-p4n257kelJuMmawD_q5JibVj4Y7Mf_nVNIRW7Gg7f3Pb=w408-h306-k-no,true,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,6 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:31.399Z,,,,
https://www.google.com/maps/place/Good+Day+Garage+Doors/data=!4m7!3m6!1s0x885c318feb417613:0x402db07c0db2ffc5!8m2!3d35.938046!4d-84.1451498!16s%2Fg%2F11qm38kqcn!19sChIJE3ZB648xXIgRxf-yDXywLUA,Good Day Garage Doors,5.0,876,Garage door supplier,"1624 Schaeffer Rd #104, Knoxville, TN 37932, United States","WVQ3+6W Knoxville, Tennessee, USA",https://gooddaygaragedoors.com/knoxville-tn/?utm_source=google&utm_medium=gbp&utm_campaign=campaign,+1 865-622-4433,Open ⋅ Closes 12 am,https://lh3.googleusercontent.com/p/AF1QipOduWBLerIk3ZwBPe6bpV35Yjk40lY-2vZJeqBc=w408-h272-k-no,true,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:36.006Z,,,,
https://www.google.com/maps/place/Farmer+Garage+Door/data=!4m7!3m6!1s0x885c2faf20f30ad5:0x738e456cbe7a48f7!8m2!3d35.9129347!4d-84.1444624!16s%2Fg%2F1vr3dx08!19sChIJ1QrzIK8vXIgR90h6vmxFjnM,Farmer Garage Door,4.9,540,Garage door supplier,"10645 Dutchtown Rd, Knoxville, TN 37932, United States","WV74+56 Knoxville, Tennessee, USA",http://www.farmergaragedoor.com/,+1 865-675-2033,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMw-PxZyGymdil9cvNBbwIClY7hNlJilRnlIfHk=w408-h407-k-no,true,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:40.829Z,,,,
https://www.google.com/maps/place/All+American+Garage+Doors/data=!4m7!3m6!1s0x885dc14002254803:0xc935ae8690685f66!8m2!3d35.973048!4d-84.2015934!16s%2Fg%2F11cffwzbb!19sChIJA0glAkDBXYgRZl9okIauNck,All American Garage Doors,5.0,246,Garage door supplier,,,https://www.aagdtn.com/,+1 865-617-8930,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNTAlIhGQkr9LQb2rOzMSOyapjLiJU2mYewbMOa=w426-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Knoxville+TN+Knoxville+TN/@35.965266,-83.923304,14z",2025-11-07T22:54:45.154Z,,,,
