placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Zacks+Plus+Electric+LLC/data=!4m7!3m6!1s0x889c17ce70e1e3b3:0x254b4b992ac932a1!8m2!3d30.3802107!4d-89.0831863!16s%2Fg%2F11f272m4n9!19sChIJs-PhcM4XnIgRoTLJKplLSyU,Zacks Plus Electric LLC,4.7,180,Electrical installation service,"1717 Pass Rd suite d, Gulfport, MS 39501, United States","9WJ8+3P Gulfport, Mississippi, USA",https://zackpluselectric.com/,+1 228-383-1097,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMr-8CgKwcameK4_omPHA0K8b8b31ptxV69y3rD=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:12.974Z,,,
https://www.google.com/maps/place/Mr.+Electric+of+Gulfport/data=!4m7!3m6!1s0x889c312431b495ab:0x9d26565c26acf45a!8m2!3d30.4333737!4d-89.0773754!16s%2Fg%2F11p56ksm9j!19sChIJq5W0MSQxnIgRWvSsJlxWJp0,Mr. Electric of Gulfport,4.8,354,Electrician,"14231 Seaway Rd Suite F5, Gulfport, MS 39503, United States","CWMF+82 Gulfport, Mississippi, USA",https://mrelectric.com/gulfport/?cid=LSTL_MRE000196&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 228-202-1711,"Open 24 hours

Confirmed by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPaXSykp7K13ccbKkuJVQ6ixnXvoJoFD97QJfUd=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:18.942Z,,,
https://www.google.com/maps/place/Robinson+Power/data=!4m7!3m6!1s0x889c175b1021b12f:0xf49a4412a4943148!8m2!3d30.3886654!4d-89.0587068!16s%2Fg%2F11rmxhz6ph!19sChIJL7EhEFsXnIgRSDGUpBJEmvQ,Robinson Power,4.8,16,Electrician,"3200 B Ave, Gulfport, MS 39507, United States","9WQR+FG Gulfport, Mississippi, USA",https://robpow.com/,+1 228-214-8353,Closes soon · 5 pm · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy3OLVlaZb_Q-Pp0-WNWmOexPNmgMpNSnKPDEwzpfclSM-Qak0NqgrVvykeWZA83HMlFkIyfX4chyN0CEQaXz7DABg-wLyxV0BOLMGVZLKSZaieZJu17_Hrs_9jz2rXML3elPkCeA=w408-h544-k-no,true,7 am–5 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:23.822Z,,,
https://www.google.com/maps/place/Bay+Motor+Winding+Inc./data=!4m7!3m6!1s0x889c3d2116ecee2d:0xca00675399ae0bd0!8m2!3d30.3613631!4d-89.1301926!16s%2Fg%2F1tj2csjm!19sChIJLe7sFiE9nIgR0AuumVNnAMo,Bay Motor Winding Inc.,4.9,35,Electrician,"125 N Ocean Wave Ave, Long Beach, MS 39560, United States","9V69+GW Long Beach, Mississippi, USA",http://www.baymotorwinding.com/,+1 228-863-0677,"Closed · Opens 7:30 am Mon

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx8NPCtfvD7gSWWFn22JOEVRNbsATYfrgoViIYqatX8vts2Z3fRgRwpg86OB8Z4JcROnPadwlpsOhwQvHBR59u8HXA2kLZVpb_YoV_nwByFCEBBBRw3ao_t8VjibgyCAz4g9pjmhQ=w408-h306-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:28.855Z,,,
"https://www.google.com/maps/place/Coastal+Improvements+Electrical+Services/@30.395427,-89.0895069,17z/data=!3m1!4b1!4m6!3m5!1s0x889c162f2b473761:0x8e791a865601a492!8m2!3d30.395427!4d-89.0895069!16s%2Fg%2F1q6jhjv9t",Coastal Improvements Electrical Services,4.6,8,Electrician,"2205 John Hill Blvd, Gulfport, MS 39501, United States","9WW6+55 Gulfport, Mississippi, USA",https://www.coastalimprovements.net/,+1 228-701-9997,Closed · Opens 9 am Mon,,false,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:35.696Z,,,
https://www.google.com/maps/place/On-Site+Generator+Services/data=!4m7!3m6!1s0x889c47a2b7a16ea5:0x8bbcf7d31a05e524!8m2!3d30.5990907!4d-89.1300374!16s%2Fg%2F11p67jc81h!19sChIJpW6ht6JHnIgRJOUFGtP3vIs,On-Site Generator Services,5.0,122,Electric generator shop,"21383 US 49, Saucier, MS 39574, United States","HVX9+JX Saucier, Mississippi, USA",https://www.generatorrepairms.com/,+1 228-731-6010,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPgnX6F55S0C3S1NP56_q0KagRMFbBOfir5stJq=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:40.654Z,,,
https://www.google.com/maps/place/TriedNTrue+AC+%26+Heat+LLC/data=!4m7!3m6!1s0x889c3d8d9e753d09:0x791c8a855330569f!8m2!3d30.4085685!4d-89.2428681!16s%2Fg%2F11rph0dznk!19sChIJCT11no09nIgRn1YwU4WKHHk,TriedNTrue AC & Heat LLC,5.0,94,HVAC contractor,,,http://www.triedntrueac.com/,+1 228-243-4324,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOERx2h-DfuAbOacVszwA8tJSk7x681Of8a_ur3=w428-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:45.373Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Security+Electronics+%26+The+Generator+Store/data=!4m7!3m6!1s0x889c3a756730dde3:0x4bc103599dc8473d!8m2!3d30.4085436!4d-89.2487527!16s%2Fg%2F1tfjrh40!19sChIJ490wZ3U6nIgRPUfInVkDwUs,Security Electronics & The Generator Store,4.3,13,Electric generator shop,"8292 D, 8292 Firetower Rd, Pass Christian, MS 39571, United States","CQ52+CF Pass Christian, Mississippi, USA",https://securityelectronics.kohlergeneratordealer.com/,+1 228-586-9620,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_WAn5ssc2x8jIwcOGMpOzA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=95.88551&pitch=0&thumbfov=100,false,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:50.285Z,,,
https://www.google.com/maps/place/Bayside+Generators/data=!4m7!3m6!1s0x889c25347c979445:0xb9a00751a5442184!8m2!3d30.3164477!4d-89.2450964!16s%2Fg%2F11mr29wh74!19sChIJRZSXfDQlnIgRhCFEpVEHoLk,Bayside Generators,5.0,2,Electrician,"206 E 2nd St, Pass Christian, MS 39571, United States","8Q83+HX Pass Christian, Mississippi, USA",http://baysidegenerators.com/,+1 228-343-0680,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOSreitcmgmeHeTcmrF4SVCx3lWnR7B1woq5lPw=w408-h408-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:54.979Z,,,
https://www.google.com/maps/place/LaFollette+Electric+LLC/data=!4m7!3m6!1s0x889c24d0b57aaaab:0x2534849262be68eb!8m2!3d30.3307485!4d-89.2038253!16s%2Fg%2F11vk2lw68t!19sChIJq6p6tdAknIgR62i-YpKENCU,LaFollette Electric LLC,5.0,1,Contractor,"144 Espy Ave, Pass Christian, MS 39571, United States","8QJW+7F Pass Christian, Mississippi, USA",https://lafelec.com/contact-us,+1 228-224-6020,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rsqI0_ngq7uIxSXjswUauQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=133.6765&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Gulfport+MS/@30.3713601,-89.1266372,14z",2026-01-10T22:04:57.740Z,,,
