placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error,attributes
https://www.google.com/maps/place/Truck+Parking+Club/data=!4m7!3m6!1s0x86e7590cba78ed0d:0xa9d36d965105c00a!8m2!3d31.765833!4d-106.500629!16s%2Fg%2F11yf3qprcw!19sChIJDe14ugxZ54YRCsAFUZZt06k,Truck Parking Club,,,Parking lot,"1503 Hawthorne St, El Paso, TX 79902, United States","QF8X+8P El Paso, Texas, USA",https://truckparkingclub.com/truck-parking/texas/el-paso/1503-hawthorne-st-79902?advocate=WYS672&utm_source=pm_marketing_link&utm_medium=referral&utm_campaign=gmb_marketing_link&el=El_Paso-Texas-79902-WYS672-1&htrafficsource=gmb,+1 915-336-9120,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOlZaQLd_E_D2bC0azAa_Ht_ka_RfvdMBQXmHgQ=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:33:35.742Z,,,
https://www.google.com/maps/place/Jireh+Parking+Services+%22LuxuryBeyondExcellence%22/data=!4m7!3m6!1s0x86e7590436a15bb7:0x56e93641e7948a4b!8m2!3d31.7613039!4d-106.4793671!16s%2Fg%2F11c2j47xjp!19sChIJt1uhNgRZ54YRS4qU50E26VY,"Jireh Parking Services ""LuxuryBeyondExcellence""",4.5,2,Valet parking service,"912 Magoffin Ave, El Paso, TX 79901, United States","QG6C+G7 El Paso, Texas, USA",http://www.jirehparkingservices.com/,+1 915-803-3596,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipNURb_7elyOM2MjahRaGkduRPz7haBKkAnCOSKt=w408-h373-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,12–5 pm,Closed,8 am–4 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:33:43.116Z,,,
https://www.google.com/maps/place/VIP+Parking/data=!4m7!3m6!1s0x86e758fc77ef0635:0xb32af1b839996558!8m2!3d31.7594242!4d-106.4936726!16s%2Fg%2F11bx1q4hds!19sChIJNQbvd_xY54YRWGWZObjxKrM,VIP Parking,4.7,3,Parking lot,"555 Durango St, El Paso, TX 79901, United States","QG54+QG El Paso, Texas, USA",https://www.southwestuniversitypark.com/area-and-venue-information/parking-directions,,Open ⋅ Closes 10 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tshc_Gr0_L_K4SZG1AahEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=324.65744&pitch=0&thumbfov=100,false,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,6 am–10 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:33:48.746Z,,,
"https://www.google.com/maps/place/Diversified+Parking,+Inc./data=!4m7!3m6!1s0x86e7590204bcbf2b:0xd8e4d11b2871664!8m2!3d31.7589835!4d-106.4855443!16s%2Fg%2F1tfmj7x0!19sChIJK7-8BAJZ54YRZBaHshFNjg0","Diversified Parking, Inc.",2.0,6,Parking garage,"100 N Stanton St Suite 630, El Paso, TX 79901, United States","QG57+HQ El Paso, Texas, USA",http://www.diversifiedparking.com/,+1 915-533-4955,"Open ⋅ Closes 3 pm

Updated by others 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOvuRgU4EaXCEq-cr9e-2-Bw7-OggEeLIGUznFB=w425-h240-k-no,false,8 am–3 pm,8 am–3 pm,8 am–3 pm,8 am–3 pm,Closed,Closed,8 am–3 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:33:54.197Z,,,
https://www.google.com/maps/place/El+Paso+County+Maintenance/data=!4m7!3m6!1s0x86e759030427fff3:0x7221c97834c64255!8m2!3d31.7581208!4d-106.484083!16s%2Fg%2F1tgmwr0f!19sChIJ8_8nBANZ54YRVULGNHjJIXI,El Paso County Maintenance,1.0,1,County government office,"500 E San Antonio Ave # L112, El Paso, TX 79901, United States","QG58+69 El Paso, Texas, USA",,+1 915-546-2009,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PJYU8ZKYStYFwiSccAtqgQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=349.03406&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:33:59.160Z,,,
https://www.google.com/maps/place/Park+Air+Express/data=!4m7!3m6!1s0x14fa0feeb76fdcf3:0x8249e4c6b1600f6c!8m2!3d31.7948676!4d-106.4038029!16s%2Fg%2F11b6vdv7d1!19sChIJ89xvt-4P-hQRbA9gscbkSYI,Park Air Express,4.3,115,Parking lot,"6440 Airport Rd, El Paso, TX 79925, United States","QHVW+WF El Paso, Texas, USA",https://www.parkairexpress.com/,+1 915-778-2020,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4jRA8WIgFonCHZ_qTJAhIQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=207.38458&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:34:04.239Z,,,
https://www.google.com/maps/place/American+Parking+ELP/data=!4m7!3m6!1s0x86e75b72204b4369:0x69864f696beda260!8m2!3d31.7938038!4d-106.4038387!16s%2Fg%2F11fs1nzt3l!19sChIJaUNLIHJb54YRYKLta2lPhmk,American Parking ELP,2.8,10,Parking lot,"6440 Airport Rd, El Paso, TX 79925, United States","QHVW+GF El Paso, Texas, USA",https://parkingsystemsofamerica.com/contact-us/el-paso/#,+1 915-778-2020,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hCRpk_djXM0um5qQeRbAzg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=85.41617&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:34:07.431Z,,,
https://www.google.com/maps/place/Horizon+Valet+Parking+Services/data=!4m7!3m6!1s0x86e75731f4ba6599:0x401c053003947c66!8m2!3d31.8123147!4d-106.5192354!16s%2Fg%2F11khy5nvmd!19sChIJmWW69DFX54YRZnyUAzAFHEA,Horizon Valet Parking Services,5.0,3,Valet parking service,"469 W Castellano Dr apt 3102, El Paso, TX 79912, United States","RF6J+W8 El Paso, Texas, USA",http://horizonvaletparking.com/,+1 813-613-8644,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO9O0aysRsapS3JFcac9DCuDm3QBCe5ylnMe6Ri=w408-h407-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:34:13.088Z,,,
https://www.google.com/maps/place/TTUHSCEP+Parking+and+Transportation+Services/data=!4m7!3m6!1s0x86e75b4a6177ed21:0x4c37c51314750e1d!8m2!3d31.7703735!4d-106.4263922!16s%2Fg%2F11p15x0hkk!19sChIJIe13YUpb54YRHQ51FBPFN0w,TTUHSCEP Parking and Transportation Services,1.0,1,University,"5310 El Paso Dr, El Paso, TX 79905, United States","QHCF+4C El Paso, Texas, USA",https://www.parkme.com/lot/1540/urgent-care-hospice-el-paso-tx,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=34vqcK9Nj8WdnihEdt0pWQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.21426&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:34:16.425Z,,,
https://www.google.com/maps/place/Union+Plaza+Transit+Terminal+Parking+Garage/data=!4m7!3m6!1s0x86e758fcbfd6c2fd:0xe40787d26136e728!8m2!3d31.7564582!4d-106.4927496!16s%2Fg%2F1hhwb4gxv!19sChIJ_cLWv_xY54YRKOc2YdKHB-Q,Union Plaza Transit Terminal Parking Garage,4.5,65,Parking garage,"400 W San Antonio Ave, El Paso, TX 79901, United States","QG44+HW El Paso, Texas, USA",https://www.parkme.com/lot/1648/union-plaza-transit-terminal-chihuahua-city-mexico,+1 915-534-0626,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxu_GFnBhkf28Hn4tARv7DGKbp6wEen0a-FALnrrj3PYD93eSBeH_FGg0PI3s6ZnHXmcqnGIEm-7ZFkmhlZB-UnvKWdXYJl9DKwmhUsLz-xy1GA6JD97cjvyBMM6V44LWNM6dYE=w408-h544-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+El+Paso+El+Paso+TX/@31.7618778,-106.4850217,14z",2025-10-28T18:34:22.334Z,,,
