placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error,attributes
https://www.google.com/maps/place/Indiana+Vein+%26+Lymphatic/data=!4m7!3m6!1s0x8814ca6f95f367e7:0x7c459f4d4a44fe55!8m2!3d39.9553246!4d-86.1606604!16s%2Fg%2F1tfk50tv!19sChIJ52fzlW_KFIgRVf5ESk2fRXw,Indiana Vein & Lymphatic,4.7,31,Medical clinic,"11590 N Meridian St Suite 270, Carmel, IN 46032, United States","XR4Q+4P Carmel, Indiana, USA",https://indyveins.com/,+1 317-348-3020,Closed · Opens 9 am Wed,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipNaF5B29GMYOeiIOY3eifEeeSNTfBXdB8pwEWyT=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,8 am–1 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:14:24.922Z,,
https://www.google.com/maps/place/Ascension+Medical+Group+St.+Vincent+-+VeinSolutions%28TM%29/data=!4m7!3m6!1s0x8814ac3760e1d1d5:0xce77dcb6e9466e84!8m2!3d39.9826411!4d-86.145439!16s%2Fg%2F1vwlpr1t!19sChIJ1dHhYDesFIgRhG5G6bbcd84,Ascension Medical Group St. Vincent - VeinSolutions(TM),4.6,43,Vascular surgeon,"13450 N Meridian St #160, Carmel, IN 46032, United States","XVM3+3R Carmel, Indiana, USA",https://healthcare.ascension.org/locations/indiana/inasc/carmel-ascension-st-vincent-carmel/departments/13450-n-meridian-entrance-3/vein-solutions?utm_campaign=gmb&utm_medium=organic-search&utm_content=location-listing&utm_source=local,+1 317-582-7676,Closed · Opens 8 am Wed,,https://lh3.googleusercontent.com/p/AF1QipNC-wiMJMVuVvq4OW9CBw1ftatjLxDj9leASdRh=w408-h272-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:14:31.553Z,,
https://www.google.com/maps/place/Decatur+Vein+Clinic/data=!4m7!3m6!1s0x8814ac53c0753f63:0xbaee61f5b9b0f9b6!8m2!3d39.9642681!4d-86.1382594!16s%2Fg%2F1260h0sl6!19sChIJYz91wFOsFIgRtvmwufVh7ro,Decatur Vein Clinic,,,Medical clinic,"615 W Carmel Dr, Carmel, IN 46032, United States","XV76+PM Carmel, Indiana, USA",,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Cxuu1x16Jzqtx1xV4L563g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=239.44604&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:14:35.135Z,,
"https://www.google.com/maps/place/Randy+J.+Irwin,+MD/data=!4m7!3m6!1s0x886b54b77157f693:0x9b70cf1c82e94d5a!8m2!3d39.982605!4d-86.1453646!16s%2Fg%2F1v44r4qh!19sChIJk_ZXcbdUa4gRWk3pghzPcJs","Randy J. Irwin, MD",4.9,72,Vascular surgeon,"13450 N Meridian St #160, Carmel, IN 46032, United States","XVM3+2V Carmel, Indiana, USA",https://healthcare.ascension.org/find-care/provider/1811916224/randy-irwin?utm_campaign=gmb-website&utm_medium=organic&utm_source=google,+1 317-582-7676,,,https://lh3.googleusercontent.com/p/AF1QipMMfsP0uQqcGSDvozs9n6RjpgruJAbwz-9A-ms5=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:14:38.750Z,,
https://www.google.com/maps/place/IU+Health+Vascular+Surgery+-+Carmel/data=!4m7!3m6!1s0x8814ad5540fd33c7:0x808d741acfb133c2!8m2!3d39.9593726!4d-86.1599314!16s%2Fg%2F11h64kpylv!19sChIJxzP9QFWtFIgRwjOxzxp0jYA,IU Health Vascular Surgery - Carmel,1.0,1,Surgical center,"11725 Illinois St Suite 355, Carmel, IN 46032, United States","XR5R+P2 Carmel, Indiana, USA",https://iuhealth.org/find-locations/iu-health-vascular-surgery-11725-n-illinois-st-carmel?utm_source=Google&utm_medium=Yext&y_source=1_MTE5NDE5MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 317-962-0280,Closed · Opens 7:30 am Wed,,https://lh3.googleusercontent.com/p/AF1QipML8RQi4PUdW-Jr8HokU34r6sgV5txhPsPJzAzL=w426-h240-k-no,true,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,Closed,Closed,7:30 am–4 pm,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:14:44.006Z,,
https://www.google.com/maps/place/Modern+Vascular/data=!4m7!3m6!1s0x886b53e879fc64f7:0x2e4a15641081a6c!8m2!3d39.9143137!4d-86.1589268!16s%2Fg%2F11qt46prfv!19sChIJ92T8eehTa4gRbBoIQVah5AI,Modern Vascular,4.9,21,Medical clinic,"8704 N Meridian St, Indianapolis, IN 46260, United States","WR7R+PC Indianapolis, Indiana, USA",https://modernvascular.com/clinics/indianapolis/?utm_source=Google&utm_medium=Yext,+1 463-207-1610,Closed · Opens 7 am Wed,,https://lh3.googleusercontent.com/p/AF1QipNYdap6NDCyQg59fJIDWPwzm6R0uHfS1EnP_T6y=w408-h306-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,7 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:14:49.484Z,,
https://www.google.com/maps/place/Indiana+Vein+Specialist/data=!4m7!3m6!1s0x8814ab006c2b95f7:0x2650010774da719f!8m2!3d39.9397387!4d-86.2323548!16s%2Fg%2F11ydwjjghh!19sChIJ95UrbACrFIgRn3HadAcBUCY,Indiana Vein Specialist,,,Medical Center,"10485 Commerce Dr #100, Carmel, IN 46032, United States","WQQ9+V3 Carmel, Indiana, USA",,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mH5ciqZ7nN555lSM-o12zA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=71.351265&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:14:52.713Z,,
https://www.google.com/maps/place/Indiana+Medical+center/data=!4m7!3m6!1s0x8814adcf10bb4873:0xf72dc987d121f395!8m2!3d39.9608469!4d-86.114559!16s%2Fg%2F11w8jvcbbw!19sChIJc0i7EM-tFIgRlfMh0YfJLfc,Indiana Medical center,4.7,44,Medical clinic,"1119 Keystone Wy suite 102, Carmel, IN 46032, United States","XV6P+85 Carmel, Indiana, USA",https://www.indianamedcenter.com/,+1 812-822-1516,Closes soon · 6 pm · Opens 9 am Wed,,https://lh3.googleusercontent.com/p/AF1QipNuF3x5HGLRELWoK3b8G7qD_oB0fH2Py0LWldbB=w408-h544-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:14:57.736Z,,
https://www.google.com/maps/place/Phases+Medical+Spa+Skin+%26+Laser/data=!4m7!3m6!1s0x8814ac8c997355d7:0x278f025b79e57ee!8m2!3d39.95407!4d-86.156667!16s%2Fg%2F12608xkfy!19sChIJ11VzmYysFIgR7leetyXweAI,Phases Medical Spa Skin & Laser,4.5,38,Medical spa,"11455 N Meridian St #150, Carmel, IN 46032, United States","XR3V+J8 Carmel, Indiana, USA",https://phasesskincare.com/,+1 317-848-8101,Open · Closes 7 pm,,https://lh3.googleusercontent.com/p/AF1QipO3q-KQel66I89xas8wELT7_OFTk88pEyjInEkQ=w408-h272-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–4 pm,9 am–2 pm,Closed,9 am–7 pm,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:15:02.645Z,,
https://www.google.com/maps/place/Wise+Aesthetics/data=!4m7!3m6!1s0x8814ad0af8e4ca61:0xb40563673cd36d02!8m2!3d39.9553114!4d-86.1165166!16s%2Fg%2F11t7pk8l7x!19sChIJYcrk-AqtFIgRAm3TPGdjBbQ,Wise Aesthetics,5.0,129,Medical spa,"2325 Pointe Pkwy #110, Carmel, IN 46032, United States","XV4M+49 Carmel, Indiana, USA",http://www.wise-aesthetics.com/?y_source=1_MjAxNzM2NzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 317-569-6448,Closes soon · 6 pm · Opens 9 am Wed,,https://lh3.googleusercontent.com/p/AF1QipPtrhAmqHs7CAE01e6CXqm2nlxreZUFoXxjPo8n=w408-h315-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Carmel+Indianapolis+IN/@39.978371,-86.1180435,14z",2025-12-16T22:15:07.547Z,,
