placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes
https://www.google.com/maps/place/Detroit+Voltage/data=!4m7!3m6!1s0x883b2d2e96f88755:0xfac8c093b66720d0!8m2!3d42.3332592!4d-83.0427839!16s%2Fg%2F11hbfj9fqt!19sChIJVYf4li4tO4gR0CBntpPAyPo,Detroit Voltage,4.6,56,Electrician,"400 Monroe St #261, Detroit, MI 48226, United States","8XM4+8V Detroit, Michigan, USA",http://www.detroitvoltage.com/,+1 800-258-1352,Closed · Opens 8 am Mon,Identifies as women-owned,true,https://lh3.googleusercontent.com/p/AF1QipNnh-T5Qt_vYe_4SEVDvHfEmH9IPnC_xekKFZ5g=w408-h306-k-no,true,9 am–3 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:24:46.784Z,
"https://www.google.com/maps/place/Streamline+Electric,+Inc./data=!4m7!3m6!1s0x8824d3118143b9a7:0x9d390fe9536816f!8m2!3d42.3666399!4d-83.0207354!16s%2Fg%2F11cnb5mdhz!19sChIJp7lDgRHTJIgRb4E2lf6Q0wk","Streamline Electric, Inc.",4.7,346,Electrical installation service,"3939 Bellevue St Suite 100, Detroit, MI 48207, United States","9X8H+MP Detroit, Michigan, USA",https://www.prostreamline.com/,+1 877-830-2377,Closed · Opens 8 am Mon,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6TEmOMywfGpSGSJQUpHNNQ4iP_jAHZtqZriLou_0yxTBY7fPPj0EY90uBVkU7jDbnT3nJw8k5tp4V_2pBZDiZJsGz2TNFShBxLpxhMFsXFadhSEyOOnkeAF2QQx20RUh9n54L=w408-h544-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:24:52.465Z,
https://www.google.com/maps/place/Detroit+Power+Systems/data=!4m7!3m6!1s0x8824d29c2dc61d89:0xa5992ae4df639c02!8m2!3d42.3671022!4d-83.0762235!16s%2Fg%2F1v44flkp!19sChIJiR3GLZzSJIgRApxj3-QqmaU,Detroit Power Systems,,,Electrical installation service,"622 W Baltimore St, Detroit, MI 48202, United States","9W8F+RG Detroit, Michigan, USA",http://www.detroitpowersystems.com/,+1 313-871-8000,Closed · Opens 8 am Mon,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z2MFckEuzehIy1PENECEGA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=319.02838&pitch=0&thumbfov=100,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:24:57.202Z,
https://www.google.com/maps/place/Consumer+Services+Electric/data=!4m7!3m6!1s0x6f92593491c249d:0x21085c1f91499dac!8m2!3d42.3931784!4d-83.1790532!16s%2Fg%2F11yc6p2j17!19sChIJnSQcSZMl-QYRrJ1JkR9cCCE,Consumer Services Electric,5.0,259,Electrician,"14341 Schaefer Hwy, Detroit, MI 48227, United States","9RVC+79 Detroit, Michigan, USA",https://www.consumerserviceselectric.com/,+1 313-631-4905,Closed · Opens 8 am Mon,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxiWbuP1MohK41Z1qYfhU6UD-TJxhStthp-zBllWGGC6RG9z1_7X5UUoIqKGiKtaglyJ5BU3Apxjp3I3l80eHSW6cTLpu73WC4QxDo7_5v6-V3wiIJ9_1gN1ZyrnS1kR21PNym65xOlOxI=w408-h544-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:25:02.045Z,
https://www.google.com/maps/place/Strawberry+Solar/data=!4m7!3m6!1s0x883b2d4b40018051:0x4b1eac7b7733d21!8m2!3d42.3519667!4d-83.06657!16s%2Fg%2F11c0rr8bb1!19sChIJUYABQEstO4gRIT1zt8fqsQQ,Strawberry Solar,4.6,71,Solar energy company,"Green Garage, 4444 2nd Ave, Detroit, MI 48201, United States","9W2M+Q9 Detroit, Michigan, USA",https://www.strawberrysolar.com/,+1 313-960-7900,Closed · Opens 8 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipOQFgBLEFrA_nS8x3OdkKI0JvbNBBh4hgjFf2RB=w426-h240-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:25:07.154Z,
https://www.google.com/maps/place/Electrician+Pros+Detroit/data=!4m7!3m6!1s0x8824cd6196a271ab:0xd99ca8ef850a1760!8m2!3d42.3563027!4d-83.1304499!16s%2Fg%2F11rvl_6xw4!19sChIJq3GilmHNJIgRYBcKhe-onNk,Electrician Pros Detroit,4.8,40,Electrician,"5578 Ivanhoe St, Detroit, MI 48204, United States","9V49+GR Detroit, Michigan, USA",http://www.electricianprosdetroit.com/,+1 313-488-3156,Open · Closes 9 pm,,,https://lh3.googleusercontent.com/p/AF1QipN3ZSIPnoybPGecUZHSZWGd3baGt_MeBWdPxIk=w408-h544-k-no,true,8 am–9 pm,11:30 am–6 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,8 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:25:11.894Z,
https://www.google.com/maps/place/Jayone+electric+llc/data=!4m7!3m6!1s0x883b3342db7ba545:0xf476bd294f421fd4!8m2!3d42.3255581!4d-83.0908271!16s%2Fg%2F11st6ky3fg!19sChIJRaV720IzO4gR1B9CTym9dvQ,Jayone electric llc,4.9,58,Electrician,"592 W Grand Blvd, Detroit, MI 48216, United States","8WG5+6M Detroit, Michigan, USA",http://jayoneelectricllc.com/,+1 313-948-8963,Open 24 hours,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipPGPJCJ0GKKlaxl7ouQ2Evl8MM820AmT0B2CidU=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:25:16.932Z,
https://www.google.com/maps/place/Detroit+Speedy+Electrician/data=!4m7!3m6!1s0x8824cd29e66c56ad:0x116e244cf50df3bb!8m2!3d42.3491541!4d-83.1208561!16s%2Fg%2F11fzrtgqjd!19sChIJrVZs5inNJIgRu_MN9UwkbhE,Detroit Speedy Electrician,4.4,68,Electrician,"6000 Ironwood St, Detroit, MI 48210, United States","8VXH+MM Detroit, Michigan, USA",https://detroit.speedyelectrician.com/,+1 313-486-4957,Open 24 hours,,,https://lh3.googleusercontent.com/p/AF1QipOtyfUN9HAHpO3WfaqL2F9d4VSBaOo-Am9WlB9U=w408-h244-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:25:21.956Z,
https://www.google.com/maps/place/Fordson+Industrial/data=!4m7!3m6!1s0x883b33b79cae24e3:0x2719c69dad1e48e5!8m2!3d42.294131!4d-83.1525!16s%2Fg%2F11zjwsts2y!19sChIJ4ySunLczO4gR5UgerZ3GGSc,Fordson Industrial,5.0,3,Electric generator shop,"378 Fordson St, Detroit, MI 48217, United States","7RVX+M2 Detroit, Michigan, USA",,+1 313-600-9877,"Open 24 hours

Updated by this business 4 weeks ago",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dzkJhjmSPhRuuCBrYPhvMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=296.74777&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:25:26.907Z,
https://www.google.com/maps/place/Treehouse/data=!4m7!3m6!1s0x29b92ed838c08bdf:0x60a105218a5dbb7e!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F11s5_d1_0p!19sChIJ34vAONguuSkRfrtdiiEFoWA,Treehouse,4.8,330,Electrician,,,https://treehouse.pro/,+1 323-577-6795,Closed · Opens 9 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipNN2BENCWPiZZUAuEbsPUgt7ouly5KeARh9WcH1=w408-h265-k-no,true,Closed,Closed,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/generator+installation+services+in+Downtown+Detroit+Detroit+MI/@42.331704,-83.0470684,14z",2026-01-10T21:25:31.637Z,
