placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/IV+Solutions/data=!4m7!3m6!1s0x87014efa27e5d819:0x115698ef478c5d0!8m2!3d35.2109524!4d-101.8368986!16s%2Fg%2F1tf75zgj!19sChIJGdjlJ_pOAYcR0MV49I5pFQE,IV Solutions,5.0,1,Pharmacy,"102 SW 3rd Ave, Amarillo, TX 79101, United States","6567+96 Amarillo, Texas, USA",http://www.ivsolutions.com/,+1 806-355-5029,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMATjQHdjIOOWdtrC0cZAWGcEHxNw0XPqCp3Sf1=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:08.733Z,,,
https://www.google.com/maps/place/Revive+IV+Hydration+%26+Wellness/data=!4m7!3m6!1s0x87014fb7d54fd179:0xea807554825854fb!8m2!3d35.1885934!4d-101.9136287!16s%2Fg%2F11qt21l_s6!19sChIJedFP1bdPAYcR-1RYglR1gOo,Revive IV Hydration & Wellness,4.6,39,Medical spa,"6900 I-40, Amarillo, TX 79106, United States","53QP+CG Amarillo, Texas, USA",https://reviveamarillo.com/,+1 806-553-8772,Closes soon ⋅ 7 pm ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sJyVR-jTeckIwoxwhfubRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=160.78456&pitch=0&thumbfov=100,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:14.246Z,,,
https://www.google.com/maps/place/Relief+Today/data=!4m7!3m6!1s0x87014fc206121b1f:0x6af656f06757118e!8m2!3d35.1932187!4d-101.8688765!16s%2Fg%2F11n74kz1yc!19sChIJHxsSBsJPAYcRjhFXZ_BW9mo,Relief Today,5.0,117,Medical clinic,"2822 Wolflin Ave, Amarillo, TX 79109, United States","54VJ+7C Amarillo, Texas, USA",https://www.relieftoday.net/,+1 806-641-6452,Closed ⋅ Opens 8:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipMxC2ZpwOjrto5QAq188iC_Et2aa6M2gb9gZkVq=w426-h240-k-no,true,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:19.987Z,,,
https://www.google.com/maps/place/IVRS+Wellness+Center/data=!4m7!3m6!1s0x87014fffd082d56d:0x45c998b08b88940b!8m2!3d35.1595598!4d-101.8983608!16s%2Fg%2F11h3mwhrjv!19sChIJbdWC0P9PAYcRC5SIi7CYyUU,IVRS Wellness Center,4.9,353,Wellness center,"4514 Cornell St Suite B, Amarillo, TX 79109, United States","5452+RM Amarillo, Texas, USA",http://ivrstx.com/,+1 806-322-0747,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipMhwlQaxmO8eITTHpQ5VZ4m8cCNAd5f3nRwmsaV=w491-h240-k-no,true,Closed,9 am–5:30 pm,9 am–5:30 pm,"9 am–12 pm, 1–5:30 pm",9 am–5:30 pm,9 am–5:30 pm,10 am–2 pm,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:25.071Z,,,
https://www.google.com/maps/place/Midtown+Medical+and+Wellness+Center/data=!4m7!3m6!1s0x87014f606f6e1937:0x3177689a60837ceb!8m2!3d35.2042139!4d-101.8464376!16s%2Fg%2F11n65l58m3!19sChIJNxlub2BPAYcR63yDYJpodzE,Midtown Medical and Wellness Center,4.9,19,Medical clinic,"1005 S Jefferson St, Amarillo, TX 79101, United States","6533+MC Amarillo, Texas, USA",https://www.midtownama.com/,+1 806-379-8004,Closed ⋅ Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U--ULxcAfMrygHRpLsfOaQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=76.031075&pitch=0&thumbfov=100,true,Closed,8:30 am–6 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–6 pm,8:30 am–12 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:30.004Z,,,
https://www.google.com/maps/place/NAD+IV+Therapy+Clinic/data=!4m7!3m6!1s0x87014f95c73114b3:0x645b318943b04fcc!8m2!3d35.2222028!4d-101.8349521!16s%2Fg%2F11p4l38gvl!19sChIJsxQxx5VPAYcRzE-wQ4kxW2Q,NAD IV Therapy Clinic,,,Medical group,"112 I-40BL, Amarillo, TX 79107, United States","65C8+V2 Amarillo, Texas, USA",http://nad-iv.org/,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ukt0biwM6HRouaB16FWkTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=124.634544&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:34.909Z,,,
https://www.google.com/maps/place/Advanced+Vital+Care/data=!4m7!3m6!1s0x870151c51b029a1b:0x7521e5bbb4ba61ce!8m2!3d35.1934228!4d-101.9150327!16s%2Fg%2F11fjvx7fg1!19sChIJG5oCG8VRAYcRzmG6tLvlIXU,Advanced Vital Care,4.9,75,Pharmacy,"1901 Medi Park Dr Ste 1059, Amarillo, TX 79106, United States","53VM+9X Amarillo, Texas, USA",https://vitalcare.com/locations/advanced-vital-care/,+1 806-242-2272,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPqTS4QWlTW9i9dDiSOfReVgeT1TlU6d9Ak8dEp=w408-h544-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:39.851Z,· Delivery,,
https://www.google.com/maps/place/Metro+Infusion+Center/data=!4m7!3m6!1s0x870151a0bccacd11:0xbc04b815876f1286!8m2!3d35.1934098!4d-101.9151163!16s%2Fg%2F11w1sj89xw!19sChIJEc3KvKBRAYcRhhJvhxW4BLw,Metro Infusion Center,,,Medical Center,"1901 Medi Park Dr suite 2018, Amarillo, TX 79106, United States","53VM+9X Amarillo, Texas, USA",https://metroinfusioncenter.com/,+1 877-448-3627,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xp5atqcExp1DvAxJqGtD4g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=50.69828&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:44.750Z,,LGBTQ+ friendly,
https://www.google.com/maps/place/Cenikor+Foundation+-+Amarillo/data=!4m7!3m6!1s0x870151b977ddee47:0x65e3e1cf09e631f9!8m2!3d35.2086018!4d-101.8625945!16s%2Fg%2F11h6tr03tp!19sChIJR-7dd7lRAYcR-THmCc_h42U,Cenikor Foundation - Amarillo,3.4,30,Addiction treatment center,"803 S Rusk St, Amarillo, TX 79106, United States","645P+CX Amarillo, Texas, USA",https://www.cenikor.org/,+1 888-236-4567,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM_1WLfVlqbzAPXiFlaHIW2AB78m9OT3YSmK9ti=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:49.719Z,,,
https://www.google.com/maps/place/Amerita+Specialty+Infusion+Services+-+Amarillo/data=!4m7!3m6!1s0x870151b1844922c9:0xfe3c262a45d83deb!8m2!3d35.2108662!4d-101.9105318!16s%2Fg%2F12618ns6r!19sChIJySJJhLFRAYcR6z3YRSomPP4,Amerita Specialty Infusion Services - Amarillo,5.0,3,Pharmacy,"603 Quail Creek Dr #700, Amarillo, TX 79124, United States","636Q+8Q Amarillo, Texas, USA",https://www.ameritaiv.com/,+1 806-352-1212,Closed ⋅ Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cZAm4oE0Z8HvznnazIMfqA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=357.13757&pitch=0&thumbfov=100,true,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Downtown+Amarillo+Amarillo+TX/@35.2069816,-101.8320065,14z",2025-09-28T23:01:54.646Z,,,
