placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Bratt+Tree/data=!4m7!3m6!1s0x87f62815e5b4e5eb:0x1a7ee88437d0ccbe!8m2!3d44.955087!4d-93.2367207!16s%2Fg%2F1tl7p89r!19sChIJ6-W05RUo9ocRvszQN4Tofho,Bratt Tree,4.8,450,Tree service,"2423 E 26th St, Minneapolis, MN 55406, United States","XQ47+28 Minneapolis, Minnesota, USA",https://www.bratttree.com/?utm_source=google&utm_medium=gbp-minneapolis,+1 612-429-3904,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEaK-QZT34g-acghIr_jhXdQmmZ_jkOQsSdchCttkOUe7fAmVsggxfTNCgo9-DQSlhyv9X1gOaupKFEsxAQWUxI1oGId32_NfwHN-qWcFAbK2AH_py_TsV2VNw2b0Z6IphAuVRi7lAoB-0=w426-h240-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:58:28.975Z,,,
https://www.google.com/maps/place/Vineland+Tree+Care/data=!4m7!3m6!1s0x52b332cd749b8e89:0xf86f9238e727a55!8m2!3d44.9570852!4d-93.2366691!16s%2Fg%2F1tcz_4v5!19sChIJiY6bdM0ys1IRVXpyjiP5hg8,Vineland Tree Care,4.9,463,Tree service,"2504 25th Ave S, Minneapolis, MN 55406, United States","XQ47+R8 Minneapolis, Minnesota, USA",http://www.vinelandtree.com/,+1 612-872-0205,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFj6gqM03mCk5rLsv4AhDL6fzdPG2lRa-pfsIHCRK7j_9K9CMze3h_c-T-LbCgkw42hjqvt1yc-QthhV20_ZSePn-J1wGoLNJYyof5y5poCv3cZRsJaV-TJkgYGJHH0q0vwNcqipw=w505-h240-k-no,true,7 am–4:30 pm,7 am–4:30 pm,7 am–4 pm,Closed,Closed,7 am–4:30 pm,7 am–4:30 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:58:35.229Z,,,
https://www.google.com/maps/place/Phoenix+Tree+Care/data=!4m7!3m6!1s0x52b32da76d242f69:0xa855f47dd9e63b9a!8m2!3d45.0106445!4d-93.2569843!16s%2Fg%2F11fk1dhj3j!19sChIJaS8kbacts1IRmjvm2X30Vag,Phoenix Tree Care,4.9,27,Tree service,"2216 Washington St NE, Minneapolis, MN 55418, United States","2P6V+76 Minneapolis, Minnesota, USA",http://phoenixtreempls.com/,+1 612-384-3140,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHif-dKdDJ2Whzd_ZHly2YjOcdaLB-EWO-JYqsO-mXkocY2f4F3i8pKCnqJcJcF5e-xhMyb6SgNcS179HpyHpZmsw-ud_K2JBSlJ5OqZ_m7GWifqixdiyOYOjr4Xj3HG3TzJQveUQ=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:58:40.177Z,,,
"https://www.google.com/maps/place/Northeast+Tree,+Inc/data=!4m7!3m6!1s0x52b3320cd1540001:0xed971b00c2d3299d!8m2!3d45.0095395!4d-93.2719997!16s%2Fg%2F11fx7xpp29!19sChIJAQBU0Qwys1IRnSnTwgAbl-0","Northeast Tree, Inc",4.3,31,Tree service,"2124 Marshall St NE Suite #3, Minneapolis, MN 55418, United States","2P5H+R6 Minneapolis, Minnesota, USA",http://northeasttree.net/,+1 612-200-2226,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3VSDPUKVjnGjpqTVlPIpVITicn_kKqVWmEh6KQ97Gjn_CcT73R0RMr1mp5mPpU8bOU2jjv240VzJqaS9VvZAfpbyBulFRGLzFqC2YscE_Pz5XDI0Kdd5bWJFjc9RkGObHFRJK=w408-h541-k-no,true,7 am–6 pm,7 am–6 pm,7 am–5 pm,9 am–5 pm,Closed,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:58:45.052Z,,,
"https://www.google.com/maps/place/Matt%27s+Tree+Service,+Inc/data=!4m7!3m6!1s0x87f627800f15ea65:0x1768e398c8383021!8m2!3d44.9521557!4d-93.2978774!16s%2Fg%2F11f5bykhv7!19sChIJZeoVD4An9ocRITA4yJjjaBc","Matt's Tree Service, Inc",4.1,39,Tree service,"2751 Hennepin Ave S #72, Minneapolis, MN 55408, United States","XP22+VR Minneapolis, Minnesota, USA",https://www.mattstreeservice.us/,+1 612-706-8210,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAED7y-JICvinJFrDRDmEOHn4jNa4u60CULNKAS2kurYqj7ZRrSNERaaVFP8zAY4TYAYC60ROynso9lMX4UQUZPFgoPXKflDcAh-iVnw-xXRyxXVm8jybFIBAIGtuNqchSNnOl1qpg=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:58:50.102Z,,,
https://www.google.com/maps/place/Grounded+Earth/data=!4m7!3m6!1s0x87f62777753d6aab:0x5f74d2d4116e3b3a!8m2!3d44.9698857!4d-93.2255151!16s%2Fg%2F11t9m4shyl!19sChIJq2o9dXcn9ocROjtuEdTSdF8,Grounded Earth,4.9,119,Lawn care service,"603 Ontario St SE Unit 1, Minneapolis, MN 55414, United States","XQ9F+XQ Minneapolis, Minnesota, USA",http://www.groundedearthservices.com/,+1 612-223-6441,"Closed · Opens 8 am

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEGU-ZnJOJFWW4G4tiKubI8O1oKK_UUL9APzUe1WTTOaXgE-Cf1GPsmLUhHM9oCkRgo6SKsC8fjRNATSETj4DAgXg3esf9ayhIUD8_ossuXgZzGSpvCcmlBAD3ZuU5In_1qr4rqPUZqnmfh=w408-h252-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,10 am–2 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:58:54.886Z,Identifies as indigenous-owned,,
https://www.google.com/maps/place/Greiling+Tree+Service/data=!4m7!3m6!1s0x87f6271e43e9de45:0x20c3b880c10bcb02!8m2!3d44.9354853!4d-93.2763011!16s%2Fg%2F11vmbl21zs!19sChIJRd7pQx4n9ocRAssLwYC4wyA,Greiling Tree Service,5.0,68,Tree service,"3711 1st Ave S, Minneapolis, MN 55409, United States","WPPF+5F Minneapolis, Minnesota, USA",https://www.greilingtrees.com/,+1 612-245-4494,Closed · Opens 9 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEJnQ4NoeYXDRdEOrJc-KQP_FcotQQI_IuAplBGRxTVD4pHDazBnxfEEXAgLqdT-t1IIkoTqZ0eNrnG3HhjtIf-7UzKpNxaMnl4hTbnGsjRGBP3l2frzy1_HbvSLMv7JLy0z0fLCA=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:59:00.106Z,,,
https://www.google.com/maps/place/PRIMARY+TREE+SERVICE/data=!4m7!3m6!1s0x52b33563683804a5:0x10cc157b4e84c168!8m2!3d44.9666433!4d-93.3482282!16s%2Fg%2F11qg4685sd!19sChIJpQQ4aGM1s1IRaMGETnsVzBA,PRIMARY TREE SERVICE,5.0,77,Tree service,"1650 West End Blvd, St Louis Park, MN 55416, United States","XM82+MP St Louis Park, Minnesota, USA",http://www.primarytreeservice.com/,+1 612-509-0000,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdtTbrjVU7hGwl2mGGGRsP_Wa1UOWSzxc8B7SEHN2X2wDW8xBsa_3RN5PJA7O1WZ0SmXpPcwrQT_eD--L50wVShVhSUk-e_UjWcZ34DAtswqnrufTe3LlAi15jkhY3GWVDXeJL=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:59:05.161Z,,,
https://www.google.com/maps/place/Kota+Tree+Care/data=!4m7!3m6!1s0x52b333032bfddeb3:0xc9510883a946ea4c!8m2!3d44.97364!4d-93.3249846!16s%2Fg%2F11fnxpsrqj!19sChIJs979KwMzs1IRTOpGqYMIUck,Kota Tree Care,5.0,78,Tree service,,,https://www.instagram.com/kotatree.mn/,+1 612-501-3925,Closed · Opens 7 am,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGOAHLMufgNE2vtIDiEZAE2K9utoRKN7mWoQgTOo21ytbGZDeua96H7xZZcnNW_uRuWp4pzZtBKiGTKQ1Ob4gvWxuQ6IyhGtObDhrE_FPLmduFZo9cIlDhNbzwQmPE5p0dA7dDK=w408-h544-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:59:09.926Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Holloway+Tree+Service/data=!4m7!3m6!1s0x52b333a673095555:0x3e981f57aa98b196!8m2!3d44.9936476!4d-93.314877!16s%2Fg%2F11fll6l4jj!19sChIJVVUJc6Yzs1IRlrGYqlcfmD4,Holloway Tree Service,5.0,2,Tree service,"1405 N Upton Ave, Minneapolis, MN 55411, United States","XMVP+F2 Minneapolis, Minnesota, USA",,+1 612-522-5181,Closed · Opens 9 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZvkXv6nO47XqYZlCP4QYRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=275.27963&pitch=0&thumbfov=100,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,Closed,9 am–8 pm,9 am–8 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Minneapolis+MN/@44.977753,-93.2650108,14z",2026-04-29T06:59:14.678Z,,,
