placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,attributes
"https://www.google.com/maps/place/Wave+Wellness+LLC/@44.9464568,-124.0173857,17z/data=!3m1!4b1!4m6!3m5!1s0x54ea8da681a99ec3:0x966fcda460b5c525!8m2!3d44.9464568!4d-124.0173857!16s%2Fg%2F11ltxgntt3",Wave Wellness LLC,4.8,19,Medical spa,"SW Hwy 101, Lincoln City, OR 97367, United States","WXWM+H2 Lincoln City, Oregon, USA",http://wavewellnesspnw.com/,+1 541-351-8454,,LGBTQ+ friendly,,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:01.270Z,,,,,,,,
https://www.google.com/maps/place/Samaritan+North+Lincoln+Hospital/data=!4m7!3m6!1s0x54ea9299a19735c5:0x46f4afe8ee0a92ba!8m2!3d44.9858311!4d-123.9943862!16s%2Fm%2F04lh5pr!19sChIJxTWXoZmS6lQRupIK7uiv9EY,Samaritan North Lincoln Hospital,3.3,138,General hospital,"3043 NE 28th St, Lincoln City, OR 97367, United States","X2P4+86 Lincoln City, Oregon, USA",https://samhealth.org/find-a-location/samaritan-north-lincoln-hospital/,+1 541-994-3661,,,https://lh3.googleusercontent.com/p/AF1QipN9VqljaCELZoJA9KtedOEm-f2-z3aHzALJjUt4=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:07.031Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,
https://www.google.com/maps/place/Samaritan+Hematology+%26+Oncology+-+Lincoln+City/data=!4m7!3m6!1s0x54ea929974c60589:0x2fb781f000ca8eb9!8m2!3d44.9849573!4d-123.9955046!16s%2Fg%2F11c1qwnh3h!19sChIJiQXGdJmS6lQRuY7KAPCBty8,Samaritan Hematology & Oncology - Lincoln City,,,Medical clinic,"3100 NE 28th St Ste D1, Lincoln City, OR 97367, United States","X2M3+XQ Lincoln City, Oregon, USA",https://samhealth.org/find-a-location/samaritan-hematology-oncology-lincoln-city/,+1 833-222-5600,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq_WkOBpJQ9uEUYdppssVjeicJA_BXQ8y8eh4BSJ3jG-zUfhqu3lAykzmCLoFMLDDIzIfvORAKQE464aXRKL5dPtTxx3sBhMt1hDLdlvFEJmWfo5VYa-jRHEZtq46_GCXkVstcs=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:12.320Z,Closed,8 am–4:30 pm,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,
https://www.google.com/maps/place/Willamette+Valley+Cancer+Institute+and+Research+Center+-+Lincoln+City/data=!4m7!3m6!1s0x54ea9383789e1771:0xe2aef0d997893aa3!8m2!3d44.9876082!4d-123.9973542!16s%2Fg%2F11nmt4jpxp!19sChIJcReeeIOT6lQRozqJl9nwruI,Willamette Valley Cancer Institute and Research Center - Lincoln City,,,Oncologist,"3015 NE West Devils Lake Rd, Lincoln City, OR 97367, United States","X2Q3+23 Lincoln City, Oregon, USA",https://www.oregoncancer.com/locations/lincoln-city/?utm_campaign=Rio-Listings&utm_source=local-listings&utm_medium=google,+1 541-683-5001,,,https://lh3.googleusercontent.com/p/AF1QipP8ZL_oZ59A0-njJ2hXW73ZhOahe6t-ybOeqYjm=w408-h272-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:15.081Z,,,,,,,,
https://www.google.com/maps/place/Trillium+Natural+Foods+Organic+Grocery/data=!4m7!3m6!1s0x54ea8da026ae920b:0xcc5aedfa7546987e!8m2!3d44.9595882!4d-124.0123406!16s%2Fg%2F1tdfm_m4!19sChIJC5KuJqCN6lQRfphGdfrtWsw,Trillium Natural Foods Organic Grocery,4.8,313,Natural goods store,"1026 SE Jetty Ave, Lincoln City, OR 97367, United States","XX5Q+R3 Lincoln City, Oregon, USA",http://trilliumnaturalfoods.net/,+1 541-994-5665,Closes soon ⋅ 6 pm ⋅ Opens 9:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipN-jt_QnD9O1EW52_aB2kC_f1_OdSLi5jssaUEm=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:20.083Z,11 am–6 pm,9:30 am–7 pm,9:30 am–7 pm,9:30 am–7 pm,9:30 am–7 pm,9:30 am–7 pm,9:30 am–7 pm,· In-store pick-up
https://www.google.com/maps/place/Option+Care+Health/data=!4m7!3m6!1s0x8796bd80a85c9873:0x2606b008602768d6!8m2!3d40.7688171!4d-96.6258559!16s%2Fg%2F11c37l6q6b!19sChIJc5hcqIC9locR1mgnYAiwBiY,Option Care Health,4.3,3,Specialized clinic,"4401 S 70th St Suite 2, Lincoln, NE 68516, United States","Q99F+GM Lincoln, Nebraska, USA",https://optioncarehealth.com/,+1 402-423-1333,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6EHqn7d7GPANDIn8Etk2Pw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=20.993912&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:22.962Z,,,,,,,,
https://www.google.com/maps/place/DaVita+Lincoln+City+Dialysis/data=!4m7!3m6!1s0x54ea93ef4edc87ad:0xdccfbc7db286b863!8m2!3d44.9856371!4d-123.9977808!16s%2Fg%2F11fpmts849!19sChIJrYfcTu-T6lQRY7iGsn28z9w,DaVita Lincoln City Dialysis,5.0,2,Dialysis center,"2817 NE West Devils Lake Rd, Lincoln City, OR 97367, United States","X2P2+7V Lincoln City, Oregon, USA",https://www.davita.com/locations/or/lincoln-city/2817-ne-west-devils-lake-rd--5453,+1 833-388-2845,Closed ⋅ Opens 5 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tPLN-Og5T5n-D5cLCkan6g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=276.93625&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:27.888Z,Closed,5 am–7 pm,Closed,5 am–7 pm,Closed,5 am–7 pm,Closed,
https://www.google.com/maps/place/Samaritan+Physical+Rehabilitation+Specialists+-+Lincoln+City/data=!4m7!3m6!1s0x54ea8d71d4f5d92b:0x655f017b44748c80!8m2!3d44.9855285!4d-123.9963458!16s%2Fg%2F1v7py6dd!19sChIJK9n11HGN6lQRgIx0RHsBX2U,Samaritan Physical Rehabilitation Specialists - Lincoln City,5.0,1,Physical therapy clinic,"3011 NE 28th St, Lincoln City, OR 97367, United States","X2P3+6F Lincoln City, Oregon, USA",https://samhealth.org/find-a-location/samaritan-physical-rehabilitation-specialists--lincoln-city/,+1 541-557-7160,Closed ⋅ Opens 7 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaIDzzAU02-t4235BzZD41qXqoSbRL6Rtj60raI2RdAjTDC9dhYm2rMzguYTFqwqJR18I9vJPYr1P6cqP5cILIXPeaS7GvPLTB8kvMHpuVLnM-crVBRstSK0qZ2bQF9qf3nBxN=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:32.723Z,Closed,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,Closed,
https://www.google.com/maps/place/Samaritan+Lincoln+City+Medical+Center/data=!4m7!3m6!1s0x54ea9298fed4675d:0x1f670db8d764ff6f!8m2!3d44.9862612!4d-123.9961277!16s%2Fg%2F1tgqj4g8!19sChIJXWfU_piS6lQRb_9k17gNZx8,Samaritan Lincoln City Medical Center,3.0,23,Medical Center,"2870 NE West Devils Lake Rd, Lincoln City, OR 97367, United States","X2P3+GG Lincoln City, Oregon, USA",https://samhealth.org/find-a-location/samaritan-lincoln-city-medical-center/,+1 541-994-9191,Closed ⋅ Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqwBbWxfO2oE8ttiHcE5krDV-kW3A0ld4QLcc7fSUC1sNYszSiZIheMwBAX7s_wqXbczjm_SJkmuDOb1f7e6NOo-VUxD7I7Tqhhdia_Hl3_1mqfwLFwpMd6klf2ZaAo6S0a8A8F=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:37.855Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,
https://www.google.com/maps/place/Samaritan+Occupational+Medicine+-+Lincoln+City/data=!4m7!3m6!1s0x54ea92997563638d:0xab5bcc4f11578474!8m2!3d44.9864519!4d-123.9958727!16s%2Fg%2F11btmbp6_l!19sChIJjWNjdZmS6lQRdIRXEU_MW6s,Samaritan Occupational Medicine - Lincoln City,3.4,5,Medical clinic,"2930 NE West Devils Lake Rd #3, Lincoln City, OR 97367, United States","X2P3+HM Lincoln City, Oregon, USA",https://samhealth.org/find-a-location/samaritan-occupational-medicine-lincoln-city/,+1 541-557-6427,Closed ⋅ Opens 7 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npxN_EefuryNfEVUjzGWkzkoUKQuVe9EubEtVHzKTRzRF7Bh5rdEwpi1RbCBHNMP40i3VCeFTnEdkhUoLzRjYy0CAjt8x5JX4-yG_n-7AwEx3wZN2Z6hmP-4nzd2Bo348NEIdc=w426-h240-k-no,true,"https://www.google.com/maps/search/Infusion+centers+in+Lincoln+City+Lincoln+NE/@44.9620902,-124.0159354,14z",2025-09-29T00:45:43.151Z,Closed,"7 am–12:30 pm, 1–5:30 pm","7 am–12:30 pm, 1–5:30 pm","7 am–12:30 pm, 1–5:30 pm","7 am–12:30 pm, 1–5:30 pm","7 am–12:30 pm, 1–5:30 pm",Closed,
