placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,isBlackOwned,attributes
https://www.google.com/maps/place/Seattle+Water+Damage+Restoration/data=!4m7!3m6!1s0x8806565615bfffff:0x64f427d55115e12a!8m2!3d47.630657!4d-122.374112!16s%2Fg%2F11ggqskw7x!19sChIJ__-_FVZWBogRKuEVUdUn9GQ,Seattle Water Damage Restoration,5.0,51,Water damage restoration service,"1419 Elliott Ave W, Seattle, WA 98119, United States","JJJG+79 Seattle, Washington, USA",https://www.seattlewaterdamagerestoration.net/,+1 206-203-1246,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqeVFR7ohuQn3VIeUOChq8HiA_NDgAscU9KLQSg5AontLnTFLBBkf3F502sDt2RlmAuaUQLIyGjDwvdsPXXNiE--YoPQSKtZMmrV-ZTDMnaMHjjdyVSuoiVLAbvPzcOCux72OQk3WKxqUM=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:06.542Z,,,
https://www.google.com/maps/place/SERVPRO+of+Downtown+Seattle/data=!4m7!3m6!1s0x54906b25f514e6ff:0xbb929c2bb58b1dec!8m2!3d47.6178191!4d-122.3375407!16s%2Fg%2F11gfk7yq2x!19sChIJ_-YU9SVrkFQR7B2LtSuckrs,SERVPRO of Downtown Seattle,4.6,38,Water damage restoration service,"900 Lenora St, Seattle, WA 98121, United States","JM96+4X Seattle, Washington, USA",https://www.servpro.com/locations/wa/servpro-of-downtown-seattle?utm_medium=organic&utm_source=gbp,+1 206-282-9500,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepevtVBdRKjrTRM8tMj3a_LiGLuUJX1EwUAdKT5LQU_FAuXV73QLU58u3iBCXhobtNoaPVC4UmApCGeqhSUzKcqF_HPyytNLqqdxYD8wJAXu0Eju3KW1V9w2LlWVMeCSsOGKXfG=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:12.846Z,,,
https://www.google.com/maps/place/Eco+Water+Restoration+of+Seattle/data=!4m7!3m6!1s0x54906b9e32401209:0x92a9129179a241!8m2!3d47.6098395!4d-122.3383183!16s%2Fg%2F11yk900yxn!19sChIJCRJAMp5rkFQRQaJ5kRKpkgA,Eco Water Restoration of Seattle,5.0,10,Water damage restoration service,"1511 3rd Ave #1004, Seattle, WA 98101, United States","JM56+WM Seattle, Washington, USA",https://eco-wr.com/locations/water-damage-restoration-in-seattle-wa/?utm_source=gmb&utm_medium=organic&utm_campaign=seattle-location,+1 206-339-9916,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepN6bqSwQ16O5x1IGjOeNeO4disDGY7k9b6RxWOFs0G_f0AQLljC22nEVQ-p4zMxsSsjdtJp2eoYLLfw1-EIIA5q_hMC33wdivp06aQW2gLDYaergs8eYsCueQ6ErhAGQOIyI_Vn4VZsmfw=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:17.620Z,,,
https://www.google.com/maps/place/Quick+Restoration/data=!4m7!3m6!1s0x54906d7b51fe6129:0xea789475d12758bc!8m2!3d47.6123793!4d-122.3374736!16s%2Fg%2F11rz4r8cln!19sChIJKWH-UXttkFQRvFgn0XWUeOo,Quick Restoration,5.0,60,Water damage restoration service,"1601 5th Ave Suite 900, Seattle, WA 98101, United States","JM67+X2 Seattle, Washington, USA",https://www.quickrestoration.com/water-damage-seattle-wa,+1 425-444-2375,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqLdGvlgnQULYlzQlVEsnQ4zBieo89Wtplfq3Xixcf0EjBz7eETWbOYa1MoKrmm8d8gFg_oRIABrfWV9zJFXwvEo4jnmESgJJDljodnohHfqFmXJPFbnKg3WNw8igIhpkWy6w-sqhRbeTVk=w408-h407-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:22.495Z,,,
https://www.google.com/maps/place/Seattle+Mold+Experts/data=!4m7!3m6!1s0x549015d55cf64b73:0xe0397505346066e6!8m2!3d47.6134703!4d-122.3420672!16s%2Fg%2F11xmkw64tm!19sChIJc0v2XNUVkFQR5mZgNAV1OeA,Seattle Mold Experts,5.0,34,Water damage restoration service,"300 Lenora St, Seattle, WA 98121, United States","JM75+95 Seattle, Washington, USA",https://seattlemoldremovalservice.com/,+1 206-209-2409,Closed · Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqWokBxvET_ecAe2_-6W4a4V_dwRFU8PDZSn3fYlIbRdYtoepf4dGpiCNYdvMmKaYxGNRh7Ipdg4UppK69YX_-SSGySAUZHIFXwqEDsVhDGOCJCUj5Glyv1pv_gy8AwVuUasoJcAcNo2IjO=w426-h240-k-no,true,Closed,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:27.282Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Water+Damage+Restoration+Seattle/data=!4m7!3m6!1s0x880e158ee1a8e3ab:0xda77469d8a110723!8m2!3d47.5607601!4d-122.3865431!16s%2Fg%2F12619f5z_!19sChIJq-Oo4Y4VDogRIwcRip1Gd9o,Water Damage Restoration Seattle,5.0,47,Water damage restoration service,"4706 California Ave SW, Seattle, WA 98116, United States","HJ67+89 Seattle, Washington, USA",https://www.waterdamagerestorationseattle.net/,+1 206-558-8508,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoqbGtsSYXZeLvgRTS8ZzXTS52qACX0PlvaJoP8llZwPm8jSCrIIEhM5fhUZCXdkE0CUyZiIWLf8ef87Kegc4cc5jmQ-iYLPNrIzBOnujk1tzbJDZXNvaicyF7acYP6pEdAv5RayBg9Z9lH=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:32.073Z,,,
https://www.google.com/maps/place/Max+Pro+Water+Damage+%26+Restoration+Services/data=!4m7!3m6!1s0x54906b466cdb7299:0x375724506c8660fe!8m2!3d47.6147737!4d-122.3125642!16s%2Fg%2F11w22jg82p!19sChIJmXLbbEZrkFQR_mCGbFAkVzc,Max Pro Water Damage & Restoration Services,5.0,10,Water damage restoration service,"1526 15th Ave, Seattle, WA 98122, United States","JM7P+WX Seattle, Washington, USA",https://maxprowaterdamageandrestorationservices.us/,+1 253-384-4140,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqTbMp7-lpfHuzOYr8U19Ka30LRgVTN-k6DMC7v0CP6iWRX5Eee-BKDKTfuebQPK7EBjHlY0rXQDKHhP0nZsIZr97695EoCY7YnNgtKmUjoHzcWvXVhEZA4-T2PvujCTy9lXxCNJ6PK4Pk=w408-h378-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:36.818Z,,,
https://www.google.com/maps/place/Water+Damage+Service+Seattle/data=!4m7!3m6!1s0x88d9a727258f80c1:0x8d0c80306911032b!8m2!3d47.6012609!4d-122.3288123!16s%2Fg%2F11vk1qk0c0!19sChIJwYCPJSen2YgRKwMRaTCADI0,Water Damage Service Seattle,5.0,2,Water damage restoration service,"628 4th Ave S, Seattle, WA 98104, United States","JM2C+GF Seattle, Washington, USA",,+1 206-360-6316,Closed · Opens 6 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweolPcHKD5HYvpTeV1FmsadAAe9bcA_NlY8N0IFiQgczh5ndi7TZGQ827Elu96cIDL-UzZwcCpaB-eH6O3skEGIBprDM17KDfPsMds3KoxtbfIvFZiaL9oYk5s5bGHmpJyJ_9a1xnQ=w408-h408-k-no,true,8 am–8 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,8 am–8 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:41.463Z,LGBTQ+ friendly,true,
https://www.google.com/maps/place/Lunexa+Restoration/data=!4m7!3m6!1s0x54906ab422455555:0xc12ceb0e23a07a7b!8m2!3d47.6089681!4d-122.3320444!16s%2Fg%2F11xky9m5xs!19sChIJVVVFIrRqkFQRe3qgIw7rLME,Lunexa Restoration,5.0,42,Water damage restoration service,"1200 6th Ave suite 117, Seattle, WA 98101, United States","JM59+H5 Seattle, Washington, USA",https://lunexarestoration.com/,+1 564-464-3472,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepTUswF3PfQeqshabEWg8LMQzfCwtbTXw64ybn96ZZuvPfrOGoBVzUy2BC3zhY4WJ5AW9iZOAgwFj27ClA8GXQDZto06OK8cbIHlht7-QjTNQuVi1k8IUOshB2jsKVivWdFm8af-sbtbnQ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:46.097Z,,,
https://www.google.com/maps/place/TempShield/data=!4m7!3m6!1s0x54906b9bd56413ab:0xaec44cfec854209!8m2!3d47.6020226!4d-122.3335495!16s%2Fg%2F11yysld6yy!19sChIJqxNk1ZtrkFQRCUKF7M9E7Ao,TempShield,5.0,6,Water damage restoration service,"600 1st Ave Ste 102, Seattle, WA 98104, United States","JM28+RH Seattle, Washington, USA",https://waterdamagerestorationservicesseattle.shop/,+1 206-259-5439,"Open 24 hours

Confirmed by this business 7 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O9WA9qPcimLSNm04fSR6Dg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.27176&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Seattle+Seattle+WA/@47.6061389,-122.3328481,14z",2026-03-23T04:12:50.864Z,,,
