placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,error,isBlackOwned
https://www.google.com/maps/place/Advanced+Cleaning+%26+Restoration/data=!4m7!3m6!1s0x53546d9a99e70473:0xb1ac83efeaa70a9d!8m2!3d43.5083677!4d-112.0562289!16s%2Fg%2F1th7mkfd!19sChIJcwTnmZptVFMRnQqn6u-DrLE,Advanced Cleaning & Restoration,4.9,637,Water damage restoration service,"1435 Lindsay Blvd, Idaho Falls, ID 83402, United States","GW5V+8G Idaho Falls, Idaho, USA",https://advancedcleaningidaho.com/,+1 208-359-5858,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq3ZoH8fRjULDOGY3L_lh5HBW9LP9JIgivBNa2SCZ7Pq5sB3OwlK1rXTgOxK6HLewFSWZqAWjAmjZLGsTFG8xG6nl919pYjrq7LQnGh-2HVYdLDs79zyoxRICQldqqE8fO-3hCMlg=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:29:46.812Z,,,
https://www.google.com/maps/place/Flood+%26+Fire+Solutions/data=!4m7!3m6!1s0x53545ede54e7fed3:0xe5dbe1eca4920a38!8m2!3d43.4811421!4d-112.0448833!16s%2Fg%2F1hc1mmcrt!19sChIJ0_7nVN5eVFMROAqSpOzh2-U,Flood & Fire Solutions,4.8,208,Water damage restoration service,"570 W 19th St, Idaho Falls, ID 83402, United States","FXJ4+F2 Idaho Falls, Idaho, USA",http://www.floodandfiresolutions.com/,+1 208-521-9741,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqkudtgcgQo3eUskHMQ6Z2PXAT1b43u69JscuSWQlLLMWyS1skWg43TR_KN7oInbJreQWpkp1wnlIhCLSVV66KXFQWa1Rk8Ey2lEubNwfNe-m2WNpLARIex3kjATlzLSh50kCmy=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:29:52.981Z,,,
https://www.google.com/maps/place/Paul+Davis+Restoration+of+Idaho+-+Idaho+Falls+Office/data=!4m7!3m6!1s0x53545c20c644cd25:0xe844375197b507ca!8m2!3d43.5106605!4d-112.0087109!16s%2Fg%2F12hpz9chm!19sChIJJc1ExiBcVFMRyge1l1E3ROg,Paul Davis Restoration of Idaho - Idaho Falls Office,4.8,429,Water damage restoration service,"1022 E Lincoln Rd, Idaho Falls, ID 83401, United States","GX6R+7G Idaho Falls, Idaho, USA",http://idaho.pauldavis.com/,+1 208-747-0497,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepH7kDa5Mpzd_n3m8ffbz2_Rs_m7gCkcBRNccD4z1O1RhXBAPeaPHpU5iDyga2sWY08c-57KfVYzzzQlUzHKdEx8mcNLEaTRp2Pql-MLhfBoIS0XGYjW3MpKfmFryEHlH-sqTn3=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:29:57.986Z,,,
https://www.google.com/maps/place/Idaho+Fire+%26+Flood+Restoration/data=!4m7!3m6!1s0x53545e9e5a38184f:0x361f1f12e2f42615!8m2!3d43.5080607!4d-112.0076876!16s%2Fg%2F11ddyd26xy!19sChIJTxg4Wp5eVFMRFSb04hIfHzY,Idaho Fire & Flood Restoration,4.8,93,Water damage restoration service,"1167 Jones St, Idaho Falls, ID 83401, United States","GX5R+6W Idaho Falls, Idaho, USA",http://www.idahofireandflood.com/,+1 208-417-4991,"Open 24 hours

Confirmed by this business 6 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoucE6aOb1ODWlPV-WCimx7FJS-reEs3yxktBr9iN0ZBKGexkTlVEB36yQ_LoiA6tNQXWVvyJjEtqR4CpjQqZ2Fw1q8xqcA4f_faYZkfPDsql-5KVKF-y4bwK49BI9LUXWTLzRB5YDDiQ8=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:30:02.941Z,,,
https://www.google.com/maps/place/C%26P+Cleaning+and+Restoration/data=!4m7!3m6!1s0x53545d21125e766f:0xe00ee3dfcb7d19d3!8m2!3d43.5064309!4d-112.0294165!16s%2Fg%2F11smz9rsjx!19sChIJb3ZeEiFdVFMR0xl9y9_jDuA,C&P Cleaning and Restoration,4.8,16,Water damage restoration service,"251 Sunset Dr, Idaho Falls, ID 83402, United States","GX4C+H6 Idaho Falls, Idaho, USA",,+1 208-520-8444,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerMIvn4Lzl6G3HJJUB79OLZPaJNdEjCnSPEstflrgkkZMF96svHIXDrVMkIBVC4jktxdkQocvc9nsXjtyOpvtKHIjS-czht8XK8RQvATlKUMBkwG5cnvz0pa0GhFTONohg2TLaV=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:30:07.887Z,,,
https://www.google.com/maps/place/Kolivo+Mold+Removal+Idaho+Falls/data=!4m7!3m6!1s0x535459c8af3a70b9:0x95328ae8f8199b7e!8m2!3d43.4885571!4d-112.039329!16s%2Fg%2F11y49dnjgl!19sChIJuXA6r8hZVFMRfpsZ-OiKMpU,Kolivo Mold Removal Idaho Falls,5.0,20,Water damage restoration service,"145 Maple St, Idaho Falls, ID 83402, United States","FXQ6+C7 Idaho Falls, Idaho, USA",http://kolivomoldremovalidahofalls.online/,+1 208-835-9861,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ov_mAJSkwuc7rLMeY95rcQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=35.31663&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:30:10.748Z,,,
https://www.google.com/maps/place/Healthy+Home+Environmental+Services+Idaho+Falls/data=!4m7!3m6!1s0x53545c2f626b8cc1:0x54018250b4427d52!8m2!3d43.4958154!4d-112.0222664!16s%2Fg%2F11dxb3tdyp!19sChIJwYxrYi9cVFMRUn1CtFCCAVQ,Healthy Home Environmental Services Idaho Falls,4.8,69,Water damage restoration service,"550 2nd St STE #292, Idaho Falls, ID 83401, United States","FXWH+83 Idaho Falls, Idaho, USA",http://hheidahofalls.com/,+1 208-535-3289,,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweroXnc-d2CdGrQAMm4pSePlMUFidBMyililSWvYi-2brQIR4RB4WP9G2Ho9DKP5XkfjOoTWSwtinJxT6FJA7WWBZ3-L9GoP-QKancHKHy5MHAR1FpjvBZ8U_dO6mClp2zGPqWFI4w=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:30:15.518Z,,,
https://www.google.com/maps/place/SERVPRO+of+Idaho+Falls/data=!4m7!3m6!1s0x53545c212201326f:0x39e1594b0488c05a!8m2!3d43.5187239!4d-112.0305447!16s%2Fg%2F11cmdqy0nm!19sChIJbzIBIiFcVFMRWsCIBEtZ4Tk,SERVPRO of Idaho Falls,4.7,158,Water damage restoration service,"2525 Boge Ave, Idaho Falls, ID 83401, United States","GX99+FQ Idaho Falls, Idaho, USA",https://www.servpro.com/locations/id/servpro-of-idaho-falls?utm_medium=organic&utm_source=gbp,+1 208-523-5365,,Identifies as veteran-owned,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepdBGap3uHhGoqOMGozKR68LnlHRu-02VVhIxFab48DVHgxIfe5q_BYiZ0FplCIQc9a0QbMLeieLDS8MBKn-inkyHZznY-HM073glHT2z6hUd3agAn58n-eXeIyPh_adT4fueDVnHqMcpM=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:30:20.411Z,,,
https://www.google.com/maps/place/Rainbow+Restoration+of+Idaho+Falls/data=!4m7!3m6!1s0x53545900c3720fbb:0x180f620d69485b02!8m2!3d43.465263!4d-112.0603875!16s%2Fg%2F11g02syzmg!19sChIJuw9ywwBZVFMRAltIaQ1iDxg,Rainbow Restoration of Idaho Falls,4.6,58,Water damage restoration service,"1345 Enterprise St, Idaho Falls, ID 83402, United States","FW8Q+4R Idaho Falls, Idaho, USA",https://rainbowrestores.com/Idaho-falls,+1 208-497-5252,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqOVythakOA1ebQ4qcVtxOUYNV4Q0_hAJAfw3xz43bspsmwMdj2o9dCDnyFUqYjSYsUnK0tBps4wJ0Tpg6lver567IU-9caV5vjT4NPAeBtNbTQq2ddgAOolV7QvnpE8gQnBlbV5QMLAF5z=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:30:25.253Z,,,
https://www.google.com/maps/place/911+Restoration+of+Southeast+Idaho/data=!4m7!3m6!1s0x535459514728f08d:0x6d617d910d5bc6d0!8m2!3d43.4679834!4d-112.0254997!16s%2Fg%2F11p5q4y8rl!19sChIJjfAoR1FZVFMR0MZbDZF9YW0,911 Restoration of Southeast Idaho,5.0,3,Water damage restoration service,"3324 Rustic Ln Suite 2, Idaho Falls, ID 83404, United States","FX9F+5R Idaho Falls, Idaho, USA",https://www.911restorationwestwyoming.com/,+1 208-306-8528,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepnEaCXgczZmNlCXIqwta6dCOSYnym6wVdh3VmuaAEHn6n1xk0LNSxlTTjPvVitt5po0ZypWs9VYQv5pMb94r1iYU35WRpn45bXMYz8wjf7128_YJn6_Km2mtf7zdWSfYv_aBt8-g=w408-h322-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Idaho+Falls+ID+ID/@43.4926602,-112.0407506,14z",2026-03-23T04:30:30.136Z,,,
