placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/Affordable+Garage+Door+Service/data=!4m7!3m6!1s0x87d2ad6e6045c589:0x2b77bf2cb05af049!8m2!3d34.5547396!4d-92.3704646!16s%2Fg%2F11j0rf2x3n!19sChIJicVFYG6t0ocRSfBasCy_dys,Affordable Garage Door Service,4.8,32,Garage door supplier,"21400 Chicot Rd, Mabelvale, AR 72103, United States","HJ3H+VR Mabelvale, Little Rock, AR, USA",https://www.affordablegaragedoorservicepros.com/,+1 501-261-7765,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPqooBNJrSmc4btHq7N5pX6MEaOz59W6A1wIgK1=w426-h240-k-no,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:44:40.937Z,,,
https://www.google.com/maps/place/Home+Outlet/data=!4m7!3m6!1s0x87cd51a92c20a435:0x99a7d5dd6fd2e56c!8m2!3d34.5788061!4d-92.5738345!16s%2Fg%2F11h8kyfn8l!19sChIJNaQgLKlRzYcRbOXSb93Vp5k,Home Outlet,4.8,46,Home improvement store,"1513 Military Rd, Benton, AR 72015, United States","HCHG+GF Benton, Arkansas, USA",http://www.homeoutlet.com/store/home-outlet-benton-ar,+1 501-860-7340,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOcqPdOtw0TcF7cU_3s9Dt3rqULI5D8wMdM0R-M=w443-h240-k-no,true,8:30 am–6 pm,8:30 am–3 pm,Closed,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:44:47.451Z,· In-store shopping · Kerbside pickup,,
https://www.google.com/maps/place/Direct+Service+Overhead+Garage+Door+Company+LLC/data=!4m7!3m6!1s0x87d2a29689732043:0xa4edbdcd9c18e78!8m2!3d34.7534043!4d-92.3907302!16s%2Fg%2F11b6sz1n1c!19sChIJQyBziZai0ocReI7B2dzbTgo,Direct Service Overhead Garage Door Company LLC,4.9,1217,Garage door supplier,"10515 W Markham St Suite I5, Little Rock, AR 72205, United States","QJ35+9P Little Rock, Arkansas, USA",https://directserviceoverhead.com/?utm_campaign=gmb,+1 501-260-7281,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMveZzBvWyQcQ3OKwtNdR68zLBYeIeLBlRsfu9O=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:44:52.409Z,,,
https://www.google.com/maps/place/Precision+Door+Service+of+Central+Arkansas/data=!4m7!3m6!1s0x87d2a1fbc01c35dd:0x51148740c053c8fa!8m2!3d34.8336861!4d-92.3822677!16s%2Fg%2F11bbrlj3zt!19sChIJ3TUcwPuh0ocR-shTwECHFFE,Precision Door Service of Central Arkansas,4.8,1041,Garage door supplier,"7900 Counts Massie Rd, North Little Rock, AR 72113, United States","RJM9+F3 North Little Rock, Arkansas, USA",https://precisiondoorlittlerock.com/?utm_source=GMBlisting&utm_medium=organic,+1 501-228-8827,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOZ-dQK87JLfdRY8DhKjPAOU7w-AIZn4JdjHBmG=w538-h240-k-no,true,7:30 am–6 pm,7:30 am–6 pm,Closed,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:44:57.310Z,,,
https://www.google.com/maps/place/On-Trac+Doors-+Bryant/data=!4m7!3m6!1s0x87cd578e8876d371:0x2f868e445e4c41e9!8m2!3d34.6276506!4d-92.4939962!16s%2Fg%2F11xt2skz8f!19sChIJcdN2iI5XzYcR6UFMXkSOhi8,On-Trac Doors- Bryant,5.0,6,Garage door supplier,"3531 Market Pl Ave, Bryant, AR 72022, United States","JGH4+3C Bryant, Arkansas, USA",,+1 501-693-4948,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOdafOX1xP2-ChFlJuN7NsN15gPir32oEpoatTY=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:02.267Z,,,
https://www.google.com/maps/place/Southwest+Window+%26+Door/data=!4m7!3m6!1s0x863335cd85eea5e1:0x70db8086f69a33bb!8m2!3d34.5736022!4d-92.5923353!16s%2Fg%2F11ggr5tqm7!19sChIJ4aXuhc01M4YRuzOa9oaA23A,Southwest Window & Door,5.0,76,Window supplier,"1114 AR-35 Suite B, Benton, AR 72019, United States","HCF5+C3 Benton, Arkansas, USA",http://www.swwindowanddoor.com/,+1 501-617-7024,Closed ⋅ Opens 12 am Mon,https://lh3.googleusercontent.com/p/AF1QipM4o47GUha_h_AaoLD-13T0N4Wwa9ghUdvGQBM3=w408-h271-k-no,true,12 am–4 pm,Closed,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:07.426Z,,,
https://www.google.com/maps/place/Garage+Door+Fixer+LLC/data=!4m7!3m6!1s0x87d2845ce78fe13d:0xcbce63270b6d4cb9!8m2!3d34.669186!4d-92.357786!16s%2Fg%2F1vj5_r88!19sChIJPeGP51yE0ocRuUxtCydjzss,Garage Door Fixer LLC,5.0,120,Garage door supplier,"7201 Baseline Rd B, Little Rock, AR 72209, United States","MJ9R+MV Little Rock, Arkansas, USA",https://www.garagedoorfixer.com/,+1 501-626-1846,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipPSXBPqNnAiosbGWgVNzOMkjIDxWX49bAoHvS44=w408-h544-k-no,true,6 am–8 pm,6 am–2 pm,Closed,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:12.480Z,,,
https://www.google.com/maps/place/The+Garage+Door+Guy+Corp/data=!4m7!3m6!1s0x87d2afb808ec2ee3:0x7c0bd45af0a0a668!8m2!3d34.6306452!4d-92.322297!16s%2Fg%2F1yj4k3vd4!19sChIJ4y7sCLiv0ocRaKag8FrUC3w,The Garage Door Guy Corp,5.0,1908,Garage door supplier,"3325 Willow Springs Rd, Little Rock, AR 72206, United States","JMJH+73 Little Rock, Arkansas, USA",http://www.thegaragedoorguycorp.com/,+1 501-412-2475,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNNQOG78wuzaAvjziEKvfHkXPzOOTOww2ODvf83=w869-h240-k-no,true,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:17.500Z,,,
https://www.google.com/maps/place/Bulldog+Garage+Door+%7C+Repair+Garage+Door+%7C+Spring+Repair+%7C+Garage+Door+Panels/data=!4m7!3m6!1s0x87d2be1ee95cac9f:0x108c230bd144d61d!8m2!3d34.8386343!4d-92.2073249!16s%2Fg%2F1ptvwf3q6!19sChIJn6xc6R6-0ocRHdZE0QsjjBA,Bulldog Garage Door | Repair Garage Door | Spring Repair | Garage Door Panels,4.7,108,Garage door supplier,"103 Shady Grove Ln, Sherwood, AR 72120, United States","RQQV+F3 Sherwood, Arkansas, USA",http://www.bulldogoverheaddoor.com/,+1 501-541-6072,Closes soon ⋅ 5 pm ⋅ Opens 8 am Sat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwpovTJLC-h30AW_TDOzzO46QBuC3zougbxrgPAkbvafPNCEXXFT4WpWwo1E7tePDfDJ9sUFEGD2fEzV4T7ShV-GrKn8m0wRFYAoaIBHqw3uH2QhuKFZfGr4tkC9JFStyqxLDo=w408-h544-k-no,true,6 am–5 pm,8 am–2 pm,8 am–2 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:22.669Z,,LGBTQ+ friendly,
https://www.google.com/maps/place/Benton+County+Overhead+Doors/data=!4m7!3m6!1s0x87c9a30793ce6857:0xe8ae7dbbd02d7af7!8m2!3d36.1844312!4d-94.5410485!16s%2Fg%2F11sf0lpdxp!19sChIJV2jOkwejyYcR93ot0Lt9rug,Benton County Overhead Doors,5.0,40,Garage door supplier,"103 E Alpine St Suite 2, Siloam Springs, AR 72761, United States","5FM5+QH Siloam Springs, Arkansas, USA",http://www.bentoncountyoverheaddoors.com/,+1 479-427-8700,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOZWx8BvFQfdl8-NEp_k-erSDcwlUvaJ2LCpN2s=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:27.926Z,,,
https://www.google.com/maps/place/Home+Services+at+The+Home+Depot/data=!4m7!3m6!1s0x87cd5184f4c124d5:0xaa2f2b5ebbd39311!8m2!3d34.5782226!4d-92.5855542!16s%2Fg%2F11bwyppqrx!19sChIJ1STB9IRRzYcREZPTu14rL6o,Home Services at The Home Depot,3.7,10,Contractor,"17060, 17060 I-30, Benton, AR 72019, United States","HCH7+7Q Benton, Arkansas, USA",https://www.homedepot.com/l/Benton/AR/Benton/72019/1405/services?emt=HSGMBGoogleMaps,+1 844-476-2140,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipM8v-_RzEhCeSkkTDku2s4D4Qg3yaiPOuI-Lntq=w408-h272-k-no,true,6 am–9 pm,6 am–9 pm,8 am–8 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:32.906Z,,,
https://www.google.com/maps/place/Baxley%27s+Auto+Repair/data=!4m7!3m6!1s0x87cd51baf1156ca9:0x6696867f5f2363f2!8m2!3d34.6012541!4d-92.5888708!16s%2Fg%2F1263ttj6v!19sChIJqWwV8bpRzYcR8mMjX3-GlmY,Baxley's Auto Repair,4.5,131,Auto repair shop,"200 Longhills Rd W, Benton, AR 72019, United States","JC26+GF Benton, Arkansas, USA",https://baxleysautorepair.com/,+1 501-466-7483,Closes soon ⋅ 5 pm ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipO9n7bYh8nG-dpd_EEfy3mn8OK9hS20Md2Fte1l=w427-h240-k-no,true,7:30 am–5 pm,Closed,Closed,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,7:30 am–5:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:39.062Z,,,
https://www.google.com/maps/place/Action+Garage+Door+Services/data=!4m7!3m6!1s0x87d2b23562e8e909:0x101dd88f4f693f28!8m2!3d34.839044!4d-92.163071!16s%2Fg%2F1tp27th_!19sChIJCenoYjWy0ocRKD9pT4_YHRA,Action Garage Door Services,5.0,52,Garage door supplier,"10006 Warden Rd, Sherwood, AR 72120, United States","RRQP+JQ Sherwood, Arkansas, USA",https://www.actiongaragedoorar.com/,+1 501-888-3667,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPImadO_F3Q-L0Pe3iyKOs3Wuu3f7qFgD6cp5tZ=w426-h240-k-no,true,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:44.015Z,,,
"https://www.google.com/maps/place/Garage+Doors,+Parts+%26+More/data=!4m7!3m6!1s0x87d2978b239d9e6f:0xb084507a45ba8b3c!8m2!3d34.8087231!4d-92.2213224!16s%2Fg%2F11qmrb052j!19sChIJb56dI4uX0ocRPIu6RXpQhLA","Garage Doors, Parts & More",4.9,236,Garage door supplier,"816 Grosvenor Dr, Sherwood, AR 72120, United States","RQ5H+FF Sherwood, Arkansas, USA",https://garagedoorspartsmore.com/,+1 501-291-2644,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPCfmcWKW_n3yer-WCYZL_pyQwugSjBVpQGwCw=w426-h240-k-no,true,8 am–12 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:49.353Z,,,
https://www.google.com/maps/place/Golden+Foam+Solutions.+LLC./data=!4m7!3m6!1s0x87cd576816dfc4fd:0x158d1418cee7cf56!8m2!3d34.5528883!4d-92.599006!16s%2Fg%2F11n0sqqcz_!19sChIJ_cTfFmhXzYcRVs_nzhgUjRU,Golden Foam Solutions. LLC.,4.9,35,Contractor,"1217 River St, Benton, AR 72015, United States","HC32+59 Benton, Arkansas, USA",https://www.goldenfoamsolutions.com/,+1 501-722-8637,Closes soon ⋅ 5 pm ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IHlsUmxUsU0HdqHzzXKlrg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=329.34848&pitch=0&thumbfov=100,true,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:54.372Z,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Little+Rock/data=!4m7!3m6!1s0x87d2a2c1d91d490b:0x1eddfe159fe8b0d2!8m2!3d34.8147846!4d-92.3218946!16s%2Fg%2F1tg_xmgy!19sChIJC0kd2cGi0ocR0rDonxX-3R4,Overhead Door Company of Little Rock,4.8,190,Garage door supplier,"5303 Crystal Hill Rd, North Little Rock, AR 72118, United States","RM7H+W6 North Little Rock, Arkansas, USA",http://www.overheaddooroflittlerock.com/,+1 501-758-3505,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPyOvw25rhWHlkDMUUpSLorFVsFy85AL4QruARO=w426-h240-k-no,true,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:45:59.402Z,,,
https://www.google.com/maps/place/Habitat+For+Humanity+ReStore/data=!4m7!3m6!1s0x87cd522f4133820d:0xe0d37ae743d96748!8m2!3d34.5625762!4d-92.5879944!16s%2Fg%2F1w0r0fs8!19sChIJDYIzQS9SzYcRSGfZQ-d60-A,Habitat For Humanity ReStore,4.3,199,Thrift store,"122 S Market St, Benton, AR 72015, United States","HC76+2R Benton, Arkansas, USA",https://www.habitat.org/,+1 501-315-0011,Closes soon ⋅ 5 pm ⋅ Opens 9 am Sat,https://lh3.googleusercontent.com/p/AF1QipOfNL1QO6_tFGMmbup7nJf5xySt909hjBuA8NJW=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Benton+Benton+AR/@34.5693083,-92.585378,14z",2025-11-07T22:46:04.403Z,· In-store pick-up,,
