placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,attributes
https://www.google.com/maps/place/Blossom+Home+Care+-+York/data=!4m7!3m6!1s0x487947c02a28f2fd:0x105b38ee2580aa13!8m2!3d53.956984!4d-1.0671997!16s%2Fg%2F11g873ylg8!19sChIJ_fIoKsBHeUgRE6qAJe44WxA,Blossom Home Care - York,4.5,8,Home health care service,"Raylor Centre, James St, York YO10 3DW, United Kingdom","XW4M+Q4 York, UK",https://www.blossomhomecare.co.uk/locations/york,+44 1937 222166,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNBFtRxbAagNCMVtXHsoR_YgbJxtPssh9E0Qmgg=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:20:39.027Z,,
https://www.google.com/maps/place/Carefound+Home+Care+%28York%29/data=!4m7!3m6!1s0x48793129eae03d39:0xe9da5abb483b7919!8m2!3d53.9511505!4d-1.075523!16s%2Fg%2F11jsf50705!19sChIJOT3g6ikxeUgRGXk7SLta2uk,Carefound Home Care (York),5.0,3,Home health care service,"Suite 11, Tower House, Fishergate, York YO10 4UA, United Kingdom","XW2F+FQ York, UK",http://www.carefound.co.uk/york/,+44 1904 215920,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipPmM7G2bsGRXqh26M-moyWam_kML96-Fgv3cl4V=w408-h262-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:20:45.453Z,,
https://www.google.com/maps/place/ERA+Homecare/data=!4m7!3m6!1s0x487931aeb2d54861:0x693fa8d681921c0d!8m2!3d53.9557408!4d-1.0811176!16s%2Fg%2F1tg_8_kb!19sChIJYUjVsq4xeUgRDRySgdaoP2k,ERA Homecare,5.0,1,Home health care service,"9-10 Tower St, York YO1 9SA, United Kingdom","XW49+7H York, UK",,+44 1904 622322,Closed ⋅ Opens 9 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RSTI0lI_harMKV4Ap8qqJg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=252.61179&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:20:50.486Z,,
https://www.google.com/maps/place/Heritage+Healthcare/data=!4m7!3m6!1s0x4879317b118710b3:0x8e8810cfdc6cc0d0!8m2!3d53.9808844!4d-1.098983!16s%2Fg%2F12cpp6g91!19sChIJsxCHEXsxeUgR0MBs3M8QiI4,Heritage Healthcare,5.0,1,Home health care service,"3, Green Lane Trading Estate, Devonshire Ct, York YO30 5PQ, United Kingdom","XWJ2+9C Rawcliffe, York, UK",http://www.heritagehealthcare.co.uk/,+44 1904 691000,Closed ⋅ Opens 9 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nJJuh4pr82In5Q-FBt1I5Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=72.65763&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:20:55.271Z,,
https://www.google.com/maps/place/Minster+Home+Care/data=!4m7!3m6!1s0x4879310a2bd56857:0xdd0d6eb6dd68bd84!8m2!3d53.986615!4d-1.0984286!16s%2Fg%2F11qn82f9ql!19sChIJV2jVKwoxeUgRhL1o3bZuDd0,Minster Home Care,4.5,8,Home health care service,"2, Chessingham Court, York YO30 4WQ, United Kingdom","XWP2+JJ Rawcliffe, York, UK",https://minsterhomecare.co.uk/,+44 1904 929080,Open ⋅ Closes 10 pm,https://lh3.googleusercontent.com/p/AF1QipMnhxLTc7WW_cnmaiiqdyv5rXmjq9Iwc767iTOu=w408-h544-k-no,true,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:00.230Z,,
https://www.google.com/maps/place/Support+Solutions/data=!4m7!3m6!1s0x487931b1586b0421:0x9c79fe77545a5f58!8m2!3d53.9559384!4d-1.0732543!16s%2Fg%2F11h4d6mlck!19sChIJIQRrWLExeUgRWF9aVHf-eZw,Support Solutions,4.5,2,Home health care service,"99 Walmgate, York YO1 9UA, United Kingdom","XW4G+9M York, UK",http://www.supportsolutions.care/,+44 1904 236376,Closed ⋅ Opens 9 am Thu,https://lh3.googleusercontent.com/p/AF1QipPGtyLnKfdkwXWMjvAF_F9-8hLraNT6xoCa_aZ-=w630-h240-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,Closed,Closed,9 am–5:30 pm,9 am–5:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:05.318Z,,
https://www.google.com/maps/place/Bluebird+Care+York/data=!4m7!3m6!1s0x4879317d21c0437d:0xe5380e3d7121acf1!8m2!3d53.9808839!4d-1.0989831!16s%2Fg%2F1tmbvmtf!19sChIJfUPAIX0xeUgR8awhcT0OOOU,Bluebird Care York,4.0,8,Home health care service,"Green Lane Trading Estate, 8 Devonshire Ct, York YO30 5PQ, United Kingdom","XWJ2+9C Rawcliffe, York, UK",https://www.bluebirdcare.co.uk/york?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,+44 1904 691992,Closed ⋅ Opens 8:30 am Thu,https://lh3.googleusercontent.com/p/AF1QipMd0n04W1WfuCYZKNFSbHTjX5sfT4iwALAf8gdO=w408-h272-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:10.461Z,,
https://www.google.com/maps/place/Elite+Community+Care/data=!4m7!3m6!1s0x63589dead841e8b5:0xbebc7b3ed36031e2!8m2!3d53.9857205!4d-1.1005084!16s%2Fg%2F11tctwn6vy!19sChIJtehB2OqdWGMR4jFg0z57vL4,Elite Community Care,5.0,1,Home health care service,"Coverdale Suite, Regus, Tower Ct, Oakdale Rd, York YO30 4XL, United Kingdom","XVPX+7Q Rawcliffe, York, UK",http://www.elitecommunity.co.uk/,+44 1904 557629,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N3Y4Q-03PmsW_Jt_91xpmQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=213.11604&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:15.563Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Home+Instead+York+%7C+Home+Care+%26+Live-in+Care/data=!4m7!3m6!1s0x4879317cd2ba8a6f:0x6c969bdfb3d65b72!8m2!3d53.9862425!4d-1.1006226!16s%2Fg%2F1vcl38lx!19sChIJb4q60nwxeUgRclvWs9-blmw,Home Instead York | Home Care & Live-in Care,5.0,12,Home health care service,"Clifton Moor Business Village, 10, James Nicolson Link, York YO30 4XG, United Kingdom","XVPX+FQ Rawcliffe, York, UK",https://www.homeinstead.co.uk/york/?agency=growth-alliance&division=client&office=t011-york&utm_content=v1&utm_id=202508050952&utm_medium=google-my-business&utm_source=google,+44 1904 690884,Closed ⋅ Opens 8:30 am Thu,https://lh3.googleusercontent.com/p/AF1QipPwyn05GbzA2rqmdBF7wwJOvsbDJFML9r2Lr_T1=w433-h240-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,9 am–5 pm,9 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:20.568Z,,
https://www.google.com/maps/place/Stonegate+Medical+Clinic/data=!4m7!3m6!1s0x487931a61616b029:0x4b11c4d6d8c3e8d9!8m2!3d53.9609504!4d-1.0830615!16s%2Fg%2F11cly42nz8!19sChIJKbAWFqYxeUgR2ejD2NbEEUs,Stonegate Medical Clinic,4.9,109,Doctor,"23 Stonegate, York YO1 8AW, United Kingdom","XW68+9Q York, UK",http://www.stonegatemedical.co.uk/,+44 1904 631815,"Closed ⋅ Opens 8:30 am Thu

Updated by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOmdONT5RDFFiMNd-bCoyvDBHYzNPTdhcrwjUpf=w408-h272-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,Closed,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:25.473Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Radfield+Home+Care+York+%26+Rural/data=!4m7!3m6!1s0x4879315b2fa8a26f:0x2f50c712fcf5ee95!8m2!3d53.9911944!4d-1.0963147!16s%2Fg%2F11p5xcjds8!19sChIJb6KoL1sxeUgRle71_BLHUC8,Radfield Home Care York & Rural,5.0,36,Home health care service,"5 Audax Cl, York YO30 4RB, United Kingdom","XWR3+FF Rawcliffe, York, UK",https://www.radfieldhomecare.co.uk/242/about-us?utm_source=G&utm_medium=local&utm_campaign=google-local,+44 1904 530118,Closes soon ⋅ 8 pm ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipMHJbn-_A4zSW9p9jie0tAI605amtW5j6Vc0Y7j=w426-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,9 am–6 pm,10:30 am–4 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:30.655Z,LGBTQ+ friendly,
https://www.google.com/maps/place/Helping+Hands+Home+Care+York/data=!4m7!3m6!1s0x48793125cbae70bb:0xa2223eee3214f69e!8m2!3d53.9554749!4d-1.1241403!16s%2Fg%2F11g8p0t889!19sChIJu3CuyyUxeUgRnvYUMu4-IqI,Helping Hands Home Care York,5.0,14,Home health care service,"Odsal House, 6 Front St, Acomb, York YO24 3BL, United Kingdom","XV4G+58 York, UK",https://www.helpinghandshomecare.co.uk/our-locations/york/?utm_source=googlemaps&utm_medium=organic&utm_campaign=maplistingYork,+44 1904 569474,,https://lh3.googleusercontent.com/p/AF1QipO3GY2th6X05pRMLSHWD-bl87MhZadmravpo3Lp=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:35.745Z,,
https://www.google.com/maps/place/Human+Support+Group+-+York/data=!4m7!3m6!1s0x4879315b589819cd:0x205cdded9e9a75be!8m2!3d53.9767444!4d-1.1121814!16s%2Fg%2F11fpzmt4pm!19sChIJzRmYWFsxeUgRvnWanu3dXCA,Human Support Group - York,5.0,3,Aged care,"Ground Floor, Block A, Clifton Park Ave, York YO30 5PB, United Kingdom","XVGQ+M4 Rawcliffe, York, UK",https://www.humansupportgroup.co.uk/,+44 1904 202116,Closed ⋅ Opens 9 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bWEDhW_GA4asOBc6ChE8-A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=296.56378&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:40.723Z,,
https://www.google.com/maps/place/Allot+Health+Care+Service/data=!4m7!3m6!1s0x4879310a7154c775:0xb9318ae8d052d394!8m2!3d53.9869427!4d-1.0985363!16s%2Fg%2F11c6y_x0ml!19sChIJdcdUcQoxeUgRlNNS0OiKMbk,Allot Health Care Service,3.0,16,Home health care service,"5 George Cayley Dr, York YO30 4XE, United Kingdom","XWP2+QH Rawcliffe, York, UK",https://www.allothcs.co.uk/,+44 1904 565525,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/p/AF1QipMYQLbLmI13zyE_1k3YEoftXBZtzuE7SFufcYIw=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:45.720Z,,
https://www.google.com/maps/place/Bronte+House+-+Home+Care+Service+York/data=!4m7!3m6!1s0xa328ee30748eb53d:0x923675a79e24c25c!8m2!3d53.9520519!4d-1.0837679!16s%2Fg%2F11lmdxc7xt!19sChIJPbWOdDDuKKMRXMIknqd1NpI,Bronte House - Home Care Service York,,,Home health care service,"13 Darnborough St, York YO23 1AU, United Kingdom","XW28+RF York, UK",https://www.brontehousegroup.co.uk/,+44 1904 236838,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNxF3ToEK_od7agp00293pt3tflBXUKIFHXw1dS=w408-h612-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:50.600Z,Identifies as women-owned,
https://www.google.com/maps/place/Home+Care+York/data=!4m7!3m6!1s0x6aa753eb4136c913:0x9ea09433c34748e0!8m2!3d53.9685382!4d-1.0557913!16s%2Fg%2F11q84v77vn!19sChIJE8k2QetTp2oR4EhHwzOUoJ4,Home Care York,,,Home help,"12 Hempland Ave, Heworth, York YO31 1DE, United Kingdom","XW9V+CM York, UK",http://www.homecareyork.co.uk/,+44 7811 313850,Open ⋅ Closes 10 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HlMcQit_tzGTNcQJekj3WQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=338.9091&pitch=0&thumbfov=100,false,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10:30 pm,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:55.655Z,,
https://www.google.com/maps/place/Devon+Home+Care+Services/data=!4m7!3m6!1s0x487931a2528baaab:0x1e05fbbf65aba62a!8m2!3d53.9685204!4d-1.0789542!16s%2Fg%2F11khz5171k!19sChIJq6qLUqIxeUgRKqarZb_7BR4,Devon Home Care Services,,,Home health care service,"12 Markham St, York YO31 8NR, United Kingdom","XW9C+CC York, UK",https://devonhomecareservices.com/location/,+44 7879 736734,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Asi02yfu0RhQlpX3cselmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=215.14822&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Home+Health+clinics+in+York+York+UK/@53.9614205,-1.0739108,14z",2025-09-10T18:21:58.529Z,,
