placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/McAlister+Management/data=!4m7!3m6!1s0x88fe70e2235b126d:0xa0ba33b846bad42a!8m2!3d32.7870204!4d-79.8762002!16s%2Fg%2F11ghr0xpzv!19sChIJbRJbI-Jw_ogRKtS6RrgzuqA,McAlister Management,4.5,16,Property management company,"106 Pitt St, Mt Pleasant, SC 29464, United States","Q4PF+RG Mt Pleasant, South Carolina, USA",http://www.mcalisterdevelopment.com/,+1 843-212-6422,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CtQhg7B8rwU1fG_GzQFwEg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=53.5177&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:01:30.402Z,,,
https://www.google.com/maps/place/Sand+Dollar+Real+Estate+Group/data=!4m7!3m6!1s0x88fe715112da85bb:0x12d4c0470507a68c!8m2!3d32.7623437!4d-79.8370356!16s%2Fg%2F1tdb9psm!19sChIJu4XaElFx_ogRjKYHBUfA1BI,Sand Dollar Real Estate Group,5.0,3,Real estate agency,"2205 Middle St #203, Sullivan's Island, SC 29482, United States","Q567+W5 Sullivan's Island, South Carolina, USA",http://sanddollarrealestategroup.com/,+1 843-530-8100,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrj33AgCoX353t3PJgP4zaCmN_Ju7y_9mpTTEe0Xl9Zl8X_T5shIhg2Gi-H8naI67nYkGbC5gvw8DN-zmAV0TSJkBdbvJAPaw56-GXsY4q4ldFLIRjZXvbdsnfgL1HrWIYjZr6w=w408-h541-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:01:35.551Z,,,
https://www.google.com/maps/place/Carroll+Realty+Inc./data=!4m7!3m6!1s0x88fe73c052b15f7b:0xd70218c73cf56f98!8m2!3d32.7775915!4d-79.8099972!16s%2Fg%2F1tj9784n!19sChIJe1-xUsBz_ogRmG_1PMcYAtc,Carroll Realty Inc.,4.6,189,Vacation home rental agency,"103 Palm Blvd Suite 1A, Isle of Palms, SC 29451, United States","Q5HR+22 Isle of Palms, South Carolina, USA",https://www.carrollrealtyinc.com/,+1 843-886-9600,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOVqndfT91xvsitDNenrGUXJI2FztOmggznNiPe=w433-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–2 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:01:40.065Z,,,
"https://www.google.com/maps/place/Nautilus+Home+Management,+LLC/data=!4m7!3m6!1s0x88fe71b1cadf8425:0x857c72bc9e93bad4!8m2!3d32.7944676!4d-79.8830141!16s%2Fg%2F1tf36tl_!19sChIJJYTfyrFx_ogR1LqTnrxyfIU","Nautilus Home Management, LLC",5.0,1,Property maintenance,"465 W Coleman Blvd Suite 101, Mt Pleasant, SC 29464, United States","Q4V8+QQ Mt Pleasant, South Carolina, USA",http://www.nautilusco.com/,+1 843-647-6224,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOV4pP3phnP50tF-LoeSiR5ynBuP6FvdCqmYOrD=w408-h268-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:01:44.545Z,,,
https://www.google.com/maps/place/William+Douglas+Management/data=!4m7!3m6!1s0x88fe7b716c55bd3f:0x49b7c4ce46486af!8m2!3d32.8204364!4d-79.9939842!16s%2Fg%2F1hc0sg9f4!19sChIJP71VbHF7_ogRr4Zk5Ex8mwQ,William Douglas Management,4.0,153,Property management company,"3 Gamecock Ave, Charleston, SC 29407, United States","R2C4+5C Charleston, South Carolina, USA",https://wmdouglas.com/charleston-hoa-management/,+1 843-225-7770,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPu6Etl4wt1rsldJeB9vG09qWrLH-HyjlgcFgQB=w408-h306-k-no,true,9 am–5 pm,9 am–3 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:01:49.148Z,,,
"https://www.google.com/maps/place/Poston+Community+Management,+Inc./data=!4m7!3m6!1s0x88fe7a6cd7840187:0x1959e63539bf4ff4!8m2!3d32.7988767!4d-79.9520547!16s%2Fg%2F1tdp5xbp!19sChIJhwGE12x6_ogR9E-_OTXmWRk","Poston Community Management, Inc.",2.7,75,Property management company,"635 Rutledge Ave #105, Charleston, SC 29403, United States","Q2XX+H5 Charleston, South Carolina, USA",https://www.postoncm.com/,+1 843-853-5300,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrobIAosXONKhnaL_oIAhr9Jemt7VaauUAcxVlHaB_Mjrvn3XBIX3tPNAZtDSNtIO8fL3WTv5ZANBSrM7WdfIpPNKew5ytqWuen0xwxIwo67DEmZ7rNcY5CCwXnpbbgJhvYPWI=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:01:53.909Z,,,
https://www.google.com/maps/place/Wilder+Property+Management-+Charleston/data=!4m7!3m6!1s0x88fe7197f48d10c7:0x4c3d4effb79bdb74!8m2!3d32.7910505!4d-79.8808186!16s%2Fg%2F11jfhjrgzy!19sChIJxxCN9Jdx_ogRdNubt_9OPUw,Wilder Property Management- Charleston,3.7,3,Property management company,"103 Church St, Mt Pleasant, SC 29464, United States","Q4R9+CM Mt Pleasant, South Carolina, USA",http://www.livelovesc.com/,+1 843-518-0412,Open ⋅ Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oVac0kmrewAa85HOZBWVfA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=192.59361&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:01:58.576Z,,,
https://www.google.com/maps/place/Property+Management+Services/data=!4m7!3m6!1s0x88fe710c24d179c1:0xb5d9b77c9d421fe4!8m2!3d32.7940943!4d-79.8569054!16s%2Fg%2F1thxly43!19sChIJwXnRJAxx_ogR5B9CnXy32bU,Property Management Services,3.2,22,Property management company,"1340 Ben Sawyer Blvd, Mt Pleasant, SC 29464, United States","Q4VV+J6 Mt Pleasant, South Carolina, USA",http://charlestonpms.com/,+1 843-881-5459,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GCxzewgSEjgyN3nySAW42w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=24.314064&pitch=0&thumbfov=100,false,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:02:03.154Z,,,
https://www.google.com/maps/place/Pelican+Properties/data=!4m7!3m6!1s0x88fe7172f29dbabd:0xa6e6235094fe0a2!8m2!3d32.7913198!4d-79.8499594!16s%2Fg%2F11dyxbdl0z!19sChIJvbqd8nJx_ogRouBPCTVibgo,Pelican Properties,3.7,32,Property management company,"1481 Center St Ext, Mt Pleasant, SC 29464, United States","Q5R2+G2 Mt Pleasant, South Carolina, USA",http://pelicanpropertiessc.com/,+1 843-452-9952,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipOE-uC46zBuuZvYqC_c_HiuBgxMkybrFwqVZEzf=w408-h305-k-no,true,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:02:08.009Z,Identifies as women-owned,,
https://www.google.com/maps/place/Keyrenter+Charleston+Property+Management/data=!4m7!3m6!1s0x88fe7148b50e90b9:0xccc09519b2ae8bf9!8m2!3d32.8259679!4d-79.8495828!16s%2Fg%2F11wvd85120!19sChIJuZAOtUhx_ogR-YuushmVwMw,Keyrenter Charleston Property Management,5.0,43,Property management company,"1514 Mathis Ferry Rd, Mt Pleasant, SC 29464, United States","R5G2+95 Mt Pleasant, South Carolina, USA",https://keyrentercharleston.com/,+1 843-547-2700,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOtXdUeWM1xf34iCvsUWo5SW2wWwHl3pf9ovdSs=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,10 am–2 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sullivan's+Island+Charleston+SC/@32.7629024,-79.8362471,14z",2025-09-25T17:02:12.856Z,,,
