placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,error
https://www.google.com/maps/place/Parkview+Hospice/data=!4m7!3m6!1s0x8815e4ab3ae1a00b:0x693251dd10c62ea4!8m2!3d41.0937855!4d-85.107167!16s%2Fg%2F1td012m0!19sChIJC6DhOqvkFYgRpC7GEN1RMmk,Parkview Hospice,3.8,20,Medical clinic,"1900 Carew St Unit 6, Fort Wayne, IN 46805, United States","3VVV+G4 Fort Wayne, Indiana, USA",https://www.parkview.com/medical-services/home-health-hospice/hospice-care?y_source=1_MjkwNDEwMjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 260-373-9800,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nru53RnFSZ2RhfsSO_-sKU9htLt6HmwwfVAFop1jEU1KwsvpeqY_JPLfS33URnVsfEUb3GtdIB7nQinG_qnzsc6Bm7jud0qCqPkTqoVjd3Z2r3cMFaulBMyOTfvB_Vvse-RdgKmsg=w408-h306-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:44:42.201Z,,,,,,,,,
https://www.google.com/maps/place/Anew+Hospice/data=!4m7!3m6!1s0x8815e7a3cb32744d:0x91b7723a8668d8d5!8m2!3d41.0366616!4d-85.2410679!16s%2Fg%2F11w_jpj7tj!19sChIJTXQyy6PnFYgR1dhohjpyt5E,Anew Hospice,5.0,12,Hospice,"7833 W Jefferson Blvd, Fort Wayne, IN 46804, United States","2QP5+MH Fort Wayne, Indiana, USA",https://www.anewhosp.com/,+1 866-282-6090,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ho-FTR_6WeeJ5v6h20I8OQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=146.76299&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:44:47.876Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Heartland+Hospice/data=!4m7!3m6!1s0x8815e35c3e207171:0xa944f1d83bf3bcdf!8m2!3d41.1710267!4d-85.107982!16s%2Fg%2F11rd9fcc6n!19sChIJcXEgPlzjFYgR37zzO9jxRKk,Heartland Hospice,4.6,30,Hospice,"2720 Dupont Commerce Ct #210, Fort Wayne, IN 46825, United States","5VCR+CR Fort Wayne, Indiana, USA",http://heartlandhospice.com/,+1 260-484-7622,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPuYMpRLYoXYFlk2cxPBMOt6mxvg5zDypyVAQ0i=w426-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:44:52.636Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Parkview+Physicians+Group+-+Palliative+Care/data=!4m7!3m6!1s0x881607e366c1b4df:0xc531e3a48f75ae61!8m2!3d41.1860508!4d-85.1021816!16s%2Fg%2F11c20dgx85!19sChIJ37TBZuMHFogRYa51j6TjMcU,Parkview Physicians Group - Palliative Care,4.7,3,Medical clinic,"11104 Parkview Cir Ste 430, Fort Wayne, IN 46845, United States","5VPX+C4 Fort Wayne, Indiana, USA",https://www.parkview.com/medical-services/home-health-hospice/palliative-care?y_source=1_MjkwNDEyODUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 260-266-2500,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xN_oJmRi4Ei9m3CJFLDsEw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=81.22847&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:44:55.874Z,,,,,,,,,
https://www.google.com/maps/place/Luminary+Hospice+-+Fort+Wayne/data=!4m7!3m6!1s0x8815e34688918015:0xabd9423a4bd67db7!8m2!3d41.1478038!4d-85.1343734!16s%2Fg%2F11xctk6327!19sChIJFYCRiEbjFYgRt33WSzpC2as,Luminary Hospice - Fort Wayne,,,Hospice,"421 E Cook Rd # 400, Fort Wayne, IN 46825, United States","4VX8+47 Fort Wayne, Indiana, USA",https://www.luminaryhospice.com/,+1 260-267-7668,,https://lh3.googleusercontent.com/p/AF1QipOEOHNXDU1KA6fctTTGxakgtGXXVYh53xRJddw=w408-h408-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:45:00.550Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Paradigm+Health+Hospice+%26+Palliative+Care/data=!4m7!3m6!1s0x8815e3942bde4e63:0x189d0d7606ebdb54!8m2!3d41.1745087!4d-85.1646998!16s%2Fg%2F11y7krmtc1!19sChIJY07eK5TjFYgRVNvrBnYNnRg,Paradigm Health Hospice & Palliative Care,5.0,3,Hospice,"10020 Lima Rd Suite D, Fort Wayne, IN 46818, United States","5RFP+R4 Fort Wayne, Indiana, USA",https://www.myparadigmhealth.com/,+1 260-247-6500,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NSZM0o5c3QJQ0bdaBtkhsQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.08632&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:45:05.244Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,
https://www.google.com/maps/place/Elara+Caring/data=!4m7!3m6!1s0x8815e71cf1cace4f:0x1c8daa51f328abac!8m2!3d41.073968!4d-85.234241!16s%2Fg%2F11c5t22wx_!19sChIJT87K8RznFYgRrKso81GqjRw,Elara Caring,3.0,18,Home health care service,"7030 Pointe Inverness Way #230, Fort Wayne, IN 46804, United States","3QF8+H8 Fort Wayne, Indiana, USA",https://elara.com/locations/fort-wayne-in/,+1 866-437-7770,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMljblNXsMwIQDScnsJnUYyNZhIO4XIGD1-bATT=w408-h408-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:45:10.224Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
"https://www.google.com/maps/place/Elara+Caring/@41.1063262,-85.0928542,17z/data=!3m1!4b1!4m6!3m5!1s0x8815fde363ea426d:0x8c878b14ff6462dc!8m2!3d41.1063262!4d-85.0928542!16s%2Fg%2F11y74zp7c5",Elara Caring,,,Home health care service,"3400 E Coliseum Blvd Suite 100, Fort Wayne, IN 46805, United States","4W44+GV Fort Wayne, Indiana, USA",https://elara.com/locations/fort-wayne-in/,+1 260-209-6768,Open 24 hours,,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:45:16.850Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Sunshine+Home+Care+Services/data=!4m7!3m6!1s0x8815e4f34ce346f1:0x885ee945f7349c65!8m2!3d41.0764962!4d-85.1354257!16s%2Fg%2F11bcclx8fb!19sChIJ8UbjTPPkFYgRZZw090XpXog,Sunshine Home Care Services,3.8,25,Home health care service,"302 E Jefferson Blvd, Fort Wayne, IN 46802, United States","3VG7+HR Fort Wayne, Indiana, USA",http://www.sunshinehomecarefw.com/,+1 260-483-6878,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqUtdyw-AjlsRAri2c_Y6UO9O66WkiMSjdeeU5Kgeep7Q0S6pQjj42mgIKvUvf5xkx-4wgDiNulagsBt9IYPDRVaiNWOz95TEOZRKCiR_hqZVcxwRaT025Pfnll-x8Wvr_tmUjU=w408-h544-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:45:21.955Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,,
https://www.google.com/maps/place/Parkview+Hospital+Randallia/data=!4m7!3m6!1s0x8815e4aa429d06b7:0xfde80693eb6b74e7!8m2!3d41.0956783!4d-85.109755!16s%2Fm%2F03mhx8r!19sChIJtwadQqrkFYgR53Rr65MG6P0,Parkview Hospital Randallia,2.8,336,Hospital,"2200 Randallia Dr, Fort Wayne, IN 46805, United States","3VWR+73 Fort Wayne, Indiana, USA",https://www.parkview.com/locations/parkview-hospital-randallia?y_source=1_MjkwNDEwMjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 260-373-4000,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noESDhvAc6JyeYn9BePxiYQJhUtVxOuwRM6ubZ1FtD12G50NkjDu4I3zFsvgMuwitoBos4gVLkcl0l1NdEIvLm0y9AyBhHTEM-1fHWl_GONQiStAO5_XiUtcF1-s6DWVVPHbbO9=w408-h306-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Downtown+Fort+Wayne+Fort+Wayne+IN/@41.0794759,-85.1362929,14z",2025-09-17T23:45:24.977Z,,,,,,,,,
