placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,isBlackOwned,attributes
https://www.google.com/maps/place/Excellent+Landscaping+Llc/data=!4m7!3m6!1s0x89c255b349a53151:0xd19d3381ec712768!8m2!3d40.7800703!4d-74.1545719!16s%2Fg%2F11bw7czst9!19sChIJUTGlSbNVwokRaCdx7IEzndE,Excellent Landscaping Llc,4.3,138,Landscaper,"11 E Sylvan Ave, Newark, NJ 07104, United States","QRJW+25 Newark, New Jersey, USA",https://www.excellentlandscapingllc.com/,+1 862-424-1401,,Identifies as Latino-owned,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRvFeeGxMzdxyxTjqfVDefbN6x0Lx9kRKGReXtWzwPm440BNUD968xljMlJnEUC_aav4ITTwRVrJz3jQwzAj5nlpHZqoAbgEYiY9z09P4RZv3xgmO48x7BxHWIlZlJU5OSUJFTXRk7r20=w408-h306-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:32:27.987Z,,,,,,,,,
https://www.google.com/maps/place/HonMex+Landscaping/data=!4m7!3m6!1s0x6ab65c4ebaebd013:0x83dcbad50a540350!8m2!3d40.7639393!4d-74.1908661!16s%2Fg%2F11s0ps5vvw!19sChIJE9Druk5ctmoRUANUCtW63IM,HonMex Landscaping,5.0,13,Landscape designer,"206 N 12th St, Newark, NJ 07107, United States","QR75+HM Newark, New Jersey, USA",,+1 973-336-2602,Closed · Opens 7 am Thu,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFQ1QYAazeOUMeHwPAvlBOKqnRwVXKx2rJvKVUupe03uRyqr_I62yzf1sTI6dO0ZqaMUzDwLTP28Kh08okuaW4wxTCu3Vvblc4lrOMnAmoXgPqS2JbOy7yDqBpFF_OQmTmM-QUg=w426-h240-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:32:34.096Z,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–4 pm,Closed,7 am–5 pm,7 am–5 pm,,
https://www.google.com/maps/place/Newstar+Landscaping+Contracting/data=!4m7!3m6!1s0x7a00d8de6926fb5:0x86f90ba40c3c15e1!8m2!3d40.887852!4d-74.1355184!16s%2Fg%2F11lnhqty46!19sChIJtW-S5o0NoAcR4RU8DKQL-YY,Newstar Landscaping Contracting,5.0,12,Landscaper,,,https://newstarlc.com/,+1 973-980-1135,Closes soon · 6 pm · Opens 7:30 am Thu,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAENsCEgwNRQpor2mOwkFeuGqmULEOh4gIwQXo2uFh0eKvl2gSPpgfn3hW7p5px086uAj40Ilu2M3WrbLi9P-k9bS4s5sUAM8Ey439rYbzlEP6pd4dmNN5pUhmIncbcBulljqRybE_X-Knve=w408-h299-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:32:38.886Z,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,Closed,7:30 am–6 pm,7:30 am–6 pm,,
https://www.google.com/maps/place/United+landscaping+cleaning+management+services/data=!4m7!3m6!1s0x89c3ad78c5b65df5:0x5f975370b1950611!8m2!3d40.7285506!4d-74.2118222!16s%2Fg%2F11l0mc4hpf!19sChIJ9V22xXitw4kREQaVsXBTl18,United landscaping cleaning management services,4.8,5,Landscape designer,"784 S 17th St, Newark, NJ 07103, United States","PQHQ+C7 Newark, New Jersey, USA",,+1 973-336-6445,Open · Closes 7:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGPrPxsAEwViU6VSdINHDcSk5gSOsxL8uSr_pcwlaR75V-bvBannMbto_wXlOLMJDpFkefb6jfn8CcLDiTSYCMYAMqoZePkKFl1iwTDeN1dT9xpnSEeqcombulrwdll22TVeCa7dWWcJgMH=w408-h544-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:32:43.685Z,7 am–7:30 pm,7 am–7 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,8 am–5:30 am,7 am–7 pm,,
https://www.google.com/maps/place/Patrick+Landscaping+%26+Construction/data=!4m7!3m6!1s0x89c254911301f823:0xec53cbe4726333e!8m2!3d40.7578381!4d-74.1867701!16s%2Fg%2F1tg6wlyy!19sChIJI_gBE5FUwokRPjMmR748xQ4,Patrick Landscaping & Construction,4.2,5,Landscaper,"284 N 5th St, Newark, NJ 07107, United States","QR57+47 Newark, New Jersey, USA",,+1 973-497-9480,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_xIzvun130_H668om1V56xSjDT3tqj3WHlbD77rENKB8ifgnmFtYTZQwqqHPh1g45p73xN4iAc5Wnd0TvfnW2tMX6MUJpdJBDzENePBcf4JGtc1Q_7yX7M516Pu_hR5DNyovJzw=w408-h544-k-no,false,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:32:48.412Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Copacabana+Landscaping/data=!4m7!3m6!1s0x89c254417f551325:0x6ed058728dc2d726!8m2!3d40.7617645!4d-74.1531083!16s%2Fg%2F1tpc8wq0!19sChIJJRNVf0FUwokRJtfCjXJY0G4,Copacabana Landscaping,3.5,18,Landscaper,"258 Highland Ave, Kearny, NJ 07032, United States","QR6W+PQ Kearny, New Jersey, USA",http://www.copacabanalandscaping.com/,+1 201-997-9271,Open · Closes 7 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdpweLHXH6j7uPWY5LICaNgCd8x4mHsHpgxVbWFHEeRVWrsXBjqXLoy6AjavTWfifvmuY0dtkhAJM5SxA_s939xCBkGDLG6EfMY4teyhf00ot7P0O2EJatdv9_0Yzpc1Aj5kY=w408-h543-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:32:53.401Z,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,7 am–7 pm,7 am–7 pm,,
https://www.google.com/maps/place/A%26M+Landscape+and+Construction+LLC/data=!4m7!3m6!1s0x89c2539110fc0cc1:0x3c85854f7b9a0e4f!8m2!3d40.7404812!4d-74.1958778!16s%2Fg%2F11h0thx45y!19sChIJwQz8EJFTwokRTw6ae0-FhTw,A&M Landscape and Construction LLC,2.3,3,Landscaper,"199 Littleton Ave, Newark, NJ 07103, United States","PRR3+5J Newark, New Jersey, USA",,+1 973-380-4034,Closes soon · 6 pm · Opens 7 am Thu,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHXTzTzeECiGK-M_5-IWH5KcILuWdsyK6OHuP99zenDO5hu3NGGduaxDN-ijlIdpaZTHlIlD88QLvUcR4P_RTZBUDWfGruUPrZu7AO1ol53q1p2iTYY7MWhUXnNgDBX-w8u5F0=w428-h240-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:32:58.284Z,7 am–6 pm,7 am–6 pm,7 am–6 pm,8 am–4 pm,Closed,7 am–6 pm,7 am–6 pm,,
https://www.google.com/maps/place/Leroy%27s+Landscaping/data=!4m7!3m6!1s0x89c3aca500000001:0xc3eed0643d5310f8!8m2!3d40.7433005!4d-74.2327052!16s%2Fg%2F1td395l0!19sChIJAQAAAKWsw4kR-BBTPWTQ7sM,Leroy's Landscaping,,,Landscaper,"Newark, NJ 07106, United States","PQV8+8W Newark, New Jersey, USA",,+1 973-374-4648,Open · Closes 7 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=03TIlI8qYpXen1j_wuV57g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=278.8622&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:33:02.879Z,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–5 pm,9 am–7 pm,9 am–7 pm,,
https://www.google.com/maps/place/Lotus+Puzzle+Landscaping/data=!4m7!3m6!1s0x89c2558b9c676d5f:0xc96935589075b963!8m2!3d40.7695894!4d-74.1439736!16s%2Fg%2F11sjt621sk!19sChIJX21nnItVwokRY7l1kFg1ack,Lotus Puzzle Landscaping,5.0,5,Landscaper,"120 Beech St, Kearny, NJ 07032, United States","QV94+RC Kearny, New Jersey, USA",http://www.lotuspuzzle.com/,+1 908-656-7511,Closed · Opens 9 am Thu,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGXabJfcGrUzH7oGVK7clmnYhtsiWAdmTVlaWUB8uyCHwjk_AR3_z6O7VmI80rEh0i1hhE6kjLcaEa4hY23LV71msfpAG5TDARSNloy0ebaE2ZD_QcaEwWKJmcAcAKK_6iLTqT3-g=w470-h240-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:33:07.622Z,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,,
https://www.google.com/maps/place/JG+Landscape/data=!4m7!3m6!1s0x6a11243a7ed521eb:0x5ab7678c8786a37f!8m2!3d32.8866354!4d-117.10776!16s%2Fg%2F11md138h3k!19sChIJ6yHVfjokEWoRf6OGh4xnt1o,JG Landscape,5.0,11,Landscape designer,,,http://jglandscapeca.net/,+1 760-500-4683,Open · Closes 5 pm,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEY1A7wPeTojD7IYI5VKk-S0rZgGEgkI1-HQie6racBT25reBIWm_CHcIZ3KecSKPDgIDe1cBKwlWy2m5kNo_cZOuAbCTy1LrT3z5b-1ZMQ1CxGYJL6LVM60z4uAjLmm6-KpJd9Q6Bts_UM=w408-h306-k-no,true,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-04-29T21:33:12.343Z,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,7 am–5 pm,7 am–5 pm,,
