placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,error
https://www.google.com/maps/place/Daysi+Jacobson/data=!4m7!3m6!1s0x88e437c9f4c6e72d:0x7823a4d35c1e46b7!8m2!3d30.2000531!4d-81.3807345!16s%2Fg%2F1wzt35kj!19sChIJLefG9Mk35IgRt0YeXNOkI3g,Daysi Jacobson,5.0,242,Tax consultant,"818 A1A N Suite 304, Ponte Vedra Beach, FL 32082, United States","6J29+2P Ponte Vedra Beach, Florida, USA",https://daysijacobson.com/,+1 904-285-1040,Closed ⋅ Opens 9 am Mon,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipNmUx8QGyxX_63ut-oDHh_0NG7AIP4rQy_Q-Nkw=w408-h377-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:54:34.287Z,,
https://www.google.com/maps/place/Accounting+and+Tax+-+Our+Bookkeepers+Inc./data=!4m7!3m6!1s0x88e5c96dcac3cf91:0x9340d4ab430f51ac!8m2!3d30.2843027!4d-81.4599006!16s%2Fg%2F1tdlw2gj!19sChIJkc_Dym3J5YgRrFEPQ6vUQJM,Accounting and Tax - Our Bookkeepers Inc.,5.0,402,Tax preparation service,"13500 Beach Blvd #45, Jacksonville, FL 32224, United States","7GMR+P2 Beach Haven, Jacksonville, FL, USA",http://www.ourbookkeepers.com/,+1 904-425-1238,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tnrP5mCAUTBuvQvymkC2YA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=263.13406&pitch=0&thumbfov=100,true,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:54:39.302Z,,
https://www.google.com/maps/place/Dark+Horse+CPAs/data=!4m7!3m6!1s0xace6d9d4d5c7cc25:0x4be403575ae7b265!8m2!3d30.2215214!4d-81.6576015!16s%2Fg%2F11rd5mmz9l!19sChIJJczH1dTZ5qwRZbLnWlcD5Es,Dark Horse CPAs,5.0,25,Accounting firm,,,https://darkhorse.cpa/jacksonville-cpa-firm/?utm_source=google+gbp&utm_medium=organic,+1 904-867-8763,Closed ⋅ Opens 8:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipOChx9Am5Dan1iRe-WnvhqhO5SEujiPKO3Er7DC=w408-h271-k-no,true,Closed,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–4:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:54:44.246Z,,
https://www.google.com/maps/place/Portnoy+CPA/data=!4m7!3m6!1s0x88e5c9771b013b85:0xbb8a384257301d46!8m2!3d30.2096336!4d-81.6170194!16s%2Fg%2F1tfdzn__!19sChIJhTsBG3fJ5YgRRh0wV0I4irs,Portnoy CPA,4.9,95,Accountant,"9283 San Jose Blvd Ste. 101, Jacksonville, FL 32257, United States","695M+V5 Craven, Jacksonville, FL, USA",http://www.portnoycpa.com/,+1 904-731-8005,Closed ⋅ Opens 9 am Mon,,https://lh3.googleusercontent.com/p/AF1QipP5o25ZalHPfLXCE18mJU_oOKXCPb6JQ1XCl4Q6=w408-h306-k-no,true,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:54:48.805Z,,
"https://www.google.com/maps/place/Picca+CPA,+LLC/data=!4m7!3m6!1s0x88e5b577f7eda0ab:0x8c389199c27df3ba!8m2!3d30.2856616!4d-81.435791!16s%2Fg%2F1tf16prx!19sChIJq6Dt93e15YgRuvN9wpmROIw","Picca CPA, LLC",4.6,9,Certified public accountant,"14444 Beach Blvd #19, Jacksonville, FL 32250, United States","7HP7+7M Isle of Palms, Jacksonville, FL, USA",,+1 904-223-3700,Closed ⋅ Opens 10 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M526U3jPKIfWz5un95D9uQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.83746&pitch=0&thumbfov=100,false,Closed,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:54:53.207Z,,
https://www.google.com/maps/place/Books+Bills+Payroll+LLC/data=!4m7!3m6!1s0x85a0bb1086898a83:0x6b8f37b0a61b1a08!8m2!3d30.1991804!4d-81.3806946!16s%2Fg%2F11vpy5wgzj!19sChIJg4qJhhC7oIURCBobprA3j2s,Books Bills Payroll LLC,5.0,12,Bookkeeping service,"822 A1A N, Ponte Vedra Beach, FL 32082, United States","5JX9+MP Ponte Vedra Beach, Florida, USA",https://www.booksbillspayroll.com/,+1 904-395-4993,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pbaK90bbeNJ-wPuDhvoSOg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.60614&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:54:57.731Z,,
https://www.google.com/maps/place/Hirsch+Robert+D+CPA/data=!4m7!3m6!1s0x88e437ac8ea69de7:0x6ec3e586e5d25d44!8m2!3d30.1886041!4d-81.3779154!16s%2Fg%2F1tfbtpv8!19sChIJ552mjqw35IgRRF3S5Yblw24,Hirsch Robert D CPA,5.0,1,Accountant,"10033 Sawgrass Dr W UNIT 121, Ponte Vedra Beach, FL 32082, United States","5JQC+CR Ponte Vedra Beach, Florida, USA",,+1 904-543-1711,Closed ⋅ Opens 9 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zSvl8whiQjAKCD6XzirYAA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=83.41483&pitch=0&thumbfov=100,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:55:02.058Z,,
"https://www.google.com/maps/place/Masters,+Smith+%26+Wisby,+P.A./data=!4m7!3m6!1s0x88e449b3c58a2f7b:0x77cd2feff3ce86d7!8m2!3d30.19925!4d-81.380735!16s%2Fg%2F1tg5_f_p!19sChIJey-KxbNJ5IgR14bO8-8vzXc","Masters, Smith & Wisby, P.A.",3.0,2,Certified public accountant,"822 A1A N #310, Ponte Vedra Beach, FL 32082, United States","5JX9+MP Ponte Vedra Beach, Florida, USA",http://mswcpa.com/,+1 904-396-2202,Closed ⋅ Opens 8 pm Mon,,https://lh3.googleusercontent.com/p/AF1QipNHxISREPzWPcq9dkS5TGlLPzpOVUALyjoFDcSE=w426-h240-k-no,true,Closed,8 pm–12 am,"12 am–5 pm, 8 pm–12 am","12 am–5 pm, 8 pm–12 am","12 am–5 pm, 8 pm–12 am","12 am–5 pm, 8 pm–12 am",12 am–5 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:55:06.525Z,,
https://www.google.com/maps/place/Tedrick+Tracie+L+CPA/data=!4m7!3m6!1s0x88e437acd77766c3:0xc1137e958f98618b!8m2!3d30.2070871!4d-81.3843137!16s%2Fg%2F1tmz7rl2!19sChIJw2Z316w35IgRi2GYj5V-E8E,Tedrick Tracie L CPA,5.0,1,Accountant,"3101 Sawgrass Village Cir, Ponte Vedra Beach, FL 32082, United States","6J48+R7 Ponte Vedra Beach, Florida, USA",,+1 904-273-5011,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MMjrhtcCr1aeS2q0A-sZsQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=9.722492&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:55:08.990Z,,
https://www.google.com/maps/place/Patrick+%26+Raines+LLC/data=!4m7!3m6!1s0x88e43652dcce3e87:0xcb82e1f316b30f0!8m2!3d30.2078657!4d-81.3849903!16s%2Fg%2F11_qm2hgt!19sChIJhz7O3FI25IgR8DBrMR8uuAw,Patrick & Raines LLC,5.0,3,Tax preparation service,"6000-A Sawgrass Village Cir # 1, Ponte Vedra Beach, FL 32082, United States","6J58+42 Ponte Vedra Beach, Florida, USA",http://www.cpasite.com/,+1 904-396-5400,Closed ⋅ Opens 8:30 am Mon,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DWAKEG_o0uiCt3ZpqCYqJQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=72.591034&pitch=0&thumbfov=100,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-19T15:55:13.440Z,,
