placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Midwest+Parking/data=!4m7!3m6!1s0x882383942f01f9cf:0x9f966a224df43fa8!8m2!3d42.9867914!4d-85.6707599!16s%2Fg%2F11rb9s2lwg!19sChIJz_kBL5SDI4gRqD_0TSJqlp8,Midwest Parking,1.0,5,Valet parking service,"1345 N. Monroe UNIT 123, Grand Rapids, MI 49505, United States","X8PH+PM Grand Rapids, Michigan, USA",http://www.mwparking.com/,+1 616-644-7488,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOaQbboCzCKnAH9518Wfu-qESOtePMXa4LbwX3N=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:10:45.360Z,,,
https://www.google.com/maps/place/Ellis+Parking+Company/data=!4m7!3m6!1s0x8819adc5e57101e5:0x5dfe63db2b9b3ab3!8m2!3d42.9660827!4d-85.669951!16s%2Fg%2F11c51w0dvv!19sChIJ5QFx5cWtGYgRszqbK9tj_l0,Ellis Parking Company,1.7,72,Parking lot,"40 Pearl St NW #824, Grand Rapids, MI 49503, United States","X88J+C2 Grand Rapids, Michigan, USA",https://www.ellisparking.com/,+1 616-458-1179,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMUuPwuLrJbVR39XUfyehGZI0-DFj7Fdp8hCwSe=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:10:53.505Z,,,
https://www.google.com/maps/place/JW+Marriott+Parking+Garage/data=!4m7!3m6!1s0x8819ad64fd2beb87:0x6406dcac4bde0892!8m2!3d42.9656566!4d-85.6737738!16s%2Fg%2F11gsft1_fb!19sChIJh-sr_WStGYgRkgjeS6zcBmQ,JW Marriott Parking Garage,4.1,7,Parking garage,"235 Louis St NW, Grand Rapids, MI 49503, United States","X88G+7F Grand Rapids, Michigan, USA",https://www.marriott.com/en-us/hotels/grrjw-jw-marriott-grand-rapids/overview/,+1 616-242-1500,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwFjQHa59CyJqPOb0I7cJLnaPsoqTIO7S8V6ztyi3D7x8w8fQPBEjZ_0OHkKQzQX4zNXRDTZxLVzbGInM-vbZ9VSLG4k0jnvngK1yo6OjJxDty7GpsvgYUeoysxloH9YfsWhU6M=w408-h306-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:10:59.109Z,,,
https://www.google.com/maps/place/Amway+Grand+Plaza+Parking+Garage/data=!4m7!3m6!1s0x8819adc56aa4acc9:0xa7f778ac3800f8aa!8m2!3d42.9662879!4d-85.6729266!16s%2Fg%2F11gd67j87_!19sChIJyaykasWtGYgRqvgAOKx496c,Amway Grand Plaza Parking Garage,4.3,30,Parking lot,"216 Pearl St NW, Grand Rapids, MI 49503, United States","X88G+GR Grand Rapids, Michigan, USA",https://amwaygrand.com/contact/faqs,+1 616-774-2000 ext. 6550,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxVO8SLxygtlUcrQKjKYouaxEOl3YeXqBc-8gCAhGHsAlrb9WrUuf_m-XBqEvx9K7ViRg4F0vunyH-UEGQFA6JrMS6Y7TdRemXRKaje_q5uGevEaQC-sioK475WyDDLyxScR0oO=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:11:04.211Z,,,
https://www.google.com/maps/place/Ellis+Parking/data=!4m7!3m6!1s0x8819adc5829aaaab:0x872902701de24dde!8m2!3d42.966741!4d-85.6714265!16s%2Fg%2F11ckz35y6g!19sChIJq6qagsWtGYgR3k3iHXACKYc,Ellis Parking,3.0,35,Parking garage,"130 Lyon St NW, Grand Rapids, MI 49503, United States","X88H+MC Grand Rapids, Michigan, USA",https://www.ellisparking.com/location,+1 616-458-1179,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwZvNfy2GL8IBArB3hLToBkeArE07mdhICO7rgQuNWdXnokvWZ-CBj3jQ8xvk0UzkedtQ--O2_FlI0bOi7wFEMtjvB4ZGNWN9haDkTkiOyyqYuglXMiYLUb-2ZEYeVAUooYFPJBlQ=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:11:07.403Z,,,
https://www.google.com/maps/place/Corewell+Health+Visitors+Ramp+7/data=!4m7!3m6!1s0x8819adf09181cdef:0x6dba0aeac4971ef9!8m2!3d42.9706897!4d-85.6630917!16s%2Fg%2F11np3cmwxn!19sChIJ782BkfCtGYgR-R6XxOoKum0,Corewell Health Visitors Ramp 7,4.4,63,Parking lot,"275 Michigan St NE, Grand Rapids, MI 49503, United States","X8CP+7Q Grand Rapids, Michigan, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz5BZcZ_5aB--1lJUpduiS6qoEzr_a480eU9X-ClmNBjCPBYDyF6oDJuAyoXwVNWgMUf68yTVrFX7egV9yvjodTgr-stMUrGJ69EAY7Ilz4nMBt24nk37-_zZDWvwmPcGWAETAsLPPe_CU=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:11:10.373Z,,,
https://www.google.com/maps/place/Hospital+Valet+Ellis+Parking/data=!4m7!3m6!1s0x8819ad32005c73bb:0x52730ba2ec3d26e9!8m2!3d42.9700665!4d-85.6650262!16s%2Fg%2F11vlrjvxyw!19sChIJu3NcADKtGYgR6SY97KILc1I,Hospital Valet Ellis Parking,4.3,6,Valet parking service,"100 Michigan St NE, Grand Rapids, MI 49503, United States","X8CM+2X Grand Rapids, Michigan, USA",,,Open ⋅ Closes 10 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ma-K9fNO_jMDKYyDNVB0bw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=250.9124&pitch=0&thumbfov=100,false,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,8 am–10 pm,8 am–10 pm,5 am–10 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:11:15.641Z,,,
https://www.google.com/maps/place/Van+Andel+Institute+-+Visitor+Parking+Lot/data=!4m7!3m6!1s0x8819ad4dcca96def:0xdae60688e9fc5af!8m2!3d42.9685746!4d-85.6677278!16s%2Fg%2F11j1kcp_02!19sChIJ722pzE2tGYgRr8Wfjmhgrg0,Van Andel Institute - Visitor Parking Lot,5.0,3,Valet parking service,"240 Division Ave N, Grand Rapids, MI 49503, United States","X89J+CW Grand Rapids, Michigan, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yu_TzAUUfZMRLXEHI1iu1g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=189.16737&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:11:18.857Z,,,
https://www.google.com/maps/place/A7+Parking+Grand+Rapids/data=!4m7!3m6!1s0x8819add130da3bb7:0x8a6b3c3a17ee60ec!8m2!3d42.9705736!4d-85.6789385!16s%2Fg%2F11fxqj2wbz!19sChIJtzvaMNGtGYgR7GDuFzo8a4o,A7 Parking Grand Rapids,1.0,1,Parking lot,"400 Bridge St NW, Grand Rapids, MI 49504, United States","X8CC+6C Grand Rapids, Michigan, USA",http://www.grandrapidsmi.gov/mobilegr,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ADXndgsJfHBYap2lJdTadg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=94.15168&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:11:22.617Z,,,
https://www.google.com/maps/place/Parking+Perks+%7C+Public+Parking/data=!4m7!3m6!1s0x8819ada9de109d91:0xa840718d71d08518!8m2!3d42.9713503!4d-85.6795516!16s%2Fg%2F11lpbjry4t!19sChIJkZ0Q3qmtGYgRGIXQcY1xQKg,Parking Perks | Public Parking,4.5,8,Parking lot,"425 Turner Ave NW, Grand Rapids, MI 49504, United States","X8CC+G5 Grand Rapids, Michigan, USA",https://useparkingperks.com/,+1 616-235-3233,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVS2uK_R7VDtwLE5TzxZhNfHS35o7P-DSCxigXSlVPEDQcGVoyo2bnaHY8rMEx94QBRYJ-tKTWD_muNYrfL3u9xOb-Su2sWoiNVYVW8EeprQGajhEXjDF8y1Xn8SXlriHHSWhqOw=w519-h240-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Grand+Rapids+Grand+Rapids+MI/@42.9704146,-85.6721946,14z",2025-10-28T19:11:28.951Z,,,
