placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,info,error
"https://www.google.com/maps/place/Rohan+K.+Jain,+MD/data=!4m7!3m6!1s0x887539d0bc64427f:0xae9747e450f63025!8m2!3d39.809958!4d-89.653973!16s%2Fg%2F11c2y73bhv!19sChIJf0JkvNA5dYgRJTD2UORHl64","Rohan K. Jain, MD",4.5,132,Pain management physician,"800 N 1st St 4th Floor, Springfield, IL 62702, United States","R85W+XC Springfield, Illinois, USA",https://www.springfieldclinic.com/our-providers/rohan-jain,+1 217-280-9152,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP0cEeq83FHRblFbfwX1gCfs4wA6Ppud5e9iJgq=w424-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:22.041Z,,,
https://www.google.com/maps/place/Memorial+Pain+Clinic/data=!4m7!3m6!1s0x887539d02236dfd5:0x44961c42cf77ecb5!8m2!3d39.806554!4d-89.6550627!16s%2Fg%2F1tgnbc8m!19sChIJ1d82ItA5dYgRtex3z0IclkQ,Memorial Pain Clinic,3.5,32,Pain management physician,"501 N 1st St, Springfield, IL 62702, United States","R84V+JX Springfield, Illinois, USA",https://www.memorial.health/?y_source=1_MTU0MzQ5NDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 217-788-3792,Open · Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3DwmV0LHvaiJN81-QfDUhA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=224.82349&pitch=0&thumbfov=100,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:26.720Z,,,
"https://www.google.com/maps/place/Dylan+R.+Afeld,+MD/data=!4m7!3m6!1s0x887539890b2ea49d:0xd6b198f2aae25d0e!8m2!3d39.809958!4d-89.653973!16s%2Fg%2F11gy8k1d7d!19sChIJnaQuC4k5dYgRDl3iqvKYsdY","Dylan R. Afeld, MD",4.9,157,Doctor,"800 N 1st St 4th Floor, Springfield, IL 62702, United States","R85W+XC Springfield, Illinois, USA",https://www.springfieldclinic.com/our-providers/dylan-afeld,+1 217-280-9152,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipM2aEaV_TkWUEyxH3jF5ZUbaweIc_DjbdnSc3DT=w424-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:31.038Z,,,
https://www.google.com/maps/place/Westside+Pain+Clinic/data=!4m7!3m6!1s0x8875478c974403fd:0xf7704a13ea176616!8m2!3d39.7947258!4d-89.7057914!16s%2Fg%2F1ptx7c_vy!19sChIJ_QNEl4xHdYgRFmYX6hNKcPc,Westside Pain Clinic,4.9,35,Chiropractor,"2700 W Lawrence Ave suite j-3&4, Springfield, IL 62704, United States","Q7VV+VM Springfield, Illinois, USA",https://www.westsidepainclinic.com/,+1 217-546-6698,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOLibDyTVHmzOw0kOrQuelBFbXKCSf9m-Doiwxz=w408-h275-k-no,true,8 am–5 pm,Closed,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–12 pm,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:35.587Z,,,
https://www.google.com/maps/place/Springfield+Accident+%26+Pain+Center+Ltd./data=!4m7!3m6!1s0x8875388f55219a55:0x599a046ad1a88e5f!8m2!3d39.7703106!4d-89.6912163!16s%2Fg%2F1thtdwyw!19sChIJVZohVY84dYgRX46o0WoEmlk,Springfield Accident & Pain Center Ltd.,5.0,20,Chiropractor,"2035 W Iles Ave # A, Springfield, IL 62704, United States","Q8C5+4G Springfield, Illinois, USA",http://www.springfieldaccidentandpaincenter.com/,+1 217-787-9100,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPek3MQ6SFmNTldAuSguJp04WX1TPZ1tcOpYyKY=w408-h281-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,8 am–12 pm,Closed,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:39.854Z,,,
https://www.google.com/maps/place/Advanced+Center+For+Pain+And+Rehab/data=!4m7!3m6!1s0x8875381184602371:0x2fa5c583ba4cdc6b!8m2!3d39.8009959!4d-89.6884022!16s%2Fg%2F1th6flj7!19sChIJcSNghBE4dYgRa9xMuoPFpS8,Advanced Center For Pain And Rehab,4.9,241,Chiropractor,"2060 W Washington St, Springfield, IL 62702, United States","R826+9J Springfield, Illinois, USA",https://www.advancedcenterforpain.com/,+1 217-787-8200,Open · Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipPhViwyNPbWYkRhvjkEiKtlcKAxZ-OkkaM7HZQK=w408-h272-k-no,true,6:45 am–5:30 pm,8 am–5:45 pm,6:45 am–5 pm,Closed,Closed,6:45 am–5:30 pm,8 am–5:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:44.090Z,,,
"https://www.google.com/maps/place/Windie+C.+McKay,+DC/data=!4m7!3m6!1s0x887539d094d57691:0xcd5e1055bfec1c4!8m2!3d39.8079236!4d-89.6595708!16s%2Fg%2F1txc7sl5!19sChIJkXbVlNA5dYgRxMH-WwXh1Qw","Windie C. McKay, DC",4.9,112,Chiropractor,"355 W Carpenter St Suite A, Springfield, IL 62702, United States","R85R+55 Springfield, Illinois, USA",https://www.springfieldclinic.com/our-providers/windie-mckay,+1 217-546-5971,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOy7KEqhEGliUfCJ20ZBL9yqGtODVbX3ZcajZT6=w424-h240-k-no,true,6 am–6 pm,8 am–5 pm,6 am–5 pm,Closed,Closed,6 am–6 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:48.332Z,,,
"https://www.google.com/maps/place/Orthopedic+Center+of+Illinois:+Paul+A.+Smucker,+MD/data=!4m7!3m6!1s0x88754799dd60c347:0xb79b0032be36c3ab!8m2!3d39.7855985!4d-89.7165968!16s%2Fg%2F1td33t5f!19sChIJR8Ng3ZlHdYgRq8M2vjIAm7c","Orthopedic Center of Illinois: Paul A. Smucker, MD",1.0,1,Pain management physician,"1301 S Koke Mill Rd, Springfield, IL 62711, United States","Q7PM+69 Springfield, Illinois, USA",http://orthocenterillinois.com/,+1 217-547-9100,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2aE6cT2USOOCC_CXOIzkjg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=195.40305&pitch=0&thumbfov=100,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:52.604Z,,,
https://www.google.com/maps/place/Louis+Graham/data=!4m7!3m6!1s0x887539d166ae4703:0xd5113a8d8d0fe03a!8m2!3d39.8095243!4d-89.6577887!16s%2Fg%2F11qgb79cq4!19sChIJA0euZtE5dYgROuAPjY06EdU,Louis Graham,3.5,8,Sports medicine clinic,"751 N Rutledge St # 1100, Springfield, IL 62702, United States","R85R+RV Springfield, Illinois, USA",https://www.siumed.org/louis-graham,+1 217-545-8000,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qCT1DliF6j5DFt7qOQdaog&cb_client=search.gws-prod.gps&w=408&h=240&yaw=280.50928&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:54.914Z,,,
"https://www.google.com/maps/place/Dr.+Trinadha+Pilla,+MD/data=!4m7!3m6!1s0x887539d0f548a06d:0xf72a25a024b5b701!8m2!3d39.8099694!4d-89.6567571!16s%2Fg%2F1tfj3xyy!19sChIJbaBI9dA5dYgRAbe1JKAlKvc","Dr. Trinadha Pilla, MD",,,Pain management physician,"701 N 1st St, Springfield, IL 62781, United States","R85V+X7 Springfield, Illinois, USA",http://www.siumed.edu/,+1 217-545-0182,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=csSWhXljvS6m8oeC8Or1Vw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=207.1452&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+Springfield+Springfield+IL/@39.8006593,-89.6449345,14z",2026-01-28T19:55:57.000Z,,,
