placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,tuesday,wednesday,thursday,friday,saturday,sunday,monday,attributes,info,error,isBlackOwned
https://www.google.com/maps/place/Wilmington+Parking+Authority/data=!4m7!3m6!1s0x89c6fd6a0e7965d3:0x2eb278ddce619e01!8m2!3d39.7430754!4d-75.551509!16s%2Fg%2F1tjjqb7m!19sChIJ02V5Dmr9xokRAZ5hzt14si4,Wilmington Parking Authority,2.7,27,Parking garage,"625 Orange St, Wilmington, DE 19801, United States","PCVX+69 Wilmington, Delaware, USA",http://www.wilmingtonparking.com/,+1 302-655-4442,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dQk27kmGq5_GixGWQfG4EA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.89996&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:18.707Z,,,,,,,,,,,
https://www.google.com/maps/place/Wilmington+Parking+Authority/data=!4m7!3m6!1s0x89c6fd32530e6465:0xdf92b53a9579e56e!8m2!3d39.7471653!4d-75.5523417!16s%2Fg%2F11hyk72bfj!19sChIJZWQOUzL9xokRbuV5lTq1kt8,Wilmington Parking Authority,5.0,1,Parking garage,"1001 Washington St, Wilmington, DE 19801, United States","PCWX+V3 Wilmington, Delaware, USA",https://www.wilmingtonparking.com/,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=H2o6-dyEdnoCqswZ0D91Gw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=249.24933&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:22.275Z,,,,,,,,,,,
https://www.google.com/maps/place/Government+Center+Garage/data=!4m7!3m6!1s0x89c6fd4118e03325:0x4612e643faffa210!8m2!3d39.7437198!4d-75.5463774!16s%2Fg%2F1tfc2z_9!19sChIJJTPgGEH9xokREKL_-kPmEkY,Government Center Garage,4.0,2,Parking garage,"820 N French St, Wilmington, DE 19801, United States","PFV3+FC Wilmington, Delaware, USA",https://colonialparking.com/,+1 302-651-3615,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EZwozGQ_buXKYklajw3ANQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=193.74614&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:25.153Z,,,,,,,,,,,
https://www.google.com/maps/place/Community+Service+Parking/data=!4m7!3m6!1s0x89c6fd400eece65d:0x980131476e4642c9!8m2!3d39.7473373!4d-75.5486934!16s%2Fg%2F1263pd8pj!19sChIJXebsDkD9xokRyUJGbkcxAZg,Community Service Parking,4.1,33,Parking garage,"111 W 11th St, Wilmington, DE 19801, United States","PFW2+WG Wilmington, Delaware, USA",https://www.csbcorp.org/parking-garage,+1 302-652-1410,Open ⋅ Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7JoAU1XRWSW-p0qSh_pseA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=348.07434&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:30.651Z,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,Closed,Closed,7 am–8 pm,,,,
https://www.google.com/maps/place/SP%2B+Parking/data=!4m7!3m6!1s0x89c6fdc1fdbd0475:0xb4791a19d4376c92!8m2!3d39.744565!4d-75.549598!16s%2Fg%2F11f7pv12z_!19sChIJdQS9_cH9xokRkmw31BkaebQ,SP+ Parking,2.0,8,Parking garage,"805 Orange St, Wilmington, DE 19801, United States","PFV2+R5 Wilmington, Delaware, USA",https://parkcentral.parking.com/,+1 215-568-4025,Temporarily closed,https://lh3.googleusercontent.com/p/AF1QipPHW2x08o4CLavEjYTuzJqPP9nYbegk1WawikmA=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:35.523Z,,,,,,,,,,,
https://www.google.com/maps/place/Event+Parking+Services+Group/data=!4m7!3m6!1s0x89c6fdf589b7333d:0x10acb13ecf2e60bb!8m2!3d39.7790256!4d-75.5443192!16s%2Fg%2F11t73lfp14!19sChIJPTO3ifX9xokRu2Auzz6xrBA,Event Parking Services Group,,,Valet parking service,"1521 Concord Pike, Wilmington, DE 19803, United States","QFH4+J7 Wilmington, Delaware, USA",http://www.parkingforevents.com/,+1 888-376-9996,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xsr2qEYshLLDNJ3vF1r5PA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=193.93686&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:40.359Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,9 am–5 pm,Open 24 hours,,,,
https://www.google.com/maps/place/AirGarage+%7C+Public+Parking/data=!4m7!3m6!1s0x89c6fd934e58854b:0x5f047d28d251303e!8m2!3d39.7447179!4d-75.5498695!16s%2Fg%2F11vt7kvv4s!19sChIJS4VYTpP9xokRPjBR0ih9BF8,AirGarage | Public Parking,3.8,43,Parking garage,"840 Orange St, Wilmington, DE 19801, United States","PFV2+V3 Wilmington, Delaware, USA",https://pay.airgarage.com/spots/ThwA8U8YKvjiHLnqVKyptt?rental_type=hourly,+1 415-417-0975,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM78cTs3BrcXZMsHOWETPm9GyTLuCURoV0kUfcP=w408-h254-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:45.423Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Colonial+Parking+Inc./data=!4m7!3m6!1s0x89c6fd3f403513c5:0xb9d0e544ce030428!8m2!3d39.7438473!4d-75.5507263!16s%2Fg%2F1wfcq2w4!19sChIJxRM1QD_9xokRKAQDzkTl0Lk,Colonial Parking Inc.,2.7,17,Parking garage,"715 Orange St, Wilmington, DE 19801, United States","PCVX+GP Wilmington, Delaware, USA",http://colonialparking.com/,+1 302-651-3600,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxC0vpqj6O-btqoQiFysc3JLGAZjFOQd25lmT7TjnB7jeCEVxal_BCI35cPwbdv0GCL6YGFu4vA4lqPN5pobOgUrfg07tTAZNuIVBHVcrDqu1istTPePXA4QBxVoTumqMAtbwNDZQ=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:48.285Z,,,,,,,,,,,
https://www.google.com/maps/place/200+N+King+St+Parking/data=!4m7!3m6!1s0x89c6fd683b701553:0xfe21ec6b5bb9eb4!8m2!3d39.7393853!4d-75.5518816!16s%2Fg%2F11f_p348p5!19sChIJUxVwO2j9xokRtJ67tcYe4g8,200 N King St Parking,3.0,1,Parking lot,"200N N King St, Wilmington, DE 19801, United States","PCQX+Q6 Wilmington, Delaware, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nfQKv9PpvDH9B8oCOHZVhg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=328.4561&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:51.194Z,,,,,,,,,,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x89c6fdac05c4eb53:0x308c455639d750a7!8m2!3d39.746815!4d-75.551459!16s%2Fg%2F11vx7klr7b!19sChIJU-vEBaz9xokRp1DXOVZFjDA,parkingmgt.com,,,Parking lot,"909 N West St, Wilmington, DE 19801, United States","PCWX+PC Wilmington, Delaware, USA",,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oWZdfz2X2mHCgsvwa9O6kg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=216.19598&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Wilmington+DE/@39.744655,-75.5483909,14z",2025-10-28T18:32:56.116Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
