placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned,info,error
https://www.google.com/maps/place/All+Star+Plumbing+%26+Showhouse+-+Napa/data=!4m7!3m6!1s0x80850670272b474b:0xada204bedf9b6c9f!8m2!3d38.299178!4d-122.276368!16s%2Fg%2F1tksnlc3!19sChIJS0crJ3AGhYARn2yb374Eoq0,All Star Plumbing & Showhouse - Napa,4.9,78,Plumber,"325 3rd St, Napa, CA 94559, United States","7PXF+MF Napa, California, USA",https://www.allstarplumbingnapa.com/trusted-plumber-in-napa/?utm_source=google&utm_medium=organic&utm_campaign=napa_showhouse&utm_term=01,+1 707-203-2910,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipP8_etAXSay8Gy4FmKxQ9YAoZLkQSaVO5pzVit1=w408-h271-k-no,true,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:48:24.962Z,,,,
https://www.google.com/maps/place/JB+Plumbing+Services/data=!4m7!3m6!1s0x808507c619c18c2b:0xdbdbb50cf9102efd!8m2!3d38.3067932!4d-122.2868925!16s%2Fg%2F11nfbjz1ky!19sChIJK4zBGcYHhYAR_S4Q-Qy129s,JB Plumbing Services,4.9,41,Plumber,"1819 Tanen St # B, Napa, CA 94558, United States","8P47+P6 Napa, California, USA",http://jbplumbingservices-ca.com/,+1 707-254-5976,Closed ⋅ Opens 6 am Tue,https://lh3.googleusercontent.com/p/AF1QipOM7_EYdk6wU6WEFmsZysWBaz2LqXwatk9BydAv=w408-h611-k-no,true,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:48:30.699Z,,,,
https://www.google.com/maps/place/A+%26+S+Plumbing+Inc/data=!4m7!3m6!1s0x80850715fec11411:0x5c355c4f283e8bbb!8m2!3d38.315068!4d-122.3128687!16s%2Fg%2F11r116r585!19sChIJERTB_hUHhYARu4s-KE9cNVw,A & S Plumbing Inc,4.9,365,Plumber,"1477 Carol Dr, Napa, CA 94558, United States","8M8P+2V Napa, California, USA",http://asplumbinginc.square.site/,+1 707-696-9284,Closed ⋅ Opens 8:30 am Tue,https://lh3.googleusercontent.com/p/AF1QipPrFFnJLKYvsbb6ZlB1ONBH3jquJnhGn8wL-Be4=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:48:36.373Z,,,,
https://www.google.com/maps/place/Hermes+Plumbing+Inc/data=!4m7!3m6!1s0xacdfcd063dbaa2bf:0xdbbfd081b17fb4a6!8m2!3d38.5097069!4d-122.3328354!16s%2Fg%2F11s0j6jy0y!19sChIJv6K6PQbN36wRprR_sYHQv9s,Hermes Plumbing Inc,5.0,66,Plumber,,,http://www.hermes-plumbing.com/,+1 707-690-8172,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipP_31u17nFTAhyRm0yh8-bjCPx0TfEuW6WkD4i1=w408-h712-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:48:41.046Z,,,,
https://www.google.com/maps/place/John+Mendoza+Plumbing/data=!4m7!3m6!1s0x499b2246494e2a1b:0x97f605ea07f0b9f8!8m2!3d38.5095244!4d-122.3540065!16s%2Fg%2F11sffqlngg!19sChIJGypOSUYim0kR-LnwB-oF9pc,John Mendoza Plumbing,5.0,44,Plumber,,,http://johnmendozaplumbing.com/,+1 707-681-5778,Closed ⋅ Opens 9 am Tue,https://lh3.googleusercontent.com/p/AF1QipMisMrBi6VvFmQq0AnOT75HG6c1K0kdksMj-mYe=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:48:45.947Z,,,,
"https://www.google.com/maps/place/Eco+Plumbing/@38.2797535,-122.290445,12z/data=!3m1!4b1!4m6!3m5!1s0x808507e58a99136d:0x28b5b9e743192bf6!8m2!3d38.2797535!4d-122.290445!16s%2Fg%2F11n6bdhlfz",Eco Plumbing,5.0,9,Plumber,,,http://ecoplumbingnorcal.com/,+1 707-637-7238,Open 24 hours,,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:48:52.729Z,,,,
https://www.google.com/maps/place/Steve+Silva+Plumbing+Inc/data=!4m7!3m6!1s0x808508b6d49729ab:0x6bd706e976672dd4!8m2!3d38.2585632!4d-122.2732818!16s%2Fg%2F1tffpkqt!19sChIJqymX1LYIhYAR1C1ndukG12s,Steve Silva Plumbing Inc,4.6,45,Plumber,"901A Enterprise Way, Napa, CA 94558, United States","7P5G+CM Napa, California, USA",http://www.stevesilvaplumbing.com/,+1 707-252-3941,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CfRWDZwThyo9Ym_uwdnXfw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=293.3591&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:48:57.800Z,,,,
https://www.google.com/maps/place/All+Star+Plumbing+-+Napa/data=!4m7!3m6!1s0x8085071a43097ee1:0x3489e27e64727b57!8m2!3d38.3063828!4d-122.2863449!16s%2Fg%2F11p621tp68!19sChIJ4X4JQxoHhYARV3tyZH7iiTQ,All Star Plumbing - Napa,5.0,1,Plumber,"1757 Tanen St, Napa, CA 94559, United States","8P47+HF Napa, California, USA",https://www.allstarplumbingnapa.com/?utm_source=google&utm_medium=organic&utm_campaign=napa_gmb,+1 707-200-8865,Closed ⋅ Opens 7 am Tue,https://lh3.googleusercontent.com/p/AF1QipPUjlASEw7CP40Qu6uXhcDADFC1P3QKI7W-pMjj=w473-h240-k-no,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:49:02.757Z,,,,
https://www.google.com/maps/place/Don+Nichols+Plumbing/data=!4m7!3m6!1s0x808505fc3878f80b:0x30211f5c2670910f!8m2!3d38.4517155!4d-122.3540065!16s%2Fg%2F1q67fl2kt!19sChIJC_h4OPwFhYARD5FwJlwfITA,Don Nichols Plumbing,4.9,20,Plumber,,,https://donnicholsplumbing.com/,+1 707-252-7854,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipO0GoEOPoeIvyWzEFRRSpOE0Tk6IvOtuMGdW5Pp=w408-h544-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 pm,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:49:07.556Z,,,,
https://www.google.com/maps/place/Ed%27s+Plumbing+%26+Repairs/data=!4m7!3m6!1s0x80850432334bb789:0x62e046986f23e921!8m2!3d38.3397601!4d-122.2967308!16s%2Fg%2F1w04kb2f!19sChIJibdLMzIEhYARIekjb5hG4GI,Ed's Plumbing & Repairs,4.7,18,Plumber,"2353 Big Ranch Rd, Napa, CA 94558, United States","8PQ3+W8 Napa, California, USA",http://www.edsplumbingnapa.com/,+1 707-224-9031,Closed ⋅ Opens 8 am Tue,https://lh3.googleusercontent.com/p/AF1QipM9YNbFtuv8oFTHvn6I_jJ_Y5IWEPwOuPvj9BYl=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Napa+Napa+CA/@38.2975381,-122.286865,14z",2025-11-11T03:49:12.508Z,,,,
