placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,sunday,monday,tuesday,wednesday,thursday,friday,saturday,info,attributes,isBlackOwned,error
"https://www.google.com/maps/place/Baroody+%26+Greenwood,+LLC+-+CPA,+Tax+and+Accounting/data=!4m7!3m6!1s0x89e24f25d5f31e99:0x49a6c9c258a965b2!8m2!3d42.9926186!4d-71.462635!16s%2Fg%2F1ptwx2221!19sChIJmR7z1SVP4okRsmWpWMLJpkk","Baroody & Greenwood, LLC - CPA, Tax and Accounting",4.8,20,Tax preparation service,"1015 Elm St #203, Manchester, NH 03101, United States","XGVP+2W Manchester, New Hampshire, USA",http://www.bargreencpa.com/,+1 603-622-1410,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5VvxXWbYvdI39zNru4K26A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=114.02072&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:13.232Z,,,,,,,,,,,
https://www.google.com/maps/place/Gelinas+%26+Pratte+CPA+Tax+And+Quickbook+Accounting/data=!4m7!3m6!1s0x89e24f25cc6ce6f5:0xe076eb7ed2decea3!8m2!3d43.0035577!4d-71.4628265!16s%2Fg%2F1tdr95w1!19sChIJ9eZszCVP4okRo87e0n7rduA,Gelinas & Pratte CPA Tax And Quickbook Accounting,5.0,3,Certified public accountant,"36 Salmon St, Manchester, NH 03104, United States","2G3P+CV Manchester, New Hampshire, USA",https://www.gelinascpa.com/,+1 603-625-8931,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xqP-bB9pTq7Jv11OqgC4UA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=343.63336&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:18.043Z,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,,,,
"https://www.google.com/maps/place/Rodger+W+Wolf+%26+Co.,+PC/data=!4m7!3m6!1s0x89e24f2d04125c17:0x723c82f878ea54cd!8m2!3d42.9957027!4d-71.4711659!16s%2Fg%2F1ptw6w_3s!19sChIJF1wSBC1P4okRzVTqePiCPHI","Rodger W Wolf & Co., PC",5.0,6,Certified public accountant,"95 Eddy Rd #617, Manchester, NH 03102, United States","XGWH+7G Manchester, New Hampshire, USA",http://rodgerwwolfcpa.biz/,+1 603-836-5001,Closed ⋅ Opens 8:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipPe2APWUZP-yI_I0pBmq4H0iaZd-kXIC0JTTGFs=w408-h317-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:23.215Z,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,,,,
https://www.google.com/maps/place/Arcadia+Tax/data=!4m7!3m6!1s0x89e24fbbbc881ed3:0x4608524b23d40b97!8m2!3d42.997856!4d-71.4675186!16s%2Fg%2F11pv0jk0nn!19sChIJ0x6IvLtP4okRlwvUI0tSCEY,Arcadia Tax,4.9,38,Tax preparation service,"155 Dow St # 301, Manchester, NH 03101, United States","XGXJ+4X Manchester, New Hampshire, USA",https://arcadia.tax/,+1 603-769-8686,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipN_UWPE-hiWmgzBQwO9okMLGXI3hmeh0AAiyehN=w408-h272-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:27.653Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–4 pm,Closed,,,,
https://www.google.com/maps/place/Baker+Newman+Noyes/data=!4m7!3m6!1s0x89e24ed87b01a331:0x99ac9a3b74e0e536!8m2!3d42.9875507!4d-71.4635396!16s%2Fg%2F1tlmpb2f!19sChIJMaMBe9hO4okRNuXgdDuarJk,Baker Newman Noyes,3.0,1,Accountant,"650 Elm St, Manchester, NH 03101, United States","XGQP+2H Manchester, New Hampshire, USA",http://www.bnncpa.com/,+1 603-626-2200,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vLVOQ0yieFA8UlwYo7AXHg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=277.6986&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:32.106Z,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,,
https://www.google.com/maps/place/Kelly+Patrick+J+CPA/data=!4m7!3m6!1s0x89e24f3909c46adf:0x4f0e6a49fbf9a6f9!8m2!3d43.003527!4d-71.462298!16s%2Fg%2F1tdcbtjz!19sChIJ32rECTlP4okR-ab5-0lqDk8,Kelly Patrick J CPA,5.0,11,Accountant,"713 Chestnut St #2, Manchester, NH 03104, United States","2G3Q+C3 Manchester, New Hampshire, USA",,+1 603-669-6088,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uZ0LVkkvx2zpG0roA4K71g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.59661&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:36.667Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,,,,
"https://www.google.com/maps/place/Freedom+Accounting+Services,+LLC/data=!4m7!3m6!1s0x89e24f2f17c1cd97:0x8bf97ba713286e11!8m2!3d42.9946433!4d-71.4682607!16s%2Fg%2F11b6dvlb2s!19sChIJl83BFy9P4okREW4oE6d7-Ys","Freedom Accounting Services, LLC",5.0,15,Accounting firm,"500 N Commercial St STE 302A, Manchester, NH 03101, United States","XGVJ+VM Manchester, New Hampshire, USA",https://freedom-accounting.com/,+1 603-232-5153,Closed ⋅ Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipPBlw-GuRtnYgaFZGbqXZsuK6NxXxexE4tRH5uW=w426-h240-k-no,true,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:41.211Z,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,,,,
https://www.google.com/maps/place/Penchansky+%26+Co/data=!4m7!3m6!1s0x89e24f26237c947d:0x3746b167e7b85a00!8m2!3d43.001712!4d-71.4649536!16s%2Fg%2F1td77l47!19sChIJfZR8IyZP4okRAFq452exRjc,Penchansky & Co,5.0,3,Certified public accountant,"1650 Elm St STE 102, Manchester, NH 03101, United States","2G2P+M2 Manchester, New Hampshire, USA",https://www.penchansky.com/,+1 603-647-2400,"Closed ⋅ Opens 8 am Mon

Updated by phone call 1 week ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eJHxlJLMyBJ2i2AS2oxYYw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=302.56644&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:45.856Z,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,,,,
https://www.google.com/maps/place/Corallino+Robert+L+CPA/data=!4m7!3m6!1s0x89e24f381568b89f:0x8542373aabdbee0a!8m2!3d43.0057721!4d-71.4642909!16s%2Fg%2F1tf_p984!19sChIJn7hoFThP4okRCu7bqzo3QoU,Corallino Robert L CPA,4.1,12,Accountant,"114 Bay St, Manchester, NH 03104, United States","2G4P+87 Manchester, New Hampshire, USA",,+1 603-623-5557,"Closed ⋅ Opens 9 am Mon

Updated by this business 11 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YYNi9JA5hg8QCQdMDzwv-A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.57339&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:50.697Z,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,,,,
https://www.google.com/maps/place/Roy+%26+Bentas+CPA+CS/data=!4m7!3m6!1s0x89e24f3c8dabd483:0x9948e09203d3f7c6!8m2!3d42.9990391!4d-71.4580001!16s%2Fg%2F1tdvw9gw!19sChIJg9SrjTxP4okRxvfTA5LgSJk,Roy & Bentas CPA CS,4.5,2,Accountant,"697 Union St A, Manchester, NH 03104, United States","XGXR+JQ Manchester, New Hampshire, USA",http://www.rnbcpas.com/,+1 603-625-5715,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JdFL0XcAlHVQRbPiBcpOcQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=0.82076013&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/certified+public+accountant+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-10-19T16:20:53.265Z,,,,,,,,,,,
