placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/Riverside+Association+Management/data=!4m7!3m6!1s0x8850fbcf923dda09:0xdfc4d7e9d48024db!8m2!3d36.2019209!4d-81.6642257!16s%2Fg%2F11vkm8qlkw!19sChIJCdo9ks_7UIgR2ySA1OnXxN8,Riverside Association Management,5.0,11,Property management company,"149 Meadowview Dr, Boone, NC 28607, United States","682P+Q8 Boone, North Carolina, USA",https://www.riversideam.com/,+1 828-434-3978,Open ⋅ Closes 4 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ORk-QKYhZ4c0L0HU40Il7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=104.640144&pitch=0&thumbfov=100,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:01:20.720Z,,,
https://www.google.com/maps/place/Blue+Ridge+Professional+Property+Services/data=!4m7!3m6!1s0x8850fa77d722beb5:0x3c54e2fdfdc8302a!8m2!3d36.2068097!4d-81.6705514!16s%2Fg%2F119vcc_5l!19sChIJtb4i13f6UIgRKjDI_f3iVDw,Blue Ridge Professional Property Services,4.7,25,Property management company,"895 Blowing Rock Rd, Boone, NC 28607, United States","684H+PQ Boone, North Carolina, USA",http://www.brppservices.com/,+1 828-262-4646,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNfxcXh0q4ACKJ3FSyYxVBP5DiGNuxDsYVMznro=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:01:27.786Z,,,
https://www.google.com/maps/place/Hidden+Creek+Management/data=!4m7!3m6!1s0x8850fa41c6873593:0x2a4a64053365f9ba!8m2!3d36.197244!4d-81.6563523!16s%2Fg%2F1tfscjw7!19sChIJkzWHxkH6UIgRuvllMwVkSio,Hidden Creek Management,3.5,131,Property management company,"1950 Blowing Rock Rd, Boone, NC 28607, United States","58WV+VF Boone, North Carolina, USA",http://hiddencreekmgt.com/,+1 828-262-1081,Open ⋅ Closes 2:30 pm,https://lh3.googleusercontent.com/p/AF1QipMpslbfKuJDsGqVaYaxw_-WO466a3bWnoRp-XNk=w408-h306-k-no,true,9 am–2:30 pm,9 am–2:30 pm,Closed,Closed,9 am–2:30 pm,9 am–2:30 pm,9 am–2:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:01:32.998Z,,,
https://www.google.com/maps/place/Appalachian+Management+Service/data=!4m7!3m6!1s0x8850fa0ed29513c7:0xae3aa317ffa3c7a0!8m2!3d36.2200245!4d-81.6855736!16s%2Fg%2F1tfc2qj1!19sChIJxxOV0g76UIgRoMej_xejOq4,Appalachian Management Service,2.0,88,Property management company,"768 W King St, Boone, NC 28607, United States","68C7+2Q Boone, North Carolina, USA",http://www.app-mgt.com/,+1 828-262-1571,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOYcHkYyfhXbMQy4ALYNlEaoYEAdhWjOmwZXn7Q=w408-h306-k-no,true,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:01:38.209Z,,,
"https://www.google.com/maps/place/Property+Management+%26+Maintenance+Services,+Inc/data=!4m7!3m6!1s0x8850ed1ebe956ddd:0x23a7a9e502a04455!8m2!3d36.1360313!4d-81.8466342!16s%2Fg%2F11g1nc3_2v!19sChIJ3W2Vvh7tUIgRVUSgAuWppyM","Property Management & Maintenance Services, Inc",4.7,3,Property management company,"2940 Tynecastle Hwy, Sugar Mountain, NC 28604, United States","45P3+C8 Sugar Mountain, North Carolina, USA",,+1 828-898-6321,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=w2QJsnrkeitRp-iieOz_jg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=205.29106&pitch=0&thumbfov=100,true,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:01:43.222Z,,,
https://www.google.com/maps/place/Kuester+Real+Estate+Services/data=!4m7!3m6!1s0x8850fa3e0212a42b:0x91d9488e5313115!8m2!3d36.2051571!4d-81.6964595!16s%2Fg%2F1tjkghcd!19sChIJK6QSAj76UIgRFTEx5YiUHQk,Kuester Real Estate Services,2.6,29,Property management company,"2575 NC-105, Boone, NC 28607, United States","6843+3C Boone, North Carolina, USA",http://kuesterliving.com/,+1 828-262-3434,Open ⋅ Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bKdlhQ4lfm9NNlj-3U-bRg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=122.5545&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:01:48.819Z,,,
https://www.google.com/maps/place/Advanced+Realty+Property+Management/data=!4m7!3m6!1s0x8850f09b7f9a4633:0x2eed06f6bcb42e5b!8m2!3d36.2048275!4d-81.6970132!16s%2Fg%2F1tjdgx83!19sChIJM0aaf5vwUIgRWy60vPYG7S4,Advanced Realty Property Management,2.5,60,Property management company,"2575 NC-105 #70, Boone, NC 28607, United States","6833+W5 Boone, North Carolina, USA",http://arpmr.com/,+1 828-264-2227,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqd4DTffvIQvPxeSzfhFhFQ75dNt_evoBHbaKgUSg5a87eTV6yoSmkE3ITHWglQNRcaFlGDkunLk4KCXsrNw1ppmRPbJliLJZwXF-6IWvu4YxDRtnknQ7_6ceGX_xUl2tS6z1RGJg=w408-h544-k-no,true,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:01:54.622Z,,,
"https://www.google.com/maps/place/Cash+Holdings,+LLC/data=!4m7!3m6!1s0x8850f0c14bfeffb5:0xcb06ffacf3e24a63!8m2!3d36.2194064!4d-81.7174936!16s%2Fg%2F11cs4g79z6!19sChIJtf_-S8HwUIgRY0ri86z_Bss","Cash Holdings, LLC",3.9,14,Property management company,"870 North Carolina Hwy 105 Bypass, Boone, NC 28607, United States","679M+Q2 Boone, North Carolina, USA",http://www.cashholdingsllc.com/,+1 828-297-2019,,https://lh3.googleusercontent.com/p/AF1QipO3RREBIyxH5aLW_KJtgnq4IPicuYQp_3Vzk27i=w408-h247-k-no,true,,,,,,,,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:01:58.570Z,,,
https://www.google.com/maps/place/Blue+Ridge+Realty+is+labeled+2+doors+down+from+its+location.+It+is+where+my+placemark+is./data=!4m7!3m6!1s0x8850fa77d0bd2833:0xfdca55969eb8e3b5!8m2!3d36.2039922!4d-81.6908614!16s%2Fg%2F11c5rpb3xz!19sChIJMyi90Hf6UIgRteO4npZVyv0,Blue Ridge Realty is labeled 2 doors down from its location. It is where my placemark is.,5.0,4,Property management company,"2237 NC-105, Boone, NC 28607, United States","6835+HM Boone, North Carolina, USA",http://blueridgeprofessionalpropertyservices.com/,+1 828-262-4646,Open ⋅ Closes 3 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q_j7uEap7WWHEEOa3hRtiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=179.69736&pitch=0&thumbfov=100,false,6 am–3 am,6 am–3 am,6 am–3 am,6 am–3 am,6 am–3 am,6 am–3 am,6 am–3 am,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:02:04.706Z,,,
https://www.google.com/maps/place/Templeton+Properties/data=!4m7!3m6!1s0x8850fa43690b9cb3:0x5461ac2b56c78ef8!8m2!3d36.2016872!4d-81.6647872!16s%2Fg%2F1tdl27w0!19sChIJs5wLaUP6UIgR-I7HViusYVQ,Templeton Properties,3.0,6,Property management company,"170B Meadowview Dr, Boone, NC 28607, United States","682P+M3 Boone, North Carolina, USA",http://www.templetontours.com/,+1 828-264-0032,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qmQYlfMfKXJ1O9K-9pCDNQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.9214&pitch=0&thumbfov=100,false,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Sugar+Mountain+Boone+NC/@36.2181951,-81.6830378,14z",2025-09-25T17:02:11.641Z,,,
