placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info
https://www.google.com/maps/place/Generator+Supercenter+of+Little+Rock/data=!4m7!3m6!1s0x87d2a1843e5464d7:0x1c45eee451b04b5f!8m2!3d34.7569476!4d-92.4391751!16s%2Fg%2F11y3q_xr3j!19sChIJ12RUPoSh0ocRX0uwUeTuRRw,Generator Supercenter of Little Rock,5.0,29,Electric generator shop,"15104 Chenal Pkwy ste 8000, Little Rock, AR 72211, United States","QH46+Q8 Little Rock, Arkansas, USA",https://generatorsupercenteroflittlerock.com/,+1 501-621-2226,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNgNAgEopt0q6bjv3VosSjPGvLAyN7Buhaesdaj=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:45:47.266Z,,
https://www.google.com/maps/place/Bert+Black+-+AC+Heating+Plumbing+Electric/data=!4m7!3m6!1s0x87d2a757c599f295:0xc1a387ee8927e331!8m2!3d34.7396624!4d-92.353267!16s%2Fg%2F1tdbrdjy!19sChIJlfKZxVen0ocRMeMnie6Ho8E,Bert Black - AC Heating Plumbing Electric,4.8,1090,HVAC contractor,"1400 Westpark Dr, Little Rock, AR 72204, United States","PJQW+VM Little Rock, Arkansas, USA",http://bertblack.com/,+1 501-228-9770,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN-5VkQvFKmgZsx8O9kAV5xlVkH988SBaf-dmnT=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:45:52.261Z,,
"https://www.google.com/maps/place/Gary+Houston+Electric+Company,+Inc./data=!4m7!3m6!1s0x87d2bb576f881fd9:0x47c4988c3b4ea16e!8m2!3d34.7491084!4d-92.2939582!16s%2Fg%2F1tqyg0sr!19sChIJ2R-Ib1e70ocRbqFOO4yYxEc","Gary Houston Electric Company, Inc.",4.8,205,Electrician,"1922 W 3rd St, Little Rock, AR 72205, United States","PPX4+JC Little Rock, Arkansas, USA",http://www.garyhoustonelectric.com/,+1 501-375-8330,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMMMM6Ea6wMnZrGEFPoB8JdBm_RhVEyxKB9nnU7=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:45:57.253Z,,
https://www.google.com/maps/place/Staley+Electric/data=!4m7!3m6!1s0x87d2a5fbe772402f:0xa8fd01f579d34fc8!8m2!3d34.6748472!4d-92.3161075!16s%2Fg%2F11khthvqpx!19sChIJL0By5_ul0ocRyE_TefUB_ag,Staley Electric,4.9,1808,Electrician,"3400 Je Davis Dr, Little Rock, AR 72209, United States","MMFM+WH Little Rock, Arkansas, USA",https://staleyelectric.com/?utm_campaign=gmb&utm_medium=social&utm_source=google,+1 501-565-3006,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPx8YMmqz-EzF8sH-XjZZQsuj87OcVcuSfzzOUR=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:46:01.595Z,,
"https://www.google.com/maps/place/Clifford+Power+Systems,+Inc./data=!4m7!3m6!1s0x87d2a1fb09c6d2c5:0x321a9ebab8a634ff!8m2!3d34.6862783!4d-92.3089432!16s%2Fg%2F1hm4wzy8l!19sChIJxdLGCfuh0ocR_zSmuLqeGjI","Clifford Power Systems, Inc.",4.4,11,Electric generator shop,"6800 I-30, Little Rock, AR 72209, United States","MMPR+GC Little Rock, Arkansas, USA",https://cliffordpower.com/?utm_source=gmb&utm_medium=yext,+1 501-907-5884,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPFfY_jDPdDkb65k36Kg2sShjhCBXf7VWhn4M-s=w408-h299-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:46:05.949Z,· In-store pick-up,
"https://www.google.com/maps/place/Tri-State+Water,+Power,+and+Air/data=!4m7!3m6!1s0x87d2a6c5e5304089:0x17166622c87ae8d7!8m2!3d34.6326378!4d-92.4602986!16s%2Fg%2F11g9qm_vkw!19sChIJiUAw5cWm0ocR1-h6yCJmFhc","Tri-State Water, Power, and Air",4.9,696,Electric generator shop,"3009 Corporate Center Dr, Bryant, AR 72022, United States","JGMQ+3V Bryant, Arkansas, USA",http://www.tristatewhywait.com/,+1 877-301-7693,,https://lh3.googleusercontent.com/p/AF1QipOwz-TlV1bs3y34Qc3-sxYpKOA5aWqminBM8lk3=w408-h291-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:46:10.456Z,· In-store pick-up,
https://www.google.com/maps/place/Arkansas+Electric+Service+%26+Contracting/data=!4m7!3m6!1s0x87d2bb9a5e687e3f:0x9fae9228bda3606e!8m2!3d34.7362755!4d-92.2483569!16s%2Fg%2F1wfcpp9g!19sChIJP35oXpq70ocRbmCjvSiSrp8,Arkansas Electric Service & Contracting,4.5,11,Electrician,"1115 Bond Ave, Little Rock, AR 72202, United States","PQP2+GM Little Rock, Arkansas, USA",https://arkansas-electricservice.com/,+1 501-372-3720,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mz1QE0m4zAVsqK2uFIeGfg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=67.53087&pitch=0&thumbfov=100,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:46:14.935Z,,
"https://www.google.com/maps/place/Generated+Energy+Solutions,+LLC/data=!4m7!3m6!1s0x87cd57ab865d481f:0x93ed77127dcd70d7!8m2!3d34.6605258!4d-92.3780069!16s%2Fg%2F126020tr2!19sChIJH0hdhqtXzYcR13DNfRJ37ZM","Generated Energy Solutions, LLC",4.3,44,Electric generator shop,"9809 Mann Rd, Mabelvale, AR 72103, United States","MJ6C+6Q Mabelvale, Little Rock, AR, USA",http://www.ges-ar.com/,+1 501-943-7093,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPwWP-wL4p_kQS6kcGd8hO1jpNsxYnjSJtm1313=w408-h408-k-no,true,Closed,Closed,8 am–3:30 pm,8 am–3:30 pm,8 am–3:30 pm,8 am–3:30 pm,8 am–3:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:46:19.466Z,· Kerbside pickup · Delivery · In-store shopping,
https://www.google.com/maps/place/OFF+THE+GRID+SYSTEMS+LLC/data=!4m7!3m6!1s0x87d2a5883ca97095:0xafd3dca277875dc2!8m2!3d34.7817708!4d-92.5419255!16s%2Fg%2F1tx_6x9n!19sChIJlXCpPIil0ocRwl2Hd6Lc068,OFF THE GRID SYSTEMS LLC,5.0,5,Electric generator shop,"25004 Alneta Loop, Little Rock, AR 72223, United States","QFJ5+P6 Little Rock, Arkansas, USA",,+1 501-246-1448,Closes soon · 5 pm · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPA_2_YYyC-smMRHc-6_PFmnTuUfopy2PZRTbrW=w408-h408-k-no,true,10 am–5 pm,Closed,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:46:24.003Z,· In-store shopping · Kerbside pickup · Delivery,
https://www.google.com/maps/place/Mister+Sparky%C2%AE+of+Little+Rock/data=!4m7!3m6!1s0x87d2a7be6951eec7:0x3e7890df6c618f3!8m2!3d34.8348011!4d-92.1684407!16s%2Fg%2F11clyy8nj3!19sChIJx-5Rab6n0ocR8xjG9g2J5wM,Mister Sparky® of Little Rock,4.9,1609,Electrician,"9022 Landers Rd ste g, North Little Rock, AR 72117, United States","RRMJ+WJ North Little Rock, Arkansas, USA",https://www.mistersparky.com/little-rock/,+1 501-238-6632,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPVoD99GRDobwAEw2tWW1jNuQGWOAKYo731ensF=w408-h612-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Hillcrest+Little+Rock+AR/@34.7547449,-92.3246274,14z",2026-01-10T22:46:28.778Z,,LGBTQ+ friendly
