placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,tuesday,wednesday,thursday,friday,saturday,sunday,monday,attributes,error
https://www.google.com/maps/place/Parking+Enforcement+Systems/data=!4m7!3m6!1s0x88891b974d059b7d:0x4540732fb6b95f62!8m2!3d33.5123558!4d-86.7926483!16s%2Fg%2F1v2pqzq7!19sChIJfZsFTZcbiYgRYl-5ti9zQEU,Parking Enforcement Systems,1.3,165,Government office,"2608 5th Ave S, Birmingham, AL 35233, United States","G664+WW Birmingham, Alabama, USA",,+1 205-324-7275,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx3_bK3LR4MkVtd0HxVJmu6r4qCEZ7EMO72sXKYAWZKWRogJnUJl9DcFtGxaUDeKxec6915i65RLyX-Lt8vzPmhgh362Cx9NsGUODm2q30ENdxFpVtxsZuTXufC9Mw4sU77CUE=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:12.741Z,,,,,,,,,,
https://www.google.com/maps/place/Alabama+Airport+Parking/data=!4m7!3m6!1s0x88891a969c7219a7:0xa1c29f8473f2c167!8m2!3d33.549262!4d-86.7560032!16s%2Fg%2F1jmct3xsb!19sChIJpxlynJYaiYgRZ8Hyc4SfwqE,Alabama Airport Parking,4.6,113,Parking lot,"5333 Messer Airport Hwy, Birmingham, AL 35212, United States","G6XV+PH Birmingham, Alabama, USA",https://www.alabamaairportparking.com/,+1 205-978-2331,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMZO0vcRwVOymgdp3FSuBlgPgrtpkFiDP-LoNRj=w426-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:17.753Z,Identifies as veteran-owned,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,12 am–11:59 pm,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Magic+City+Parking/data=!4m7!3m6!1s0x88891b9802e05bb3:0x8e0fea9f3af01489!8m2!3d33.5206608!4d-86.80249!16s%2Fg%2F11f12368xc!19sChIJs1vgApgbiYgRiRTwOp_qD44,Magic City Parking,3.1,28,Valet parking service,"451 24th St N, Birmingham, AL 35203, United States","G5CX+72 Birmingham, Alabama, USA",https://magiccityparking.com/,+1 205-319-3239,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6xQLoL8zbbY8EXUIcK45dXnLXBQu_UnjSnnwPeOMIrmC--Kwtmlv156dsXFgycdz16Na_Cf_ZeUZuFVefBYfmOD_BsXqTm9NVtyh4xboJz9n5UX-aqbMC7UPfV6p5nl4OB6lubg=w426-h240-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:22.093Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Walmart+Supercenter/data=!4m7!3m6!1s0x88893faa53cc6ff1:0x52c17f8ed5f346d3!8m2!3d33.3478202!4d-86.6190613!16s%2Fm%2F03n_2m7!19sChIJ8W_MU6o_iYgR00bz1Y5_wVI,Walmart Supercenter,4.1,2118,Department store,"16077 US-280, Chelsea, AL 35043, United States","89XJ+49 Chelsea, Alabama, USA",https://www.walmart.com/store/4330-chelsea-al/?veh=seo_loc,+1 205-678-2222,,https://lh3.googleusercontent.com/p/AF1QipNSVY2IV7WqThYBBR6hzEfqOOg1N-uRFb-sTymq=w408-h244-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:27.066Z,,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,· In-store shopping · Kerbside pickup · Delivery,
https://www.google.com/maps/place/BHM+-+Daily+Parking/data=!4m7!3m6!1s0x88891aa4d150ae45:0x7c80f0d5199c4cc1!8m2!3d33.5607337!4d-86.7513587!16s%2Fg%2F11tjbwly4s!19sChIJRa5Q0aQaiYgRwUycGdXwgHw,BHM - Daily Parking,3.8,13,Parking lot,"5900 Messer Airport Hwy, Birmingham, AL 35212, United States","H66X+7F Birmingham, Alabama, USA",https://www.flybirmingham.com/parking-and-ground-transportation/,+1 205-599-0730,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzXEyrgzyJU5dPpB9y7I4Y-1k3x4efV446klQ0aEbRb1sc8t05dfeYRa5oL0SIX2Tx5ikQbMq5-U1yJUk9-cHBLU4V5Q75Pgy0Xo2WVOPzz80j9pgQv-n1BJ-BZF0ZVzN5MfLJ6ng=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:29.489Z,,,,,,,,,,
https://www.google.com/maps/place/National+Birmingham+Airport+Parking/data=!4m7!3m6!1s0x88891b44f76f4d85:0x9a7011e4226af816!8m2!3d33.5493108!4d-86.7615283!16s%2Fg%2F11l5g9x8st!19sChIJhU1v90QbiYgRFvhqIuQRcJo,National Birmingham Airport Parking,4.8,40,Parking lot,"1500 50th St N, Birmingham, AL 35212, United States","G6XQ+P9 Birmingham, Alabama, USA",https://national-parking.com/,+1 205-777-3335,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxvxI5jC4y4rUvPuoHzuvjcH3JtOf3uYQeQLBM4t0-doV5BuD9K6yuEeXHdGETzQwLwomogK-7fF_5u_GskYVk6qeZARR8KxWeiycgTht58BDmu0q8D1viXQcm7zYdr8pS7PEyY63A09RIC=w408-h544-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:33.820Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Birmingham+Parking+Authority+Administrative+Offices/data=!4m7!3m6!1s0x88891b96c140e9ef:0xdfd96d1da128b61a!8m2!3d33.5167737!4d-86.8113406!16s%2Fg%2F1hc5c855_!19sChIJ7-lAwZYbiYgRGrYooR1t2d8,Birmingham Parking Authority Administrative Offices,5.0,2,Municipal administration office,"1732 5th Ave N, Birmingham, AL 35203, United States","G58Q+PF Birmingham, Alabama, USA",http://www.bhamparking.com/,+1 205-321-7050,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGpUEdEKTvMKCjsgcGuDIVe26RWmheCxImRpBjKfyGowCB_qxeKRlYEg_hytURGPxGc22gZMmkKZH6H3etEnebWCyFWx_gzIdKEZcmfe0CbnS0d2YiIt3ODNr6W9yFC0VG7ygV=w408-h306-k-no,false,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:38.088Z,,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/Birmingham+Parking+Authority/data=!4m7!3m6!1s0x88891bbdeef95dd7:0x6b57a03f026489f0!8m2!3d33.5167812!4d-86.8113061!16s%2Fg%2F1trvm623!19sChIJ11357r0biYgR8IlkAj-gV2s,Birmingham Parking Authority,2.5,22,Parking lot,"1732 5th Ave N, Birmingham, AL 35203, United States","G58Q+PF Birmingham, Alabama, USA",http://www.bhamparking.com/,+1 205-321-7050,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxwVMsCU-ITZ2oJuhZxMW3mPR2qcpbM7vOnQQ3AHs0UBeUBXxz-LfS0t_FiWsvysm-qotbsUmTS8fd132PAqLlaoskIzooq_t7Qwll7OnZnJ0h7etzuxVs97pe4S0dGREJlMT0Q=w408-h544-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:42.669Z,,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,,
https://www.google.com/maps/place/Rare+Transportation/data=!4m7!3m6!1s0x88893d4e03c9fc37:0xbef86b292647a5b9!8m2!3d33.3358529!4d-86.7874629!16s%2Fg%2F1261_phmf!19sChIJN_zJA049iYgRuaVHJilr-L4,Rare Transportation,5.0,235,Transportation service,"451 Southgate Dr, Pelham, AL 35124, United States","86P7+82 Pelham, Alabama, USA",http://www.raretransportation.com/,+1 205-980-7273,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNo3ELZVRRVW1IkqCCdkayplFMnqpcnkyJPmjoR=w458-h240-k-no,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:47.546Z,Identifies as women-owned,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,,
https://www.google.com/maps/place/parkingmgt.com/data=!4m7!3m6!1s0x88891bd8eedec0d3:0xbf0cda0b43dcbd96!8m2!3d33.5056255!4d-86.813946!16s%2Fg%2F11v48rx_zk!19sChIJ08De7tgbiYgRlr3cQwvaDL8,parkingmgt.com,3.0,2,Parking lot,"1201 2nd Ave S, Birmingham, AL 35233, United States","G54P+7C Birmingham, Alabama, USA",https://parkingmgt.com/1201-2nd-ave-s-birmingham/,,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p1B2K21piVCqhSSdMR-0WQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=193.01723&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Chelsea+Birmingham+AL/@33.3401108,-86.6302625,14z",2025-10-28T18:31:52.179Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
