placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,saturday,sunday,monday,tuesday,wednesday,thursday,friday,info,isBlackOwned,attributes,error
"https://www.google.com/maps/place/Planet+Connections+and+Electrical,+LLC./data=!4m7!3m6!1s0x88579e28ee3549df:0x53e9fd888f7daab0!8m2!3d34.9103849!4d-81.9334092!16s%2Fg%2F11d_z5s7rb!19sChIJ30k17iieV4gRsKp9j4j96VM","Planet Connections and Electrical, LLC.",5.0,30,Electrician,"357 South Ave, Spartanburg, SC 29306, United States","W368+5J Spartanburg, South Carolina, USA",http://www.planetconnectionsllc.com/,+1 855-584-4243,,https://lh3.googleusercontent.com/p/AF1QipNPY5E2C90HG2FLrcZpmqoAEFlBpMbNGTKfY6Ce=w408-h408-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:28:38.893Z,,,,,,,,,,,
https://www.google.com/maps/place/Knights+Tech+Electric/data=!4m7!3m6!1s0xad8384b79c558245:0xfb243c6e6d1b4106!8m2!3d34.9647652!4d-81.9562024!16s%2Fg%2F11svrs3yhd!19sChIJRYJVnLeEg60RBkEbbW48JPs,Knights Tech Electric,4.9,31,Electrician,"1014 Howard St, Spartanburg, SC 29303, United States","X27V+WG Spartanburg, South Carolina, USA",http://www.knightstechelectric.com/,+1 864-612-0405,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipMMA6TyA6Ug_UDKuHVftFB_GukfxnZBINFCbOSP=w408-h306-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:28:44.517Z,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,,,,
https://www.google.com/maps/place/Cassel+Electric+Inc/data=!4m7!3m6!1s0x88579e1eb0fa1063:0xfea64dbe69934747!8m2!3d34.942316!4d-81.9358878!16s%2Fg%2F1tscpqqv!19sChIJYxD6sB6eV4gRR0eTab5Npv4,Cassel Electric Inc,4.9,9,General contractor,"314 Exchange St, Spartanburg, SC 29306, United States","W3R7+WJ Spartanburg, South Carolina, USA",,+1 864-585-4208,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzY8rDXw_MYnRA4RjIhNrv9N0E2xgjbjU7zXqJspqDgFbpirF4TZ2zcvRU5yAHG5lgza3HyYEj5IsSeSUnY6J_kxUO7UdvPwnzf6D3bC_GDVyO6ZiMqrwX4owsbKv_bB5UaICE=w520-h240-k-no,false,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:28:47.516Z,,,,,,,,,,,
"https://www.google.com/maps/place/Clark+Electric+Service,+Inc./data=!4m7!3m6!1s0x8857763eb58592cf:0x4137d4cbb9607151!8m2!3d34.9678085!4d-81.9805523!16s%2Fg%2F1tdlh_sl!19sChIJz5KFtT52V4gRUXFgucvUN0E","Clark Electric Service, Inc.",4.7,14,Electrician,"458 Old Greenville Rd, Spartanburg, SC 29301, United States","X299+4Q Spartanburg, South Carolina, USA",https://clarkelectricservice.com/,+1 864-587-7000,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipOQZHMdQPUYPy_Zqoh0wKdSoZUMIf91APBiHwXK=w408-h725-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:28:52.349Z,Closed,Closed,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,7 am–5:30 pm,Identifies as veteran-owned,,,
https://www.google.com/maps/place/Kweli+Electrical+Enterprises+LLC/data=!4m7!3m6!1s0x88579fb7f9bb287f:0x74da74471b754de5!8m2!3d34.9320681!4d-81.9194779!16s%2Fg%2F11p46nvc4b!19sChIJfyi7-befV4gR5U11G0d02nQ,Kweli Electrical Enterprises LLC,5.0,1,Electrical installation service,"196 Collins Ave, Spartanburg, SC 29306, United States","W3JJ+R6 Spartanburg, South Carolina, USA",,+1 864-214-5778,Closed · Opens 12 am Mon,https://lh3.googleusercontent.com/p/AF1QipOd6Pefu1FpdJmrmCkbDZDkhebZBbymj9PX5CGx=w408-h306-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:28:57.449Z,Closed,Closed,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,LGBTQ+ friendly,true,,
https://www.google.com/maps/place/GWH+Electric+Inc/data=!4m7!3m6!1s0x885775d06bc70191:0xd17c35500c3081b5!8m2!3d34.9816037!4d-81.9441973!16s%2Fg%2F11f0wm8hrr!19sChIJkQHHa9B1V4gRtYEwDFA1fNE,GWH Electric Inc,5.0,5,Utility contractor,"1217 Boiling Springs Rd, Spartanburg, SC 29303, United States","X3J4+J8 Spartanburg, South Carolina, USA",http://gwhelectric.com/,+1 864-310-6800,Closed · Opens 7 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oSAv0NxPkCiMGE3evd6MBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=78.20685&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:29:02.384Z,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,,,,
https://www.google.com/maps/place/Five+Star+Plumbing+Heating+Cooling/data=!4m7!3m6!1s0x885775d11398d899:0x9fe0964d2b4543c8!8m2!3d34.9845096!4d-81.9462345!16s%2Fg%2F1vl9s63c!19sChIJmdiYE9F1V4gRyENFK02W4J8,Five Star Plumbing Heating Cooling,4.7,216,Heating contractor,"1246 Boiling Springs Rd, Spartanburg, SC 29303, United States","X3M3+RG Spartanburg, South Carolina, USA",https://www.fivestartoday.com/,+1 864-306-4898,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxu8ahhdM1mt1nximFi3XhF9Nou73kpn4iZ_j_viUZKLbrim0gWXojZh8GV3Ldy7-nbLAq9CbbShwdtXZVkuzt7pjbh2ou2rTuOQLB5RAZT7LBGgGVUdo1Ve12uoSAQuFvIpgpx8g=w408-h544-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:29:07.703Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/All-Phase+Electric+Supply/data=!4m7!3m6!1s0x88579e2a2e760fbf:0xd282ab35906f104d!8m2!3d34.9433121!4d-81.9144894!16s%2Fg%2F1vyn4kqb!19sChIJvw92LiqeV4gRTRBvkDWrgtI,All-Phase Electric Supply,4.9,12,Electrical supply store,"539 Union St, Spartanburg, SC 29306, United States","W3VP+86 Spartanburg, South Carolina, USA",https://apespartanburg.portalced.com/,+1 864-585-0103,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzc_xXyoODDElLYQta6pXSiK4Fn-BTlcc1wDaLx1vvhv9KDek6Pm98jtjlXVqaCnenlyWoB3IHbky2D8qXgXYvTS0LZvDSZ4VF0lKrj4ORHxZaXhCDCL8OzB0cYgXdvircOJMX4=w408-h285-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:29:12.733Z,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–4:30 pm,,,· In-store shopping · Kerbside pickup · Delivery,
"https://www.google.com/maps/place/DRJ+Electrical+Service,+LLC/data=!4m7!3m6!1s0x6bdce09b94f677dd:0xc289492597d45516!8m2!3d34.584375!4d-82.3602624!16s%2Fg%2F11wqfjmmpl!19sChIJ3Xf2lJvg3GsRFlXUlyVJicI","DRJ Electrical Service, LLC",5.0,2,Electrician,,,https://www.drjelectricalservice.com/,+1 864-706-6117,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipOdRrYXAhL5W9KJaotudloo68fxEPgr5350KXp6=w408-h612-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:29:17.545Z,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,,,,
"https://www.google.com/maps/place/Davis+Services,+Inc./data=!4m7!3m6!1s0x8857746a86bdd0cd:0x5fb6064a42ab9bc1!8m2!3d35.0125528!4d-81.9295939!16s%2Fg%2F1tm8l91k!19sChIJzdC9hmp0V4gRwZurQkoGtl8","Davis Services, Inc.",4.8,3433,HVAC contractor,"111 Davis Rd, Spartanburg, SC 29303, United States","237C+25 Spartanburg, South Carolina, USA",http://davisservicesinc.com/?utm_campaign=gmb,+1 864-362-2198,"Open 24 hours

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO3e8hIFUMhMxEiyTsXPTRrP5FOSWdi5fj-hOJv=w426-h240-k-no,true,"https://www.google.com/maps/search/generator+installation+services+in+Spartanburg+Spartanburg+SC/@34.9515959,-81.9327167,14z",2026-01-10T22:29:22.602Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
