placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,error,info,attributes,isBlackOwned
https://www.google.com/maps/place/Elite+Parking+Services+Of+America/data=!4m7!3m6!1s0x88e5b71739edfd6d:0x253247cd77aad13b!8m2!3d30.3259125!4d-81.6599096!16s%2Fg%2F12lr50lc4!19sChIJbf3tORe35YgRO9Gqd81HMiU,Elite Parking Services Of America,2.2,34,Corporate campus,"76 S Laura St #1702, Jacksonville, FL 32202, United States","88GR+92 Downtown, Jacksonville, FL, USA",https://eliteparkingofamerica.com/,+1 904-297-4437,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0ZX0OfjPprZaBQKiZ5lt-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=294.32877&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-28T18:46:53.645Z,,,,
https://www.google.com/maps/place/WePark+Jax/data=!4m7!3m6!1s0x88e5cfaa142241b5:0x42f699da210f818c!8m2!3d30.1534919!4d-81.6218549!16s%2Fg%2F11t38px31r!19sChIJtUEiFKrP5YgRjIEPIdqZ9kI,WePark Jax,5.0,26,Valet parking service,"3386 Marbon Meadows Ln, Jacksonville, FL 32223, United States","593H+97 Southside, Jacksonville, FL, USA",https://weparkjax.com/,+1 904-615-6502,,https://lh3.googleusercontent.com/p/AF1QipMFp8-HzxYcDbyGfTjglRM0takxT_4wlgCKAm2H=w408-h335-k-no,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-28T18:46:57.167Z,,,,
https://www.google.com/maps/place/Terra+Park+Lot+%28Propark%29/data=!4m7!3m6!1s0x88e5b716b97d69c5:0xcad54cd7aa6621d4!8m2!3d30.325745!4d-81.6625465!16s%2Fg%2F1263jnldd!19sChIJxWl9uRa35YgR1CFmqtdM1co,Terra Park Lot (Propark),2.0,21,Parking lot,"317 Water St, Jacksonville, FL 32202, United States","88GP+7X Downtown, Jacksonville, FL, USA",https://www.propark.com/facilities/parking-for-terra-park-lot/,+1 904-360-8603,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy5KyrO_xI_VO51Yn_2fLd2STz4RgE6ylR1LTMM2KT6GjV8DuWYrWphja4hE6qyLtapVcSmbGViyebfIcqcydaw5C4ItYGqSSjjx36YUKZThPjbAg1OIlmbrnEV9TDlWmp40TMM=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-28T18:47:02.047Z,,,,
https://www.google.com/maps/place/A1A+Valet+Parking/data=!4m7!3m6!1s0x88e449a0e17a0a5f:0x89721c75f9e8194a!8m2!3d30.34499!4d-81.683107!16s%2Fg%2F1pp2tjlm6!19sChIJXwp64aBJ5IgRShno-XUccok,A1A Valet Parking,4.6,48,Transportation service,,,http://www.a1avalet.com/,+1 904-300-7549,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipN5NyB44ZiH4NbflactiYaiBH3AwOM6uceiPxiq=w408-h265-k-no,true,9 am–11 pm,9 am–11 pm,9 am–11 pm,9 am–11 pm,9 am–11 pm,9 am–11 pm,9 am–11 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-28T18:47:07.394Z,,,,
https://www.google.com/maps/place/PMC+Parking/data=!4m7!3m6!1s0x88e449f45384fe27:0x95d11efe69e2cf65!8m2!3d30.2926907!4d-81.3898404!16s%2Fg%2F11vctb6lzd!19sChIJJ_6EU_RJ5IgRZc_iaf4e0ZU,PMC Parking,5.0,1,Parking garage,"465 1st St N, Jacksonville Beach, FL 32250, United States","7JV6+33 Jacksonville Beach, Florida, USA",https://parkingmgt.com/jacksonville-beach-parking-springhill-suites-jacksonville-beach-oceanfront-parking-garage-465-1st-st-n-jacksonville-beach-fl/,+1 930-200-6818,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzfNDOmMAFaLgj5lypavyTBEgoSAhtlr2Ex1E_CsGVpJBpYBVbW2rAn_4fuCANWw4Uu5skWqNVJYExBHg1-GMnMnBp2ySLo2NzjJ_hHjtBxBuHVzBYgBe7YTB95n0nRW2y3ZlgO=w408-h463-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-28T18:47:12.315Z,,,,
https://www.google.com/maps/place/Jacksonville+Valet+Parking/data=!4m7!3m6!1s0x88e5c955cae7bda7:0xdf46c56af2ac2fad!8m2!3d30.1723247!4d-81.606131!16s%2Fg%2F1hcb5j2kb!19sChIJp73nylXJ5YgRrS-s8mrFRt8,Jacksonville Valet Parking,,,Valet parking service,"11250 Old St Augustine Rd #15, Jacksonville, FL 32257, United States","59CV+WG Southwood, Jacksonville, FL, USA",http://www.jacksonvillevalet.com/,+1 877-359-9912,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM4yjDC0-EAMVXgFJ_cmqT0CZ6euMdLELW42Tla=w408-h351-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-28T18:47:17.024Z,,,,
https://www.google.com/maps/place/One+Enterprise+Garage+%28Propark%29/data=!4m7!3m6!1s0x88e5b71695872125:0x4463291574c2bd1f!8m2!3d30.3266181!4d-81.6626241!16s%2Fg%2F11b7cgkmwp!19sChIJJSGHlRa35YgRH73CdBUpY0Q,One Enterprise Garage (Propark),2.2,29,Parking garage,"336 W Bay St, Jacksonville, FL 32202, United States","88GP+JX Downtown, Jacksonville, FL, USA",https://www.propark.com/facilities/parking-for-enterprise-garage/,+1 904-355-5129,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwl2BO8wbzOmnFhG5nhj-lvMm3EBYagq04tfS091ptdAbu4Hs6-sn9NaFqLV8jqlNp3k29hBxByMpdrmLGpTm0_Qn4J-5GoZ8iQhpp0EBR6OLNZ7-YscZUolM6PjjRlFC6xa1Ir=w408-h260-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-28T18:47:22.006Z,,,,
https://www.google.com/maps/place/General+Parking/data=!4m7!3m6!1s0x88e437b1798d216f:0x9c3c692ba7238fe0!8m2!3d30.1906241!4d-81.3837992!16s%2Fg%2F11ghfnygv5!19sChIJbyGNebE35IgR4I8jpytpPJw,General Parking,,,Parking lot,"5430 Palm Vly Rd, Ponte Vedra Beach, FL 32082, United States","5JR8+6F Ponte Vedra Beach, Florida, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyUMUFv5Nm17FW8Nv9rFANnsaOM_oNgLfNtnf_RwA8VniqftS3YWG5hTwW0y39_6daQyORSvVaYMCOUjbmy7QqItd9aT0nDVafz8zjN07iANY8ppld7Stng_vgG_L8H2cqPJKNU=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Palm+Valley+Jacksonville+FL/@30.1774649,-81.3875817,14z",2025-10-28T18:47:24.754Z,,,,
,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Fleming+Island+Jacksonville+FL/@30.0847449,-81.7183733,14z",2025-10-28T18:47:34.174Z,No new results found,,,
https://www.google.com/maps/place/Golden+Isles+Valet+Parking/data=!4m7!3m6!1s0x88e5c955c54f0825:0x69f5d6937ec1d5cc!8m2!3d30.1717018!4d-81.606184!16s%2Fg%2F1hm1wchjn!19sChIJJQhPxVXJ5YgRzNXBfpPW9Wk,Golden Isles Valet Parking,5.0,1,Valet parking service,"11250 Old St Augustine Rd, Jacksonville, FL 32257, United States","59CV+MG Southwood, Jacksonville, FL, USA",,+1 877-359-9912,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zgHkUM2WeH402D7qKj_ZoQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=283.0278&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Fruit+Cove+Jacksonville+FL/@30.1110746,-81.641758,14z",2025-10-28T18:47:47.958Z,,,,
