placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Raynor+Door+Authority+of+New+England/data=!4m7!3m6!1s0x89e24e4affcd691d:0xe74f7daa4b34aa5!8m2!3d42.9763591!4d-71.4099175!16s%2Fg%2F1tx_7c2g!19sChIJHWnN_0pO4okRpUqzpNr3dA4,Raynor Door Authority of New England,4.7,75,Garage door supplier,"444 E Industrial Park Dr Unit 3, Manchester, NH 03109, United States","XHGR+G2 Manchester, New Hampshire, USA",https://raynordoorauthority.com/locations/new-england/?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=gbp_nh_manchester,+1 603-628-3667,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPLpb9qql-km6fNwZWouw80_KBoLaNsG1d0GuqJ=w408-h248-k-no,true,7 am–4 pm,Closed,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-11-07T23:02:31.784Z,,,,
https://www.google.com/maps/place/D.C+Moran+Garage+Door+Repair/data=!4m7!3m6!1s0x89e24f8c5b16538f:0x1115832f763ab4c6!8m2!3d43.010238!4d-71.410317!16s%2Fg%2F11g03087k_!19sChIJj1MWW4xP4okRxrQ6di-DFRE,D.C Moran Garage Door Repair,5.0,1,General contractor,"224 Lakeview Ln, Manchester, NH 03104, United States","2H6Q+3V Manchester, New Hampshire, USA",,+1 603-557-3984,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gMPaD0fj-l2JBuL4W8Scfg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.68317&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-11-07T23:02:34.648Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Same+Day+Garage+Door+Repair+NH/data=!4m7!3m6!1s0x4fe6cd2daaa2dc65:0x8cbee71bc9282cc1!8m2!3d44.0014099!4d-71.566109!16s%2Fg%2F11wfjymdjv!19sChIJZdyiqi3N5k8RwSwoyRvnvow,Same Day Garage Door Repair NH,4.7,43,Garage door supplier,,,http://www.samedaygaragedoorrepairnh.com/,+1 603-716-9986,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipMxrdSSTE1vN4y1xDxax-Pw26OZqC_QZ57zi4jV=w408-h271-k-no,true,7:30 am–8 pm,9 am–2 pm,7:30 am–5 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,7:30 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-11-07T23:02:39.077Z,LGBTQ+ friendly,true,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Manchester/data=!4m7!3m6!1s0x89e2526b55604259:0xa5d58b641e0a9fe3!8m2!3d42.9858442!4d-71.4114292!16s%2Fg%2F1vtqx2y0!19sChIJWUJgVWtS4okR458KHmSL1aU,Overhead Door Company of Manchester,2.8,13,Garage door supplier,"900 Candia Rd, Manchester, NH 03109, United States","XHPQ+8C Manchester, New Hampshire, USA",http://www.overheaddoor-manchester.com/,+1 603-434-2911,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uHRIeaticZjw1tNOhMfmlw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=332.0567&pitch=0&thumbfov=100,true,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-11-07T23:02:43.901Z,,,,
https://www.google.com/maps/place/EDO+Garage+Door+Repair/data=!4m7!3m6!1s0x89e245aa2d5583c1:0x9431bd9bbba8e254!8m2!3d43.154121!4d-71.33262!16s%2Fg%2F11x7qm5jst!19sChIJwYNVLapF4okRVOKou5u9MZQ,EDO Garage Door Repair,5.0,9,Garage door supplier,,,http://www.edogaragedoorrepair.com/Hooksett-NH.html,+1 833-435-5530,Open ⋅ Closes 7:30 pm,https://lh3.googleusercontent.com/p/AF1QipMbrWWd9W3kACvWH7za2WP0seC1-IM__5oWK30G=w408-h306-k-no,true,7:30 am–7:30 pm,7:30 am–5 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-11-07T23:02:48.225Z,,,,
https://www.google.com/maps/place/Precision+Door+Service/data=!4m7!3m6!1s0x89e2534a5650c2a1:0xb96255f0fe514e10!8m2!3d42.8978924!4d-71.339549!16s%2Fg%2F11lgv3_41p!19sChIJocJQVkpT4okREE5R_vBVYrk,Precision Door Service,4.9,404,Garage door supplier,"1A Rockingham Rd #2, Londonderry, NH 03053, United States","VMX6+55 Londonderry, New Hampshire, USA",https://precisiondoornewhampshire.com/?utm_source=gmb&utm_medium=location_londonderry&utm_campaign=website,+1 603-932-4990,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzkKDe7LBQcapTLsOS8Id9lWo6VH0sEBVlJNNxCRx8ZAsfhV_a15ui8Aa6NfnpN9FwVLx2mraq6KB3aNjye-7SoxDE5NIXOSt_1qGpXZg8WbqRRzR9a4l0ipxskuP0bMrD4Go3uWa_Ke_1o=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-11-07T23:02:52.708Z,,,,
https://www.google.com/maps/place/Banner+Doors+Corp./data=!4m7!3m6!1s0x89e24f577b798af7:0x57a87cab6ba7ae9b!8m2!3d42.9856977!4d-71.4122648!16s%2Fg%2F11fszz8xdl!19sChIJ94p5e1dP4okRm66na6t8qFc,Banner Doors Corp.,5.0,3,Door supplier,"880 Candia Rd, Manchester, NH 03109, United States","XHPQ+73 Manchester, New Hampshire, USA",http://www.general-doors.com/,+1 603-232-0268,Closed ⋅ Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMPw5SZcUicWH4zKoR3DuI6cKklgGoUToMhqwoW=w408-h306-k-no,true,7 am–3:30 pm,Closed,Closed,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Manchester+NH/@42.9956397,-71.4547891,14z",2025-11-07T23:02:56.996Z,,,,
"https://www.google.com/maps/place/Lizzie%27s+Garage+Doors,+LLP/data=!4m7!3m6!1s0x89e3b0b88671fb0d:0x244c00604aad8fd1!8m2!3d42.751323!4d-71.4868121!16s%2Fg%2F1vv2t7r6!19sChIJDftxhriw44kR0Y-tSmAATCQ","Lizzie's Garage Doors, LLP",4.8,452,Garage builder,"4 Daniels St, Nashua, NH 03060, United States","QG27+G7 Nashua, New Hampshire, USA",https://www.lizziesgaragedoors.com/,+1 603-882-6869,Closed ⋅ Opens 7 am Sat,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw8vAuhrkB6YeohRZq7wTPTJixrqmO2NZ98pW_G4_MCiqwlNr6qyOJlECG-bKvc4s_b1p1m4CQR6f5eAQ7-2eQ1aiLY6BHJBLXY137vwFGRPOYfoDijWVXArFI5USr6goBZKIxtJNX_Slg=w408-h306-k-no,true,7 am–6 pm,7 am–1 pm,Closed,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Nashua+NH/@42.7557494,-71.4764421,14z",2025-11-07T23:03:09.634Z,,,,
https://www.google.com/maps/place/Nashua+Garage+Door+Repair+LLC/data=!4m7!3m6!1s0x89e3b1c19b916c29:0x4ddae9bbcc0e45c!8m2!3d42.7596061!4d-71.4708436!16s%2Fg%2F11ny3f5k74!19sChIJKWyRm8Gx44kRXOTAvJuu3QQ,Nashua Garage Door Repair LLC,,,Garage door supplier,"1 Chestnut St F350, Nashua, NH 03060, United States","QG5H+RM Nashua, New Hampshire, USA",,,Open ⋅ Closes 10 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lxZOWtpRwqo8-inOOXJl1w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=299.75824&pitch=0&thumbfov=100,false,7 am–10 pm,7 am–10 pm,Closed,7 am–10 pm,7 am–10 pm,7 am–10 pm,7 am–10 pm,"https://www.google.com/maps/search/garage+door+services+in+Nashua+NH/@42.7557494,-71.4764421,14z",2025-11-07T23:03:14.064Z,,,,
https://www.google.com/maps/place/HighLevel+Garage+Doors/data=!4m7!3m6!1s0x89e3b134b405f897:0x517618610ce1f55f!8m2!3d42.7600499!4d-71.449708!16s%2Fg%2F11ylzrlrs2!19sChIJl_gFtDSx44kRX_XhDGEYdlE,HighLevel Garage Doors,5.0,2,Garage door supplier,"19 Crown St, Nashua, NH 03060, United States","QH62+24 Nashua, New Hampshire, USA",https://callhighlevel.com/,+1 603-821-4150,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipN2W4JaWe6nITWFKX_GQR5J_kM1IkCgC9YaUw__=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Nashua+NH/@42.7557494,-71.4764421,14z",2025-11-07T23:03:18.488Z,,,,
