placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Torres+Turn+Key+Property+Management/data=!4m7!3m6!1s0x89d6b5e4f24af75d:0x7cb03b3f5b0aba7!8m2!3d43.1863891!4d-77.6059358!16s%2Fg%2F11c58nhqb4!19sChIJXfdK8uS11okRp6uw9bMDywc,Torres Turn Key Property Management,4.1,341,Property management company,"645 Norton St, Rochester, NY 14621, United States","59PV+HJ Rochester, New York, USA",https://www.torresturnkey.com/,+1 585-775-7761,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipM5BU1Ctsqsmr3WYY3G97gF9V00ay5_x3xwx9q8=w408-h408-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:47:15.084Z,,,
"https://www.google.com/maps/place/Maison+Management,+Inc/data=!4m7!3m6!1s0x89d6b5ac93c41fd9:0x11f507713b8a3731!8m2!3d43.1413637!4d-77.58675!16s%2Fg%2F11fzz98qsy!19sChIJ2R_Ek6y11okRMTeKO3EH9RE","Maison Management, Inc",3.9,303,Property management company,"44 Field St Rear Building, Rochester, NY 14620, United States","4CR7+G8 Rochester, New York, USA",http://www.maisonapartments.com/,+1 585-256-7368,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipPA5fH7zpyUxO98AVSK1r44dr8PLj_SweIfOCgs=w426-h240-k-no,true,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:47:21.346Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Chauncey+Property+Management/data=!4m7!3m6!1s0x89d6b54b0863ec47:0xb3a7e73e8a15c37c!8m2!3d43.1620511!4d-77.6098902!16s%2Fg%2F11fl5qz2f8!19sChIJR-xjCEu11okRfMMVij7np7M,Chauncey Property Management,4.6,37,Property management company,"263 Central Ave, Rochester, NY 14605, United States","596R+R2 Rochester, New York, USA",http://chaunceypm.com/,+1 585-413-1349,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ucIbUoAoH1EXKWAT3ZqJ1Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=138.767&pitch=0&thumbfov=100,true,10 am–5 pm,Closed,Closed,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:47:26.106Z,,,
"https://www.google.com/maps/place/Webster+Properties,+LLC/data=!4m7!3m6!1s0x89d6b53aa2566095:0x769d9c3930749dca!8m2!3d43.1555532!4d-77.5948499!16s%2Fg%2F1v27wh3y!19sChIJlWBWojq11okRyp10MDmcnXY","Webster Properties, LLC",4.4,71,Property management company,"350 East Ave #203, Rochester, NY 14604, United States","5C44+63 Rochester, New York, USA",http://www.websterprop.com/,+1 585-465-5000,Closes soon ⋅ 3:30 pm ⋅ Opens 9 am Fri,https://lh3.googleusercontent.com/p/AF1QipP6rCf3qemt_XlCRMf_OlPZ4c_T2hCtTJJyQNYY=w408-h611-k-no,true,9 am–3:30 pm,9 am–3:30 pm,Closed,Closed,9 am–3:30 pm,9 am–3:30 pm,9 am–3:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:47:31.277Z,,,
"https://www.google.com/maps/place/Lighthouse+Management,+LLC/data=!4m7!3m6!1s0x89d6b45b080c5009:0xda8b8131bd8eb9f5!8m2!3d43.1487967!4d-77.5788117!16s%2Fg%2F11b76p7l3t!19sChIJCVAMCFu01okR9bmOvTGBi9o","Lighthouse Management, LLC",2.8,75,Property management company,"620 Park Ave #374, Rochester, NY 14607, United States","4CXC+GF Rochester, New York, USA",https://www.lighthouserochester.com/,+1 585-544-5649,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrYSte_uneSsZTYLqVdrl58lFb5K7R-M03CTr-pYPP5mxfS-U0Tap8Vp2auN56rAJftyjtTes9JJOibDJf7RK7D4CEQ-r5qf1KMKLp3N4PaGmm3SooZzTm_veTlmLBqelAn47Vw=w426-h240-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:47:36.673Z,,,
"https://www.google.com/maps/place/Flaum+Management+Co.,+Inc./data=!4m7!3m6!1s0x89d6b5ac5c1cd749:0xce62e9c8c66db315!8m2!3d43.16057!4d-77.604397!16s%2Fg%2F1tcws3pz!19sChIJSdccXKy11okRFbNtxsjpYs4","Flaum Management Co., Inc.",4.0,25,Commercial real estate agency,"400 Andrews St #500, Rochester, NY 14604, United States","596W+66 Rochester, New York, USA",http://www.flaummgt.com/,+1 585-546-4866,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPK2mijoDkMlALnzdko3oaFWML9UHMh9M7VtCST=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:47:42.065Z,,,
https://www.google.com/maps/place/Updegraff+Management/data=!4m7!3m6!1s0x89d6b51c36c60373:0x38ba7c39b8e4ee7b!8m2!3d43.1395275!4d-77.5818893!16s%2Fg%2F11b66k1g2h!19sChIJcwPGNhy11okRe-7kuDl8ujg,Updegraff Management,4.0,146,Property management company,"1039 Monroe Ave, Rochester, NY 14620, United States","4CQ9+R6 Rochester, New York, USA",http://updegraffmanagement.com/,+1 585-766-7751,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNOhicpNzduryIBPILQ-THAtJ4A1E5wv1h6KAgT=w408-h278-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:47:47.310Z,,,
"https://www.google.com/maps/place/Zona+Properties,+Inc.+-+Property%2FReal+Estate+Management/data=!4m7!3m6!1s0x89d6b512a029f18b:0x55a24cda818a50ee!8m2!3d43.1685922!4d-77.6080654!16s%2Fg%2F1w0sdv_w!19sChIJi_EpoBK11okR7lCKgdpMolU","Zona Properties, Inc. - Property/Real Estate Management",2.8,50,Property management company,"251 Joseph Ave, Rochester, NY 14605, United States","599R+CQ Rochester, New York, USA",https://www.zonaproperties.com/,+1 585-506-9430,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipMUnSNyxWxM6eEUmEwCHtU5YNXSpZZOuuDMLpN1=w630-h240-k-no,true,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:47:52.395Z,,,
https://www.google.com/maps/place/Gallagher+Property+Management/data=!4m7!3m6!1s0x89d14cbf72cd472f:0x214d127e6f8f952d!8m2!3d43.1075076!4d-77.6755598!16s%2Fg%2F113g4yg8s!19sChIJL0fNcr9M0YkRLZWPb34STSE,Gallagher Property Management,3.2,134,Property management company,"1504 Scottsville Rd #102, Rochester, NY 14623, United States","485F+2Q Rochester, New York, USA",https://www.gpmrochester.com/,+1 585-235-4337,"Open ⋅ Closes 5 pm

Confirmed by this business 1 week ago",https://lh3.googleusercontent.com/p/AF1QipPhJpgGk9O5rmKduJWFzQM8mofUDjEW3KZbJ27k=w408-h268-k-no,true,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:47:57.746Z,,,
https://www.google.com/maps/place/Kenrick+Corporation/data=!4m7!3m6!1s0x89d14abd68c556e9:0x2a03c7862323b6b7!8m2!3d43.094841!4d-77.576311!16s%2Fg%2F1tdxw_j1!19sChIJ6VbFaL1K0YkRt7YjI4bHAyo,Kenrick Corporation,2.2,36,Property management company,"3495 Winton Pl Suite D4, Rochester, NY 14623, United States","3CVF+WF Rochester, New York, USA",https://kenrickfirst.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1 585-424-1540,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipOTBO7SIouSZ33y-9c2vrv5pHsPqd4iOO7HcHi3=w947-h240-k-no,true,8:30 am–4 pm,8:30 am–4 pm,Closed,Closed,8:30 am–4 pm,8:30 am–4 pm,8:30 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Rochester+Rochester+NY/@43.1565779,-77.6088465,14z",2025-09-25T18:48:03.293Z,,,
