placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Tree+Removal+Buffalo+NY/data=!4m7!3m6!1s0x89d313217c93ab45:0x2429778439580871!8m2!3d42.8962391!4d-78.864442!16s%2Fg%2F11c6lxn048!19sChIJRauTfCET04kRcQhYOYR3KSQ,Tree Removal Buffalo NY,5.0,11,Tree service,,,http://www.olivebranchtree.com/,+1 716-241-0035,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHaXmt3iuHOYeNv9jabvLUyJFjENbqsQ6Y12QGJm1ewsVhZJzUuktik1SUNNF1PoX49ZSnn0Ayy2KaK0ytQIfR1Mp6V1rwSTENfB5w43FdMI6bWRwZwJ8Pg8prrxzUn0fGCZb-4=w408-h285-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:33:17.475Z,,,,
https://www.google.com/maps/place/Highland+Tree+Services+buffalo+ny/data=!4m7!3m6!1s0x89d36d95f10d2a23:0xf999610fd7b7037b!8m2!3d42.949095!4d-78.8816409!16s%2Fg%2F11ywh7_t2z!19sChIJIyoN8ZVt04kRewO31w9hmfk,Highland Tree Services buffalo ny,5.0,6,Tree service,"50 Norris St, Buffalo, NY 14207, United States","W4X9+J8 Buffalo, New York, USA",https://highlandtreeservicebuffalo.com/,+1 716-621-3222,"Open 24 hours

Updated by this business 4 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kari8nCD42CPFlGun6HZhg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=265.8194&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:33:23.520Z,,,,
https://www.google.com/maps/place/Arbor+Ridge+Tree+service+buffalo+ny/data=!4m7!3m6!1s0x89d36d36a1d26ad9:0x15156354c1e61fe5!8m2!3d42.9471228!4d-78.8633505!16s%2Fg%2F11ywb3r7c0!19sChIJ2WrSoTZt04kR5R_mwVRjFRU,Arbor Ridge Tree service buffalo ny,5.0,2,Tree service,"88 Traymore St, Buffalo, NY 14216, United States","W4WP+RM Buffalo, New York, USA",https://arborridgetreeservice.com/,+1 716-703-9002,"Open 24 hours

Updated by this business 4 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gbW_gL_i3d8rSPotIUuEeg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=279.05356&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:33:28.179Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/The+Buffalo+TreeTeam/data=!4m7!3m6!1s0x89d36df8d166f4e9:0xc7eea74290bbe429!8m2!3d42.9510995!4d-78.8741132!16s%2Fg%2F11yw49wc1f!19sChIJ6fRm0fht04kRKeS7kEKn7sc,The Buffalo TreeTeam,5.0,3,Tree service,"119 Botsford Pl, Buffalo, NY 14216, United States","X42G+C9 Buffalo, New York, USA",,+1 585-229-8733,"Open 24 hours

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGNPz3MQpWb7O-2RefwB9iwmkCU9RORN8mrqiqEA5ag8um5tyWgRcXG0Z-ScKAAktSaVat1bCW8QGA8w3btTNSmdLVUl47e397F_Ze8E2HdrpJC5q72aUvNJZyTGdRcTztLr-Sm8WShUpSS=w408-h704-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:33:33.008Z,,,,
https://www.google.com/maps/place/Northfield+Tree+Works/data=!4m7!3m6!1s0x89d3135755c382ff:0xba6eec00a99fc62d!8m2!3d42.9361747!4d-78.875368!16s%2Fg%2F11mzpyqm8s!19sChIJ_4LDVVcT04kRLcafqQDsbro,Northfield Tree Works,5.0,2,Tree service,"273 Nottingham Terrace, Buffalo, NY 14216, United States","W4PF+FV Buffalo, New York, USA",,+1 716-621-3111,"Open 24 hours

Updated by this business 7 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=U5G37LBUXS5g1Tj0I-Rg2Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=358.47043&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:33:37.734Z,,,,
https://www.google.com/maps/place/AAA+Dennis%27+Trees/data=!4m7!3m6!1s0x89d36d18f9a33f17:0xf94067164786159a!8m2!3d42.9678253!4d-78.8761576!16s%2Fg%2F11n95ljf2w!19sChIJFz-j-Rht04kRmhWGRxZnQPk,AAA Dennis' Trees,4.7,10,Tree service,"145 Kinsey Ave, Buffalo, NY 14217, United States","X49F+4G Buffalo, New York, USA",http://aaadennistrees.com/,+1 716-444-0898,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdQpVIG9XtEJeQ2TLVpaNJ19LjrZGq6_VC4JBVt-PmiwbUhBZiEf2rm91jmLRomFsDGTDiuKZUxTjHX7vJQFc1Yqn6nQiME60LyZ1hTJThoO_NSlrFWz0XLDuWKuMNIESE3Lde=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:33:42.519Z,,,,
https://www.google.com/maps/place/Huck%27s+Stump+Grinding/data=!4m7!3m6!1s0x89d3728aadfc73db:0x87603a185cafbc58!8m2!3d42.973407!4d-78.8160303!16s%2Fg%2F1w666db1!19sChIJ23P8rYpy04kRWLyvXBg6YIc,Huck's Stump Grinding,4.7,33,Tree service,"33 Carmen Rd, Buffalo, NY 14226, United States","X5FM+9H Buffalo, New York, USA",https://troytreeserviceco.com/,+1 716-834-5975,"Closed · Opens 7 am

Confirmed by this business 5 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhJF1_YS_F6c8UJcX4sTEduJx9WUaUv_E8DejSSLnNV3ZMLgdhcqPPIBZCVqBdXFBjPWnQ6aKnVh9QDbsZx1hiA-dWsj03_2AjcYmgejd4hrV0VhLkFBgzWZ2Aqj6WvFmgrljOxA=w408-h306-k-no,false,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:33:47.495Z,,,,
https://www.google.com/maps/place/KD+Tree+Service+Buffalo+NY/data=!4m7!3m6!1s0x89d3739a16e7d093:0xe5b4cb747dbf22e1!8m2!3d42.8962391!4d-78.864442!16s%2Fg%2F11kqnm_r51!19sChIJk9DnFppz04kR4SK_fXTLtOU,KD Tree Service Buffalo NY,4.9,273,Tree service,,,https://kdlawncareandtreeservicebuffalo.com/,+1 716-220-7282,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFf9vcQ_NrfzIGjrtCoeu1SQLYBhnHToUKG0AxzlVpMEZXIeiJjWWIhf7BnrtEvnC2wt8T4zVNuC9nrFqFXjhZF_3Zt1lrCezN8bI-KU9UolMj45fSngwjro8nqQJxpp9Jh0jB2=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:33:52.222Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Buffalo+Tree+Service/data=!4m7!3m6!1s0x89d312f8b4b44271:0x9401866450cd3e35!8m2!3d42.8860297!4d-78.7852958!16s%2Fg%2F11b6zr4ff9!19sChIJcUK0tPgS04kRNT7NUGSGAZQ,Buffalo Tree Service,4.8,196,Tree service,"1560 Harlem Rd Suite 15, Buffalo, NY 14206, United States","V6P7+CV Buffalo, New York, USA",http://www.buffalo-tree-service.com/,+1 716-803-8115,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHhVnQ_c-hN5LQLA7b7aecJDC89YcdI9xBUuK8IY39MSPF4lok9zNhvDXPxBUZ1CNpTLS0yV2PFMGbCYur5r0NOefU-flCHlYaKtqsHu7QYgZR_7QCn11xro3ovl5SEWDwE-ZLaLtS_-jJS=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:33:57.080Z,,,,
https://www.google.com/maps/place/Greg%27s+Tree+Services/data=!4m7!3m6!1s0x89d30d1400000001:0x85b226f036c87b7e!8m2!3d42.9109046!4d-78.8099539!16s%2Fg%2F1262w43vd!19sChIJAQAAABQN04kRfnvINvAmsoU,Greg's Tree Services,4.4,51,Tree service,"Buffalo, NY 14211, United States","W56R+92 Buffalo, New York, USA",http://www.gregstreeservices.com/,+1 716-892-0885,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHeNSn0mWJ3VEFFqwwDRRlQatvYMEpNVVOPE9Y-c7PkU5MAFoLdkK2t0CkcZI0JxG2c6-G-5cF2c4jv1422LlwvsXRddKENqewOfMoe5cbuczQnsJkSgYP-8xTovBy-aTRnslp8=w408-h333-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:34:01.949Z,,,,
https://www.google.com/maps/place/Branch+Specialists/data=!4m7!3m6!1s0x89d375f13c8d7577:0x5ff7513a592c10e7!8m2!3d42.998685!4d-78.7460559!16s%2Fg%2F11nwbsk7h8!19sChIJd3WNPPF104kR5xAsWTpR918,Branch Specialists,4.9,134,Tree service,"18 Cottonwood Dr, Buffalo, NY 14221, United States","X7X3+FH Buffalo, New York, USA",https://branchspecialists.com/,+1 716-400-0763,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2MWOrj0Xb2TX_jkXNsk1CnPqn494v8ypZs-VEsC-SNsW9bE2CLsYsZo2qxo2kbHYK3n9WVuck4OvJ7rsbQKk8eRUEON9M-gNk77-XGasIW-2RDmIQtj046AkKiX8VL69bnL5E=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:34:06.782Z,,,,
https://www.google.com/maps/place/Summit+Tree+Care/data=!4m7!3m6!1s0x89d36dffbf4303b7:0x116623c1d9af3ae9!8m2!3d42.9516167!4d-78.8977681!16s%2Fg%2F11nb2pk_9c!19sChIJtwNDv_9t04kR6Tqv2cEjZhE,Summit Tree Care,5.0,1,Tree service,"351 Crowley Ave, Buffalo, NY 14207, United States","X422+JV Buffalo, New York, USA",,+1 716-589-2939,"Closed · Opens 9 am

Updated by this business 3 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f1pInrxy80r2Dxe2W1LXdQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=211.82231&pitch=0&thumbfov=100,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:34:11.496Z,Identifies as women-owned,,,
https://www.google.com/maps/place/WNY+Tree+Specialists/data=!4m7!3m6!1s0x293aac1e8263f5f5:0xb03f3d6b33b713fa!8m2!3d42.9532132!4d-78.8866722!16s%2Fg%2F11ssjxb8mj!19sChIJ9fVjgh6sOikR-hO3M2s9P7A,WNY Tree Specialists,5.0,1,Tree service,"66 Rebecca Park, Buffalo, NY 14207, United States","X437+78 Buffalo, New York, USA",https://wnytreespecialists.com/,+1 716-321-0808,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHVlibiKoMw2dm-LSh8WPzlwnBTYtN1dFiWwKHaKVkgVi90B1kAvD8LDaouml8IxpBPFgRWOkk8U3z02-SVjDTa0r062DmllKyZ9v9RHHva4r8b001cq6_JOrA2lA7kTGTtfDLm4Q=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+North+Buffalo+Buffalo+NY/@42.9509105,-78.8488584,14z",2026-04-29T04:34:16.298Z,,,,
