placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,error
https://www.google.com/maps/place/Pro-Tech+Pool+Services/data=!4m7!3m6!1s0x865c5f6d4ac7f297:0xa7ebd3090cca588c!8m2!3d29.4467183!4d-98.4873146!16s%2Fg%2F11g6yr7z2_!19sChIJl_LHSm1fXIYRjFjKDAnT66c,Pro-Tech Pool Services,4.7,30,Swimming pool repair service,"614 E Dewey Pl, San Antonio, TX 78212, United States","CGW7+M3 San Antonio, Texas, USA",https://protechpoolservicesatx.com/,+1 210-385-4590,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipM56PGQbwDWvSGrxh7eXdbd4PSApYP-vCdtDwPR=w428-h240-k-no,true,8 am–7 pm,8 am–5 pm,7 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:16.395Z,,,
https://www.google.com/maps/place/Pool+Services+San+Antonio+-+SA+Pool+Service/data=!4m7!3m6!1s0x865c5f55d62c4cb1:0xe7949b4e68ffcd50!8m2!3d29.4278126!4d-98.4929503!16s%2Fg%2F11q22g4b_b!19sChIJsUws1lVfXIYRUM3_aE6blOc,Pool Services San Antonio - SA Pool Service,1.0,1,Swimming pool repair service,"115 E Travis St, San Antonio, TX 78205, United States","CGH4+4R San Antonio, Texas, USA",https://www.poolservicesanantonio.us/,+1 877-469-3240,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOfGgzCbmvANEEXz4s6tnQaqm1Z3kToPgOOhdZx=w408-h280-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:21.173Z,,,
https://www.google.com/maps/place/Chavez+Pools+Services+%26+Repair/data=!4m7!3m6!1s0x865c592151ce5a73:0xaf17713d99beec01!8m2!3d29.4048078!4d-98.5330093!16s%2Fg%2F1td0nft_!19sChIJc1rOUSFZXIYRAey-mT1xF68,Chavez Pools Services & Repair,4.7,3,Swimming pool contractor,"131 Carmen Pl, San Antonio, TX 78207, United States","CF38+WQ San Antonio, Texas, USA",,+1 210-224-4626,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSymZ_ARrVzzpp2DB9VQs0OiS2ObRL5nZHlH7L7fkVZw0op97ToaSm3ZCSXOYyu9SwkJvXrhU23wiHXxu_Z6M11JvLswSIfuWfohlpNnK4xebN32bNwMiNQAMxPRKxfDmpoaVAdy=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:23.981Z,,,
https://www.google.com/maps/place/Texas+Pool+Gurus+LLC/data=!4m7!3m6!1s0xa8c849085c255865:0x6f40f0bf42f31462!8m2!3d29.4201496!4d-98.4599154!16s%2Fg%2F11vym1fqyl!19sChIJZVglXAhJyKgRYhTzQr_wQG8,Texas Pool Gurus LLC,4.7,18,Swimming pool contractor,"130 Belmont unit 102, San Antonio, TX 78202, United States","CGCR+32 San Antonio, Texas, USA",http://texaspoolgurus.com/,+1 726-888-3782,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipO6anTBVvufA_26NAI5vlt2pal8MYZIjCQvsqef=w408-h306-k-no,true,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:28.280Z,,,
https://www.google.com/maps/place/Worthey+Aquatics+Pools+%26+Spas/data=!4m7!3m6!1s0x865cf548d84dcb73:0x2e569e587d107bbc!8m2!3d29.4305477!4d-98.4839464!16s%2Fg%2F11yk42_1r6!19sChIJc8tN2Ej1XIYRvHsQfVieVi4,Worthey Aquatics Pools & Spas,3.7,3,Swimming pool contractor,"321 6th St #320, San Antonio, TX 78215, United States","CGJ8+6C San Antonio, Texas, USA",https://wortheyaquatics.com/downtown-san-antonio-pool-builder/,+1 210-796-6053,"Open ⋅ Closes 5 pm

Updated by this business 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipP_gIAS2eytWRXV6yKRRGE4GvzKvc0g0dusvwif=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:32.555Z,,,
https://www.google.com/maps/place/Pool+John+Swimming+Pool+Repair/data=!4m7!3m6!1s0x865c5fea20120bd7:0xa8b0419c8b595bcf!8m2!3d29.4992561!4d-98.5045969!16s%2Fg%2F1vq9mq4m!19sChIJ1wsSIOpfXIYRz1tZi5xBsKg,Pool John Swimming Pool Repair,5.0,15,Swimming pool contractor,"362 Ave Maria Dr, San Antonio, TX 78216, United States","FFXW+P5 San Antonio, Texas, USA",https://pool-service.advenboost.com/,+1 210-342-3051,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnYlOhjS0MGi-c7ilaX8aO_L2tfKRrGOGK-SBtUMQDjkE2sYr1YmiSvGOVjEZKr6CsyxzSd6--GALzTHl3g77O9c0p0GZIZ_CWsld46FV97YQLzAC47_1Uok2xF-p2-6oiIRHohQ=w408-h544-k-no,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:34.924Z,,,
https://www.google.com/maps/place/Jose%27s+Pool+Service+and+Pool+building/data=!4m7!3m6!1s0x865c5cac56c79c77:0x3727b8c53e525549!8m2!3d29.4537176!4d-98.7238668!16s%2Fg%2F11d_8dqhtm!19sChIJd5zHVqxcXIYRSVVSPsW4Jzc,Jose's Pool Service and Pool building,4.7,90,Swimming pool contractor,"2012 Cottonwood Way, San Antonio, TX 78253, United States","F73G+FF San Antonio, Texas, USA",http://www.josespools.com/,+1 210-867-3131,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNY6er_dOIwUjJ3oM55ORnPWpN1Sjsytv6Z_uQk=w408-h724-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:39.332Z,,,
https://www.google.com/maps/place/Laden+Pools+LLC/data=!4m7!3m6!1s0x865c5fa6460c05c1:0xff0574ca0bab260a!8m2!3d29.473457!4d-98.5155207!16s%2Fg%2F1tfbcl09!19sChIJwQUMRqZfXIYRCiarC8p0Bf8,Laden Pools LLC,4.5,13,Swimming pool contractor,"1234 W Olmos Dr, San Antonio, TX 78201, United States","FFFM+9Q San Antonio, Texas, USA",https://ladenpools.net/,+1 210-732-2521,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipOcyE9EcuBQiAjf_utkeMCzebj9QAvGnDcE8OLx=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:43.720Z,,,
https://www.google.com/maps/place/SA+Pool+Company/data=!4m7!3m6!1s0x865c6178081aba39:0xb1a21be0dab5c2e7!8m2!3d29.5086986!4d-98.711521!16s%2Fg%2F11s14zyrd_!19sChIJOboaCHhhXIYR58K12uAborE,SA Pool Company,5.0,18,Pool cleaning service,,,http://sapoolcompany.com/,+1 210-935-3079,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP5nkxAMCVp-X_7zQ8UuRdKkMi6IUC1QVQhYFoM=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–3 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:48.385Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Blue+Science/data=!4m7!3m6!1s0x865c5f53e8d0cb6d:0x294a8f37c8942992!8m2!3d29.538198!4d-98.3833613!16s%2Fg%2F1hm3wyjp_!19sChIJbcvQ6FNfXIYRkimUyDePSik,Blue Science,4.5,270,Pool cleaning service,"10855 I-35, San Antonio, TX 78233, United States","GJQ8+7M San Antonio, Texas, USA",https://www.bluescience.com/swimming-pool-service/san-antonio-tx/,+1 210-361-5006,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipM8iPI7qgbvwAdbtBweIsPFYaCAcgMwcsMI8C31=w520-h240-k-no,true,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,8 am–7 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Downtown+San+Antonio+San+Antonio+TX/@29.4239862,-98.4916586,14z",2025-10-27T19:04:53.498Z,LGBTQ+ friendly,,
