placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Duke+Vascular+Surgery+Clinic/data=!4m7!3m6!1s0x89ace6aea2685485:0x6267bdc386e043c9!8m2!3d36.004502!4d-78.936127!16s%2Fg%2F1tf49097!19sChIJhVRooq7mrIkRyUPghsO9Z2I,Duke Vascular Surgery Clinic,,,Medical clinic,"40 Duke Medicine Cir Clinic 2B, Durham, NC 27710, United States","2337+RG Durham, North Carolina, USA",,+1 919-681-1400,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNuJtVmB6_Q9KVpYiIbgnH6EfI2uzAtymB7rMR-=w409-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:00.527Z,,,,
https://www.google.com/maps/place/Duke+Regional+Vascular+Access/data=!4m7!3m6!1s0x89ace3b86e987af1:0x4830e8b07806eb70!8m2!3d36.037915!4d-78.905193!16s%2Fg%2F11cjh_f9x2!19sChIJ8XqYbrjjrIkRcOsGeLDoMEg,Duke Regional Vascular Access,,,Vascular surgeon,"407 Crutchfield St, Durham, NC 27704, United States","23QV+5W Durham, North Carolina, USA",https://www.dukehealth.org/locations/duke-regional-vascular-access?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-470-7400,Closes soon · 5 pm · Opens 7:30 am Wed,https://lh3.googleusercontent.com/p/AF1QipNqBHeOMitlHXlLeZHhcFaSs-ZUoRL7Wt09SFQb=w408-h272-k-no,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,7:30 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:06.373Z,,,,
https://www.google.com/maps/place/Center+for+Vein+Restoration+%7C+Dr.+Lindy+McHutchison/data=!4m7!3m6!1s0x89ace8ba65e7b7a1:0xa8a4a0d6b2e08853!8m2!3d35.9104681!4d-78.9411475!16s%2Fg%2F11g_87260!19sChIJobfnZbrorIkRU4jgstagpKg,Center for Vein Restoration | Dr. Lindy McHutchison,4.8,105,Vascular surgeon,"5309 Highgate Dr, Durham, NC 27713, United States","W365+5G Durham, North Carolina, USA",https://www.centerforvein.com/our-clinics/locations/durham-north-carolina,+1 336-860-6530,"Open · Closes 6 pm

Updated by this business 10 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNN67afg81PVZDCahiBldcEF-YAWZn245G2dlnW=w408-h426-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,7 am–6 pm,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:12.266Z,,,,
https://www.google.com/maps/place/Duke+Aesthetic+Center/data=!4m7!3m6!1s0x89ace6c602ea6a67:0xed6b96a9ef70b44!8m2!3d36.0004721!4d-78.9555471!16s%2Fg%2F1tg8klnv!19sChIJZ2rqAsbmrIkRRAv3nmq51g4,Duke Aesthetic Center,4.0,29,Plastic surgery clinic,"3475 Erwin Rd, Durham, NC 27705, United States","222V+5Q Durham, North Carolina, USA",https://www.dukehealth.org/locations/duke-aesthetic-center?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-681-8555,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOeBZLljf34cNFlSuqcW6hs0p-0_D0Tzmaiicr-=w448-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:17.346Z,,,,
https://www.google.com/maps/place/Duke+Cardiothoracic+Surgery+-+Clinic+2F%2F2G/data=!4m7!3m6!1s0x89ace6aea2685485:0xcb05b3ac8903fc6e!8m2!3d36.0044942!4d-78.9362019!16s%2Fg%2F1tl8ll47!19sChIJhVRooq7mrIkRbvwDiayzBcs,Duke Cardiothoracic Surgery - Clinic 2F/2G,4.2,5,Cardiologist,"40 Duke Medicine Circle Clinic, #2F-2G, Durham, NC 27710, United States","2337+QG Durham, North Carolina, USA",https://www.dukehealth.org/locations/duke-cardiothoracic-surgery?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-681-1300,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipOpJ3YVqAcYlLjsWOAXoGLSGAgYsLxe-nCckklI=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:22.872Z,,,,
https://www.google.com/maps/place/Duke+Pain+Medicine+Clinic/data=!4m7!3m6!1s0x89ace3b2a3c05a79:0xb124ea77ecd3a7d1!8m2!3d36.0481695!4d-78.8953963!16s%2Fg%2F1tph2lv_!19sChIJeVrAo7LjrIkR0afT7HfqJLE,Duke Pain Medicine Clinic,2.9,83,Pain control clinic,"4309 Medical Park Dr, Durham, NC 27704, United States","24X3+7R Durham, North Carolina, USA",https://www.dukehealth.org/locations/duke-pain-medicine?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-668-7600,Closes soon · 5 pm · Opens 7:45 am Wed,https://lh3.googleusercontent.com/p/AF1QipOZBiwsnYzoofniqf-qOMQ3ouJ08vFSCoGZr6CS=w480-h240-k-no,true,7:45 am–5 pm,7:45 am–5 pm,7:45 am–5 pm,7:45 am–5 pm,Closed,Closed,7:45 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:28.663Z,,,,
https://www.google.com/maps/place/Duke+Advanced+Abdominal+Disease+Clinic+-+Clinic+2B%2F2C/data=!4m7!3m6!1s0x89ace6aea228f0d5:0x8d8c18fafe096191!8m2!3d36.0037933!4d-78.9363022!16s%2Fg%2F1q65ghwfj!19sChIJ1fAooq7mrIkRkWEJ_voYjI0,Duke Advanced Abdominal Disease Clinic - Clinic 2B/2C,4.0,2,Surgeon,"40 Duke Medicine Circle Clinic 2B/2C, Durham, NC 27710, United States","2337+GF Durham, North Carolina, USA",https://www.dukehealth.org/locations/duke-advanced-abdominal-disease-clinic?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-681-1400,Closes soon · 5 pm · Opens 8 am Wed,https://lh3.googleusercontent.com/p/AF1QipNlZxYElNJuT9xCGYlhmQH_rO8LmkyZ3GYvj913=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:33.732Z,,,,
https://www.google.com/maps/place/Duke+Clinic/data=!4m7!3m6!1s0x89ace6ac1acb10fb:0x1b83716af5d270e9!8m2!3d36.0044442!4d-78.9362024!16s%2Fg%2F1tmg7f2j!19sChIJ-xDLGqzmrIkR6XDS9Wpxgxs,Duke Clinic,4.0,88,Medical Center,"40 Duke Medicine Cir, Durham, NC 27710, United States","2337+QG Durham, North Carolina, USA",https://www.dukehealth.org/locations/duke-clinic?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-684-8111,,https://lh3.googleusercontent.com/p/AF1QipNKtX0Y4h8WUBz4eq42XCuMLRFgWAFgad5OszU4=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:37.189Z,,,,
https://www.google.com/maps/place/Duke+Specialty+Infusion+Center+-+Clinic+2A/data=!4m7!3m6!1s0x89ace6ae9e3f7bbf:0x79b13c7a43ccc0bd!8m2!3d36.0044855!4d-78.9362299!16s%2Fg%2F11ddydssy1!19sChIJv3s_nq7mrIkRvcDMQ3o8sXk,Duke Specialty Infusion Center - Clinic 2A,3.1,13,Medical clinic,"30 Duke Medicine Cir Clinic 2A, Durham, NC 27710, United States","2337+QG Durham, North Carolina, USA",https://www.dukehealth.org/locations/duke-specialty-infusion-center-clinic-2a?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-681-0645,Open · Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipNzxLCp5w_e7EZ7VZgppi2BSgy3PzctzUjaRRuo=w426-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–6 pm,8 am–6 pm,8 am–8 pm,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:42.657Z,,,,
https://www.google.com/maps/place/Duke+Medicine+Pavilion/data=!4m7!3m6!1s0x89ace6ac3407dce3:0xa9f7f616d4bb53ae!8m2!3d36.0061302!4d-78.9366138!16s%2Fg%2F1pwfv2rpb!19sChIJ49wHNKzmrIkRrlO71Bb296k,Duke Medicine Pavilion,4.2,130,Hospital,"10 Duke Medicine Cir, Durham, NC 27710, United States","2347+F9 Durham, North Carolina, USA",https://www.dukehealth.org/locations/duke-medicine-pavilion?utm_source=google&utm_medium=local&utm_campaign=evergreen,+1 919-684-8111,,https://lh3.googleusercontent.com/p/AF1QipPteY0tRHj6-AwelWRLYtBtZ_Hc5u1dTjRBfUjP=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/vein+clinics+in+Duke+Park+Durham+NC/@36.0127678,-78.8906295,14z",2025-12-16T21:59:46.233Z,,,,
