placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,attributes,info,isBlackOwned,error
"https://www.google.com/maps/place/Preeminent+Healthcare+-+Dr.+Edward+Makarewicz,+M.D./data=!4m7!3m6!1s0x80c8d1857c2cc503:0x3f4950d65ac2067!8m2!3d36.01124!4d-115.063252!16s%2Fg%2F11w83wgn77!19sChIJA8UsfIXRyIARZyCsZQ2V9AM","Preeminent Healthcare - Dr. Edward Makarewicz, M.D.",5.0,9,Medical clinic,"1730 W Horizon Ridge Pkwy #100, Henderson, NV 89012, United States","2W6P+FM Henderson, Nevada, USA",https://www.preeminent-healthcare.com/,+1 702-468-5905,"Closed ⋅ Opens 10 am Mon

Updated by this business 10 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cZjv8vjpiiRdwm3k3kdLvA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=167.56091&pitch=0&thumbfov=100,true,Closed,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:52:29.282Z,,,,
https://www.google.com/maps/place/The+Vice+Practice/data=!4m7!3m6!1s0x80c8c59a22a5140f:0x6496774f0b8bc89b!8m2!3d36.104203!4d-115.117374!16s%2Fg%2F11l1yljf1b!19sChIJDxSlIprFyIARm8iLC093lmQ,The Vice Practice,4.7,208,Medical clinic,"2480 E Tompkins Ave # 101, Las Vegas, NV 89121, United States","4V3M+M3 Las Vegas, Nevada, USA",https://www.thevicepractice.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13613136499004170202,+1 725-724-2005,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNr3I64STADlv42XswwpnPMSOHT2wUMmVEOV1R2=w408-h271-k-no,true,Closed,"9 am–12 pm, 1–6 pm","9 am–12 pm, 1–6 pm","9 am–12 pm, 1–6 pm","9 am–12 pm, 1–6 pm","9 am–12 pm, 1–6 pm",Closed,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:52:34.916Z,,,,
https://www.google.com/maps/place/Total+Infusion+Care/data=!4m7!3m6!1s0x80c8cfa311c13f3d:0xba431bf4c8337c14!8m2!3d35.9976021!4d-115.1215276!16s%2Fg%2F11fp42rspv!19sChIJPT_BEaPPyIARFHwzyPQbQ7o,Total Infusion Care,4.4,107,Pharmacy,"3041 W Horizon Ridge Pkwy #100, Henderson, NV 89052, United States","XVXH+29 Henderson, Nevada, USA",http://totalinfusioncare.com/,+1 702-778-8880,Closes soon ⋅ 5 pm ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nosSxJ6ekHjHE31FuQnFXoAr_6_2eGwahmlTBZRBLd3LvA2kOKJ8lJLd2ObsJpOstfAlolPbGDEyuh4_Y3xjOFh4lS6FMFt_4gQghNxDUIP25Mgnd24up_QX6lNGxxyEWjhzjk=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:52:40.740Z,· Delivery,,,
"https://www.google.com/maps/place/Prime+IV+Hydration+%26+Wellness+%28Henderson,+NV%29/data=!4m7!3m6!1s0x80c8cfa5b7048fbd:0x16f61a985d32af76!8m2!3d36.0172935!4d-115.101618!16s%2Fg%2F11pxxbbc1s!19sChIJvY8Et6XPyIARdq8yXZga9hY","Prime IV Hydration & Wellness (Henderson, NV)",4.8,135,Wellness center,"2560 St Rose Pkwy Suite 130, Henderson, NV 89074, United States","2V8X+W9 Henderson, Nevada, USA",https://primeivhydration.com/locations/nevada/henderson-nv/,+1 702-462-6525,"Closed ⋅ Opens 9 am Mon

Updated by this business 11 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nocafxixdH4R9jyocwvTUtbstp3pfYD-xe7j7mAE5XiVDtLLVcE29DoSeQ5GUfniRIxJix1qMNciOCAE5tjwIHBdhTd8J8YK9hKS7wReGgENSw7H1jcYWuI8SyOMUTTQSnxgQg5=w408-h306-k-no,true,9 am–4 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:52:45.890Z,,,,
https://www.google.com/maps/place/KabaFusion/data=!4m7!3m6!1s0x80c8d05ed41a9dd3:0x2896c9c8eadb52e9!8m2!3d36.0639857!4d-115.0504438!16s%2Fg%2F11g0k19zp9!19sChIJ050a1F7QyIAR6VLb6sjJlig,KabaFusion,4.2,15,Home health care service,"1510 W Sunset Rd STE 120, Henderson, NV 89014, United States","3W7X+HR Henderson, Nevada, USA",https://www.kabafusion.com/,+1 702-476-6996,Closed ⋅ Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SKx0r27puvTs2HjAPl3f0A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=171.5445&pitch=0&thumbfov=100,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:52:50.959Z,,,,
https://www.google.com/maps/place/Infuze+Aesthetics+%26+Wellness+Center/data=!4m7!3m6!1s0x80c8ce0263dbe55f:0x7d9f990c76de95af!8m2!3d36.0167771!4d-115.0564572!16s%2Fg%2F11cs3g84_g!19sChIJX-XbYwLOyIARr5XedgyZn30,Infuze Aesthetics & Wellness Center,4.8,92,Wellness center,"1590 W Horizon Ridge Pkwy #110, Henderson, NV 89012, United States","2W8V+PC Henderson, Nevada, USA",https://www.infuzelv.com/,+1 702-964-9500,Closed ⋅ Opens 9 am Wed,https://lh3.googleusercontent.com/p/AF1QipNhsh0FB2BXCYeajdxwYw_2OUP8qhFOHsibpuqP=w426-h240-k-no,true,Closed,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:52:55.934Z,,,,
https://www.google.com/maps/place/Desert+Ketamine+Clinic/data=!4m7!3m6!1s0x80c8d1853db2225d:0xb38d235a82f6153f!8m2!3d36.0045767!4d-115.0818051!16s%2Fg%2F11h_vw9z2p!19sChIJXSKyPYXRyIARPxX2glojjbM,Desert Ketamine Clinic,4.8,88,Mental health clinic,"650 S Green Valley Pkwy Suite 100, Henderson, NV 89052, United States","2W39+R7 Henderson, Nevada, USA",https://desertketamineclinic.com/,+1 702-763-7375,,https://lh3.googleusercontent.com/p/AF1QipMKLA18xf8vcV3b-QpMG6neD1rdj5OPjWgmjgiV=w408-h612-k-no,true,,,,,,,,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:52:59.066Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Las+Vegas+Infusion+Centers/data=!4m7!3m6!1s0x80c8b96d23d729cd:0xc12631538f875fb0!8m2!3d36.071872!4d-115.2871386!16s%2Fg%2F11h4k77zw6!19sChIJzSnXI225yIARsF-Hj1MxJsE,Las Vegas Infusion Centers,4.1,15,Medical Center,"8930 W Sunset Rd ste 100, Las Vegas, NV 89148, United States","3PC7+P4 Las Vegas, Nevada, USA",http://www.lvinfusioncenters.com/,+1 702-489-3345,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ttrJosxx0y8ZKflz29ghPQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=253.99944&pitch=0&thumbfov=100,false,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:53:03.975Z,,,,
https://www.google.com/maps/place/Regenerate+Medical+Concierge/data=!4m7!3m6!1s0x80c8d1ddd3c82815:0xf321232f94ddb06!8m2!3d36.0196411!4d-115.0867044!16s%2Fg%2F11g6nvvp0d!19sChIJFSjI093RyIARBttN-TISMg8,Regenerate Medical Concierge,4.9,347,Medical spa,"2280 Paseo Verde Pkwy #100, Henderson, NV 89052, United States","2W97+V8 Henderson, Nevada, USA",https://regeneratemedicalconcierge.com/,+1 702-998-8009,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZyPRHgMvDQvqDqsWedI1OcfF1DlH8KvtHQYtSsBIx2RCV4ri6Hw_cuvhWmtGy48GfMy-YYTfHaamUvWGD9e_fVeI65x2xjVGYLvhblitq1Rt0drRyordVURq1bf5MOAfCF0ca-0WV-vND=w408-h306-k-no,true,10 am–4 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–5 pm,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:53:08.998Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Infusion+for+Health+-+Henderson/data=!4m7!3m6!1s0x80c8cfa32d5e3d87:0x34ddd9d784053eb5!8m2!3d35.9995001!4d-115.111815!16s%2Fg%2F11s51v7fk_!19sChIJhz1eLaPPyIARtT4FhNfZ3TQ,Infusion for Health - Henderson,5.0,4,Medical clinic,"2850 W Horizon Ridge Pkwy #141, Henderson, NV 89052, United States","XVXQ+R7 Henderson, Nevada, USA",https://infusionforhealth.com/locations/henderson/,+1 702-623-5077,,https://lh3.googleusercontent.com/p/AF1QipOC-gHPbDWT8d7XeecZnVB__0-IULS8AtrKNb_V=w408-h242-k-no,true,Closed,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2025-09-28T23:53:14.124Z,,,,
