placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,info,attributes,isBlackOwned
https://www.google.com/maps/place/Utah+Natural+Medicine/data=!4m7!3m6!1s0x8752f56d490379d3:0xc622c7f13b8fd675!8m2!3d40.763881!4d-111.879955!16s%2Fg%2F1whdjvc5!19sChIJ03kDSW31UocRddaPO_HHIsY,Utah Natural Medicine,4.9,119,Medical clinic,"242 S 400 E #2609, Salt Lake City, UT 84111, United States","Q47C+H2 Salt Lake City, Utah, USA",https://www.utahnaturalmedicine.com/,+1 801-363-8824,Open · Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipOJPU-IldhgkccvPUnB28ODEqNgORArGXsWKHzK=w408-h381-k-no,true,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:57:16.743Z,,,
https://www.google.com/maps/place/Kestrel+Wellness:+Functional+Medicine+and+Direct+Primary+Care/data=!4m7!3m6!1s0x8752f53ea6eb36fd:0x35fb8e419c98c1af!8m2!3d40.7499757!4d-111.8865064!16s%2Fg%2F11gbl3bhw9!19sChIJ_Tbrpj71UocRr8GYnEGO-zU,Kestrel Wellness: Functional Medicine and Direct Primary Care,5.0,13,Doctor,"155 E 900 S #6, Salt Lake City, UT 84111, United States","P4X7+X9 Salt Lake City, Utah, USA",http://kestrelwellness.com/,,,https://lh3.googleusercontent.com/p/AF1QipOl1z-5Cp6Nxj-T7ue686RKXE67JHKFVrDkHbQh=w408-h272-k-no,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:57:20.931Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Canyonlands+Natural+Medicine/data=!4m7!3m6!1s0x87528bc3bf60fff7:0x2fe35e201b84aaed!8m2!3d40.7308223!4d-111.8906135!16s%2Fg%2F11j34vhjbf!19sChIJ9_9gv8OLUocR7aqEGyBe4y8,Canyonlands Natural Medicine,4.9,20,Medical clinic,"1817 S Main St Ste 13, Salt Lake City, UT 84115, United States","P4J5+8Q Salt Lake City, Utah, USA",https://www.canyonlandsnaturalmedicine.com/,+1 801-441-0549,Opens soon · 10 am,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PJURz2fCF5i0b9zF3DLiVw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=92.68114&pitch=0&thumbfov=100,true,10 am–6 pm,9 am–5 pm,10 am–6 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:57:26.076Z,,,
https://www.google.com/maps/place/Clear+Health+Centers/data=!4m7!3m6!1s0x87528aa0f96bcf03:0x6d16af3f7eeb4cea!8m2!3d40.7381239!4d-111.8155073!16s%2Fg%2F1tj9cgy4!19sChIJA89r-aCKUocR6kzrfj-vFm0,Clear Health Centers,4.6,27,Wellness center,"1457 Ute Dr, Salt Lake City, UT 84108, United States","P5QM+6Q Salt Lake City, Utah, USA",http://www.clearhealthcenters.com/,+1 801-875-9292,Open · Closes 4:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vg6IFgGLsBhjCKpl3Ia82Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=71.83604&pitch=0&thumbfov=100,false,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–4:30 pm,9 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:57:31.255Z,,,
"https://www.google.com/maps/place/Salt+Lake+Naturopathic+Clinic+-+Kate+Miyagi,+ND+%26+Mary+Harel,+ND/data=!4m7!3m6!1s0x8752f5eb40fcc0bd:0x8cd55887bde731b9!8m2!3d40.7419247!4d-111.8312409!16s%2Fg%2F11f637l9_0!19sChIJvcD8QOv1UocRuTHnvYdY1Yw","Salt Lake Naturopathic Clinic - Kate Miyagi, ND & Mary Harel, ND",5.0,13,Naturopathic practitioner,"2091 E 1300 S #104, Salt Lake City, UT 84108, United States","P5R9+QG Salt Lake City, Utah, USA",http://www.saltlakenaturopathic.com/,+1 801-783-3801,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipM9R8usj47BhWCi_nidJHPozRrs9e3OIHdF6bVD=w862-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:57:36.918Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Utah+Functional+Medicine/data=!4m7!3m6!1s0x6c707e9e1a3ffcad:0xeec2d2419b5d06e4!8m2!3d39.4996794!4d-111.5472285!16s%2Fg%2F11r_c9s5vj!19sChIJrfw_Gp5-cGwR5AZdm0HSwu4,Utah Functional Medicine,5.0,12,Health consultant,,,http://www.terrimehlhoff.com/,+1 801-739-6178,,https://lh3.googleusercontent.com/p/AF1QipNsLK_comS1_R5XFvFooVUns6q9K9V_dkYIMAv3=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:57:41.677Z,,,
https://www.google.com/maps/place/Dr.+Katie+Brussard+ND/data=!4m7!3m6!1s0x875261871b1ac9bd:0x3d7dc806be2c7c8a!8m2!3d40.7419247!4d-111.8312409!16s%2Fg%2F11j54vky3q!19sChIJvckaG4dhUocRinwsvgbIfT0,Dr. Katie Brussard ND,4.3,16,Alternative medicine practitioner,"2091 E 1300 S #104, Salt Lake City, UT 84108, United States","P5R9+QG Salt Lake City, Utah, USA",http://www.drkatiebrussard.com/,+1 801-448-0966,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNdzBOlirjnDH8bPnCBVXmlBAc22eu-6QeGvBoL=w408-h262-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:57:46.901Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Eastside+Natural+Health+Clinic/data=!4m7!3m6!1s0x87528aa0f96bcf03:0xb81fa0db1a397081!8m2!3d40.7690454!4d-111.8688058!16s%2Fg%2F1x5fbvd_!19sChIJA89r-aCKUocRgXA5GtugH7g,Eastside Natural Health Clinic,4.7,43,Naturopathic practitioner,"770 E S Temple St STE 100, Salt Lake City, UT 84102, United States","Q49J+JF Salt Lake City, Utah, USA",http://www.eastsidenaturalhealth.com/,+1 801-474-3684,,https://lh3.googleusercontent.com/p/AF1QipN1G_YViPSM8tlOUAATSqA07HPKn1RUnHwG2L0n=w408-h544-k-no,true,9 am–3 pm,9 am–3 pm,Closed,9 am–3 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:57:52.121Z,,,
"https://www.google.com/maps/place/Nielsen+Holistic,+Inc./data=!4m7!3m6!1s0x8752f5ac47d06c23:0x1d2e6efa8c969749!8m2!3d40.7771656!4d-111.9002264!16s%2Fg%2F11btz0yld0!19sChIJI2zQR6z1UocRSZeWjPpuLh0","Nielsen Holistic, Inc.",5.0,3,Holistic medicine practitioner,"355 N 300 W, Salt Lake City, UT 84103, United States","Q3GX+VW Salt Lake City, Utah, USA",http://www.nielsenholisticshop.com/,+1 801-800-2908,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoPZ5ejx7SKjPy9LYVa8zry0j-lh8U1hn0OBcJSy8bkby2nkkcC1g0emafmxLb_S5E0nWp3Wrrb7TgjFRCR4X9OipQi3twAjjAFvFa1tp2ty1aC5d3a1nd9UwHQrmCY1eB7sRBXYaqAAZM=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:57:55.367Z,,,
https://www.google.com/maps/place/Web+of+Life+Wellness+Center/data=!4m7!3m6!1s0x8752f559f51379ed:0xc4c3cf1d2d21b6c7!8m2!3d40.7690454!4d-111.8688058!16s%2Fg%2F12648m474!19sChIJ7XkT9Vn1UocRx7YhLR3Pw8Q,Web of Life Wellness Center,4.6,7,Wellness center,"770 E S Temple St STE 100, Salt Lake City, UT 84102, United States","Q49J+JF Salt Lake City, Utah, USA",http://www.weboflifewc.com/,+1 801-531-8340,Open · Closes 3:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=M5doA4meg6Ldnvlp9JlW6w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=170.42722&pitch=0&thumbfov=100,true,9 am–3:30 pm,9 am–3:30 pm,9 am–3:30 pm,9 am–3:30 pm,9 am–3:30 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2026-02-23T16:58:00.406Z,,,
