placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,attributes,error,info
"https://www.google.com/maps/place/Premium+Parking+-+P6201/@44.4615378,-73.2198588,17z/data=!3m1!4b1!4m6!3m5!1s0x4cca7b3d6ce03a17:0xec710e4183b1f0cb!8m2!3d44.4615378!4d-73.2198588!16s%2Fg%2F11r_v5863_",Premium Parking - P6201,2.3,3,Parking lot,"50 Lakeside Ave, Burlington, VT 05401, United States","FQ6J+J3 Burlington, Vermont, USA",https://www.premiumparking.com/p6201,+1 844-236-2011,Open 24 hours,,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:15.221Z,,,
"https://www.google.com/maps/place/UVM+Transportation+And+Parking+Services+Office/@44.4727395,-73.1935786,17z/data=!3m1!4b1!4m6!3m5!1s0x4cca7a5d135b97a1:0x913a17082ec85795!8m2!3d44.4727395!4d-73.1935786!16s%2Fg%2F11c0rpvcmd",UVM Transportation And Parking Services Office,1.1,16,Academic department,"31 Spear St, Burlington, VT 05405, United States","FRF4+3H Burlington, Vermont, USA",http://www.uvm.edu/~tpswww/,+1 802-656-8686,Open ⋅ Closes 4 pm,,false,7:30 am–4 pm,7:30 am–4 pm,7:30 am–4 pm,7:30 am–3 pm,Closed,Closed,7:30 am–4 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:22.763Z,,,
https://www.google.com/maps/place/Jeffords+Parking+Lot/data=!4m7!3m6!1s0x4cca7b8e1c84de3d:0x945e2ab390981803!8m2!3d44.4749662!4d-73.1934546!16s%2Fg%2F11fr15z0hd!19sChIJPd6EHI57ykwRAxiYkLMqXpQ,Jeffords Parking Lot,3.8,9,Parking lot,"Burlington, VT 05401, United States","FRF4+XJ Burlington, Vermont, USA",,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVi_Kch7Fhm8-hZF_SSx0lIO6Xv_N1AY8ELrKVqyFTuuFaGfB3dQsOaJaAWJhoxlaPxRkEzhGU5gYs4JjrJGhXfIw7zN_pU7UJythLZnWvOLLPPvSSnEsKCFeRquxiw_c-Tzob=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:26.091Z,,,
https://www.google.com/maps/place/Burlington+Public+Works+Department/data=!4m7!3m6!1s0x4cca7aeef42499bb:0x7c689dcee018715f!8m2!3d44.4615029!4d-73.2148968!16s%2Fg%2F1tgk07ts!19sChIJu5kk9O56ykwRX3EY4M6daHw,Burlington Public Works Department,2.3,19,Public works department,"645 Pine St # A, Burlington, VT 05401, United States","FQ6P+J2 Burlington, Vermont, USA",https://www.burlingtonvt.gov/DPW,+1 802-863-9094,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz-iQyk5f-ZXFpLeu86rZZY-npa-Zl-gLhiFwhJqWpcKlWddBAluIBZJgPyTlUJqOA_1ilAbLm-yLQggWSFMjw6Sj19hViAh1s0MKs8mZD-Ta504Gr-mz7eHHPryxyDcfV0zzdW=w408-h306-k-no,true,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,7 am–4 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:31.091Z,,,
https://www.google.com/maps/place/Medical+Center+Parking+Garage/data=!4m7!3m6!1s0x4cca7a5eab872a7f:0x1f3dd327fdd03d8f!8m2!3d44.4780005!4d-73.1927941!16s%2Fg%2F1tctldn_!19sChIJfyqHq156ykwRjz3Q_SfTPR8,Medical Center Parking Garage,3.7,30,Parking garage,"111 Colchester Ave, Burlington, VT 05401, United States","FRH4+6V Burlington, Vermont, USA",https://www.uvmhealth.org/medcenter/locations-and-directions/main-campus-parking,+1 802-847-2812,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7rnyWDnWzBI7urMn_04VEA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=120.36829&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,12–11:59 am,12 pm–12 am,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:35.972Z,,,
https://www.google.com/maps/place/Marketplace+Garage/data=!4m7!3m6!1s0x4cca7af16e10b493:0x9a7bdcf3e03b6d33!8m2!3d44.478716!4d-73.211738!16s%2Fg%2F1tdwpqfs!19sChIJk7QQbvF6ykwRM2074PPce5o,Marketplace Garage,3.0,41,Parking garage,"47 S Winooski Ave, Burlington, VT 05401, United States","FQHQ+F8 Burlington, Vermont, USA",http://parkburlington.com/,+1 802-863-9094,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPQ9tFAIqrSG_M0XsNpLWrlecHJTw0aTDo0VJ4k=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:41.082Z,,,
https://www.google.com/maps/place/Privately+Owned+Public+Parking/data=!4m7!3m6!1s0x4cca7b006366aa8b:0x9ddfb5ca0922d944!8m2!3d44.4796478!4d-73.2114318!16s%2Fg%2F11wq34s025!19sChIJi6pmYwB7ykwRRNkiCcq1350,Privately Owned Public Parking,1.3,3,Parking lot,"158-164 Cherry St, Burlington, VT 05401, United States","FQHQ+VC Burlington, Vermont, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=t2Degiz1DvThHVekLJ-U6g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.8085256&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:43.799Z,,,
https://www.google.com/maps/place/Premium+Parking+-+P6202/data=!4m7!3m6!1s0x4cca7ba35dc064b5:0x85e3e7a0b941d119!8m2!3d44.4605851!4d-73.2175426!16s%2Fg%2F11p657kxf2!19sChIJtWTAXaN7ykwRGdFBuaDn44U,Premium Parking - P6202,5.0,4,Parking lot,"115 Lakeside Ave, Burlington, VT 05401, United States","FQ6J+6X Burlington, Vermont, USA",http://www.premiumparking.com/p6202,+1 844-236-2011,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwInPrV2BlZIRQHNpamjlpaLb9CuMQpKCXdyAbagHMPyFyJ-Vg1h45GF3snIG4eOzVRroMBzng-mCRdei8utNs7oNN_AXGJPioVmVeKRjbhahzGlo9aRYfvW_8s2ZE4_grH-1Nv=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:48.862Z,,,
https://www.google.com/maps/place/Pease+Lot/data=!4m7!3m6!1s0x4cca7afa82cccfcf:0x58a80fa17a092c8f!8m2!3d44.477171!4d-73.2202432!16s%2Fg%2F11d_bg6hyl!19sChIJz8_Mgvp6ykwRjywJeqEPqFg,Pease Lot,3.8,12,Parking lot,"4 College St, Burlington, VT 05401, United States","FQGH+VW Burlington, Vermont, USA",http://parkburlington.com/,,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxW-P1q2l4nT0_3RvslxqvvVVQxrbfOdLG7vwA31KQYROzIkDLfGZDCpBUTDJkVPk-0G8U7NjaiWkKI5ZRwrSIK_FOpgw3dYApjqiHEPfvfq1EDO04KaeFqXtDT811Eua_UYkUiXZ7crwfz=w408-h306-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:52.111Z,,,
"https://www.google.com/maps/place/Corporate+Plaza/@44.4776432,-73.2134164,17z/data=!3m1!4b1!4m6!3m5!1s0x4cca7af71274c33b:0xc815662bf465545!8m2!3d44.4776432!4d-73.2134164!16s%2Fg%2F11tjbwglps",Corporate Plaza,1.0,1,Parking lot,"76 St Paul St, Burlington, VT 05401, United States","FQHP+3J Burlington, Vermont, USA",,+1 802-865-7000,,,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Burlington+Vermont+VT/@44.4758825,-73.212072,14z",2025-10-28T18:50:56.948Z,,,
