placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,info,error
https://www.google.com/maps/place/A-Lectric+Company+and+Contracting/data=!4m7!3m6!1s0x8636ccf0318edf89:0x69fefbf8bbb00f38!8m2!3d32.5351012!4d-93.7788838!16s%2Fg%2F11c7vty7vb!19sChIJid-OMfDMNoYROA-wu_j7_mk,A-Lectric Company and Contracting,4.8,47,Electric generator shop,· In-store pick-up,"1521 Corporate Dr, Shreveport, LA 71107, United States","G6PC+2C Shreveport, Louisiana, USA",https://www.a-lectriccompany.com/?utm_source=GMB&utm_medium=organic&utm_campaign=shrevport,+1 855-469-3883,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipO0ofpLZDvIMga5yPgOvkuDTcoWIxlwww1G84JC=w408-h905-k-no,true,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:29:32.904Z,,
"https://www.google.com/maps/place/Butler+Generators,+LLC/data=!4m7!3m6!1s0x86312d007c1804ab:0xca1b76bd86fc066d!8m2!3d32.4779673!4d-93.7427354!16s%2Fg%2F11y2w6f_7_!19sChIJqwQYfAAtMYYRbQb8hr12G8o","Butler Generators, LLC",3.0,4,Electric generator shop,,"629 Stephenson St, Shreveport, LA 71104, United States","F7H4+5W Shreveport, Louisiana, USA",,+1 318-578-5972,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MJ8T_ZnLZkfi7-LhuR7PMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.50548&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:29:38.280Z,,
https://www.google.com/maps/place/Gentec+Service+and+Repair/data=!4m7!3m6!1s0x8631337619ed421f:0xf31c9182de3b5465!8m2!3d32.5190375!4d-93.7064085!16s%2Fg%2F11sd008vg0!19sChIJH0LtGXYzMYYRZVQ73oKRHPM,Gentec Service and Repair,5.0,10,Electric generator shop,· Delivery,"2223 Old Minden Rd Suite C5, Bossier City, LA 71112, United States","G79V+JC Bossier City, Louisiana, USA",https://www.facebook.com/GenTecService:%20gentecservice.com,+1 318-408-3043,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNmWnp0oSth6zhSz7HaI2S_oJW2rCf7iuJA7jP7=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:29:43.826Z,,
https://www.google.com/maps/place/H+%26+M+Generator+%26+Starter+Services/data=!4m7!3m6!1s0x8636cd63f423a5f1:0x3111e5424321db2d!8m2!3d32.4873814!4d-93.7685578!16s%2Fg%2F1tmxrd5j!19sChIJ8aUj9GPNNoYRLdshQ0LlETE,H & M Generator & Starter Services,4.8,32,Auto electrical service,,"2423 Texas Ave, Shreveport, LA 71103, United States","F6PJ+XH Shreveport, Louisiana, USA",,+1 318-424-1953,Closed · Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uV06wXCWQ8E-ZKWAgUhI0Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=97.892204&pitch=0&thumbfov=100,false,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–12 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:29:48.879Z,,
https://www.google.com/maps/place/Lightning+Electric+LLC/data=!4m7!3m6!1s0x4fb596049c6bc745:0x1c0a441094520b18!8m2!3d32.5272796!4d-93.7597269!16s%2Fg%2F11jz42f1_v!19sChIJRcdrnASWtU8RGAtSlBBEChw,Lightning Electric LLC,4.9,610,Electrician,,"325 Montgomery St, Shreveport, LA 71107, United States","G6GR+W4 Shreveport, Louisiana, USA",https://lightningelectricsbc.com/?utm_source=google&utm_medium=gbp&utm_campaign=Shreveport,+1 318-309-1811,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMoPmxG0kXFIqSt12_73xx8CE4SOupAQrppYUat=w408-h342-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:29:53.763Z,,
https://www.google.com/maps/place/KB+Electric+LLC/data=!4m7!3m6!1s0x86313a6ac8c92a25:0x50eda1204961e14a!8m2!3d32.5213997!4d-93.6878843!16s%2Fg%2F11clyddnrw!19sChIJJSrJyGo6MYYRSuFhSSCh7VA,KB Electric LLC,4.9,230,Electrician,,"114 Grigsby Dr, Bossier City, LA 71112, United States","G8C6+HR Bossier City, Louisiana, USA",http://www.kbelectric.org/,+1 318-459-6041,,https://lh3.googleusercontent.com/p/AF1QipPym9qzSCyCiwvKm7l14LX8rj8roVYu9aGMEB93=w501-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:29:56.561Z,,
https://www.google.com/maps/place/G%26S+Electric+LLC/data=!4m7!3m6!1s0x8636cd5b6f39e741:0x46d9b4afa5e80a05!8m2!3d32.4908617!4d-93.757988!16s%2Fg%2F11cn5rsqlp!19sChIJQec5b1vNNoYRBQropa-02UY,G&S Electric LLC,3.5,26,Electrician,,"2127 McClellan St, Shreveport, LA 71103, United States","F6RR+8R Shreveport, Louisiana, USA",http://g-selectric.com/,+1 318-424-8100,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipMbeT-du0i3hsiwDn2CVYWhlohtRK8S7m2949nV=w408-h306-k-no,true,Closed,Closed,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,7 am–3:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:30:01.676Z,,
https://www.google.com/maps/place/PowerUp+Power+Systems/data=!4m7!3m6!1s0x8631332e69707a13:0xf4587c52f6c8c7e0!8m2!3d32.5252392!4d-93.694002!16s%2Fg%2F11sh0j_7sm!19sChIJE3pwaS4zMYYR4MfI9lJ8WPQ,PowerUp Power Systems,4.2,5,Electric generator shop,· Delivery,"3080 Knolin Dr Suite 5, Bossier City, LA 71112, United States","G8G4+39 Bossier City, Louisiana, USA",https://www.poweruppowersystems.com/,+1 318-741-0810,Closed · Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipNp0ajv9jj9Cm9kxdrPCm8EzNcBcW-rpatqmX5v=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:30:06.725Z,,
https://www.google.com/maps/place/McNeer+Electrical+Contracting/data=!4m7!3m6!1s0x863133217c782b5b:0x403a65ada1755442!8m2!3d32.532876!4d-93.7259439!16s%2Fg%2F1xcbp_c5!19sChIJWyt4fCEzMYYRQlR1oa1lOkA,McNeer Electrical Contracting,4.8,414,Electrician,,"1505 Hamilton Rd, Bossier City, LA 71111, United States","G7MF+5J Bossier City, Louisiana, USA",https://mcneerelectric.net/,+1 318-742-4798,Closed · Opens 7:30 am Mon,https://lh3.googleusercontent.com/p/AF1QipO3PWTUo9Cq6QzZWapaeB2qy4s2vStZb3hxO3kj=w408-h257-k-no,true,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:30:11.608Z,,
https://www.google.com/maps/place/Rimmer+Electric/data=!4m7!3m6!1s0x8636cd66ce3d166b:0xd376592802e28141!8m2!3d32.4868729!4d-93.7670207!16s%2Fg%2F1tjwj3ds!19sChIJaxY9zmbNNoYRQYHiAihZdtM,Rimmer Electric,4.6,10,Electrician,,"2422 Bell St, Shreveport, LA 71103, United States","F6PM+P5 Shreveport, Louisiana, USA",https://rimmerelectric.com/,+1 318-221-7490,Closed · Opens 7 am Mon,https://lh3.googleusercontent.com/p/AF1QipPpSe3TgRqhusNFJ48-yiiY_jaSk-tzcrkwpNIf=w408-h480-k-no,true,Closed,Closed,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-01-10T23:30:16.459Z,,
