placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,isBlackOwned,imgUrl,isClaimed,saturday,sunday,monday,tuesday,wednesday,thursday,friday,query,timestamp,attributes,info
https://www.google.com/maps/place/Lyric+Electric+LLC/data=!4m7!3m6!1s0x89c3ad0f51bd30d5:0xe1f464f3e8eb4701!8m2!3d40.734928!4d-74.1654202!16s%2Fg%2F11l8g7wg0_!19sChIJ1TC9UQ-tw4kRAUfr6PNk9OE,Lyric Electric LLC,5.0,17,Electrician,"2600-#1501, One Gateway Center, Newark, NJ 07102, United States","PRMM+XR Newark, New Jersey, USA",http://www.lyricelectric.com/,+1 973-671-5235,Open · Closes 2 am,true,https://lh3.googleusercontent.com/p/AF1QipOGK_j2f6qE43BjnqQWBXBBOMCfI7DiYGX2P05q=w408-h544-k-no,true,9 am–2 am,9 am–1 am,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:34:35.934Z,,
https://www.google.com/maps/place/Jersey+Refrigeration+Inc/data=!4m7!3m6!1s0x89c254ed5fcf94e3:0x61a38f23e3090785!8m2!3d40.7819982!4d-74.1601118!16s%2Fg%2F1261m53vc!19sChIJ45TPX-1UwokRhQcJ4yOPo2E,Jersey Refrigeration Inc,4.5,17,Air conditioning contractor,"862 Summer Ave, Newark, NJ 07104, United States","QRJQ+QX Newark, New Jersey, USA",https://newjerseyrefrigeration.com/,+1 973-485-1010,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMdHLRS2Pk5T6GvZOxuKtZFgeekDxQiuByC85rE=w408-h544-k-no,true,7 am–2 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:34:41.728Z,,
https://www.google.com/maps/place/Ampacity+Electric+%7C+NJ+Electrician+%26+EV+Charger+Installation/data=!4m7!3m6!1s0x89c255d46d501167:0x39a64f5103e80198!8m2!3d40.7793043!4d-74.129668!16s%2Fg%2F1233pt0tp!19sChIJZxFQbdRVwokRmAHoA1FPpjk,Ampacity Electric | NJ Electrician & EV Charger Installation,5.0,158,Electrician,"55 Schuyler Ave APT 18, North Arlington, NJ 07031, United States","QVHC+P4 North Arlington, New Jersey, USA",https://www.ampacityelectric.com/,+1 201-406-2855,Open · Closes 9 pm,,https://lh3.googleusercontent.com/p/AF1QipPk-njPhNkBrMuX-nnptQZmHsDI8WnJ-2Rzig-u=w408-h267-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:34:46.573Z,,
https://www.google.com/maps/place/Northeast+Generators/data=!4m7!3m6!1s0x89c3b087967c2ebf:0x649c6d1143da5bf2!8m2!3d40.6561471!4d-74.3764809!16s%2Fg%2F11bzs3xdj3!19sChIJvy58loeww4kR8lvaQxFtnGQ,Northeast Generators,5.0,552,Electric generator shop,"2558 Plainfield Ave, Scotch Plains, NJ 07076, United States","MJ4F+FC Scotch Plains, New Jersey, USA",https://www.northeastgeneratorsllc.com/,+1 908-312-7002,"Closed · Opens 8 am Mon

Updated by this business 1 week ago",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxmKUjPSFL3jM46oIcrj6wJ_tcH4omyAnjti66iZ68AmEsjfRBzJ5Om51qoDXaQ16ApXGqAXsx1KCJL80kXR23vESl6BrwxyU7mbrtu8OulyVBqyh8kftrRDnQBGf3n7c-Fph2k=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:34:51.532Z,· Delivery,
https://www.google.com/maps/place/Kith+Electric/data=!4m7!3m6!1s0x89c25510e0a03c2b:0xbb5aac8219a1b857!8m2!3d40.7540514!4d-74.1709497!16s%2Fg%2F11w2kyvh5h!19sChIJKzyg4BBVwokRV7ihGYKsWrs,Kith Electric,5.0,58,Electrician,"19 Bloomfield Ave, Newark, NJ 07104, United States","QR3H+JJ Newark, New Jersey, USA",https://www.kithelectric.com/,+1 862-402-9657,Open 24 hours,true,https://lh3.googleusercontent.com/p/AF1QipNEv5Mm0eSwywUnR52IFYL8R2bbWJlYs5RjXQaz=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:34:56.473Z,,LGBTQ+ friendly
https://www.google.com/maps/place/Newark+Electric+Contractors/data=!4m7!3m6!1s0x89c1308476b7cbcd:0x3388e8b479568b65!8m2!3d40.7226712!4d-74.2091671!16s%2Fg%2F1tnsstzh!19sChIJzcu3doQwwYkRZYtWebToiDM,Newark Electric Contractors,4.6,9,Electrician,"682-684 Clinton Ave, Newark, NJ 07108, United States","PQFR+38 Newark, New Jersey, USA",,,Open · Closes 11 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AHwTh-gp7KIuL75DCBI1IQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=214.12787&pitch=0&thumbfov=100,false,7 am–11 pm,7 am–7 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:01.406Z,,
https://www.google.com/maps/place/Newark+Electrical+Service/data=!4m7!3m6!1s0x89c2f976a6ea5381:0xaa4c674765615320!8m2!3d40.7425159!4d-74.1689831!16s%2Fg%2F11b8t6glrs!19sChIJgVPqpnb5wokRIFNhZUdnTKo,Newark Electrical Service,4.3,11,Electrician,"554 Broad St, Newark, NJ 07102, United States","PRVJ+2C Newark, New Jersey, USA",,,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sv5k_oIlrYscbSqDuaGxkw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=87.59486&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:06.251Z,,
"https://www.google.com/maps/place/Concept+Electric,+LLC/data=!4m7!3m6!1s0x89c253e13131b5f1:0xda12c5753f05bcd5!8m2!3d40.7297163!4d-74.1413604!16s%2Fg%2F11s99780bw!19sChIJ8bUxMeFTwokR1bwFP3XFEto","Concept Electric, LLC",5.0,17,Electrician,"115 Brill St, Newark, NJ 07105, United States","PVH5+VF Newark, New Jersey, USA",http://www.conceptelectricnj.com/,+1 862-220-7554,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/p/AF1QipMMcmhbBdGEdSLys7qLiiXz9mZpStmKNxg74mLW=w408-h306-k-no,true,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:11.048Z,,
https://www.google.com/maps/place/Industrial+Saw+Co+Inc/data=!4m7!3m6!1s0x89c253ec44d6c089:0xff38a10cdcb63b74!8m2!3d40.7253254!4d-74.1437973!16s%2Fg%2F1tk640l2!19sChIJicDWROxTwokRdDu23AyhOP8,Industrial Saw Co Inc,4.4,38,Tool store,"148 Rome St, Newark, NJ 07105, United States","PVG4+4F Newark, New Jersey, USA",http://www.stihldealer.net/default-dealer-_djdyaa-uid-78af625c_eb25_4f0f_912d_97a50e2291c1-vid-e92337de_bfd0_4b58_aa30_6f20cee950d3-cmp-DEF-vcd-_yjadeerear4a.aspx,+1 973-589-0077,Closed · Opens 6 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzc76AMOLOLe82a6hbU7W5O6dK-SHubLHQjMENB4nejr7bPaNGQ671K-QlwILTLbHeQCe3h7SY4D4N24gcqdIZ57zLPtccfQTmXS4vFes2GdlLpscyqn-uT7Npjft877zDS4os9Dg=w408-h306-k-no,false,8 am–1 pm,Closed,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:15.917Z,· Delivery,
https://www.google.com/maps/place/C%26A+truck+electric/data=!4m7!3m6!1s0x89c2530a7cd1b5b3:0x475f563dc97d5ce6!8m2!3d40.7196679!4d-74.1710661!16s%2Fg%2F11btwmrn26!19sChIJs7XRfApTwokR5lx9yT1WX0c,C&A truck electric,4.8,101,Truck repair shop,"120 Harper St, Newark, NJ 07114, United States","PR9H+VH Newark, New Jersey, USA",,+1 973-596-8484,Closed · Opens 8 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxJzS93aja-68AXekRqz_PPQJoSbtnyftwov-yb47nygO770MCajxVTb3IWFR2jrNpAT0b5FtkbV33tJ0rPLGwU8fBpQ6Es2FZaXpX228KZcbLDwsyIe70PGJGgyYx8XGyWwow=w408-h306-k-no,true,8 am–3 pm,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:21.104Z,,
"https://www.google.com/maps/place/Maximo+Electrical,+Inc/data=!4m7!3m6!1s0x89c25396f8ebffff:0x796b64fcc79d8c63!8m2!3d40.7227435!4d-74.1558104!16s%2Fg%2F11hy9nynwy!19sChIJ___r-JZTwokRY4ydx_xka3k","Maximo Electrical, Inc",4.3,11,Electrician,"29 Ann St, Newark, NJ 07105, United States","PRFV+3M Newark, New Jersey, USA",http://electricwireservices.com/Newark,+1 973-834-6131,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vyle_5dPYlKc5NhyFTFSHQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=161.3613&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:26.084Z,,
https://www.google.com/maps/place/Biet+%26+Son+Truck+Electric+LLC/data=!4m7!3m6!1s0x89c253a07c7a33df:0xc56fefd6288c939!8m2!3d40.7199817!4d-74.1704345!16s%2Fg%2F11dzdyfrj9!19sChIJ3zN6fKBTwokROcmIYv3-Vgw,Biet & Son Truck Electric LLC,4.6,68,Auto repair shop,"251 Parkhurst St, Newark, NJ 07114, United States","PR9H+XR Newark, New Jersey, USA",,+1 862-755-6418,Closed · Opens 7 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxB9ArT87hipk8QIOafmgK9Fi3RvNJuZL8an9C3l_z8F5BXJJ_-3StuiJHIkrs2wlbT9kLFeqkCHcTmg8TGz5lCuOqT6GBUdD5y7uooHmAK5ziPrqEW1SKX3s2xag1tqUe7N_Vn=w408-h544-k-no,false,7 am–3 pm,Closed,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:31.003Z,,
https://www.google.com/maps/place/A+%26+S+Electric+Supply/data=!4m7!3m6!1s0x89c2538e10d74b5f:0x8e085c3a529306de!8m2!3d40.730607!4d-74.1545759!16s%2Fg%2F1260rk0tw!19sChIJX0vXEI5TwokR3gaTUjpcCI4,A & S Electric Supply,4.6,33,Electrical supply store,"63 Polk St, Newark, NJ 07105, United States","PRJW+65 Newark, New Jersey, USA",http://www.aselectricco.com/,+1 973-732-6984,Closed · Opens 6 am Mon,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9Z1dV8FWRx-LYoWJ_wtIP0w1KcPzEbi51FL4QLTmFggs5C-1ROKpW92X-UEnOSG6kZD3LPsC_yvx__PLRPy2ohZv4IqnDrPaDZGbVbWRQAHckTyeylWxr_7kCx6Cj1XGwJyiL=w408-h306-k-no,false,6:30 am–12 pm,Closed,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,6 am–5 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:36.056Z,· In-store pick-up · Delivery,
https://www.google.com/maps/place/D+%26+M+Master+Electric+L.L.C./data=!4m7!3m6!1s0x89c25383c34e1e8d:0x3d91ad759e36579d!8m2!3d40.6913973!4d-74.2048524!16s%2Fg%2F11stpnrq8t!19sChIJjR5Ow4NTwokRnVc2nnWtkT0,D & M Master Electric L.L.C.,5.0,202,Electrician,"44 Ludlow St, Newark, NJ 07114, United States","MQRW+H3 Newark, New Jersey, USA",https://www.dmmasterelectric.com/,+1 973-604-5628,,true,https://lh3.googleusercontent.com/p/AF1QipMywYCRtk9p3K8XVBJABkIOJOaWsLPtj7_wtN7h=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:40.836Z,,LGBTQ+ friendly
https://www.google.com/maps/place/GJ+electric+truck+repair/data=!4m7!3m6!1s0x89c253b7eace1ccb:0xe9104f1e411c104d!8m2!3d40.7237635!4d-74.1958904!16s%2Fg%2F11vsnvdxlx!19sChIJyxzO6rdTwokRTRAcQR5PEOk,GJ electric truck repair,5.0,24,Truck repair shop,"160 Jelliff Ave, Newark, NJ 07108, United States","PRF3+GJ Newark, New Jersey, USA",https://www.gjtruckrepair.com/,+1 201-539-7986,Closed · Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNjWXOyD4KhhGTl6nfZfMpGRIA8l7Ma6Y3ltMrK=w426-h240-k-no,true,7:30 am–3 pm,Closed,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,7:30 am–6 pm,"https://www.google.com/maps/search/generator+installation+services+in+Newark+NJ/@40.7483847,-74.189084,14z",2026-01-10T22:35:45.822Z,,Identifies as Latino-owned
