placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,error
"https://www.google.com/maps/place/Gilles+Brothers,+Inc./data=!4m7!3m6!1s0x87b207c8b27a28ef:0xaf2cdff24b58eb64!8m2!3d35.5082146!4d-97.7517816!16s%2Fg%2F1tct96sg!19sChIJ7yh6ssgHsocRZOtYS_LfLK8","Gilles Brothers, Inc.",4.5,86,Lawn mower store,· In-store shopping · In-store pick-up · Delivery,"541 W Main St, Yukon, OK 73099, United States","G65X+77 Yukon, Oklahoma, USA",https://www.gillesbrothers.com/,+1 405-354-3565,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipPX-zG3h7whjbuRLJoQrlQ_3emc7j2PHDD1gK_O=w408-h271-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,Closed,Closed,9 am–5:30 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:11.020Z,,
https://www.google.com/maps/place/Chick-fil-A/data=!4m7!3m6!1s0x87b208727d4c58cb:0x417d08011090abb!8m2!3d35.4807797!4d-97.7608744!16s%2Fg%2F1xb2f26c!19sChIJy1hMfXIIsocRuwoJEYDQFwQ,Chick-fil-A,4.5,2744,Fast food restaurant,Fast-food chain serving chicken sandwiches & nuggets along with salads & sides. · Dine-in · Drive-through · Delivery,"1724 Garth Brooks Blvd, Yukon, OK 73099, United States","F6JQ+8M Yukon, Oklahoma, USA",https://www.chick-fil-a.com/locations/ok/yukon?utm_source=yext&utm_medium=link,+1 405-354-6280,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEnUbytvnWOgOTh_IRQ7r-GMSj7RV1AmEIFmve5Pk4NMWFkI4wx2C2KfSjEsG6rr04W5P1y3NGBqTTOiDDMSxz0f6I7YnpQL8Kk8xqiaag4EDYIasjmDlobT20j3J9eXjAl_xr=w408-h306-k-no,true,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,6 am–9 pm,Closed,6 am–9 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:17.223Z,,
https://www.google.com/maps/place/Bird+Oil+%26+Gas+Inc/data=!4m7!3m6!1s0x87b2063b3adaef85:0x383436d345f67c8a!8m2!3d35.5053282!4d-97.7276716!16s%2Fg%2F1tklr1gm!19sChIJhe_aOjsGsocRinz2RdM2NDg,Bird Oil & Gas Inc,2.3,3,Gas company,,"1135 Industrial Dr, Yukon, OK 73099, United States","G74C+4W Yukon, Oklahoma, USA",,+1 405-354-6400,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IprZ27uyncHXDwrl7Y5AZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=358.77652&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:20.607Z,,
https://www.google.com/maps/place/Big+Parking+Spot/data=!4m7!3m6!1s0x87b2111c2ebf3fc5:0x6e8967b5971bfa97!8m2!3d35.4446098!4d-97.6091196!16s%2Fg%2F11lkzcpx7n!19sChIJxT-_LhwRsocRl_obl7VniW4,Big Parking Spot,4.8,40,Parking lot,,"5014 SW 20th St, Oklahoma City, OK 73128, United States","C9VR+R9 Southwest Oklahoma City, Oklahoma City, OK, USA",https://www.bigparkingspot.com/5014-sw-20th-st-oklahoma-city-ok-73128,+1 405-777-4678,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxqqHe9iHHGVuwQKLRkfYxk-KzVuUql17NM81ZLQapu6OVuKMHMLBNW1H6MC9_euRNl2XfsCfpjWZflzscCAesUGrXNosNXCVliZCTuHhlixDVGszTVKDXlUry_hvT3U8ERm1NA=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:25.554Z,,
https://www.google.com/maps/place/Walmart+Supercenter/data=!4m7!3m6!1s0x87b207dc29a1fcd3:0x83cba09a24de507d!8m2!3d35.4903793!4d-97.7635345!16s%2Fm%2F03nz_mr!19sChIJ0_yhKdwHsocRfVDeJJqgy4M,Walmart Supercenter,3.8,4745,Department store,· In-store shopping · Kerbside pickup · Delivery,"1200 Garth Brooks Blvd, Yukon, OK 73099, United States","F6RP+5H Yukon, Oklahoma, USA",https://www.walmart.com/store/221-yukon-ok/?veh=seo_loc,+1 405-350-1900,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzN2SYRgXGi7tI074nyBJhqYJZGC63b3ZlvpKdqNwPDqtzenDL1PfrwmxORM4yOLw_Q5mXGgLvsznqB4xmgE8AIFMErkownFamtl7_nlXw3CT4FfssZbzL-OU7PlHvk4_15ltGA=w426-h240-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:30.785Z,,
https://www.google.com/maps/place/Prestige+Valet+%26+Parking/data=!4m7!3m6!1s0x87b203a504f64e9b:0xafdac1fe6edabd7c!8m2!3d35.5365342!4d-97.6333192!16s%2Fg%2F11g70w286j!19sChIJm072BKUDsocRfL3abv7B2q8,Prestige Valet & Parking,4.9,11,Valet parking service,,"6816 NW 63rd St, Bethany, OK 73008, United States","G9P8+JM Bethany, Oklahoma, USA",http://www.prestigevaletokc.com/,+1 405-990-1734,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx1dWtp9hFyJk6GoUylifp1AlTx6OSUyW_FJZto8a-d-cYx8AcJuIaWytO9LUWFYwyY0ljvUdKhkx7jvJ5RPFGfa-UJSM167XvLR1EOwjUqoWJty-Po_9nq9b0eLuSLV748Hz68=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:35.652Z,,
https://www.google.com/maps/place/T-Mobile+Authorized+Retailer/data=!4m7!3m6!1s0x87b20875b92d4717:0xfe20b26a0023eb74!8m2!3d35.4894658!4d-97.7595247!16s%2Fg%2F11c5b17hss!19sChIJF0ctuXUIsocRdOsjAGqyIP4,T-Mobile Authorized Retailer,4.3,360,Cell phone store,"Wireless provider offering cell phones, data plans, Internet devices & accessories. · In-store shopping · In-store pick-up","1299 Garth Brooks Blvd, Yukon, OK 73099, United States","F6QR+Q5 Yukon, Oklahoma, USA",https://www.t-mobile.com/stores/bd/t-mobile-yukon-ok-73099-5280?utm_source=google&utm_medium=lastmile&utm_campaign=5280,+1 405-265-0566,"Open ⋅ Closes 8 pm

Confirmed by this business 7 days ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyR0UBppk6Aw_UmSyLWdMS0D-rnnzpyz9RAUhFFDoTl7jfpAgsOrm6oaj5a43WEP9VnzBSdBO2NtvqNdjnr4mGIYjmSfpXuBa4rC2QFZaRP6u4v-CB3mlMcpr1CyyUkOfvkn8gG4A=w408-h306-k-no,true,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,10 am–8 pm,11 am–6 pm,10 am–8 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:40.888Z,LGBTQ+ friendly,
https://www.google.com/maps/place/1st+Class+Valet+Services/data=!4m7!3m6!1s0x87b2119c07127839:0xa9b7487e5b88fb6f!8m2!3d35.4637504!4d-97.5135986!16s%2Fg%2F11jb9tfh32!19sChIJOXgSB5wRsocRb_uIW35It6k,1st Class Valet Services,5.0,18,Valet parking service,,"2 W Reno Ave, Oklahoma City, OK 73102, United States","FF7P+GH Central Oklahoma City, Oklahoma City, OK, USA",http://1stclassvs.com/,+1 572-208-6228,Open ⋅ Closes 12 am,https://lh3.googleusercontent.com/p/AF1QipPVs-8kUhWJpGdY4EQ3vNUtnNA6mR1Zt3JhrR9L=w408-h612-k-no,true,6 am–12 am,6 am–12 am,6 am–12 am,6 am–12 am,6 am–12 am,6 am–12 am,6 am–12 am,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:46.619Z,,
https://www.google.com/maps/place/Academy+Sports+%2B+Outdoors/data=!4m7!3m6!1s0x87b208630f4454dd:0x9ef56f593c396282!8m2!3d35.4758771!4d-97.7475414!16s%2Fg%2F11c20btl6f!19sChIJ3VRED2MIsocRgmI5PFlv9Z4,Academy Sports + Outdoors,4.4,1684,Outdoor sports store,"Sporting goods chain selling athletic apparel & footwear, plus outdoor gear & fitness equipment. · In-store shopping · Kerbside pickup · Delivery","12324 NW 10th St, Yukon, OK 73099, United States","F7G2+9X Yukon, Oklahoma, USA",https://www.academy.com/storelocator/oklahoma/yukon/store-0246,+1 405-246-1429,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxVWkYe-X5SigGXUrLvTtU0gg9jghZCyCwVRuRHaxpFFzGqsMAoVQ-4j-jcLNDbXKdHcSg6whboIuAq8bPT_A4b08RW1FK8K9yWqdUXyFNZQJdC5V7eSHFV0LD-u6ULFVeqUAk=w408-h348-k-no,true,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,8 am–10 pm,9 am–9 pm,8 am–10 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:51.829Z,,
https://www.google.com/maps/place/Jay%27s+Valet+Parking+Services/data=!4m7!3m6!1s0x87b21a894a483851:0xf2bb82460c58a21!8m2!3d35.3090496!4d-98.7167134!16s%2Fg%2F1tj1slqc!19sChIJUThISokasocRIYrFYCS4Kw8,Jay's Valet Parking Services,4.1,17,Transportation service,,,,https://jaysvalet.com/,+1 405-917-7275,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx7J0LmJgpfrF19IX2nkDMZV9fjnjaP9pY2z8h5_noWkdRpFJ_OcvlMD9Q4EGwvWijxGpP7m22onz38hqcuv4ERyZhUNq4pduXGAFIEeBc7OtE0yA8NNH3lQdIJt7UvTDwe98lGEA=w408-h544-k-no,true,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-28T19:00:54.854Z,,
