placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,isBlackOwned,imgUrl,isClaimed,query,timestamp,monday,tuesday,wednesday,thursday,friday,saturday,sunday,info,attributes
https://www.google.com/maps/place/Universal+Plumbing/data=!4m7!3m6!1s0x88f9cfa1312f0fd1:0xa0aa613c5692442b!8m2!3d33.4467497!4d-82.0125814!16s%2Fg%2F11fx0fkjwn!19sChIJ0Q8vMaHP-YgRK0SSVjxhqqA,Universal Plumbing,4.9,3041,Plumber,"2415 Milledgeville Rd, Augusta, GA 30904, United States","CXWP+MX Augusta, Georgia, USA",https://universalplumbinginc.com/,+1 706-738-4424,,true,https://lh3.googleusercontent.com/p/AF1QipPG8aaw9Ssmj8HpoZCF6mMDJlUo65csogZiCom9=w408-h272-k-no,true,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:46:45.880Z,,,,,,,,,
https://www.google.com/maps/place/Brittingham+Plumbing+Co/data=!4m7!3m6!1s0x88f9cdc8f6a79fc5:0x9da07a46ba1ec95a!8m2!3d33.4683536!4d-82.0063494!16s%2Fg%2F1tmg7dkz!19sChIJxZ-n9sjN-YgRWskeukZ6oJ0,Brittingham Plumbing Co,4.7,130,Plumber,"1912-A, 1912 Central Ave, Augusta, GA 30904, United States","FX9V+8F Augusta, Georgia, USA",http://brittinghamplumbinginc.com/,+1 706-736-8752,Closed ⋅ Opens 7:30 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyQg2PZYN-Cj3WoRiEP4ZkkhoSdabdQahPhyC2mEB5WwcQ93-ded5yV68y4AuvcGIIm_ITvEmA_MAm6QV2v06aL_v01l2FRbmVC9yXYx3ya_1kjmcAxxKDI4LfskUzYC9X9nPAiyg=w408-h306-k-no,true,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:46:51.976Z,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,7:30 am–3:30 pm,Closed,Closed,,
https://www.google.com/maps/place/Benjamin+Franklin+Plumbing+of+Augusta/data=!4m7!3m6!1s0x88f9cb0b6cef97db:0x518b0af4d372a109!8m2!3d33.4931561!4d-81.9298906!16s%2Fg%2F1tdrg6kg!19sChIJ25fvbAvL-YgRCaFy0_QKi1E,Benjamin Franklin Plumbing of Augusta,4.9,888,Plumber,"10985 Atomic Rd, North Augusta, SC 29841, United States","F3VC+72 North Augusta, South Carolina, USA",https://www.benjaminfranklinplumbing.com/augusta/?utm_source=gbp&utm_medium=organic&utm_campaign=638311_-BF0052-,+1 706-869-8889,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNbNi7hPL7S8OVqmxYkzmO3jUIm0ivTwUrCeBEC=w408-h353-k-no,true,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:46:56.929Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Gold+Mech/data=!4m7!3m6!1s0x88f9cc5aafcc9035:0x1c1cbbe0068edc71!8m2!3d33.4820311!4d-81.9850228!16s%2Fg%2F1tfkx4xk!19sChIJNZDMr1rM-YgRcdyOBuC7HBw,Gold Mech,4.3,55,HVAC contractor,"1559 Broad St, Augusta, GA 30904, United States","F2J7+RX Augusta, Georgia, USA",http://www.goldmech.com/,+1 706-724-4653,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPSTpZHV9DFollfNlVLs6nW4s3nX_pTiR2DHDC_=w408-h272-k-no,true,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:47:01.873Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,LGBTQ+ friendly,
"https://www.google.com/maps/place/Budget+Sewer+Service,+Inc./data=!4m7!3m6!1s0x88f9ce5b22da8e01:0xaeb82c875dca7e89!8m2!3d33.4255382!4d-82.0064963!16s%2Fg%2F1thvhsy4!19sChIJAY7aIlvO-YgRiX7KXYcsuK4","Budget Sewer Service, Inc.",4.4,88,Plumber,"2521 Mike Padgett Hwy, Augusta, GA 30906, United States","CXGV+6C Augusta, Georgia, USA",http://budgetsewerservice.com/,+1 706-798-8080,Open 24 hours,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GXDigZ4wcALubXHrFpGNtQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=302.99014&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:47:06.810Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
"https://www.google.com/maps/place/All+Drain+Plumbing+Augusta/@33.3860495,-82.090917,11z/data=!3m1!4b1!4m6!3m5!1s0x88f9cda1fbb1f5a1:0x33bb4d886065c281!8m2!3d33.3860494!4d-82.090917!16s%2Fg%2F11w8ng238g",All Drain Plumbing Augusta,5.0,23,Plumber,,,,+1 762-249-7576,Open 24 hours,,,true,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:47:13.790Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Neighborhood+Plumber+Ltd+Co/data=!4m7!3m6!1s0x88f9ccc4822e2393:0x4b52e206e71f0c4c!8m2!3d33.5031089!4d-81.9667563!16s%2Fg%2F11hbss8k_z!19sChIJkyMugsTM-YgRTAwf5wbiUks,Neighborhood Plumber Ltd Co,4.5,127,Plumber,"1027 Hampton Terrace, North Augusta, SC 29841, United States","G23M+67 North Augusta, South Carolina, USA",http://nplc.ltd/,+1 803-640-7794,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipMIEJM9u_CoMvUhca2tZP8nJLQRO2KhGCjtnN7R=w408-h433-k-no,true,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:47:18.760Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Southern+Services/data=!4m7!3m6!1s0x88f9ce0bc1f0ce97:0x10e0f5eb8829d293!8m2!3d33.4466138!4d-82.0230849!16s%2Fg%2F1txc7wzd!19sChIJl87wwQvO-YgRk9IpiOv14BA,Southern Services,3.9,8,Plumber,"2630 Milledgeville Rd, Augusta, GA 30904, United States","CXWG+JQ Augusta, Georgia, USA",https://www.southernservicesaugusta.com/,+1 706-798-3030,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GT7mY2zzwYK9Rc1LKEgpbw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=181.62006&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:47:21.572Z,,,,,,,,,
https://www.google.com/maps/place/Busbee%27s+Plumbing/data=!4m7!3m6!1s0x88f9cc98a1d80af3:0x1c5e269374649b86!8m2!3d33.587531!4d-81.815042!16s%2Fg%2F1tcvvqb4!19sChIJ8wrYoZjM-YgRhptkdJMmXhw,Busbee's Plumbing,5.0,438,Plumber,,,https://www.busbeeaugusta.com/,+1 706-533-0389,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipM1YiCRx3OoNVxD6ddaggEfKOVWLV51mjKS8_mv=w408-h408-k-no,true,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:47:26.438Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Drain+Service/data=!4m7!3m6!1s0x88f9d204f8a88707:0x5e72994ea3dc5f1c!8m2!3d33.3316432!4d-81.9640717!16s%2Fg%2F11fxf54cqc!19sChIJB4eo-ATS-YgRHF_co06Zcl4,Roto-Rooter Plumbing & Drain Service,4.7,1020,Plumber,"4207 Mike Padgett Hwy Unit A, Augusta, GA 30906, United States","82JP+M9 Augusta, Georgia, USA",https://www.rotorooter.com/augustaga/,+1 706-229-7920,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipNLUxGkEwZ2__rGxyR9mvfSFmxDuzic9_7l5e8Z=w426-h240-k-no,true,"https://www.google.com/maps/search/plumbing++services+in+Augusta+GA/@33.4646174,-81.9541975,14z",2025-11-11T04:47:31.651Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Identifies as women-owned,
