placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,info,wednesday,thursday,friday,saturday,sunday,monday,tuesday,attributes,isBlackOwned
https://www.google.com/maps/place/pdx+elite+care+inc/data=!4m7!3m6!1s0x54950a0471df51b7:0xcb07f39ca8fb29c8!8m2!3d45.52099!4d-122.6791968!16s%2Fg%2F11ddyj13kq!19sChIJt1HfcQQKlVQRyCn7qJzzB8s,pdx elite care inc,3.0,3,Home health care service,"707 SW Washington St #1100, Portland, OR 97205, United States","G8CC+98 Portland, Oregon, USA",https://pdxelitecareinc.com/,+1 503-444-2466,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gWqYjG1hbLHS6GxB6I9jzA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=25.34308&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:11.585Z,,,,,,,,,,
https://www.google.com/maps/place/Dwell+Care/data=!4m7!3m6!1s0x5495092a4fa7ca27:0x53077e24a383f534!8m2!3d45.5343013!4d-122.6965156!16s%2Fg%2F11h8wfgbps!19sChIJJ8qnTyoJlVQRNPWDoyR-B1M,Dwell Care,4.9,21,Home health care service,"2175 NW Raleigh St #110, Portland, OR 97210, United States","G8M3+P9 Portland, Oregon, USA",http://www.dwellcares.com/,+1 503-388-9682,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMRKwhS0RvR_7WA-Pw8lLmGDa-kzPbbmWaGx_1R=w426-h240-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:16.433Z,Identifies as women-owned,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Comfort+Keepers+Home+Care/data=!4m7!3m6!1s0x54957580fe082771:0xc8f477257387c160!8m2!3d45.5189926!4d-122.6620102!16s%2Fg%2F11clzr9x1_!19sChIJcScI_oB1lVQRYMGHcyV39Mg,Comfort Keepers Home Care,4.6,23,Home health care service,"555 SE Martin Luther King Jr Blvd Suite 105, Portland, OR 97214, United States","G89Q+H5 Portland, Oregon, USA",https://www.comfortkeepers.com/offices/oregon/portland-east/?utm_source=local&utm_medium=organic,+1 503-462-1455,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eQ2CjeVvfh3j2GUL7t5yXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=271.31235&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:21.682Z,Identifies as women-owned,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Old+Town+Clinic/data=!4m7!3m6!1s0x54950a015d0cae9d:0x99d6fcdb7341486!8m2!3d45.5232788!4d-122.6780984!16s%2Fg%2F1th0mm17!19sChIJna4MXQEKlVQRhhQ0t81vnQk,Old Town Clinic,3.7,87,Medical clinic,"727 W Burnside St, Portland, OR 97209, United States","G8FC+8Q Portland, Oregon, USA",https://centralcityconcern.org/health-care-location/old-town-clinic-health-care?utm_source=google&utm_medium=organic&utm_campaign=GMB,+1 503-228-4533,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOfV5sptEI62uXySbsCeM-qTGvIpyd8cmGb0cjv=w408-h272-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:26.105Z,LGBTQ+ friendly,9 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,
https://www.google.com/maps/place/Whole+Systems+Healthcare+Portland+Clinic/data=!4m7!3m6!1s0x54950b76037a3345:0xbc9723785a95415c!8m2!3d45.5203601!4d-122.684908!16s%2Fg%2F11gybwwy7x!19sChIJRTN6A3YLlVQRXEGVWngjl7w,Whole Systems Healthcare Portland Clinic,4.9,44,Medical clinic,"1220 SW Morrison St #500, Portland, OR 97205, United States","G8C8+42 Portland, Oregon, USA",https://wshcare.org/portland,+1 503-714-8924,Closed ⋅ Opens 8:30 am Thu,https://lh3.googleusercontent.com/p/AF1QipPQyd75M0icMCc5oHQZvmBbZVpXjIcsrC9LI7Gf=w566-h240-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:30.489Z,LGBTQ+ friendly,Closed,8:30 am–6 pm,8:30 am–6 pm,Closed,Closed,8:30 am–6 pm,8:30 am–6 pm,,
https://www.google.com/maps/place/A+Balanced+Life+Health+Care/data=!4m7!3m6!1s0x5495a099452947ef:0xc0896234990f7041!8m2!3d45.5123832!4d-122.6452726!16s%2Fg%2F1td_y9b_!19sChIJ70cpRZmglVQRQXAPmTRiicA,A Balanced Life Health Care,4.4,49,Medical clinic,"2005 SE Hawthorne Blvd, Portland, OR 97214, United States","G963+XV Portland, Oregon, USA",http://www.abalancedlifehealthcare.com/,+1 503-236-4580,"Open ⋅ Closes 7 pm

Updated by this business 3 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNj_8z7M_vBvzd7zR4yrFi9h6wRjVpZ0g7NMfGU=w753-h240-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:35.021Z,LGBTQ+ friendly,9 am–7 pm,9 am–6 pm,9 am–5 pm,Closed,Closed,9 am–6 pm,9 am–5 pm,,
https://www.google.com/maps/place/Oregon+Integrated+Health+-+Primary+Care+Providers/data=!4m7!3m6!1s0x549509f88dd3256d:0xca1a82643f1b1a04!8m2!3d45.5297079!4d-122.6855326!16s%2Fg%2F1tm1q52t!19sChIJbSXTjfgJlVQRBBobP2SCGso,Oregon Integrated Health - Primary Care Providers,4.2,315,Family practice physician,"923 NW 14th Ave, Portland, OR 97209, United States","G8H7+VQ Portland, Oregon, USA",https://www.oregonih.com/,+1 503-972-0235,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOjhEOS-qigOZbCzfV66c6YAmkmSU55R-azdKcU=w408-h304-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:39.591Z,,8 am–5 pm,8 am–6 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,,
https://www.google.com/maps/place/VieMed/data=!4m7!3m6!1s0x54950b9b066e2c0b:0x6b46856b17b5ce03!8m2!3d45.5165851!4d-122.6793826!16s%2Fg%2F11y5f6mxlg!19sChIJCyxuBpsLlVQRA861F2uFRms,VieMed,,,Home health care service,"1050 SW 6th Ave #1100, Portland, OR 97204, United States","G88C+J6 Portland, Oregon, USA",https://www.viemed.com/,+1 971-202-4333,Opens soon ⋅ 1 pm,https://lh3.googleusercontent.com/p/AF1QipNUACH1VKflaK9JWXQIHi2Ks3T8dR4HJ8jeQwfI=w408-h306-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:44.263Z,,"9 am–12 pm, 1–4 pm","9 am–12 pm, 1–4 pm","9 am–12 pm, 1–4 pm",Closed,Closed,"9 am–12 pm, 1–4 pm","9 am–12 pm, 1–4 pm",,
https://www.google.com/maps/place/Maybelle+Center/data=!4m7!3m6!1s0x54950a011bc2553f:0xfbc0ab862da909a4!8m2!3d45.5239081!4d-122.6766229!16s%2Fg%2F12hp2p8g6!19sChIJP1XCGwEKlVQRpAmpLYarwPs,Maybelle Center,4.5,33,Non-profit organization,"605 NW Couch St, Portland, OR 97209, United States","G8FF+H9 Portland, Oregon, USA",https://www.maybellecenter.org/,+1 503-241-7374,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP30vK8_tmChOpsMnxihdB-R1ue7RAoqX9tXH9a=w408-h271-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:49.040Z,,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,,
https://www.google.com/maps/place/Healthy+Living+Community/data=!4m7!3m6!1s0x5495a0ba2305f559:0xd50c150241c3d305!8m2!3d45.4968632!4d-122.6398488!16s%2Fg%2F1235bvb_8!19sChIJWfUFI7qglVQRBdPDQQIVDNU,Healthy Living Community,4.6,7,Medical clinic,"3605 SE 26th Ave, Portland, OR 97202, United States","F9W6+P3 Portland, Oregon, USA",http://www.healthyliving.community/,+1 971-231-4536,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNOAuFs_EHW-ORIdIRHU6w9CEAZ1Ye8aVw_yZUi=w408-h519-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:53.423Z,LGBTQ+ friendly,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed,Closed,10 am–5 pm,10 am–5 pm,,
https://www.google.com/maps/place/Vera+Whole+Health+-+Downtown+Portland/data=!4m7!3m6!1s0x54950a043c055555:0xf5dd1f6ae90bbf43!8m2!3d45.5206322!4d-122.6773577!16s%2Fg%2F11ggr5xdp_!19sChIJVVUFPAQKlVQRQ78L6Wof3fU,Vera Whole Health - Downtown Portland,5.0,1,Medical clinic,"400 SW 6th Ave suite 501, Portland, OR 97204, United States","G8CF+73 Portland, Oregon, USA",https://verawholehealth.com/,+1 971-940-7170,Open ⋅ Closes 6:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-3LEcgnFy30b4BuLkDQoeg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=113.94806&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:30:57.806Z,,10 am–6:30 pm,7 am–4 pm,7 am–4 pm,Closed,Closed,10 am–6:30 pm,10 am–6:30 pm,,
https://www.google.com/maps/place/Select+Home+Care+Portland/data=!4m7!3m6!1s0x54950edfb520203d:0x5b362add36aa5e4c!8m2!3d45.5097146!4d-122.7316001!16s%2Fg%2F1tgcl_tn!19sChIJPSAgtd8OlVQRTF6qNt0qNls,Select Home Care Portland,4.9,17,Home health care service,"5319 SW Westgate Dr # 240, Portland, OR 97221, United States","G759+V9 Portland, Oregon, USA",https://www.selecthomecareportland.com/,+1 503-488-5948,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOZONZZBM2cEu85XuWdZLAIcB6tppnRnSdG1Q9R=w408-h267-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:31:02.407Z,Identifies as veteran-owned,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/BrightStar+Care/data=!4m7!3m6!1s0x5495a1122a5d953f:0xda88ba1f289ac85e!8m2!3d45.5289517!4d-122.6458095!16s%2Fg%2F11w1cywnp1!19sChIJP5VdKhKhlVQRXsiaKB-6iNo,BrightStar Care,5.0,1,Home health care service,"825 NE 20th Ave #310, Portland, OR 97232, United States","G9H3+HM Portland, Oregon, USA",https://www.brightstarcare.com/locations/ne-portland/,+1 503-620-6011,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNmD-wnW6yDuuNTi-w2Nq1_MyccOTLPDZm4wPX4=w546-h240-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:31:07.076Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
https://www.google.com/maps/place/Portland+In-Home+Care/data=!4m7!3m6!1s0x5495a0f257ea538b:0x2ab42d97f88f8006!8m2!3d45.5134021!4d-122.6164608!16s%2Fg%2F11bw5yzptq!19sChIJi1PqV_KglVQRBoCP-JcttCo,Portland In-Home Care,5.0,1,Home health care service,"4434 SE Main St, Portland, OR 97215, United States","G97M+9C Portland, Oregon, USA",https://pdxinhomecare.com/,+1 503-479-7179,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOdP728ihy3MIgYiWWRSfpi6MbIP8GDVO5Mqyqh=w646-h240-k-no,true,"https://www.google.com/maps/search/Home+Health+clinics+in+Downtown+Portland+Portland+OR/@45.5173454,-122.6835562,14z",2025-09-10T19:31:11.454Z,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,
