placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,error,isBlackOwned
https://www.google.com/maps/place/River+Pools+of+Des+Moines/data=!4m7!3m6!1s0xa30e61c4a995a383:0x9b64b6fb433c6df5!8m2!3d41.6158694!4d-93.9754778!16s%2Fg%2F11rm_1b2pr!19sChIJg6OVqcRhDqMR9W08Q_u2ZJs,River Pools of Des Moines,4.7,13,Swimming pool contractor,"25701 US-6, Adel, IA 50003, United States","J28F+8R Adel, Iowa, USA",https://www.riverpoolsandspas.com/locations/fiberglass-pools-des-moines,+1 515-344-8447,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipOC_3owU3bEquuoms2kdHyDGS2R1_IHcL_Uxygt=w408-h544-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:39:33.131Z,,,,
https://www.google.com/maps/place/Heartland+Pool+and+Spa/data=!4m7!3m6!1s0x87ee99d0b64aaa07:0xfd29e67f729287cb!8m2!3d41.5906745!4d-93.708869!16s%2Fg%2F11rqz43fsm!19sChIJB6pKttCZ7ocRy4eScn_mKf0,Heartland Pool and Spa,4.2,34,Swimming pool contractor,"1325 Hoak Dr, West Des Moines, IA 50265, United States","H7RR+7F West Des Moines, Iowa, USA",http://heartlandpoolandspaia.com/,+1 515-416-9186,"Open ⋅ Closes 4:30 pm

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipODsIAT6dSL2eQb2API3YOZWhG-k6R2itOR0g7O=w408-h271-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:39:38.014Z,,,,
https://www.google.com/maps/place/Central+Iowa+Pool+%26+Spa/data=!4m7!3m6!1s0x87ee9a6766b6e4bf:0x3aae67caed00129!8m2!3d41.6580972!4d-93.6010888!16s%2Fg%2F1tjs5hbf!19sChIJv-S2Zmea7ocRKQHQrnzmqgM,Central Iowa Pool & Spa,4.9,517,Hot tub store,"5360 NE 14th St # F, Des Moines, IA 50313, United States","M95X+6H Des Moines, Iowa, USA",http://www.soakandswim.com/,+1 515-263-6900,"Open ⋅ Closes 5:30 pm

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxVA_naSTyQDJ8o-Zc5nBMuV1JQDYHA_KRH0HD3icKrO5-Ri6BjRgQx47WehUlZEfKWJpvb27MYgcpPngChsBhUp6OaTPpxVDbcTf2OumIS9B5sZDSY7N2ZFvh9H6RhchqmBWwA=w408-h306-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–4 pm,11 am–4 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:39:43.043Z,· In-store shopping · In-store pick-up · Delivery,,,
https://www.google.com/maps/place/Tidy+Pool+%26+Spa+Co/data=!4m7!3m6!1s0x87ee9bcda026e3a9:0xf2462e96ec15588f!8m2!3d41.6352629!4d-93.6245194!16s%2Fg%2F1tt0rp9v!19sChIJqeMmoM2b7ocRj1gV7JYuRvI,Tidy Pool & Spa Co,4.0,4,Swimming pool contractor,"4105 6th Ave, Des Moines, IA 50313, United States","J9PG+45 Des Moines, Iowa, USA",,+1 515-979-4006,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m8kIP9CiB06UUJNrs7B_CQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=88.51487&pitch=0&thumbfov=100,false,8:30 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:39:47.657Z,,,,
https://www.google.com/maps/place/Pools+of+Iowa+LLC/data=!4m7!3m6!1s0x87ee9bd9433d3a9b:0x9f44fcab40bb7f81!8m2!3d41.6279407!4d-93.6358998!16s%2Fg%2F1v1slsp3!19sChIJmzo9Q9mb7ocRgX-7QKv8RJ8,Pools of Iowa LLC,4.4,7,Swimming pool contractor,"1305 Euclid Ave, Des Moines, IA 50313, United States","J9H7+5J Des Moines, Iowa, USA",http://www.poolsofiowa.net/,+1 515-491-5403,Open ⋅ Closes 8 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nZIQ1rZrXd-6MpFDTl7Hcg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=6.5214505&pitch=0&thumbfov=100,true,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,9 am–8 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:39:52.162Z,,,,
https://www.google.com/maps/place/Valley+Pool+%26+Hot+Tubs+Inc/data=!4m7!3m6!1s0x87ee9fc77b8c5d51:0xfeba456598e6dad0!8m2!3d41.5691241!4d-93.7232203!16s%2Fg%2F1tv3p75b!19sChIJUV2Me8ef7ocR0NrmmGVFuv4,Valley Pool & Hot Tubs Inc,4.5,45,Hot tub store,"1417 Fuller Rd, West Des Moines, IA 50265, United States","H79G+JP West Des Moines, Iowa, USA",http://valleypoolandhottubs.com/,+1 515-225-2431,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMrO9cWpO-sNtaFHHeQ4An52LiIeuRF797k5mOK=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,10 am–2 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:39:56.766Z,· Delivery,,,
https://www.google.com/maps/place/Wiges+Outdoor+Services/data=!4m7!3m6!1s0x87ec23a0c94e24f3:0x3b51e5480a958d4f!8m2!3d41.6501248!4d-93.6235391!16s%2Fg%2F11c1vksxpb!19sChIJ8yROyaAj7IcRT42VCkjlUTs,Wiges Outdoor Services,4.8,43,Swimming pool contractor,"330 NW 49th Pl, Des Moines, IA 50313, United States","M92G+2H Des Moines, Iowa, USA",https://www.wigesoutdoorservices.com/utm_source=google&utm_medium=business_p?rofile&utm_campaign=website,+1 515-207-0467,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOqMk20o2PhnZ9420oaYvYGGd7FwUgMUO38E0eX=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:40:01.604Z,,,,
https://www.google.com/maps/place/Pacifico+Pools/data=!4m7!3m6!1s0x87ee939740dbf23b:0x4736f5add967e09!8m2!3d41.5169147!4d-93.5920577!16s%2Fg%2F11rc068hsw!19sChIJO_LbQJeT7ocRCX6W3VpvcwQ,Pacifico Pools,3.0,4,Swimming pool contractor,"7481 US-69, Des Moines, IA 50320, United States","GC85+Q5 Des Moines, Iowa, USA",http://pacificopools.net/,+1 515-443-4236,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzvZN919qCG9VQT7pY8FsL5Xt1wlrpq4ZddGgvHH1w7kftit6iOljoQIoBu243AoJROhmSkFZcidBUB2CIUzzxucUIA4ZUL8l19NKyHM4vEW9r5OjgIJkzZIUsq_M4s4YXxd73B=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:40:06.109Z,,,,
https://www.google.com/maps/place/Premier+Pool+Service/data=!4m7!3m6!1s0xc59fe6feef63227:0x9d46c384b2f0d91c!8m2!3d41.678911!4d-93.6807813!16s%2Fg%2F11tcygc7yk!19sChIJJzL27m_-WQwRHNnwsoTDRp0,Premier Pool Service,5.0,11,Pool cleaning service,"6516 NW Beaver Dr, Johnston, IA 50131, United States","M8H9+HM Johnston, Iowa, USA",https://premierpoolservice.com/locations/des-moines/?utm_source=Synup&utm_medium=Synup&utm_campaign=Synup,+1 515-355-3733,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPZXYtT99SZZNFACYEAkldV16ErltoPufKk7UX5=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:40:10.557Z,,LGBTQ+ friendly,,
https://www.google.com/maps/place/Mid+American+Energy+Company+Aquatic+Center/data=!4m7!3m6!1s0x87ee99013dc8eebf:0x3b76ea5e76a548d1!8m2!3d41.5879731!4d-93.6251973!16s%2Fg%2F11sfb3kr4t!19sChIJv-7IPQGZ7ocR0Uildl7qdjs,Mid American Energy Company Aquatic Center,5.0,2,Gym,"481 6th Ave, Des Moines, IA 50309, United States","H9QF+5W Des Moines, Iowa, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TFnBD1Nh2fXPPMhmsAp-GA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=57.90307&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Adel+Des+Moines+IA/@41.5896139,-93.6163963,14z",2025-10-27T17:40:13.182Z,,,,
