placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,error,isBlackOwned
https://www.google.com/maps/place/Mackie+Brothers+Inc/data=!4m7!3m6!1s0x88531bd0f817a07b:0xeb9460a58cf9f194!8m2!3d35.9518098!4d-79.9620529!16s%2Fg%2F1vcl4g8n!19sChIJe6AX-NAbU4gRlPH5jKVglOs,Mackie Brothers Inc,4.0,27,Swimming pool contractor,"1121 Roberts Ln, High Point, NC 27260, United States","X22Q+P5 High Point, North Carolina, USA",http://www.mbipools.com/,+1 336-299-9902,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzU-yThCKnH_b9mF3UxIuUzJnKjSe3Y071TEjLhopwiKWdtL7ijS3f8CBeIiNjIhwThsrr14ulgyI7rrIAm0khD3uhbXXlYujflzPOsOqib1PitHLFdAz4HAJLA30DZoYZFTv4ZaA=w408-h306-k-no,false,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:12:52.120Z,,,,
https://www.google.com/maps/place/AquaVision+Pool+%26+Spa/data=!4m7!3m6!1s0x88530eaf2fe28191:0xed9d8515247f6f3a!8m2!3d35.9380186!4d-79.9996999!16s%2Fg%2F1vhq4dmk!19sChIJkYHiL68OU4gROm9_JBWFne0,AquaVision Pool & Spa,4.6,270,Swimming pool supply store,"201 W Market Center Dr, High Point, NC 27260, United States","W2Q2+64 High Point, North Carolina, USA",https://www.aquavisionpool.com/high-point-showroom/?utm_source=google&utm_medium=organic-gmb,+1 336-841-3222,Open ⋅ Closes 6:30 pm,https://lh3.googleusercontent.com/p/AF1QipM98NNy2dFo_NZHl1MAPGckAyVj2s8xFHCusP42=w408-h306-k-no,true,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–6:30 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:12:58.171Z,"Full-service swimming pool supply shop stocking water treatment products, grills & patio furniture. · In-store shopping · Kerbside pickup",LGBTQ+ friendly,,
https://www.google.com/maps/place/Guilford+Pools/data=!4m7!3m6!1s0x88530bb8483de9a3:0xc7d212f78cd38857!8m2!3d35.9118225!4d-80.0407185!16s%2Fg%2F1vxvjkbt!19sChIJo-k9SLgLU4gRV4jTjPcS0sc,Guilford Pools,2.3,9,Swimming pool contractor,"7064 Auction Rd, High Point, NC 27263, United States","WX65+PP High Point, North Carolina, USA",https://guilfordpools.com/,+1 336-885-5339,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMuoq-bi6nnjQ6QSkJtXYJkPqB200BBq4-82gWY=w408-h490-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,10 am–2 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:13:03.628Z,,,,
https://www.google.com/maps/place/Oasis+Pools/data=!4m7!3m6!1s0x885308afffffffff:0x5b91163f3464ffda!8m2!3d35.93118!4d-79.9185!16s%2Fg%2F113j4pv3w!19sChIJ_____68IU4gR2v9kND8WkVs,Oasis Pools,5.0,1,Swimming pool contractor,"6801 Joplin Dr, High Point, NC 27263, United States","W3JJ+FJ High Point, North Carolina, USA",,+1 336-471-0103,Open ⋅ Closes 6 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7QqO5TD_ObjTzoV_ZY4XUw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=60.9081&pitch=0&thumbfov=100,true,8 am–6 pm,8 am–6 pm,8 am–5 pm,9 am–6 pm,8 am–6 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:13:08.589Z,,,,
https://www.google.com/maps/place/Walker%27s+Pool+Service/data=!4m7!3m6!1s0x885305debd77be4d:0x40cc3afcd38f940d!8m2!3d36.0234184!4d-80.01516!16s%2Fg%2F11h3_s0fvx!19sChIJTb53vd4FU4gRDZSP0_w6zEA,Walker's Pool Service,5.0,8,Swimming pool contractor,,,https://walkerspoolservice.com/,+1 336-575-9820,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcfT04Jl-fe3FFUxdbPW70N6dLvpUnCND6rtR3XTurz4RBNBbQvnA7h_MJR0NzjLkQq26A-aoVapQSjndeXsG_mAwJFbI70jHlwU3O79irBP5R34LWbDTTIs_N2ItANx8yxhw=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:13:13.415Z,,,,
https://www.google.com/maps/place/Piedmont+Spa+and+Pool+Service/data=!4m7!3m6!1s0x885306221c52d7b3:0x7a697127655d97eb!8m2!3d36.004821!4d-79.9648472!16s%2Fg%2F1hc153wnl!19sChIJs9dSHCIGU4gR65ddZSdxaXo,Piedmont Spa and Pool Service,4.8,146,Hot tub repair service,,,http://www.piedmontspaservice.com/,,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPLRzx5Wtkg1lWl5TS5STZkPeTzYNn1Tnca9OiW=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:13:18.227Z,,,,
https://www.google.com/maps/place/Gator+Pools+%26+Spa/data=!4m7!3m6!1s0x88530c3688be8bb7:0x8711f3ba1fc757fe!8m2!3d35.9111352!4d-79.970377!16s%2Fg%2F1vj5_xl2!19sChIJt4u-iDYMU4gR_lfHH7rzEYc,Gator Pools & Spa,5.0,2,Swimming pool contractor,"10935 N Main St, Archdale, NC 27263, United States","W26H+FR Archdale, North Carolina, USA",,+1 336-434-0050,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wIvKhayNYmefFv6gZe5THw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=229.44016&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:13:23.136Z,,,,
https://www.google.com/maps/place/Blue+Diamond+Pool+Service/data=!4m7!3m6!1s0x885307aad556c57d:0x44897e0345312436!8m2!3d36.0845854!4d-79.8790197!16s%2Fg%2F11j6zz5yqc!19sChIJfcVW1aoHU4gRNiQxRQN-iUQ,Blue Diamond Pool Service,4.5,8,Swimming pool contractor,,,http://bluediamondpoolsnc.com/,+1 336-471-7539,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOIZsO0JKBff8YZI7nI4oX2XD1QDx_dGyK0jB_y=w408-h294-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:13:28.253Z,,,,
"https://www.google.com/maps/place/Carolina+Pools+of+High+Point/@35.1705075,-79.86097,7z/data=!3m1!4b1!4m6!3m5!1s0x88530e002c028ff3:0x56823dcc78d2d560!8m2!3d35.1705075!4d-79.86097!16s%2Fg%2F1tl0y10c",Carolina Pools of High Point,4.2,5,Swimming pool contractor,,,,+1 336-434-1416,Open ⋅ Closes 6 pm,,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–4 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:13:35.224Z,,,,
https://www.google.com/maps/place/Backyard+Pools+%26+Construction/data=!4m7!3m6!1s0x88530f4610a18dc9:0x88f6ae5d6d014510!8m2!3d35.995533!4d-79.9299191!16s%2Fg%2F1tkbyy32!19sChIJyY2hEEYPU4gREEUBbV2u9og,Backyard Pools & Construction,4.1,17,Swimming pool contractor,"217 Hillstone Dr, Jamestown, NC 27282, United States","X3WC+62 Jamestown, North Carolina, USA",http://www.backyardpoolsllc.com/,+1 336-209-3777,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNE6jXhA2gJhFegE0hjOMJzHvnq1CGsINGoMZTq=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,9 am–2 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+High+Point+NC/@35.9556923,-80.0053176,14z",2025-10-27T18:13:40.121Z,,,,
