placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,error,attributes
https://www.google.com/maps/place/Prosperity+Tax+Service/data=!4m7!3m6!1s0x864f83bf48c31c11:0x9b7c30da1e677b9f!8m2!3d31.5560018!4d-97.1332349!16s%2Fg%2F1vtzhmkq!19sChIJERzDSL-DT4YRn3tnHtowfJs,Prosperity Tax Service,5.0,65,Tax preparation service,"605 Austin Ave, Waco, TX 76701, United States","HV48+CP Waco, Texas, USA",http://www.prosperitytax.com/,+1 254-235-5662,Open 24 hours,LGBTQ+ friendly,true,https://lh3.googleusercontent.com/p/AF1QipNCHUCOxhD5h0_24lhModEti8qu65JF4EMUpAIE=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:43:28.880Z,,
"https://www.google.com/maps/place/Maynard+CPA,+PLLC/data=!4m7!3m6!1s0x864f855ac3df794d:0xf032f88b788a26f8!8m2!3d31.5320097!4d-97.1880343!16s%2Fg%2F11k8hd9xn0!19sChIJTXnfw1qFT4YR-CaKeIv4MvA","Maynard CPA, PLLC",5.0,25,Certified public accountant,"1101 Wooded Acres Dr Suite 107, Waco, TX 76710, United States","GRJ6+RQ Waco, Texas, USA",https://www.maynard-cpa.com/,+1 254-709-0417,,,,https://lh3.googleusercontent.com/p/AF1QipMj-tRSfhpwKBotIiCLn7b4WTeSyLKllhGrHHiS=w408-h272-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:43:35.301Z,,
https://www.google.com/maps/place/Partners+Tax+-+Waco/data=!4m7!3m6!1s0x864f83ff75aed075:0xbc8c26b23f3376df!8m2!3d31.5576209!4d-97.1343655!16s%2Fg%2F11x5lhlwxc!19sChIJddCudf-DT4YR33YzP7ImjLw,Partners Tax - Waco,5.0,21,Tax preparation service,"524 Columbus Ave, Waco, TX 76701, United States","HV58+27 Waco, Texas, USA",https://texastaxlawattorneys.com/waco-tx/,+1 254-970-3870,Closed ⋅ Opens 7 am Mon,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MDwPOOcsarLW2LUmc4m0wA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=130.6549&pitch=0&thumbfov=100,false,Closed,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:43:40.218Z,,
https://www.google.com/maps/place/Hartgroves+Tax+Services/data=!4m7!3m6!1s0x864f83f002ddaf73:0x3045670d29a51772!8m2!3d31.5308267!4d-97.1682805!16s%2Fg%2F12630tb91!19sChIJc6_dAvCDT4YRchelKQ1nRTA,Hartgroves Tax Services,4.8,18,Tax preparation service,"4009 W Waco Dr, Waco, TX 76710, United States","GRJJ+8M Waco, Texas, USA",,+1 254-757-2227,Closed ⋅ Opens 10 am Mon,Identifies as veteran-owned,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UfXtuRvki2h3A--bf2fHqA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=318.09363&pitch=0&thumbfov=100,true,Closed,10 am–4 pm,10 am–4 pm,10 am–4 pm,10 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:43:45.211Z,,
"https://www.google.com/maps/place/Robert+R.+Ratcliff,+CPA/data=!4m7!3m6!1s0x864f83bf55795aed:0xf96bcbc340dde043!8m2!3d31.542472!4d-97.152242!16s%2Fg%2F1tf8tj02!19sChIJ7Vp5Vb-DT4YRQ-DdQMPLa_k","Robert R. Ratcliff, CPA",5.0,3,Accountant,"301 N 25th St, Waco, TX 76710, United States","GRRX+X4 Waco, Texas, USA",,+1 254-752-6116,Closed ⋅ Opens 8 am Mon,,,https://lh3.googleusercontent.com/p/AF1QipMDZqaBJVUz3zHGu0oFMHQ3VP-OFiizKX0W5xcO=w426-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:43:50.098Z,,
"https://www.google.com/maps/place/William+R+Blankenship,+CPA,+PLLC/data=!4m7!3m6!1s0x864f83c70f4ac2fd:0x6fa68e512a2b7f36!8m2!3d31.5404764!4d-97.1498662!16s%2Fg%2F1yh5tgzjw!19sChIJ_cJKD8eDT4YRNn8rKlGOpm8","William R Blankenship, CPA, PLLC",5.0,1,Accountant,"2424 Austin Ave, Waco, TX 76701, United States","GVR2+53 Waco, Texas, USA",,+1 254-339-2984,Closed ⋅ Opens 9 am Mon,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WPfKzhp-IxtJTBEmm5lZvw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=134.53204&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:43:55.108Z,,
https://www.google.com/maps/place/HDH+Tax+Specialists/data=!4m7!3m6!1s0x864f8396f6e7c6a1:0x6a73fd612f4b9e25!8m2!3d31.5339892!4d-97.1563038!16s%2Fg%2F11f3q427lf!19sChIJocbn9paDT4YRJZ5LL2H9c2o,HDH Tax Specialists,4.9,35,Tax preparation,"3201 Franklin Ave Suite 7, Waco, TX 76710, United States","GRMV+HF Waco, Texas, USA",https://hdhtax.com/,+1 254-300-4036,Closed ⋅ Opens 10 am Mon,,true,https://lh3.googleusercontent.com/p/AF1QipPha7IbKR-Wm6J8xN77OiSuDRkrW4eZelyeUjdG=w408-h306-k-no,true,Closed,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–5 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:44:00.229Z,,
"https://www.google.com/maps/place/Traplena,+Sullivan+%26+Reinke/data=!4m7!3m6!1s0x864f83e3877394a1:0xa174a8e4394e3e88!8m2!3d31.5246544!4d-97.1650385!16s%2Fg%2F1thnp5m2!19sChIJoZRzh-ODT4YRiD5OOeSodKE","Traplena, Sullivan & Reinke",5.0,4,Certified public accountant,"4216 Franklin Ave, Waco, TX 76710, United States","GRFM+VX Waco, Texas, USA",http://www.tsr-cpa.com/,+1 254-751-1133,Open ⋅ Closes 5:30 pm,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BLRWRfZlLJlmfNCQzAZe-Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=133.47708&pitch=0&thumbfov=100,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:44:05.230Z,,
https://www.google.com/maps/place/Defense+T+a+x+Partners-+Tax+Relief+Attorneys/data=!4m7!3m6!1s0x864f832d4c9d4a3f:0x8a4cadd7f85f0287!8m2!3d31.5649303!4d-97.1149366!16s%2Fg%2F11j_8p5b8y!19sChIJP0qdTC2DT4YRhwJf-NetTIo,Defense T a x Partners- Tax Relief Attorneys,5.0,47,Tax preparation service,"1001 E Webster Ave, Waco, TX 76704, United States","HV7P+X2 Waco, Texas, USA",https://www.texastaxattorneys.net/tax-relief-waco-tx/,+1 254-221-0735,Closed ⋅ Opens 6 am Mon,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5hveMGhyKblf4TepNsQIiA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=224.40994&pitch=0&thumbfov=100,true,Closed,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,6 am–6 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:44:10.231Z,,
"https://www.google.com/maps/place/John+W.+McAnally+PC,+CPA/data=!4m7!3m6!1s0x864f867e457ed5f1:0x20ad0364c601a644!8m2!3d31.5121237!4d-97.224012!16s%2Fg%2F1tc_x00r!19sChIJ8dV-RX6GT4YRRKYBxmQDrSA","John W. McAnally PC, CPA",4.7,12,Certified public accountant,"8301 Bosque Blvd, Waco, TX 76712, United States","GQ6G+R9 Waco, Texas, USA",http://www.mcanallycpa.com/,+1 254-772-5690,Closed ⋅ Opens 8 am Mon,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oCWvVIworEBX5KDA199wtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.94168&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Waco+Waco+TX/@31.5575916,-97.1289922,14z",2025-10-19T16:44:15.245Z,,
