placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,tuesday,wednesday,thursday,friday,saturday,sunday,monday,query,timestamp,info,isBlackOwned,attributes,error
https://www.google.com/maps/place/Salt+Lake+City+Parking/data=!4m7!3m6!1s0x8752f515b94f556f:0xa9164b6d370ff087!8m2!3d40.7559562!4d-111.8848312!16s%2Fg%2F11h9wxq_n1!19sChIJb1VPuRX1UocRh_APN21LFqk,Salt Lake City Parking,1.8,29,City government office,"212 E 600 S, Salt Lake City, UT 84111, United States","Q448+93 Salt Lake City, Utah, USA",http://www.slcgov.com/,+1 801-535-6628,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSykT1FMKjR789Hi35waEFlTHx528_mU0Ly9dBlYZ5D2SzhwIkbUReT5xHstls_hS2ZWmO4H4CY6m4YZF4nNlrMrku3slnFw-YmNBuUq81pqj8KEU1VMXIAM47zEXIFXx83rPRKImA=w408-h306-k-no,false,8 am–11 pm,8 am–11 pm,8 am–11 pm,8 am–11 pm,8 am–11 pm,7 am–3 pm,8 am–11 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:57:29.241Z,,,,
https://www.google.com/maps/place/Valet+Parking+Services/data=!4m7!3m6!1s0x8752f505038a493f:0x682fff5e7bfa1309!8m2!3d40.7545667!4d-111.8904763!16s%2Fg%2F1vhkl0dd!19sChIJP0mKAwX1UocRCRP6e17_L2g,Valet Parking Services,2.4,16,Valet parking service,"679 S Main St, Salt Lake City, UT 84111, United States","Q435+RR Salt Lake City, Utah, USA",,+1 801-733-4179,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MNFRRl4fXM-RuR9D2QPg1g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=99.16207&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:57:32.831Z,,,,
https://www.google.com/maps/place/Diamond+Parking+Services/data=!4m7!3m6!1s0x8752f513941a4baf:0xc58fd164711c31ef!8m2!3d40.765375!4d-111.8872729!16s%2Fg%2F1wrgkm_2!19sChIJr0salBP1UocR7zEccWTRj8U,Diamond Parking Services,1.9,56,Public parking space,"123 E 200 S, Salt Lake City, UT 84111, United States","Q487+53 Salt Lake City, Utah, USA",http://www.diamondparking.com/,+1 801-355-6699,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyaHQeAaLMsdwpgyla9eO1-knCFytklfg8ZbdBicif73AH6_zpypCfSP4fATN2BPrHBkZnyv405x3dDbYRWSHIpqbjh--IBprYxUf4XEgWKZIWLqIyEH7r4-WdNGXp3bcIenp0=w408-h725-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:57:36.367Z,,,,
https://www.google.com/maps/place/Capitol+Parking+Office/data=!4m7!3m6!1s0x8752f50f0f25b141:0x5af49c89a7a6b691!8m2!3d40.7655915!4d-111.8905981!16s%2Fg%2F1thlnk95!19sChIJQbElDw_1UocRkbamp4mc9Fo,Capitol Parking Office,1.7,37,Corporate office,"163 S Main St, Salt Lake City, UT 84111, United States","Q485+6Q Salt Lake City, Utah, USA",http://www.parkatcapitol.com/,+1 801-355-1818,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyJsScoQ7MC1zYCE3RmAJW68EHGss7MnicADtxEJD-_5n31GSYDcZ8gm53CfZUVqhgoB5VvuBNjgnRxgpr3bW0mQ5CDlQZaOm5cYErSkw_17eaEaKr5s-KmhXiee90AGe77P7Ff=w408-h725-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:57:39.319Z,,,,
https://www.google.com/maps/place/City+Creek+Parking/data=!4m7!3m6!1s0x8752f5092ae548d7:0x6df3ab411ab01c20!8m2!3d40.769036!4d-111.8898031!16s%2Fg%2F1264pwyzv!19sChIJ10jlKgn1UocRIBywGkGr820,City Creek Parking,4.3,729,Parking garage,"50 E S Temple St #50, Salt Lake City, UT 84111, United States","Q496+J3 Salt Lake City, Utah, USA",http://citycreekparking.com/,+1 801-321-8760,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPZm5ADrVTA5ENSMbkxQx7Y5nI7gtlitwAk3D_L=w755-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Open 24 hours,Open 24 hours,8 am–5 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:57:44.330Z,,,,
https://www.google.com/maps/place/SP%2B+Parking/data=!4m7!3m6!1s0x8752f50893cb27f3:0xb748fb5b89e36ad6!8m2!3d40.7667947!4d-111.8860166!16s%2Fg%2F1txy2tyw!19sChIJ8yfLkwj1UocR1mrjiVv7SLc,SP+ Parking,1.0,6,Parking garage,"102 S 200 E, Salt Lake City, UT 84111, United States","Q487+PH Salt Lake City, Utah, USA",https://parking.com/salt-lake-city/lot/102-tower-garage?utm_source=Yext&utm_medium=Yext&utm_campaign=Yext-UT,+1 801-521-0945,"Open 24 hours

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxGN6CxuDyJBN11Mwwkyo0ylIVnt2nIgLIVj_mhcIABf8n1zfp_BxwbI0RJsbxoQAqWDJ69Zs0Y9MuCBeNzDq0vjfSgCGbxPQnrMHy8xpc5M2VUXKC0vD4bDWTMqp5x9BH1DUCvuumv3RCQ=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:57:49.445Z,,,,
https://www.google.com/maps/place/Diamond+Parking+Services/data=!4m7!3m6!1s0x8752f510778813ed:0x2eaa9c3109e18c22!8m2!3d40.7608908!4d-111.8845696!16s%2Fg%2F11clsmy3x1!19sChIJ7ROIdxD1UocRIozhCTGcqi4,Diamond Parking Services,1.2,18,Parking lot,"210 E 400 S WB, Salt Lake City, UT 84111, United States","Q468+95 Salt Lake City, Utah, USA",http://diamondparking.com/,+1 801-532-1713,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=20mBBQ2pMxBlmbXt6PHL7Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=17.321276&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:57:52.331Z,,,,
https://www.google.com/maps/place/Conference+Center+Parking+Garage/data=!4m7!3m6!1s0x8752f55c43b9963b:0xcc5b8547bc661d4e!8m2!3d40.7725268!4d-111.8939716!16s%2Fg%2F11jsvzhjnc!19sChIJO5a5Q1z1UocRTh1mvEeFW8w,Conference Center Parking Garage,4.8,52,Parking garage,"W S Temple St, Salt Lake City, UT 84150, United States","Q4F4+2C Salt Lake City, Utah, USA",https://www.churchofjesuschrist.org/learn/temple-square-parking-and-directions?utm_source=extnet&utm_medium=yext&y_source=1_MTAwNjAyMDA1OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,+1 801-240-1000,Open ⋅ Closes 10:30 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Qp5LlfL7W3PSie6f4Y6GMw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=108.42761&pitch=0&thumbfov=100,true,4:30 am–10:30 pm,4:30 am–10:30 pm,4:30 am–10:30 pm,4:30 am–10:30 pm,4:30 am–10:30 pm,4:30 am–10:30 pm,4:30 am–10:30 pm,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:57:57.304Z,,,,
https://www.google.com/maps/place/Capitol+Parking/data=!4m7!3m6!1s0x8752f50536b2c3d7:0xbeb204d712625b48!8m2!3d40.7623841!4d-111.8944884!16s%2Fg%2F11f_p33d4f!19sChIJ18OyNgX1UocRSFtiEtcEsr4,Capitol Parking,2.0,36,Parking lot,"306S S W Temple St, Salt Lake City, UT 84101, United States","Q464+X6 Salt Lake City, Utah, USA",https://www.parkatcapitol.com/,+1 801-355-1818,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzoj4Wvt4nIyJg4dO9Suc1adC6PoKsD5N9laH1gQ91MF7Xhimi4wDqWG8Yz0ElcQGXJFQQPURlgtjz0CVCpYVz9jV-oL7TU-FQlZP4VMGhwcxK5TijvrhkUT0_5UFI0soXL2aCJjg=w408-h580-k-no,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:58:00.547Z,,,,
https://www.google.com/maps/place/Public+Parking/data=!4m7!3m6!1s0x8752f5051751cb4d:0x59c464ff23d9d5df!8m2!3d40.765207!4d-111.8962142!16s%2Fg%2F11b6ghh13y!19sChIJTctRFwX1UocR39XZI_9kxFk,Public Parking,3.5,21,Parking lot,"128 300 W, Salt Lake City, UT 84111, United States","Q483+3G Salt Lake City, Utah, USA",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PD-3SViAL-bqz53C3hdO5w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=359.90588&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Parking+management+company+|+parking+operator+|+valet+parking+service+|+parking+enforcement+Salt+Lake+City+Salt+Lake+City+UT/@40.7605601,-111.8881397,14z",2025-10-28T18:58:03.284Z,,,,
