placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,attributes,error,isBlackOwned
https://www.google.com/maps/place/OGD+Overhead+Garage+Door/data=!4m7!3m6!1s0x885831bbb3cec055:0x1c434245557d4473!8m2!3d34.8608114!4d-82.390468!16s%2Fg%2F11svnlc2wq!19sChIJVcDOs7sxWIgRc0R9VUVCQxw,OGD Overhead Garage Door,4.8,297,Garage door supplier,"217 E Stone Ave Suite 6, Greenville, SC 29609, United States","VJ65+8R Greenville, South Carolina, USA",https://ogd.com/sc/greenville/?utm_source=gmb&utm_medium=organic&utm_campaign=ogd-gsp-01&ogd_src=ogd-gsp-01-google_business_profile,+1 864-766-2300,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipPpV556s3WetVLvh-rVHCoCr1mwyixX3N6EQVog=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:17:28.523Z,,,
https://www.google.com/maps/place/Access+Garage+Door+Sales+And+Service/data=!4m7!3m6!1s0x885825981ed8e9a9:0xa9648f6f4375821c!8m2!3d34.793112!4d-82.3056312!16s%2Fg%2F11fz9wx8s4!19sChIJqenYHpglWIgRHIJ1Q2-PZKk,Access Garage Door Sales And Service,4.9,583,Garage door supplier,"124 Old Mill Rd Unit D, Greenville, SC 29607, United States","QMVV+6P Greenville, South Carolina, USA",https://www.garagedooraid.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_greenville,+1 864-329-0729,Open ⋅ Closes 9 pm,,https://lh3.googleusercontent.com/p/AF1QipNtW45ao2ZWRjQFy_tLaQdNBmAPIFtnkt_3qaH5=w408-h306-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:17:33.481Z,,,
https://www.google.com/maps/place/All+American+Garage+Doors/data=!4m7!3m6!1s0x88582c590a96f5b7:0xacc71db1060a17be!8m2!3d34.9248196!4d-82.3318999!16s%2Fg%2F1ptymkwv2!19sChIJt_WWClksWIgRvhcKBrEdx6w,All American Garage Doors,4.9,113,Garage door supplier,"111 Mountain Chase Dr, Taylors, SC 29687, United States","WMF9+W6 Taylors, South Carolina, USA",http://allamericandoors.net/,+1 864-361-0282,Open ⋅ Closes 8 pm,,https://lh3.googleusercontent.com/p/AF1QipO9Y5RGT2kwSbXwMAzYQ_ZiwSiIh1ZuuTLC5gl5=w426-h240-k-no,true,8 am–8 pm,8 am–6 pm,Closed,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:17:37.921Z,,,
https://www.google.com/maps/place/Anytime+Overhead+Garage+Door+of+Greenville/data=!4m7!3m6!1s0x88582f3eaed8b0a7:0x2c2351eb5eadee6d!8m2!3d34.8448236!4d-82.3386991!16s%2Fg%2F11nh3sh5rs!19sChIJp7DYrj4vWIgRbe6tXutRIyw,Anytime Overhead Garage Door of Greenville,5.0,257,Garage door supplier,"826 Old Airport Rd #409, Greenville, SC 29607, United States","RMV6+WG Greenville, South Carolina, USA",http://www.anytime-gdr.com/?utm_campaign=gmb,+1 864-766-8332,Closed ⋅ Opens 9 am Sun,,https://lh3.googleusercontent.com/p/AF1QipMEBT6ZfsvBO3naAc-XIcCI88_gjC-3sJMYEpKZ=w408-h306-k-no,true,7 am–4 pm,Closed,9 am–9 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,7 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:17:42.614Z,,,
"https://www.google.com/maps/place/GARAGE+DOOR+SERVICE+PLUS,+LLC/data=!4m7!3m6!1s0x885827c1df7a37b3:0x5f97e38e1a0431cd!8m2!3d34.84991!4d-82.2391255!16s%2Fg%2F11qntq898n!19sChIJszd638EnWIgRzTEEGo7jl18","GARAGE DOOR SERVICE PLUS, LLC",5.0,34,Garage door supplier,,,http://www.garagedoorserviceplus.com/,+1 864-434-3047,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipPA72p9SdrNbQoYo2qX2wPNp-baVovjCT94K5g7=w425-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,8 am–6 pm,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:17:46.940Z,,,
https://www.google.com/maps/place/Overhead+Door+Company+of+Greenville/data=!4m7!3m6!1s0x885826f348bab257:0xf57a130713e3e5a3!8m2!3d34.7438974!4d-82.2791538!16s%2Fg%2F113hyjn5q!19sChIJV7K6SPMmWIgRo-XjEwcTevU,Overhead Door Company of Greenville,4.9,1532,Garage door supplier,"2920 Grandview Dr, Simpsonville, SC 29680, United States","PPVC+H8 Simpsonville, South Carolina, USA",https://overheaddoorgreenville.com/,+1 864-277-9460,Open 24 hours,,https://lh3.googleusercontent.com/p/AF1QipM9Rdh8x0tpY7mG5w23VclsoLUuo1AGjJTDAKL2=w408-h397-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:17:51.503Z,,,
https://www.google.com/maps/place/Garage+Door+Services/data=!4m7!3m6!1s0x88578322d3c1f01b:0x46c548638c024aa8!8m2!3d34.8559675!4d-82.353163!16s%2Fg%2F11kqfjlnh4!19sChIJG_DB0yKDV4gRqEoCjGNIxUY,Garage Door Services,4.9,92,Garage door supplier,,,https://www.garagedoorservicessc.com/,+1 864-949-7820,Open 24 hours,Identifies as veteran-owned,https://lh3.googleusercontent.com/p/AF1QipPeIHzAluS1aruzkt2E3oybeDQVs9jLFHqH_9na=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:17:55.820Z,,,
https://www.google.com/maps/place/Upstate+Door+Company+Inc./data=!4m7!3m6!1s0x88583f678ff13e67:0x70245a53e04a13a5!8m2!3d34.7905517!4d-82.4258011!16s%2Fg%2F11f8l3cb2w!19sChIJZz7xj2c_WIgRpRNK4FNaJHA,Upstate Door Company Inc.,5.0,28,Door supplier,"2 P and N Dr, Greenville, SC 29611, United States","QHRF+6M Greenville, South Carolina, USA",http://www.upstatedoorco.com/,+1 864-306-0000,Closed ⋅ Opens 7:30 am Mon,,https://lh3.googleusercontent.com/p/AF1QipNWJ6FCUC9jmZIDnISKOXZYXjeVPbVkCoDqWH7M=w408-h273-k-no,true,7:30 am–4:30 pm,Closed,Closed,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,7:30 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:18:00.439Z,,,
https://www.google.com/maps/place/Residential+Overhead+Garage+Door+REOGAD/data=!4m7!3m6!1s0x88582705adaf2563:0xff1cb2e0d44d74f9!8m2!3d34.82446!4d-82.239375!16s%2Fg%2F11vb2vx_my!19sChIJYyWvrQUnWIgR-XRN1OCyHP8,Residential Overhead Garage Door REOGAD,5.0,52,Garage door supplier,,,http://www.reogad.com/,+1 864-670-1277,Open ⋅ Closes 8 pm,,https://lh3.googleusercontent.com/p/AF1QipPiUj_Pr9lfwu3sfrGiy-YKloAQ8jEjMBPqyzej=w408-h267-k-no,true,6 am–8 pm,6 am–8 pm,Closed,6 am–8 pm,6 am–8 pm,6 am–8 pm,6 am–8 pm,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:18:04.816Z,,,
https://www.google.com/maps/place/Innovative+Door+Systems/data=!4m7!3m6!1s0x885847ed549908d3:0x2565a147505da02f!8m2!3d34.8234567!4d-82.5214708!16s%2Fg%2F11dfjzhv8y!19sChIJ0wiZVO1HWIgRL6BdUEehZSU,Innovative Door Systems,4.9,998,Garage door supplier,"127 Village Ln, Easley, SC 29642, United States","RFFH+9C Easley, South Carolina, USA",http://www.innovativedoorsystems.com/,+1 864-506-6735,Closed ⋅ Opens 12 am Sat,,https://lh3.googleusercontent.com/p/AF1QipPWeuKbcKse_qRJTwsZaiP6wZDpGHsQE5cMC7xm=w426-h240-k-no,true,8 am–6 pm,Open 24 hours,Open 24 hours,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Taylor+Greenville+SC/@34.8484984,-82.4000158,14z",2025-11-07T23:18:09.154Z,,,
