placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,thursday,friday,saturday,sunday,monday,tuesday,wednesday,query,timestamp,isBlackOwned,attributes
https://www.google.com/maps/place/PROPERTY+MANAGEMENT+INC+-+PMI+Austin/data=!4m7!3m6!1s0x8644b5ee36ea98ef:0xacc8b1acbca68e9d!8m2!3d30.2748737!4d-97.7511133!16s%2Fg%2F11h4q040k5!19sChIJ75jqNu61RIYRnY6mvKyxyKw,PROPERTY MANAGEMENT INC - PMI Austin,4.9,269,Property management company,"824 W 10th St STE 100, Austin, TX 78701, United States","76FX+WH Austin, Texas, USA",http://www.pmiaustin.net/,+1 512-934-1861,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipNjB67PYK1PvfHUVaruTxekJdbrzY82LPhX25IP=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:00:54.448Z,,
https://www.google.com/maps/place/Beck+%26+Company+Real+Estate+Services/data=!4m7!3m6!1s0x8644cb962c9d2611:0xdbcbe59749665992!8m2!3d30.2553925!4d-97.7470822!16s%2Fg%2F1pzpqrmb1!19sChIJESadLJbLRIYRkllmSZfly9s,Beck & Company Real Estate Services,3.9,86,Property management company,"611 S Congress Ave # 510, Austin, TX 78704, United States","7743+55 Austin, Texas, USA",http://www.beckandco.com/,+1 512-474-1551,Open ⋅ Closes 5 pm,,https://lh3.googleusercontent.com/p/AF1QipMYp0nDEte9qCz6lPHFs6mahth83NvTKKGb7E4U=w408-h271-k-no,true,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:01:00.920Z,,
https://www.google.com/maps/place/Worth+Ross+Management+Co+Inc+Austin/data=!4m7!3m6!1s0x8644b569e2005543:0x5d4e21b93f90bfc2!8m2!3d30.2360414!4d-97.7388003!16s%2Fg%2F11sf7jpcdm!19sChIJQ1UA4mm1RIYRwr-QP7khTl0,Worth Ross Management Co Inc Austin,4.6,90,Property management company,"2101 I-35 Suite 127, Austin, TX 78701, United States","67P6+CF Austin, Texas, USA",http://worthross.com/,+1 855-435-4596,Open ⋅ Closes 6 pm,,https://lh3.googleusercontent.com/p/AF1QipOJJrfMZNSpAc4IYdFLXf6PqaOLkKAYBJmXpA0u=w408-h334-k-no,true,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:01:07.224Z,,
https://www.google.com/maps/place/Evernest+Property+Management+Austin/data=!4m7!3m6!1s0x8644b5acc193c909:0x1fb734c0669ce0e4!8m2!3d30.2589074!4d-97.7526201!16s%2Fg%2F11vcs7tl3v!19sChIJCcmTway1RIYR5OCcZsA0tx8,Evernest Property Management Austin,4.3,169,Property management company,"Ninth Floor, 801 Barton Springs Rd, Austin, TX 78704, United States","765W+HX Austin, Texas, USA",https://www.austin-property.management/,+1 512-503-3542,Open ⋅ Closes 5 pm,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Wlvz8eHRw0C1xHeNmTbk0A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.50226&pitch=0&thumbfov=100,true,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:01:12.426Z,,
https://www.google.com/maps/place/Property+Management+Services+LLC/data=!4m7!3m6!1s0x8644b5cf522980ad:0x831f17063b8f8605!8m2!3d30.2720098!4d-97.7408639!16s%2Fg%2F11k9kgp3c9!19sChIJrYApUs-1RIYRBYaPOwYXH4M,Property Management Services LLC,4.4,14,Property management company,"1005 Congress Ave. Ste 925 C21, Austin, TX 78701, United States","77C5+RM Austin, Texas, USA",https://www.propertymanagementaustin.com/,+1 512-615-2207,Open ⋅ Closes 6 pm,,https://lh3.googleusercontent.com/p/AF1QipP_L9A4SlkRFZK8qLr15yUjYGIZLsKnjCetmMLa=w408-h272-k-no,true,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:01:17.846Z,,
https://www.google.com/maps/place/Property+Management+of+Texas/data=!4m7!3m6!1s0x8644b579c4e1be09:0x5a6684aba04142a4!8m2!3d30.2882599!4d-97.7452479!16s%2Fg%2F1tff3f47!19sChIJCb7hxHm1RIYRpEJBoKuEZlo,Property Management of Texas,2.2,68,Property management company,"704 W 24th St, Austin, TX 78705, United States","77Q3+8W Austin, Texas, USA",http://www.pmtaustin.com/,+1 512-476-2673,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/p/AF1QipPWxrCsK6T8ngB25_7kg_SkYpiKfAsJxBlb7VTR=w426-h240-k-no,true,9 am–5:30 pm,9 am–5:30 pm,10 am–2 pm,Closed,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:01:23.340Z,,
https://www.google.com/maps/place/Twelve+Rivers+Property+Management/data=!4m7!3m6!1s0x8644b50c3622ff3f:0xfade566097537a2f!8m2!3d30.2711602!4d-97.7493706!16s%2Fg%2F11bc7n_8l4!19sChIJP_8iNgy1RIYRL3pTl2BW3vo,Twelve Rivers Property Management,3.3,69,Property management company,"700 Rio Grande St Suite 200, Austin, TX 78704, United States","77C2+F7 Austin, Texas, USA",http://www.twelveriversmanagement.com/,+1 512-632-1342,Open ⋅ Closes 6 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npXZrmx7MBdSrlTUmRRMW_OlaAZadmQGDoRDDBOCBLz_wjiORFmZ_m02R8hfrjdLfhOLAERs__dNR6HwmVqEy8OGrpJPgCNJxqtxUzZNRru1XuXpI89db3BOP6e9YJIszvRxBS5=w408-h544-k-no,true,9 am–6 pm,9 am–6 pm,Closed,Closed,9 am–6 pm,9 am–6 pm,9 am–6 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:01:28.398Z,,
https://www.google.com/maps/place/1836+Property+Management/data=!4m7!3m6!1s0x8644b55bcb115d63:0xcbcf164ae99f7ba3!8m2!3d30.247031!4d-97.751105!16s%2Fg%2F1td1dt7h!19sChIJY10Ry1u1RIYRo3uf6UoWz8s,1836 Property Management,4.7,1220,Property management company,"1704 1/2 S Congress Ave Suite E, Austin, TX 78704, United States","66WX+RH Austin, Texas, USA",http://www.1836propertymanagement.com/,+1 512-994-4323,"Open 24 hours

Updated by this business 4 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nroi1HQOr2IcN5J8KPtmd4G9Tj1umbZ36Fbq444Z17d2MBODuoFeU16lho3zCrce2Voyw8r-ru_wRbwOTflh9fyR6EUayiXmr9cI6ZzSjlwu0nKBJAFPzeDFdPi1ica3udJEySpMTP1m794=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:01:33.617Z,,
https://www.google.com/maps/place/Bay+Property+Management+Group+Austin/data=!4m7!3m6!1s0x8644b55338cb6fbb:0x6f7fe0d5413d5ef5!8m2!3d30.2713258!4d-97.7493132!16s%2Fg%2F11wvyqsh0q!19sChIJu2_LOFO1RIYR9V49QdXgf28,Bay Property Management Group Austin,4.5,215,Property management company,"702 Rio Grande St STE 307, Austin, TX 78701, United States","77C2+G7 Austin, Texas, USA",https://texasbmg.com/areas-we-serve/property-management-in-austin-texas/,+1 726-888-6950,Open ⋅ Closes 5:30 pm,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npcyvXEi93xfWtdJFc5OSYzULvliQkkPnsWZyxP2cZYwctPS3kMWAlcw_gwNOz-3MNjGgSn-5uzkiWdHn5X8G0V9xmfEdy6H4pmXlJYcPpOuinAky1DQ0zmJ-q0UUO00aPKwrL7vi-7FMMs=w408-h544-k-no,true,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:01:38.786Z,,
https://www.google.com/maps/place/STR+Management/data=!4m7!3m6!1s0x8644b5671a903a0d:0x5b6442880484c3f3!8m2!3d30.2749206!4d-97.7304684!16s%2Fg%2F11q_krbdf7!19sChIJDTqQGme1RIYR88OEBIhCZFs,STR Management,4.7,230,Property management company,"1421 Olander St, Austin, TX 78702, United States","77F9+XR Austin, Texas, USA",https://www.strmanagement.com/,+1 844-646-8787,Open ⋅ Closes 4 pm,,https://lh3.googleusercontent.com/p/AF1QipP63Rda1Spn7oyo2vuMwmh-QMHEgryK5VDJDMA=w408-h272-k-no,true,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/HOA+management+businesses+in+Downtown+Austin+Austin+TX/@30.2703342,-97.743463,14z",2025-09-25T17:01:44.036Z,,
