placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,attributes,error
https://www.google.com/maps/place/ArborWise+Tree+Management/data=!4m7!3m6!1s0x87f75f3fffabf049:0x2eb850d79dcfffc6!8m2!3d44.1030385!4d-92.3804249!16s%2Fg%2F11f2b6r8r6!19sChIJSfCr_z9f94cRxv_PnddQuC4,ArborWise Tree Management,5.0,160,Tree service,"7173 Hadley Valley Rd NE, Rochester, MN 55906, United States","4J39+6R Rochester, Minnesota, USA",https://arborwisemn.com/,+1 507-535-9082,"Closed · Opens 8 am

Confirmed by this business 9 weeks ago",LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZhmcJz_FBiI_du6HHvclCaYONTThNNk9cHORbMTt6UeVRqhYZaFT5XABkg-hZtco4lNce5iYrerNrl-Y1ij4L_5iUM5FL9LbH2_3isNSMraBlzk2FNqcb7jVFFpqvxr16LeNC1oaPDsmb=w408-h271-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T05:59:52.545Z,,
https://www.google.com/maps/place/2+Guys+With+Saws+Tree+Service/data=!4m7!3m6!1s0x87f745ae77733c81:0x719d64ddd19cd973!8m2!3d43.956431!4d-92.6336699!16s%2Fg%2F11xld8ngz4!19sChIJgTxzd65F94cRc9mc0d1knXE,2 Guys With Saws Tree Service,5.0,12,Tree service,"4536 County Rd 3 SW, Byron, MN 55920, United States","X948+HG Byron, Minnesota, USA",https://2guyswithsaws.com/,+1 507-261-1235,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG65LJIjoIi3Uhr3J7yuRRMAHKENvbwDWDoFaue9XwQj7AIwmDp4Q1QOo2OY-kHiD7aGH1vFJ3LAUm1QBYwbXMkvgx6meeEisSIiNU15vt6IAKTsoUdhzrh2_6UAUevNfihoBYNAbjuqr0F=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T05:59:57.269Z,,
https://www.google.com/maps/place/Logan%27s+Tree+Service/data=!4m7!3m6!1s0x87f9e78324a1ae9b:0xa6fff8fc20c67da!8m2!3d44.064518!4d-92.5761519!16s%2Fg%2F1tfzy16t!19sChIJm66hJIPn-YcR2mcMwo__bwo,Logan's Tree Service,4.6,9,Tree service,"4026 70th Ave NW, Byron, MN 55920, United States","3C7F+RG Byron, Minnesota, USA",http://www.loganstreeservice.net/,+1 507-216-4689,,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3itwa8gOxBNHXFJFqWAl7n-LVme_UStm6UXs9Jz-bM3ZdpdM6SauOPXtwXmi0bEGUEvEFykcpRF0TgBIdp-L4Ra5rpIlVaCg9rXJBhxgH7Ssx2L9SLf-SwbTkERpUpFQ_spHb=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T05:59:59.465Z,,
https://www.google.com/maps/place/The+Davey+Tree+Expert+Company/data=!4m7!3m6!1s0x87f9e1d0ea9e2e2b:0x491afe38d6ed8964!8m2!3d44.0117629!4d-92.4012575!16s%2Fg%2F1tdml118!19sChIJKy6e6tDh-YcRZInt1jj-Gkk,The Davey Tree Expert Company,4.8,124,Tree service,"3930 US-14, Rochester, MN 55904, United States","2H6X+PF Rochester, Minnesota, USA",https://www.davey.com/residential-tree-services/local-offices/rochester-minnesota-tree-service/?utm_source=gmb&utm_medium=organic&utm_campaign=rc_rochester_mn,+1 507-286-8733,"Closed · Opens 8 am

Updated by this business 10 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3k2uQT0VKwPtwEml4uSOcMwucpCxbJv4e2d9_TFm5MQAEvL6JSoNuPWqlG1OSmK-_3_7EeDA-fRO4ywkTmEKUNl1H_irjBhCDhFI6l1NtAsV4eFC3OyKVdC9sG-MAAQ0LEt8=w408-h612-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T06:00:04.202Z,,
https://www.google.com/maps/place/Hansen+Tree+Service/data=!4m7!3m6!1s0x87f9e57208be5f13:0xcdec59ee98133463!8m2!3d44.0253943!4d-92.752327!16s%2Fg%2F11gxr4dxwp!19sChIJE1--CHLl-YcRYzQTmO5Z7M0,Hansen Tree Service,4.4,15,Tree service,"405 3rd Ave SW, Kasson, MN 55944, United States","26GX+53 Kasson, Minnesota, USA",,+1 507-993-2858,"Open 24 hours

Updated by this business 2 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAm76JBwDlJScTZecoa81pRy-fgsOkJoEAwEkw_631isXAckP8IHmqqXoElnsihocb_0nU8dfhmaW4IPTILwuvYdmw2MazXsoC2Iu5HdjbrF5baVdBcolMsQevX5x5UhwHzDvqAA=w427-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T06:00:08.686Z,,
https://www.google.com/maps/place/Nelson+Tree+Service+LLC/data=!4m7!3m6!1s0x87f75914cea9549f:0x41e0a36d4ceab20c!8m2!3d44.0147265!4d-92.384159!16s%2Fg%2F11f64ctql1!19sChIJn1SpzhRZ94cRDLLqTG2j4EE,Nelson Tree Service LLC,5.0,246,Tree service,,,http://nelsontreemn.com/,+1 507-319-5317,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAElgX8s-AICE42C4oItatZSmvStjTTAp-2ELUkMoZnEZmHyhKoLWh6Obxy8yteWUkyAap9Vjt_vf1SPUwO7Q5tfkR_MHEEQG6zZ12h8BeICorQRShCFSucwDv5ap11KZb1mthnK=w408-h485-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T06:00:12.989Z,,
https://www.google.com/maps/place/Middle+River+Tree+Service/data=!4m7!3m6!1s0x6b8319045e978c91:0xdebfc2221d666b1c!8m2!3d44.1912435!4d-92.5845556!16s%2Fg%2F11khrzv3tr!19sChIJkYyXXgQZg2sRHGtmHSLCv94,Middle River Tree Service,5.0,86,Tree service,"1095 Bioscience Drive SE, Pine Island, MN 55963, United States","5CR8+F5 Pine Island, Minnesota, USA",http://www.middlerivertreeservice.com/,+1 507-322-4336,"Closed · Opens 8 am

Confirmed by this business 7 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHxZ4pdkCDI42UzD1BXE97uYS_-N5iJuDLhnZjWIzSqZggG2Mzsop9ih3urCVfRnzFy_srwvpjcTjJjQhUjlYUEW-1kzmAoMhmRp7YgCvOJexZbecuJuRsbtpM3HsDlnmSPZ3Wddrd2LrKL=w475-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T06:00:17.312Z,,
https://www.google.com/maps/place/Renaissance+Tree+Care/data=!4m7!3m6!1s0xdf8eea07795441:0x4dd37f084c221c9e!8m2!3d44.0429657!4d-92.5300674!16s%2Fg%2F11vrtrg6j1!19sChIJQVR5B-qO3wARnhwiTAh_000,Renaissance Tree Care,4.9,12,Arborist service,"4420 19th St NW #2, Rochester, MN 55901, United States","2FV9+5X Rochester, Minnesota, USA",https://www.ravenclimbing.com/,+1 507-513-5584,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEYv9VQX357sjeKurM2hQ4-MgWmtFdQvfGgDF-4cGH1E4kBP4z9Bl8In10yQnw1QOq_fyRf8vpLzAJUrIkKORmSmRBur1mj0Dl0qfFEUcTOt5vajfxnKrhtz2c5goZrGoIp3U0JjQ=w533-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T06:00:21.711Z,,
https://www.google.com/maps/place/Astorino%27s+Tree+Service/data=!4m7!3m6!1s0x87f761b58d4353a7:0xb921114acd0ca1be!8m2!3d44.0776235!4d-92.552214!16s%2Fg%2F11bbt49yhb!19sChIJp1NDjbVh94cRvqEMzUoRIbk,Astorino's Tree Service,5.0,267,Tree service,,,https://astorinostreeservice.com/,+1 507-273-3616,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEFGEN_yqLt-rfAnaDCKA0MZrqnK00aiY2Hpyz9kD9MoLuz6K0IA3IBDQhAIwMo3XsnhHNmoctEUWE9_pL4yK9PQdX8xfnlnx_0d5889_8sgcqphum1qhO5jyUtLSsh3n3DmruDTQ=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T06:00:26.049Z,,
https://www.google.com/maps/place/Bluff+Country+Tree+Service+LLC/data=!4m7!3m6!1s0x87f7560cc9d1c4a5:0xf483418b606ec3b6!8m2!3d43.8744362!4d-92.4842471!16s%2Fg%2F11hbss9rb5!19sChIJpcTRyQxW94cRtsNuYItBg_Q,Bluff Country Tree Service LLC,5.0,11,Tree service,"2225 Marv's Ln, Stewartville, MN 55976, United States","VGF8+Q8 Stewartville, Minnesota, USA",,+1 507-251-4775,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGFMiXGwMROv9_TaGsNehvI9B3Ltm8Fmw9gqHWdVnpsmvQ84GYIrbzJTvlQVeBVRloILtZsp-3JmQLQ9x0VRI5q3YPSamVWOoLHmySRsjvqxylD0uXlmrx-s18WpV8Tx8xghMTuHA=w408-h408-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tree+service+businesses+in+Byron+Rochester+MN/@43.1565779,-77.6088465,14z",2026-04-29T06:00:30.385Z,,
