placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,isBlackOwned,info,error
"https://www.google.com/maps/place/Chris+Massey+CPA,+PLLC/@34.2069835,-77.8733795,12z/data=!3m1!4b1!4m6!3m5!1s0xfb57a641b5fb46f:0x2fbaca48e8baa7d4!8m2!3d34.2069834!4d-77.8733794!16s%2Fg%2F11sd7rmkfk","Chris Massey CPA, PLLC",5.0,19,Certified public accountant,,,http://www.chrismasseycpa.com/,+1 910-275-5147,Closed ⋅ Opens 9 am Mon,,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:17:33.835Z,,,
https://www.google.com/maps/place/EARNEY+Accountants+%26+Advisors/data=!4m7!3m6!1s0x89a9f3a131f352b7:0x2dbe05d795376242!8m2!3d34.2462208!4d-77.8281!16s%2Fg%2F11shgfly76!19sChIJt1LzMaHzqYkRQmI3ldcFvi0,EARNEY Accountants & Advisors,5.0,4,Accountant,"700 Military Cutoff Rd Suite 250, Wilmington, NC 28405, United States","65WC+FQ Wilmington, North Carolina, USA",https://www.earney.com/,+1 910-256-9995,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gTTxYtoKFhrUUl0uGTuBBQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=201.25735&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:17:39.971Z,,,
"https://www.google.com/maps/place/Rhyne+CPA+%26+Associates,+PLLC/data=!4m7!3m6!1s0x89a9f5394f226ffb:0xa48fdb74bed6366c!8m2!3d34.2327463!4d-77.8269801!16s%2Fg%2F11fqtjdl8q!19sChIJ-28iTzn1qYkRbDbWvnTbj6Q","Rhyne CPA & Associates, PLLC",4.9,19,Certified public accountant,"1213 Culbreth Dr Suite 437, Wilmington, NC 28405, United States","65MF+36 Wilmington, North Carolina, USA",http://rhynecpa.com/,+1 910-612-6520,"Closed ⋅ Opens 9 am Mon

Confirmed by this business 4 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNudcEoQ0SrgZO7sGGT5G9KAoP9ljbsLRGBrA8k=w408-h306-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:17:44.840Z,,,
"https://www.google.com/maps/place/Jon+T.+Vincent,+CPA,+P.+C./data=!4m7!3m6!1s0x89a9f3452c3f0bd7:0xac697d07d58af45c!8m2!3d34.2402967!4d-77.8250173!16s%2Fg%2F11gcz38wj7!19sChIJ1ws_LEXzqYkRXPSK1Qd9aaw","Jon T. Vincent, CPA, P. C.",5.0,3,Certified public accountant,"1015 Ashes Dr #202, Wilmington, NC 28405, United States","65RF+4X Wilmington, North Carolina, USA",http://www.jtvmgt.com/,+1 910-256-0101,Closed ⋅ Opens 8:30 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fgXvI0SiB1pbLRp4D_zcUg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=100.7108&pitch=0&thumbfov=100,true,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–3:30 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:17:49.767Z,,,
"https://www.google.com/maps/place/MPW+Partners+%26+Co,+an+Archer+Lewis+firm/data=!4m7!3m6!1s0x89a9f4b9096e1f57:0xa8251c5c3d4623b7!8m2!3d46.423669!4d-129.9427086!16s%2Fg%2F1tjdh1j2!19sChIJVx9uCbn0qYkRtyNGPVwcJag","MPW Partners & Co, an Archer Lewis firm",3.6,14,Accounting firm,,,http://www.mpwcpas.com/,+1 910-793-1181,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipP81pvjbYNNdwXi_4dnoSRnUlwLHx_ehCV7pzWh=w1162-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–12 am,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:17:54.580Z,,,
https://www.google.com/maps/place/Traflet+Michael+S+CPA+PLLC/data=!4m7!3m6!1s0x89a9f3452bf9375f:0xafc707943150580f!8m2!3d34.2402477!4d-77.8250689!16s%2Fg%2F1vy7hfm3!19sChIJXzf5K0XzqYkRD1hQMZQHx68,Traflet Michael S CPA PLLC,5.0,16,Accountant,"1017 Ashes Dr, Wilmington, NC 28405, United States","65RF+3X Wilmington, North Carolina, USA",http://www.traflet.com/,+1 910-256-1128,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vHNev1JWE6_g-GKrI2PUwg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=97.275276&pitch=0&thumbfov=100,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:17:59.870Z,,,
https://www.google.com/maps/place/Cardinal+Accounting/data=!4m7!3m6!1s0x89a9f4b73ea4bc8d:0xbab37fc06d343743!8m2!3d34.2480508!4d-77.855919!16s%2Fg%2F11fm_7k99_!19sChIJjbykPrf0qYkRQzc0bcB_s7o,Cardinal Accounting,5.0,2,Accountant,"124 Cardinal Drive Ext, #101, Wilmington, NC 28405, United States","64XV+6J Wilmington, North Carolina, USA",https://www.cardinalacct.com/,+1 910-799-5925,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VsD6kFPNhUiwhwY8p2lGOA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=243.99797&pitch=0&thumbfov=100,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:18:04.914Z,,,
https://www.google.com/maps/place/Seaside+Accounting+LLC/data=!4m7!3m6!1s0x89a98dabc54cc281:0x8974c19b8aece8f0!8m2!3d34.2722783!4d-77.8188205!16s%2Fg%2F11cmgw8k3q!19sChIJgcJMxauNqYkR8OjsipvBdIk,Seaside Accounting LLC,,,Certified public accountant,"Market St, Wilmington, NC 28411, United States","75CJ+WF Wilmington, North Carolina, USA",http://www.seasideaccountingllc.com/,+1 910-408-2048,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YJ4Jl953aQlVpOqPJbgumg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=122.26961&pitch=0&thumbfov=100,true,Closed,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:18:09.706Z,,,
"https://www.google.com/maps/place/JG+CPA,+PLLC/data=!4m7!3m6!1s0x89a9f35d648d6ee5:0x7b10300d69626e73!8m2!3d34.2309631!4d-77.8785078!16s%2Fg%2F1tdb5482!19sChIJ5W6NZF3zqYkRc25iaQ0wEHs","JG CPA, PLLC",4.3,7,Tax preparation service,"5020 Randall Pkwy, Wilmington, NC 28403, United States","64JC+9H Wilmington, North Carolina, USA",http://www.wilmingtoncpa.com/,+1 910-443-7322,Open ⋅ Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AoYICSmAoQHx4eHSLJDGNQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=284.9876&pitch=0&thumbfov=100,false,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:18:14.612Z,,,
https://www.google.com/maps/place/Cape+Fear+Professional+Services/data=!4m7!3m6!1s0x89a9f5a5230267e3:0x5491e932b7bdbfa2!8m2!3d34.23802!4d-77.8666765!16s%2Fg%2F11l5vlfq5r!19sChIJ42cCI6X1qYkRor-9tzLpkVQ,Cape Fear Professional Services,5.0,13,Accountant,"265 Racine Dr STE 201, Wilmington, NC 28403, United States","64QM+68 Wilmington, North Carolina, USA",https://www.capefearaccounting.com/?utm_source=google&utm_medium=google_business_profile+&utm_campaign=website_click,+1 910-679-9040,"Closed ⋅ Opens 9 am Mon

Confirmed by this business 2 weeks ago",https://lh3.googleusercontent.com/p/AF1QipPP4Jf1Fs1FxbB_nw8VQdfdjJxmabA8IYKK776U=w408-h272-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:18:19.530Z,,,
"https://www.google.com/maps/place/Woodruff+%26+Associates+CPA,+PC/data=!4m7!3m6!1s0x89a9f5a756d0b83d:0x832e3eaefdbb98a4!8m2!3d34.2171748!4d-77.898278!16s%2Fg%2F1tczlbhc!19sChIJPbjQVqf1qYkRpJi7_a4-LoM","Woodruff & Associates CPA, PC",4.6,10,Certified public accountant,"3819 Park Ave, Wilmington, NC 28403, United States","6482+VM Wilmington, North Carolina, USA",http://woodruffcpa.com/,+1 910-523-5477,"Closed ⋅ Opens 8:30 am Mon

Confirmed by phone call 1 week ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EJhuDGHJcDvVkE9WHKixFw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=110.27976&pitch=0&thumbfov=100,false,Closed,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:18:24.436Z,,,
"https://www.google.com/maps/place/Stilwell+%26+Mills,+PLLC/data=!4m7!3m6!1s0x89a98de8fcf0d9af:0xc74ea10c5aff6c14!8m2!3d34.3215585!4d-77.7646655!16s%2Fg%2F11ggs3nyk5!19sChIJr9nw_OiNqYkRFGz_WgyhTsc","Stilwell & Mills, PLLC",4.6,10,Certified public accountant,"10280 US-17, Wilmington, NC 28411, United States","86CP+J4 Wilmington, North Carolina, USA",,+1 910-338-4700,Closed ⋅ Opens 9 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ns_Nuh0k3hNo2H9IDd0BLg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=131.63658&pitch=0&thumbfov=100,false,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:18:29.334Z,,,
"https://www.google.com/maps/place/Dupuis+-+Brown,+PC/data=!4m7!3m6!1s0x89a9f5a68bc6c1e9:0x74a2d131ebc17b25!8m2!3d34.2391785!4d-77.8656148!16s%2Fg%2F1vzn6f4j!19sChIJ6cHGi6b1qYkRJXvB6zHRonQ","Dupuis - Brown, PC",5.0,2,Accountant,"219 Racine Dr C, Wilmington, NC 28403, United States","64QM+MQ Wilmington, North Carolina, USA",https://www.accountant-wilmingtonnc.com/,+1 910-791-5212,Closed ⋅ Opens 9 am Mon,https://lh3.googleusercontent.com/p/AF1QipNblu8sCLdWUUiXB_E5H60BwqRjnoZ5Fy0RXkWs=w408-h306-k-no,true,Closed,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:18:34.292Z,,,
"https://www.google.com/maps/place/Hayes+CPA,+PLLC/data=!4m7!3m6!1s0x89a9f5a3e5bb3b17:0x554e8c567de5eeb7!8m2!3d34.2076992!4d-77.8496909!16s%2Fg%2F11s5c68fp_!19sChIJFzu75aP1qYkRt-7lfVaMTlU","Hayes CPA, PLLC",4.6,18,Certified public accountant,"5710 Oleander Dr Suite 210, Wilmington, NC 28403, United States","6552+34 Wilmington, North Carolina, USA",https://www.hayescpanc.com/,+1 910-427-0732,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 12 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNzamA9g5pSYIIy__9qNM_aH_hZgdgKltRjNMdQ=w427-h240-k-no,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–1 pm,Closed,"https://www.google.com/maps/search/certified+public+accountant+in+Ogden+Wilmington+NC/@34.2723916,-77.818594,14z",2025-10-19T16:18:39.472Z,,,
