placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,isBlackOwned,error
https://www.google.com/maps/place/Roto-Rooter+Plumbing+%26+Water+Cleanup/data=!4m7!3m6!1s0x884090454254376b:0x5c6b4782beee1083!8m2!3d39.7561835!4d-84.1925679!16s%2Fg%2F1tksjgwt!19sChIJazdUQkWQQIgRgxDuvoJHa1w,Roto-Rooter Plumbing & Water Cleanup,4.7,4847,Plumber,"204 S Ludlow St Ste 303, Dayton, OH 45402, United States","QR44+FX Dayton, Ohio, USA",https://www.rotorooter.com/dayton/?utm_source=Google&utm_medium=organic&utm_campaign=gmb&utm_content=website,+1 937-434-4060,Open 24 hours,LGBTQ+ friendly,https://lh3.googleusercontent.com/p/AF1QipOnsgPfazHZStzanAdqSci1Kl0b6d1YfmD7wSRH=w408-h271-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:11:40.046Z,,,
https://www.google.com/maps/place/Mr.+Rooter+Plumbing+of+Dayton/data=!4m7!3m6!1s0x8840625dd6949dab:0xd2d01d37f462b8af!8m2!3d39.7494169!4d-84.1454475!16s%2Fg%2F11b7v_60jt!19sChIJq52U1l1iQIgRr7hi9Dcd0NI,Mr. Rooter Plumbing of Dayton,4.5,641,Plumber,"1400 Linden Ave, Dayton, OH 45410, United States","PVX3+QR Dayton, Ohio, USA",https://www.mrrooter.com/dayton/?cid=LSTL_MRR000199&utm_source=gmb&utm_campaign=local&utm_medium=organic,+1 937-306-7542,Open 24 hours,Identifies as women-owned,https://lh3.googleusercontent.com/p/AF1QipO8Q2g3Nm0_SUSDt7HscwRj3YZzpJQBGxbsdAo5=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:11:46.521Z,,,
https://www.google.com/maps/place/Atherton+Plumbing+-+Dayton+Drain+Cleaning/data=!4m7!3m6!1s0x88408500845d65a3:0xd4f917773166f59a!8m2!3d39.746517!4d-84.208062!16s%2Fg%2F11c0rsl8cv!19sChIJo2VdhACFQIgRmvVmMXcX-dQ,Atherton Plumbing - Dayton Drain Cleaning,4.8,980,Plumber,"705 Albany St, Dayton, OH 45417, United States","PQWR+JQ Dayton, Ohio, USA",https://athertonplumbing.com/?utm_campaign=gmb,+1 937-709-3605,Closed ⋅ Opens 9 am Tue,,https://lh3.googleusercontent.com/p/AF1QipPYCYEJVmf4PDxC82ShJbcUA9o-ktVTx0jSr267=w408-h306-k-no,true,7 am–5 pm,9 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:11:51.612Z,,,
https://www.google.com/maps/place/Drain+Tech/data=!4m7!3m6!1s0x8840813455555555:0x86d4571da37e0a84!8m2!3d39.7856972!4d-84.1685958!16s%2Fg%2F1260gk6w6!19sChIJVVVVVTSBQIgRhAp-ox1X1IY,Drain Tech,4.8,205,Plumber,"2504 Stanley Ave, Dayton, OH 45404, United States","QRPJ+7H Dayton, Ohio, USA",https://draintechohio.com/,+1 937-222-8888,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyoGyd8jMpaZ3kR6TIvegcUZZ48MbzH6zHr9n7jOhte41fMlSDLRpxHP1GH5MRYKb43qDApvnrlheY02IvRMeNzhAyW3i6NsOZZow6Fz50UaQzq1NBxOYaT6JN1b70g3DUxNcZfL4AiUlw=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:11:56.647Z,,,
https://www.google.com/maps/place/Premier+Plumbing+Services+LLC/data=!4m7!3m6!1s0x883f7957b76611ff:0x34234daa9cbf9804!8m2!3d39.8246507!4d-84.1834993!16s%2Fg%2F11j_r6m9fn!19sChIJ_xFmt1d5P4gRBJi_nKpNIzQ,Premier Plumbing Services LLC,4.9,106,Plumber,"5825 Milo Rd, Dayton, OH 45414, United States","RRF8+VJ Dayton, Ohio, USA",https://www.premierplumbingservicesohio.com/,+1 937-524-6955,Closed ⋅ Opens 8 am Tue,,https://lh3.googleusercontent.com/p/AF1QipPrAGU7Z5ZNKpzEnfgs3figEXseqySal8_cDiba=w426-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:12:01.606Z,,,
https://www.google.com/maps/place/Pester+Plumbing+Inc/data=!4m7!3m6!1s0x8840830a0de4746d:0xac37976c790d3a7!8m2!3d39.7763736!4d-84.1430904!16s%2Fg%2F1td598tp!19sChIJbXTkDQqDQIgRp9OQx3Z5wwo,Pester Plumbing Inc,4.1,85,Plumber,"1667 Springfield St, Dayton, OH 45403, United States","QVG4+GQ Dayton, Ohio, USA",http://pesterplumbing.com/aboutus.htm,+1 937-299-5606,Closed ⋅ Opens 8 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzIzG5NHVzgcZ4R0-42mI4e0PDIOOTJSy0OK4nntLie6bSaFBg0i75jfTShbRtsCBmCKjxPr0cBUcn4fu0J-S3QReRz3PfNjMhxehaYYAFv3QGvHLZh5hclg54Twmb_-MiPPqJB=w408-h725-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:12:07.080Z,,,
https://www.google.com/maps/place/Five+Star+Plumbing+LLC/data=!4m7!3m6!1s0x88408a6e72eaaaab:0x459fa2a11de1116a!8m2!3d39.7220771!4d-84.210843!16s%2Fg%2F11hy9pllp7!19sChIJq6rqcm6KQIgRahHhHaGin0U,Five Star Plumbing LLC,4.9,1302,Plumber,"2200 Sandridge Dr, Moraine, OH 45439, United States","PQCQ+RM Moraine, Ohio, USA",https://www.fivestarplumbingservices.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,+1 937-902-6195,Closed ⋅ Opens 8 am Tue,Identifies as women-owned,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzppchwHt3noXBijO2fxWF7qVoH4OzBnmYJ_DI9HY9coO95Y55Z_zIZ9lXk7HMTj7TCZq0_kw7CDnP7FPHwcEKGCK2Zze9ATCaAYrHF2ezFu4ntozKCtpGL3m1qw5Q0B2VRhTEEeA=w408-h544-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:12:12.223Z,,,
https://www.google.com/maps/place/Let+It+Flow+Plumbing+Service/data=!4m7!3m6!1s0x884081165da43fb7:0x39c1be5a77e303ba!8m2!3d39.7778096!4d-84.2134904!16s%2Fg%2F1tp0fbqm!19sChIJtz-kXRaBQIgRugPjd1q-wTk,Let It Flow Plumbing Service,4.1,16,Plumber,"308 Fountain Ave, Dayton, OH 45405, United States","QQHP+4J Dayton, Ohio, USA",,+1 937-263-2010,Closed ⋅ Opens 8 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h8E-q-VxxqLrtvzvrKTKtA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=163.57642&pitch=0&thumbfov=100,false,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:12:17.193Z,,,
https://www.google.com/maps/place/Complete+Plumbing/data=!4m7!3m6!1s0x88408659c7d4d00b:0x5d75dc31543d5e63!8m2!3d39.7108596!4d-84.2162451!16s%2Fg%2F1tj85j63!19sChIJC9DUx1mGQIgRY149VDHcdV0,Complete Plumbing,4.6,59,Plumber,"3060 N Springboro Pike, Dayton, OH 45439, United States","PQ6M+8G Dayton, Ohio, USA",http://www.completeplumbingdayton.com/,+1 937-299-7044,Closed ⋅ Opens 7:30 am Tue,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cS8_6qrldQtfX_kmzb5SWw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.74358&pitch=0&thumbfov=100,true,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:12:22.020Z,,,
"https://www.google.com/maps/place/Korrect+Plumbing,+Heating+%26+Air+Conditioning,+Inc./data=!4m7!3m6!1s0x88407c3c1a707e87:0x2c0cf9c00c60c28c!8m2!3d39.747416!4d-84.328758!16s%2Fg%2F1tw1fhtw!19sChIJh35wGjx8QIgRjMJgDMD5DCw","Korrect Plumbing, Heating & Air Conditioning, Inc.",4.9,2560,Plumber,"7967 W Third St, Dayton, OH 45417, United States","PMWC+XF Dayton, Ohio, USA",https://www.korrectplumbing.com/,+1 937-837-2333,Closed ⋅ Opens 7 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw9bIlbdQI381JM8zbZ23TpKDdW9-afEWRMKdV3bCtUaji9ATrCTlNSWLK2HQyEHpiYW-RTygqXmJGuEyqkxJVuENRIceRzt_hOrBF1xejxBA58gawIvnVhTXWwqySH96s5YuPh=w408-h544-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/plumbing++services+in+Dayton+Dayton+OH/@39.7592225,-84.1936144,14z",2025-11-11T03:12:27.129Z,,,
