placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,isBlackOwned,info,error
https://www.google.com/maps/place/Lowell+General+Hospital+Palliative+Care+%E2%80%93+Main+Campus/data=!4m7!3m6!1s0x89e3a5c74a685e2d:0xc8a24ae22e35505c!8m2!3d42.6471582!4d-71.3414231!16s%2Fg%2F11s0wnn8ql!19sChIJLV5oSsel44kRXFA1LuJKosg,Lowell General Hospital Palliative Care – Main Campus,,,Hospice,"295 Varnum Avenue Hanchett Building, 2nd floor, Lowell, MA 01854, United States","JMW5+VC Lowell, Massachusetts, USA",https://www.tuftsmedicine.org/?utm_source=Yext&utm_medium=Listings%20Management,+1 978-942-2064,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bOaNC1fkEIbLbM5WtjbtBw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.9064&pitch=0&thumbfov=100,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-17T23:45:58.970Z,,,
https://www.google.com/maps/place/Extended+Family+of+Lowell+LLC/data=!4m7!3m6!1s0xcc9bee81a2e9073:0x57a86391612dc9a4!8m2!3d42.6456599!4d-71.3075423!16s%2Fg%2F11rkm80w2r!19sChIJc5AuGui-yQwRpMktYZFjqFc,Extended Family of Lowell LLC,5.0,10,Home health care service,"10 Bridge St, Lowell, MA 01852, United States","JMWR+7X Lowell, Massachusetts, USA",https://extendedfamilylowell.com/,+1 978-996-0979,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOKZCoXIau8qdY8DJZ4tmek3H7xf7mwI2Fd-uXa=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-17T23:46:04.854Z,true,,
https://www.google.com/maps/place/Hospice+of+Lowell/data=!4m7!3m6!1s0x89e3a43e2f8371e1:0xfb82b42762391946!8m2!3d42.6417249!4d-71.3073375!16s%2Fg%2F1td61r8m!19sChIJ4XGDLz6k44kRRhk5Yie0gvs,Hospice of Lowell,1.0,1,Hospice,"40 Church St # 300, Lowell, MA 01852, United States","JMRV+M3 Lowell, Massachusetts, USA",,+1 978-458-3123,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7h0YdZS317sfiM8a_tQYtg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=340.91568&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-17T23:46:08.223Z,,,
https://www.google.com/maps/place/Care+at+Home/data=!4m7!3m6!1s0x89e3a7ca8c26388f:0x60d307dddd12863b!8m2!3d42.629372!4d-71.276658!16s%2Fg%2F11xs5wshgv!19sChIJjzgmjMqn44kRO4YS3d0H02A,Care at Home,,,Hospice,"847 Rogers St #201, Lowell, MA 01852, United States","JPHF+P8 Lowell, Massachusetts, USA",https://www.tuftsmedicine.org/get-care/locations/care-home?utm_source=Yext&utm_medium=Listings%20Management,+1 800-933-5593,"Closed ⋅ Opens 8:30 am Thu

Confirmed by this business 5 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KhdXl1t7-CJckRYNxY3WWA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=208.62447&pitch=0&thumbfov=100,true,8:30 am–4:30 pm,8:30 am–4:30 pm,8:30 am–4:30 pm,Closed,Closed,8:30 am–4:30 pm,8:30 am–4:30 pm,"https://www.google.com/maps/search/Hospice+clinics+in+Lowell+MA/@42.6458914,-71.3127093,14z",2025-09-17T23:46:12.872Z,,,
https://www.google.com/maps/place/EZ+Health+%26+Hospice+Care/data=!4m7!3m6!1s0x89e484c20e6e447d:0xc7c498ecf7cf8875!8m2!3d42.093437!4d-71.0253848!16s%2Fg%2F11srgk5d39!19sChIJfURuDsKE5IkRdYjP9-yYxMc,EZ Health & Hospice Care,,,Hospice,"56 Cherry St, Brockton, MA 02301, United States","3XVF+9R Brockton, Massachusetts, USA",https://www.ezhhealth.com/,+1 508-521-9053,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lrdm6XpqKe09pSxs1DOfsg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=222.08055&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/Hospice+clinics+in+Brockton+MA/@42.0694328,-71.0239891,14z",2025-09-17T23:46:24.695Z,,,
https://www.google.com/maps/place/Brockton+VA+Medical+Center/data=!4m7!3m6!1s0x89e4859f61a548d5:0x93292d4d77ba00b6!8m2!3d42.0629896!4d-71.0539915!16s%2Fg%2F1th7zc9r!19sChIJ1UilYZ-F5IkRtgC6d00tKZM,Brockton VA Medical Center,4.0,123,Medical clinic,"940 Belmont St, Brockton, MA 02301, United States","3W7W+5C Brockton, Massachusetts, USA",https://www.boston.va.gov/,+1 508-583-4500,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrjgj9atmJwZww6pBHIVYqdZQc63L2JR3LMXO3CRFvelSgJAY4zRO44kNWe858xNCtAqV_Uh554n4ahWi3de9PwcnVPz0dFurMMrKjUEks83gWQnrlzzxk6XdDvY8smmqx5-yap=w408-h544-k-no,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Brockton+MA/@42.0694328,-71.0239891,14z",2025-09-17T23:46:29.946Z,,,
https://www.google.com/maps/place/Arosa+Boston/data=!4m7!3m6!1s0x89e377a8c9b0658d:0x2d35f3e2b2eeffb0!8m2!3d42.360485!4d-71.183376!16s%2Fg%2F11qsxgqdr4!19sChIJjWWwyah344kRsP_usuLzNS0,Arosa Boston,4.8,33,Home health care service,"50 Hunt St Suite 220, Watertown, MA 02472, United States","9R68+5J Watertown, Massachusetts, USA",https://arosacare.com/locations/boston/,+1 617-484-8000,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOZC_Yh5RQZAwbQcbuEe48kbK22ehAhiPjGOyLi=w960-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Quincy+MA/@42.2513961,-71.0023737,14z",2025-09-17T23:46:45.398Z,,,
https://www.google.com/maps/place/BrightStar+Care/data=!4m7!3m6!1s0x89e47fd193b5ae43:0xab7e376d6db0d042!8m2!3d42.306406!4d-71.218644!16s%2Fg%2F11cmt4n44v!19sChIJQ661k9F_5IkRQtCwbW03fqs,BrightStar Care,4.8,24,Home health care service,"21A Highland Cir, Needham, MA 02494, United States","8Q4J+HG Needham, Massachusetts, USA",https://www.brightstarcare.com/locations/needham-brookline/,+1 781-241-0022,"Open 24 hours

Confirmed by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipM94EX0V7D_iKWNLVt23T44NVNiRwylOavjqaLv=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Quincy+MA/@42.2513961,-71.0023737,14z",2025-09-17T23:46:50.321Z,,,
https://www.google.com/maps/place/AccentCare+Inpatient+Hospice+Center-Milton/data=!4m7!3m6!1s0x89e37c48938670cd:0x58b96eed2fdb0e87!8m2!3d42.2482431!4d-71.0698983!16s%2Fg%2F11bbv12z43!19sChIJzXCGk0h844kRhw7bL-1uuVg,AccentCare Inpatient Hospice Center-Milton,4.4,31,Hospice,"597 Randolph Ave, Milton, MA 02186, United States","6WXJ+72 Milton, Massachusetts, USA",https://www.accentcare.com/seasons-hospice-palliative-care-announcement,+1 617-433-3100,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrrzjr5Bs6QoY9g7K7hnVlsVWemIofMmR-6JqdOEu1MUfAfk_y8TdJYilVqV8G7xDuvME1kaulbUPVOMXcBx2Lt55fWpPSz3Y2x4jWUoRCf7RysmCRhWOf1UJEcKGsJ6eIVD0_G=w408-h444-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Quincy+MA/@42.2513961,-71.0023737,14z",2025-09-17T23:46:55.519Z,,,
https://www.google.com/maps/place/BAYADA+Assistive+Care+-+State+Programs/data=!4m7!3m6!1s0x89e37cd9e65b6399:0xe8546330657164e0!8m2!3d42.231409!4d-71.0143858!16s%2Fg%2F11b7hmzpdv!19sChIJmWNb5tl844kR4GRxZTBjVOg,BAYADA Assistive Care - State Programs,1.6,7,Home health care service,"400 Crown Colony Dr Suite 301, Quincy, MA 02169, United States","6XJP+H6 Quincy, Massachusetts, USA",https://www.bayada.com/personal-care-and-companionship/locations/ma/quincy/400-crown-colony-drive-suite-301/10203?utm_source=google&utm_medium=local&utm_campaign=google-my-business&utm_content=local-listings,+1 617-773-0012,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPhMc0wU_mS4P4wVsoJDdGViQk5QT1uwn8X4nxT=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Hospice+clinics+in+Quincy+MA/@42.2513961,-71.0023737,14z",2025-09-17T23:47:00.398Z,,LGBTQ+ friendly,
