placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,attributes,isBlackOwned,error
https://www.google.com/maps/place/Manitou+Springs+Garage+Door+Repair+Pros/data=!4m7!3m6!1s0x871350a3cb2c64dd:0x66299b03f5928c0b!8m2!3d38.8599179!4d-104.918241!16s%2Fg%2F11xvbzpv_s!19sChIJ3WQsy6NQE4cRC4yS9QObKWY,Manitou Springs Garage Door Repair Pros,5.0,6,Garage door supplier,"307 Cañon Ave, Manitou Springs, CO 80829, United States","V35J+XP Manitou Springs, Colorado, USA",,+1 719-306-0503,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eilxxj0r6A97DuZmxHsJZg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=273.7609&pitch=0&thumbfov=100,false,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:45:20.096Z,,,,
https://www.google.com/maps/place/Pikes+Peak+Overhead+Doors/data=!4m7!3m6!1s0x87134fc284591403:0xe02800d8d0829a5c!8m2!3d38.8858379!4d-104.8314623!16s%2Fg%2F1tjdgnf1!19sChIJAxRZhMJPE4cRXJqC0NgAKOA,Pikes Peak Overhead Doors,4.8,236,Garage door supplier,"3760 Interpark Dr, Colorado Springs, CO 80907, United States","V5P9+8C Colorado Springs, Colorado, USA",https://pikespeakoverheaddoor.com/,+1 719-593-1692,Closes soon ⋅ 4 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzuS_FUQC7vpB-52Yeb6Aifoy0WrUqwiDIij2W9OUSmaRai_TfCU32uz-ZomOrw3lcb9x5QhLYvo_vtdttfqp5ScmOKZgr-yu5bijQcJj5DhsyJGOSfCKic60TWEXAsOP56Mpt7=w408-h306-k-no,true,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:45:25.815Z,,,,
https://www.google.com/maps/place/Above+The+Rest+Garage+Door+Repair/data=!4m7!3m6!1s0x871345f4284bf40f:0x2ca676a6e35266c0!8m2!3d38.8695069!4d-104.7932056!16s%2Fg%2F11fk8dpwtc!19sChIJD_RLKPRFE4cRwGZS46Z2piw,Above The Rest Garage Door Repair,4.9,337,Garage door supplier,"2614 Bonfoy Ave, Colorado Springs, CO 80909, United States","V694+RP Colorado Springs, Colorado, USA",https://www.atrgaragedoorrepair.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Colorado-Springs-CO,+1 719-999-2819,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipM8px9NFsQukarQe3L_H5OPPhgj8Vt_WISE7YUI=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:45:31.431Z,,,,
https://www.google.com/maps/place/ASAP+Garage+Door+Service/data=!4m7!3m6!1s0x87134fdc21055ae7:0x683be2a81d5ab64!8m2!3d38.9249154!4d-104.7779876!16s%2Fg%2F11n18063_4!19sChIJ51oFIdxPE4cRZKvVgSq-gwY,ASAP Garage Door Service,5.0,1172,Garage door supplier,"2690 Purgatory Dr, Colorado Springs, CO 80918, United States","W6FC+XR Colorado Springs, Colorado, USA",https://asap-gds.com/,+1 719-749-8904,,https://lh3.googleusercontent.com/p/AF1QipMnyIPqNW8OGvvyr8u_8u3u-62ebJG_EFHR-M42=w408-h306-k-no,true,,,,,,,,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:45:37.328Z,LGBTQ+ friendly,,,
https://www.google.com/maps/place/Don%27s+Garage+Door+Repair/data=!4m7!3m6!1s0x8713465646320a29:0x40f0337f4b86fcbc!8m2!3d38.8512919!4d-104.7169792!16s%2Fg%2F1tf_t9ph!19sChIJKQoyRlZGE4cRvPyGS38z8EA,Don's Garage Door Repair,4.9,1404,Garage door supplier,"5940 Paonia Ct, Colorado Springs, CO 80915, United States","V72M+G6 Colorado Springs, Colorado, USA",https://donsgaragedoors.com/colorado-springs-co-garage-door-repair-installation-near-you/?utm_source=google&utm_medium=organic&utm_campaign=gbpwebsite[coloradosprings],+1 719-378-4227,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipNUlk9eLZptVvkbHR_lNHZOj7565ELNMfqJ9gvj=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:45:42.431Z,,,,
https://www.google.com/maps/place/American+Overhead+Door/data=!4m7!3m6!1s0x87134f88885b3d8f:0xd50cc6f6bf24d914!8m2!3d38.8966922!4d-104.8190941!16s%2Fg%2F1w15zx91!19sChIJjz1biIhPE4cRFNkkv_bGDNU,American Overhead Door,4.7,731,Garage door supplier,"4336 N Nevada Ave, Colorado Springs, CO 80907, United States","V5WJ+M9 Colorado Springs, Colorado, USA",https://wedogaragedoors.com/,+1 719-538-9900,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipPxxQvNlLOYx4YcgztNSQRJJHhHFdoy1NbkyutD=w437-h240-k-no,true,8 am–3 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:45:47.467Z,,,,
https://www.google.com/maps/place/Academy+Overhead+Door/data=!4m7!3m6!1s0x876cadd0a28f0b3b:0xdee80f7c55d63c1!8m2!3d38.9013992!4d-104.8433061!16s%2Fg%2F12cnq27cp!19sChIJOwuPotCtbIcRwWNdxfeA7g0,Academy Overhead Door,4.8,334,Garage door supplier,"615 Pinon Ranch View Suite 3, Colorado Springs, CO 80907, United States","W524+HM Colorado Springs, Colorado, USA",,+1 719-481-2549,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMbIP1MhZQUGRk19Ni8wq7jUdZWduwE4kwnnZT0=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:45:53.102Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Ascension+Garage+Door+Service/data=!4m7!3m6!1s0x871345496543a677:0xa0da4b2b0c06a3ed!8m2!3d38.8639365!4d-104.7547988!16s%2Fg%2F11y597qtvg!19sChIJd6ZDZUlFE4cR7aMGDCtL2qA,Ascension Garage Door Service,5.0,166,Garage door supplier,"2175 Academy Cir #200-5, Colorado Springs, CO 80909, United States","V67W+H3 Colorado Springs, Colorado, USA",https://www.ascensiongaragedoorservice.com/?utm_campaign=google&utm_medium=local&utm_source=google_business_profile,+1 719-639-3608,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPLOFhPU1hYASNs1l0liSMg5xxb1MsAHvOLrg0L=w408-h326-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:45:58.153Z,,,,
https://www.google.com/maps/place/Precision+Garage+Door+of+Colorado+Springs/data=!4m7!3m6!1s0x8713456f18b367c5:0x57000a5463860212!8m2!3d38.8431646!4d-104.7316444!16s%2Fg%2F11h4s4c64b!19sChIJxWezGG9FE4cREgKGY1QKAFc,Precision Garage Door of Colorado Springs,4.9,1119,Garage door supplier,"761 Seedling Ct, Colorado Springs, CO 80915, United States","R7V9+78 Colorado Springs, Colorado, USA",https://precisiondoorco.com/?utm_source=GMBListing&utm_medium=organic,+1 719-881-1100,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPyqpqqVCdEcq18ztFAzfO1UGVuOpj9QudyYvXV=w426-h240-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:46:03.248Z,,,,
https://www.google.com/maps/place/Father+%26+Son+Garage+Door/data=!4m7!3m6!1s0x871348cf0f2a4139:0x660cf7f68c9e7bb8!8m2!3d38.899094!4d-104.7468472!16s%2Fg%2F1vn9pk0k!19sChIJOUEqD89IE4cRuHuejPb3DGY,Father & Son Garage Door,5.0,405,Garage door supplier,"4655 Cobalt Dr, Colorado Springs, CO 80918, United States","V7X3+J7 Colorado Springs, Colorado, USA",http://www.fsgaragedoor.com/,+1 719-473-1281,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMCTsnMqvzzuusHHXPoyJUEO_UYjR8aST2p7fpL=w427-h240-k-no,true,7:30 am–5 pm,8 am–2 pm,Closed,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,7:30 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Manitou+Springs+Colorado+Springs+CO/@38.8575579,-104.9128177,14z",2025-11-07T22:46:08.171Z,,,,
