placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info,error
https://www.google.com/maps/place/Swims+%26+Sweeps+Inc/data=!4m7!3m6!1s0x87bf031178114421:0x3c6858f89bea8ca0!8m2!3d39.0533847!4d-95.6785312!16s%2Fg%2F11f5lqc7fp!19sChIJIUQReBEDv4cRoIzqm_hYaDw,Swims & Sweeps Inc,4.0,74,Swimming pool contractor,"422 SW 6th Ave, Topeka, KS 66603, United States","383C+9H Topeka, Kansas, USA",http://swimsandsweeps.com/,+1 785-232-7272,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipNal1Vb87JzmevbgN8mofZnpSuqOzqrkBXYN4Db=w408-h306-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:09.492Z,,,
https://www.google.com/maps/place/CRYSTAL+CLEAR+WATERS/data=!4m7!3m6!1s0x87befd163714e0d5:0x1fe1003a2682d427!8m2!3d39.0281793!4d-95.7400817!16s%2Fg%2F11flqtwg7y!19sChIJ1eAUNxb9vocRJ9SCJjoA4R8,CRYSTAL CLEAR WATERS,4.3,11,Swimming pool repair service,"2127 SW Prairie Rd, Topeka, KS 66614, United States","27H5+7X Topeka, Kansas, USA",,+1 785-267-7665,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMvvHkQTQVMUxa_EVJ_MZ_u3h76tnhD40p7b94O=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:15.110Z,,,
https://www.google.com/maps/place/Patio+Pool+and+Fireside/data=!4m7!3m6!1s0x87bf0291bb468b95:0x1092d6e512b9d8f3!8m2!3d39.0437952!4d-95.7158741!16s%2Fg%2F1tfvznt5!19sChIJlYtGu5ECv4cR89i5EuXWkhA,Patio Pool and Fireside,4.8,97,Hot tub store,"3109 SW Huntoon St, Topeka, KS 66604, United States","27VM+GM Topeka, Kansas, USA",http://www.patiopoolandfireside.com/,+1 785-357-5194,"Open ⋅ Closes 5:30 pm

Updated by others 6 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNVq6pfASi-6sGHm5Eq0lIU84DbFYQDu2vNp9Jz=w408-h255-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:21.197Z,· In-store pick-up · Delivery,,
https://www.google.com/maps/place/DeVader%27s+Pools+%26+Spas+Inc/data=!4m7!3m6!1s0x87befd764f245a77:0x4768c28614691a31!8m2!3d39.0529709!4d-95.7437802!16s%2Fg%2F1tfq9rfr!19sChIJd1okT3b9vocRMRppFIbCaEc,DeVader's Pools & Spas Inc,4.6,58,Hot tub store,"841 SW Fairlawn Rd, Topeka, KS 66606, United States","3734+5F Topeka, Kansas, USA",https://www.devaderspools.com/,+1 785-271-8008,"Open ⋅ Closes 5:30 pm

Confirmed by this business 1 week ago",https://lh3.googleusercontent.com/p/AF1QipMKxUp0JRwgbOIOMfwKJ7nvwv59Z5sE1ZyWp54Q=w408-h306-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–1 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:26.279Z,· Delivery,,
https://www.google.com/maps/place/Naly%27s+Outdoor+Co./data=!4m7!3m6!1s0x87bf0338d3155a0b:0xd696f25d583c5e8a!8m2!3d39.0357911!4d-95.675583!16s%2Fg%2F11ckt9y8m4!19sChIJC1oV0zgDv4cRil48WF3yltY,Naly's Outdoor Co.,5.0,22,Landscaper,"1801 SE Madison St, Topeka, KS 66607, United States","28PF+8Q Topeka, Kansas, USA",http://nalyslandscaping.com/,+1 785-431-5668,Open ⋅ Closes 4 pm,https://lh3.googleusercontent.com/p/AF1QipNqsPPU8K4kPqECiiueNOat1yUSSmSx6BLjbBoz=w408-h271-k-no,true,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:31.237Z,,,
https://www.google.com/maps/place/Leslie%27s+Pool+Supplies/data=!4m7!3m6!1s0x87befd9bcaaeebd5:0x1201ac8f02376a76!8m2!3d39.0381085!4d-95.7605541!16s%2Fg%2F11f613wmsx!19sChIJ1euuypv9vocRdmo3Ao-sARI,Leslie's Pool Supplies,3.3,7,Swimming pool supply store,"1570 SW Wanamaker Rd Ste 180-190, Topeka, KS 66604, United States","26QQ+6Q Topeka, Kansas, USA",https://lesliespool.com/location/topeka-kansas-topeka-989.html?utm_source=gmb&utm_medium=organic&utm_campaign=store_989,+1 785-273-3614,"Open ⋅ Closes 6 pm

Updated by this business 1 week ago",https://lh3.googleusercontent.com/p/AF1QipOD4fDDsioLkaI6DEruWqzGE-tzbGO3qxr6ew9d=w408-h408-k-no,true,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:36.289Z,"Chain providing a full range of swimming pool equipment, chemicals & accessories, plus water toys. · In-store shopping · Kerbside pickup",LGBTQ+ friendly,
https://www.google.com/maps/place/Graystone+Painting+and+Refinishing/data=!4m7!3m6!1s0x87bf039a17ad0f5b:0xd7e2039a0084a0e!8m2!3d39.0523635!4d-95.6725016!16s%2Fg%2F11gll6k77j!19sChIJWw-tF5oDv4cRDkoIoDkgfg0,Graystone Painting and Refinishing,4.8,120,Painting,"534 S Kansas Ave Suite 900, Topeka, KS 66603, United States","382G+WX Topeka, Kansas, USA",https://graystonepainting.com/,+1 785-221-7464,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMea5MCjErC1pJBUfgbhuhdWSAohR6BfBUuy0zR=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:41.844Z,,,
"https://www.google.com/maps/place/T+%26+T+Swimming+Pools/@39.013101,-95.8512099,13z/data=!3m1!4b1!4m6!3m5!1s0x87befb2c00000003:0x4ef7a88ed9fe0ab8!8m2!3d39.013101!4d-95.8512099!16s%2Fg%2F11cr_nmxvs",T & T Swimming Pools,,,Swimming pool contractor,"Topeka, KS 66614, United States",,,+1 785-969-2654,,,false,,,,,,,,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:46.628Z,,,
https://www.google.com/maps/place/Buehler+Inspections+Co./data=!4m7!3m6!1s0x87bf03610ce91b63:0x38981003e678a52a!8m2!3d39.0366244!4d-95.71032!16s%2Fg%2F11mr3121_0!19sChIJYxvpDGEDv4cRKqV45gMQmDg,Buehler Inspections Co.,5.0,164,Home inspector,"2611 SW 17th St Suite 272, Topeka, KS 66604, United States","27PQ+JV Topeka, Kansas, USA",http://www.buehlerinspections.com/,+1 785-235-0169,Open ⋅ Closes 8 pm,https://lh3.googleusercontent.com/p/AF1QipN7unXIqIw8-bHjvT0S6w8IqGnqvy0YHAbJlOsK=w408-h306-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,12–8 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:51.658Z,,,
"https://www.google.com/maps/place/Greenwave+Electric,+Inc./data=!4m7!3m6!1s0x87bf03226f7afcf3:0xb9865523297c1a2f!8m2!3d39.0361477!4d-95.6807127!16s%2Fg%2F1tk700b4!19sChIJ8_x6byIDv4cRLxp8KSNVhrk","Greenwave Electric, Inc.",4.9,133,Electrician,"1721 SW Van Buren St, Topeka, KS 66612, United States","28P9+FP Topeka, Kansas, USA",https://www.greenwaveelectric.com/,+1 785-228-2478,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipOYXjFqWe2c3cb2tWLlVBvX4H6vTg-vZsEQK6Zt=w408-h544-k-no,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Topeka+KS/@39.0473451,-95.6751576,14z",2025-10-27T17:45:56.714Z,,,
