placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,isBlackOwned,info,attributes
"https://www.google.com/maps/place/Motivational+Landscaping,+Hardscaping+%26+Trees/data=!4m7!3m6!1s0x8841b74ee2aeb0fd:0xf041eeceb9a54c77!8m2!3d39.0847965!4d-84.535121!16s%2Fg%2F11fvzhtnpv!19sChIJ_bCu4k63QYgRd0yluc7uQfA","Motivational Landscaping, Hardscaping & Trees",4.9,76,Landscaper,,,https://motivational-landscaping.com/,+1 513-846-0069,Open · Closes 7 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFe3Zy-a7qQlDkOtmgiuyWXgJbekYedfH4A4CpOgl5pVLXaRpXr_xfE4D8jkNr5FqdWmPLLzfcAUcG2NqO6JQVW1d5mNL61M9ekipJITiBapv58G_6aWO1m59HJTLLI-P1Mn9gV-vPAAwn5=w408-h272-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:49:47.532Z,,,
https://www.google.com/maps/place/Simply+Beautiful+Landscaping+%26+Fencing/data=!4m7!3m6!1s0x6f740df469436f55:0x850f2ff4633e5d98!8m2!3d39.1365839!4d-84.540972!16s%2Fg%2F11w29kc987!19sChIJVW9DafQNdG8RmF0-Y_QvD4U,Simply Beautiful Landscaping & Fencing,5.0,20,Landscaper,,,https://www.simplybeautifuloutdoors.com/,+1 513-202-6075,Open · Closes 6 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFnXUHqjxf6pLLHhN5JNtPNlfyBnX8b7X945uNeUPal5K-BsfqlLL3GGpyFJZ1l46Efxb1-iFYUhpZ0yfVUTSMpmCs1LjI8zcpi8Z0JR0k68JZei9fXn5gz_GyPRpxxbfu9jmdW=w408-h544-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–3 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:49:53.775Z,true,,
https://www.google.com/maps/place/RDC%27S+Landscape+and+lawn/data=!4m7!3m6!1s0x8841cb4ca741dad7:0xf7f9234636a9d5a6!8m2!3d39.1530429!4d-84.5117751!16s%2Fg%2F11vz904kfm!19sChIJ19pBp0zLQYgRptWpNkYj-fc,RDC'S Landscape and lawn,4.9,168,Landscaper,,,https://rdclandscapeandlawn.com/,+1 513-417-7023,Open · Closes 8 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE1IHmRGf-OkWzwdkp6QP6ohDJzUb4_NVeen3t2FN0zqSTd6UPNUumOPn-y8aglQYB4Z-YUlDWjzdYYKpDAeLZomKLnzVeQpCOXP4EkImzKRPBsNZTdzaQHNh5bnCUUD1_Evtg5dP19Ebb2=w408-h544-k-no,true,7 am–8 pm,7 am–8 pm,7 am–8 pm,7 am–5 pm,7 am–5 pm,7 am–8 pm,7 am–8 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:49:58.616Z,,LGBTQ+ friendly,
https://www.google.com/maps/place/D2+Landscaping+and+Outdoor+Services/data=!4m7!3m6!1s0x8841b3e4210871b9:0x898ef153db00cba4!8m2!3d39.1578775!4d-84.5039799!16s%2Fg%2F11g_y8d4kw!19sChIJuXEIIeSzQYgRpMsA21Pxjok,D2 Landscaping and Outdoor Services,4.5,108,Landscaper,"23 Clinton Springs Ave, Cincinnati, OH 45217, United States","5F5W+5C Cincinnati, Ohio, USA",https://d2landscaping.com/,+1 513-550-7782,Open · Closes 4 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFW8Qj3YT9ZUGAzIXRSBHBDeRxmCJmxupDdUeA0dVMULy570f-ySRKv4wlcpgslZjO08xbtkTGGC9MOcjYaR9JmxIaYKcNhlarZaAtHSBNKKrHFWb-mk9Z-4v3Zss9gvodk6pqxNA=w427-h240-k-no,true,9 am–4 pm,9 am–4 pm,9 am–4 pm,Closed,Closed,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:50:03.693Z,,,
https://www.google.com/maps/place/Rueve+Landscape+Company/data=!4m7!3m6!1s0x8841cba8f555d7a7:0xf28bdf29bc3d2760!8m2!3d39.1537049!4d-84.6573252!16s%2Fg%2F1ttdz3q7!19sChIJp9dV9ajLQYgRYCc9vCnfi_I,Rueve Landscape Company,5.0,51,Landscaper,"6374 Bridgetown Rd, Cincinnati, OH 45248, United States","583V+F3 Cincinnati, Ohio, USA",,+1 513-598-5436,"Open · Closes 5 pm

Updated by this business 4 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEZo0fdPVRrWTyDvvIBGWtH0nRNvThMvg1oPDLcsD5IguTgh3AeUW9sskFhws1-bV0fcg_vHCMgaF0SfgQCTvDfmN9ul_gi6E2RcdOYQFwQqyXk-FCx7p19WFvTKwWoIqBHlB5u=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–4 pm,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:50:08.794Z,,,
https://www.google.com/maps/place/Tepe+Landscape+%26+Design+Group/data=!4m7!3m6!1s0x8841cbfb0be78747:0x6d67d6723ad96ce5!8m2!3d39.1234303!4d-84.681369!16s%2Fg%2F1tctg8xm!19sChIJR4fnC_vLQYgR5WzZOnLWZ20,Tepe Landscape & Design Group,4.9,181,Landscaper,"7021 Cleves Warsaw Pike, Cincinnati, OH 45233, United States","48F9+9F Cincinnati, Ohio, USA",http://tepeservices.com/?utm_campaign=gmb,+1 513-941-4500,"Open · Closes 5 pm

Updated by this business 2 weeks ago",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHSMxgQqrHG14PSIAhTuHztp1KVPW_N5DYO1xseD2NvzVeUOZTwxPTUHFP0Bk2WzXiRjqoVmtTEEhUMK8lDk3mGzCqSEZiauKRkilDX22JWECDSXwnwTCLFEz84pfWHJnWEUjPu1YTn6z8=w408-h272-k-no,true,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:50:13.783Z,,,
"https://www.google.com/maps/place/Human+Nature,+Inc./data=!4m7!3m6!1s0x8841b3cfd851c6e9:0x3997dffc209355be!8m2!3d39.1180782!4d-84.4889262!16s%2Fg%2F1tflsp_z!19sChIJ6cZR2M-zQYgRvlWTIPzflzk","Human Nature, Inc.",5.0,1,Landscape architect,"990 St Paul Dr, Cincinnati, OH 45206, United States","4G96+6C Cincinnati, Ohio, USA",http://www.humannature.cc/,+1 513-281-2211,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3LHWIXOle1mTMG3rWXhtbgXvZH3aQj3j7E-O30yokSm26sXvv4zp9LYgM9GKqyqjtcgyyyBN7d5MAbn7K5_q1Imjt0Mbx8IipcjpTO-OnDGInN1VFscrNuTxI9J3pLPHldhG-=w408-h295-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:50:18.591Z,,,
https://www.google.com/maps/place/Seiler%27s+Landscaping/data=!4m7!3m6!1s0x884052d9e53e1ab9:0xb603900b6bf39cac!8m2!3d39.196575!4d-84.4005899!16s%2Fg%2F1tgz185b!19sChIJuRo-5dlSQIgRrJzzawuQA7Y,Seiler's Landscaping,4.8,136,Landscape architect,"7011 Plainfield Rd, Cincinnati, OH 45236, United States","5HWX+JQ Cincinnati, Ohio, USA",http://www.seilerslandscaping.com/,+1 513-791-2820,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFayuHAoCQOizo_0gdGkNfcVk0XzyG8KUiwojMi-nwA08htL49CFhNWFqbnFpuQMmLYI_vbVB-rd_6s6LSbx8htbX-n8pnwwQF60GvFxAmIu1gNzFHRRrsotdYoTBVnzH2Wzh8=w408-h272-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:50:25.710Z,,,
https://www.google.com/maps/place/PLACE+Workshop/data=!4m7!3m6!1s0x8841b3fd4125ca4b:0xeacbc1a4cef09799!8m2!3d39.102099!4d-84.508577!16s%2Fg%2F11h05vjq4!19sChIJS8olQf2zQYgRmZfwzqTBy-o,PLACE Workshop,5.0,2,Landscape architect,"250 E 5th St 15th Floor PMB #048, Cincinnati, OH 45202, United States","4F2R+RH Cincinnati, Ohio, USA",http://www.placeworkshop.com/,+1 513-512-2366,Open · Closes 5 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEKIZKwkXGMyHQGAfG2KjNroiQVahFtleD2tZ0_aDZXuaMOpzJ0Iu1p21TiGj4zx9JMveHFJiorrbu8jlDklloI-Sp1oNPYPRVZC_An8f8w0lF9-oEOwqLPmVTQkEQ_o05xUiFE=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:50:30.873Z,,,
https://www.google.com/maps/place/YardStars+-+Lawn+Care+%26+Landscaping/data=!4m7!3m6!1s0x8841b5ece6a79aaf:0xe2fc51617190e637!8m2!3d39.284157!4d-83.7803584!16s%2Fg%2F11fsp0mk4q!19sChIJr5qn5uy1QYgRN-aQcWFR_OI,YardStars - Lawn Care & Landscaping,5.0,55,Landscaper,,,http://www.yardstarslawncare.com/,+1 513-277-0087,Open · Closes 6:30 pm,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFYegSJqefF6Awax2fndWKTDa3ge-V0wsyGpKHQ1rsFWA0q0w64mpAAaHgBag4jCjgiocs6Ld5z-5B0TgqyfDA2clgctiG0pIbkd5bRi24_UmaviWE-ZqRY7iwMeQLk251voszxCOdVLgA=w426-h240-k-no,true,7 am–6:30 pm,7 am–6:30 pm,7 am–6:30 pm,8 am–3 pm,Closed,7 am–6:30 pm,7 am–6:30 pm,"https://www.google.com/maps/search/commercial+landscaping+businesses+in+Cincinnati+Cincinatti+OH/@39.1031182,-84.5120196,14z",2026-04-29T18:50:36.125Z,,,
