placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes,info
https://www.google.com/maps/place/Platinum+Pool+Services/data=!4m7!3m6!1s0x2786263bc129b793:0xf2723ef90e50ea70!8m2!3d35.482794!4d-97.4791955!16s%2Fg%2F11t9q53mmx!19sChIJk7cpwTsmhicRcOpQDvk-cvI,Platinum Pool Services,3.0,2,Swimming pool contractor,,,https://www.facebook.com/platinumpoolservicesokc/,+1 405-315-6112,Open ⋅ Closes 5:30 pm,https://lh3.googleusercontent.com/p/AF1QipO07vaP60i12NfFQPZGHBAV75QPZOJK8y8rbtz0=w408-h294-k-no,true,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,9 am–5:30 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:30:32.249Z,,
https://www.google.com/maps/place/Extreme+Pool+Care+LLC/data=!4m7!3m6!1s0x87b213078a637eb5:0x6acf85ec6be1a666!8m2!3d35.3957285!4d-97.482225!16s%2Fg%2F11h3m7w9b_!19sChIJtX5jigcTsocRZqbha-yFz2o,Extreme Pool Care LLC,4.9,28,Swimming pool contractor,,,https://www.extremepoolcarellc.com/,+1 405-833-3247,Open ⋅ Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipNzFSn3_wXnPMKHQ3-HRdL9o8MkEDp0zkWos7z8=w426-h240-k-no,true,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,7 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:30:37.514Z,,
https://www.google.com/maps/place/Cardinal+Pools+Of+Oklahoma/data=!4m7!3m6!1s0x87b20fe9ef07fe5f:0xa38004f266c879ad!8m2!3d35.4786015!4d-97.626692!16s%2Fg%2F1tksj98_!19sChIJX_4H7-kPsocRrXnIZvIEgKM,Cardinal Pools Of Oklahoma,4.7,205,Swimming pool contractor,"6500 NW 10th St, Oklahoma City, OK 73127, United States","F9HF+C8 Central Oklahoma City, Oklahoma City, OK, USA",http://cardinalaquatechpools.com/,+1 405-495-2570,"Open ⋅ Closes 5:30 pm

Updated by this business 1 week ago",https://lh3.googleusercontent.com/p/AF1QipPFVBNXxKQncXDMNPO9wH0nGcoYqZSxgwrkyHyg=w426-h240-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,9 am–3 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:30:42.129Z,,
https://www.google.com/maps/place/Tier+One+Pools+%26+Patios/data=!4m7!3m6!1s0x87b20798ee00c043:0xa50c25caf4830bc9!8m2!3d35.4546187!4d-97.5971693!16s%2Fg%2F11r4jn8_cf!19sChIJQ8AA7pgHsocRyQuD9MolDKU,Tier One Pools & Patios,4.7,72,Swimming pool contractor,"1109 Cornell Pkwy, Oklahoma City, OK 73108, United States","FC33+R4 Central Oklahoma City, Oklahoma City, OK, USA",http://tier1poolsok.com/,+1 405-339-5895,"Open 24 hours

Updated by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipNCftU_1S_Cr0E-ljwESXY-ksQNzuFC_zKD0t-i=w408-h301-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:30:46.917Z,,
https://www.google.com/maps/place/PMH+Pools/data=!4m7!3m6!1s0x87b2050316c31193:0x88464a61a5d2f317!8m2!3d35.5134126!4d-97.654599!16s%2Fg%2F11kmd1fb35!19sChIJkxHDFgMFsocRF_PSpWFKRog,PMH Pools,4.9,326,Swimming pool contractor,"4107 N Council Rd Ste D2, Bethany, OK 73008, United States","G87W+95 Bethany, Oklahoma, USA",http://pmhpools.com/,+1 405-881-7640,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipOamsApDyExJfomQr6n08euRZbz9wHUDjGiNyic=w408-h306-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:30:51.830Z,,
https://www.google.com/maps/place/Dillard+Pools/data=!4m7!3m6!1s0x87b20fe4bd3fdb13:0xbc4bc8a512a5b1ca!8m2!3d36.0507096!4d-97.482225!16s%2Fg%2F11l8m8dsbm!19sChIJE9s_veQPsocRyrGlEqXIS7w,Dillard Pools,5.0,14,Pool cleaning service,,,https://dillardpools.com/,+1 405-358-7398,Open ⋅ Closes 7 pm,https://lh3.googleusercontent.com/p/AF1QipOGLNs9VRdngSykt3JU41F2ecU_fv0XABmG0Imn=w427-h240-k-no,true,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,7 am–7 pm,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:30:56.524Z,,
https://www.google.com/maps/place/Backyard+Oasis+of+Oklahoma/data=!4m7!3m6!1s0x87b20bd101ad889d:0x76a9478a568dc65d!8m2!3d35.5081295!4d-97.5951626!16s%2Fg%2F11gyc3fzjg!19sChIJnYitAdELsocRXcaNVopHqXY,Backyard Oasis of Oklahoma,3.0,4,Swimming pool repair service,,,,+1 405-388-1233,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipN51KxIbZaHP1SRjdQPbhV_TsF9Rc-VnQHFIXur=w408-h544-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:31:01.208Z,,
"https://www.google.com/maps/place/Tranquil+Waters+Pool+Service+OKC/@35.482794,-97.4791955,10z/data=!3m1!4b1!4m6!3m5!1s0x209b141a3b9d4bef:0x285bc737586e7de1!8m2!3d35.482794!4d-97.4791955!16s%2Fg%2F11kbnbwjj1",Tranquil Waters Pool Service OKC,5.0,8,Pool cleaning service,,,https://www.okcpoolcleaning.com/,+1 405-401-2141,Open ⋅ Closes 7:30 pm,,true,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,9 am–4:30 pm,9:30 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:31:07.904Z,,
https://www.google.com/maps/place/ASP+-+America%27s+Swimming+Pool+Company+of+Edmond/data=!4m7!3m6!1s0x87b21e78b3e0b6eb:0xea7e4085e60bd455!8m2!3d35.5609939!4d-97.624378!16s%2Fg%2F1hm417ttx!19sChIJ67bgs3gesocRVdQL5oVAfuo,ASP - America's Swimming Pool Company of Edmond,4.7,210,Swimming pool contractor,,,https://www.asppoolco.com/edmond/?utm_source=GMB&utm_medium=organic&utm_campaign=edmond,+1 405-451-5095,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipP6pF3x8E0kQ6WXoTYjMIoJnTnFAw21vilHuaPW=w408-h305-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:31:12.262Z,,
https://www.google.com/maps/place/Tranquil+Waters+Pool+Service/data=!4m7!3m6!1s0x87b269db86bb3523:0x6c24d99eb6516b9a!8m2!3d35.1380839!4d-97.54519!16s%2Fg%2F11fzl6s9vz!19sChIJIzW7httpsocRmmtRtp7ZJGw,Tranquil Waters Pool Service,4.4,148,Swimming pool contractor,,,https://www.normanpoolservice.com/,+1 405-401-2141,Open ⋅ Closes 7:30 pm,https://lh3.googleusercontent.com/p/AF1QipMa9vjInb5DBwxeJOiy12D-Pis7KJB0xvEZIeuV=w426-h240-k-no,true,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,7:30 am–7:30 pm,8:45 am–4:45 pm,9:30 am–5 pm,"https://www.google.com/maps/search/pool+services+businesses+in+Yukon+OKC+OK/@35.5067215,-97.7625441,14z",2025-10-27T18:31:16.858Z,,
