placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,query,timestamp,wednesday,thursday,friday,saturday,sunday,monday,tuesday,info,isBlackOwned,error,attributes
https://www.google.com/maps/place/Cleveland+Clinic+Hospice/data=!4m7!3m6!1s0x8830e429dc436651:0xddc01431fe1228fd!8m2!3d41.378477!4d-81.63759!16s%2Fg%2F1tcwxc8_!19sChIJUWZD3CnkMIgR_SgS_jEUwN0,Cleveland Clinic Hospice,2.1,17,Hospice,"6801 Brecksville Rd #10, Cleveland, OH 44131, United States","99H6+9X Cleveland, Ohio, USA",https://my.clevelandclinic.org/departments/connected-care/services/hospice,+1 216-444-9819,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cYHZ2qxWnJ86uGPJCfOJ7g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=174.39432&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:26:51.827Z,,,,,,,,,,,
https://www.google.com/maps/place/Buckeye+Hospice+Care/data=!4m7!3m6!1s0x883097033e58ac31:0x9a5a2d32e5b82415!8m2!3d41.3968786!4d-81.9595997!16s%2Fg%2F11lv9df713!19sChIJMaxYPgOXMIgRFSS45TItWpo,Buckeye Hospice Care,4.6,11,Hospice,"30701 Lorain Rd, North Olmsted, OH 44070, United States","92WR+Q5 North Olmsted, Ohio, USA",https://buckeyehospicecare.com/,+1 440-377-6037,Open 24 hours,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m5SBJriyQrzEGPd2Hs9deA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=136.54889&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:26:56.653Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Continuum+Care+Hospice/data=!4m7!3m6!1s0x8830eea703e44765:0xbf700a228647c3bb!8m2!3d41.399806!4d-81.776251!16s%2Fg%2F1tgh867g!19sChIJZUfkA6fuMIgRu8NHhiIKcL8,Continuum Care Hospice,5.0,3,Hospice,"12380 Plaza Dr #102, Cleveland, OH 44130, United States","96XF+WF Cleveland, Ohio, USA",https://continuumcarehospiceohio.com/,+1 216-898-8444,Closed ⋅ Opens 8:30 am Thu,https://lh3.googleusercontent.com/p/AF1QipPGIsO6XqXWsxUGCFaMaGWFDJ8gOc_DH6o_V9co=w865-h240-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:27:01.062Z,8:30 am–5 pm,8:30 am–5 pm,8:30 am–5 pm,Closed,Closed,8:30 am–5 pm,8:30 am–5 pm,,,,
https://www.google.com/maps/place/O%27Neill+Healthcare+Lakewood/data=!4m7!3m6!1s0x8830f218398a3e45:0x13555e7ce5952cf4!8m2!3d41.4856705!4d-81.7884786!16s%2Fg%2F1ts3lvqw!19sChIJRT6KORjyMIgR9CyV5XxeVRM,O'Neill Healthcare Lakewood,3.2,77,Nursing home,"13900 Detroit Ave, Cleveland, OH 44107, United States","F6P6+7J Cleveland, Ohio, USA",https://www.oneillhc.com/,+1 216-228-7650,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipPnRahMZZiE4aVOxCCwtiWtqLfQ1QPkTHEJCY1b=w408-h414-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:27:05.937Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Hospice+Of+The+Western+Reserve/data=!4m7!3m6!1s0x88309331b39c971f:0xf6e21bf0fd630fd6!8m2!3d41.4222454!4d-81.874107!16s%2Fg%2F11hy9nzj2g!19sChIJH5ecszGTMIgR1g9j_fAb4vY,Hospice Of The Western Reserve,5.0,1,Hospice,"22730 Fairview Center Dr, Fairview Park, OH 44126, United States","C4CG+V9 Fairview Park, Ohio, USA",https://www.hospicewr.org/,+1 800-707-8922,Closed ⋅ Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9JQjjoKj04RTMn8OfFiouA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=149.50569&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:27:10.418Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,,,,
https://www.google.com/maps/place/Hospice+of+the+Western+Reserve/data=!4m7!3m6!1s0x883093d2829964e5:0x6be6e1fef24aa897!8m2!3d41.4733016!4d-81.9571867!16s%2Fg%2F1tfdzhhk!19sChIJ5WSZgtKTMIgRl6hK8v7h5ms,Hospice of the Western Reserve,4.5,35,Hospice,"30080 Hospice Way, Westlake, OH 44145, United States","F2FV+84 Westlake, Ohio, USA",https://www.hospicewr.org/,+1 440-414-7349,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XRExg9LCNa_QXkj6W2cF4A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=319.28162&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:27:14.788Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Hospice+of+the+Western+Reserve/data=!4m7!3m6!1s0x8830ff9ae1badc85:0xecc1a93fa83725e6!8m2!3d41.597952!4d-81.5509336!16s%2Fg%2F1hc2tp27z!19sChIJhdy64Zr_MIgR5iU3qD-pwew,Hospice of the Western Reserve,4.3,58,Hospice,"300 E 185th St, Cleveland, OH 44119, United States","HCXX+5J Cleveland, Ohio, USA",https://www.hospicewr.org/,+1 800-707-8922,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nowkSl6XYVkW9x38XOKhpaqYwPjMa72mVLZm94u56EL688t_cyUaitzMVoiSReEdVkgx3qQkFmbIJOmLKyPp2ZUNWS3s8JEJQiFLX0vbgtgE6fS5O9WE_0c5pAScchYQ_YfCrh-Br1clzDO=w408-h307-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:27:19.304Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
https://www.google.com/maps/place/Malachi+House/data=!4m7!3m6!1s0x8830f0691e8a4bcb:0xb488d7ba6873698f!8m2!3d41.4889348!4d-81.7092489!16s%2Fg%2F1tywyldc!19sChIJy0uKHmnwMIgRj2lzaLrXiLQ,Malachi House,4.5,20,Hospice,"2810 Clinton Ave, Cleveland, OH 44113, United States","F7QR+H8 Cleveland, Ohio, USA",https://malachihouse.org/,+1 216-621-8831,Closed ⋅ Opens 8 am Thu,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfza8ej6L75wQLYyZ29-LGSM44nmsVhl7sOUVbGEeQF-tpCLGKKmycjMrLu-buRJT8OhmrXCBdiLbViGtlf8x8t8l4U_A9JG4LyY4UahKfcM2JiTXjhCGkJaZK3GH4ScNpf4M=w408-h544-k-no,false,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:27:23.763Z,8 am–4 pm,8 am–4 pm,8 am–4 pm,Closed,Closed,8 am–4 pm,8 am–4 pm,,,,
"https://www.google.com/maps/place/Hospice+of+the+Western+Reserve+Headquarters/@41.5671653,-81.5532836,17z/data=!3m1!4b1!4m6!3m5!1s0x8830ff9ae1badc85:0xaf0e5d931b5a733a!8m2!3d41.5671653!4d-81.5532836!16s%2Fg%2F1tdlcc7c",Hospice of the Western Reserve Headquarters,3.2,25,Hospice,"17876 St Clair Ave., Cleveland, OH 44110, United States","HC8W+VM Cleveland, Ohio, USA",http://www.hospicewr.org/,+1 800-707-8922,"Closed ⋅ Opens 8 am Thu

Updated by this business 2 weeks ago",,true,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:27:30.297Z,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,,,,
https://www.google.com/maps/place/Rocky+River+Gardens+Rehabilitation+%26+Nursing+Center/data=!4m7!3m6!1s0x8830eda71dc5c64b:0x4fda6f54f52c7f4d!8m2!3d41.4432602!4d-81.8197941!16s%2Fg%2F1td6yrw_!19sChIJS8bFHaftMIgRTX8s9VRv2k8,Rocky River Gardens Rehabilitation & Nursing Center,2.8,41,Nursing home,"4102 Rocky River Dr, Cleveland, OH 44135, United States","C5VJ+83 Cleveland, Ohio, USA",http://rockyghc.com/,+1 216-251-3300,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npL91FFlh4kXtW8C8mbjd9GRt7D5OD0WVPy8nWbyvdby6oNauWyxIoa_dbxWMZKL8O0U5KKc28Tx36msTPVbTgmorLZfzafXGLXlSRPMGBHbKH5I3sMF7mt5ALMluEj3Y-6RIFBVw=w408-h270-k-no,true,"https://www.google.com/maps/search/Hospice+clinics+in+Rocky+River+Cleveland+OH/@41.4768217,-81.8497567,14z",2025-09-17T23:27:34.859Z,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
