placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,error,isBlackOwned
https://www.google.com/maps/place/Free+People/data=!4m7!3m6!1s0x4cb29da1102105f9:0x2e16c8641b7ae3c0!8m2!3d43.658835!4d-70.252839!16s%2Fg%2F11lmjlg628!19sChIJ-QUhEKGdskwRwON6G2TIFi4,Free People,4.7,6,Women's clothing store,"Women's clothing chain with a bohemian-inspired collection of dresses, jackets, shoes & accessories.","123 Middle St, Portland, ME 04101, United States","MP5W+GV Portland, Maine, USA",https://www.freepeople.com/,+1 207-536-5647,"Closed ⋅ Opens 10 am Mon

Updated by this business 7 weeks ago",https://lh3.googleusercontent.com/p/AF1QipOzJyxgKHCKlvx9fyYe4XRbPYeO9ugXskg2beCL=w426-h240-k-no,true,11 am–6 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–7 pm,10 am–8 pm,10 am–8 pm,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:26:36.611Z,,,
https://www.google.com/maps/place/ConvenientMD+Urgent+Care/data=!4m7!3m6!1s0x4cb29c6e733e4c43:0xe928ce68b0e353df!8m2!3d43.664123!4d-70.261062!16s%2Fg%2F11hb6b9drd!19sChIJQ0w-c26cskwR31PjsGjOKOk,ConvenientMD Urgent Care,4.4,971,Urgent care center,,"191 Marginal Way suite a, Portland, ME 04101, United States","MP7Q+JH Portland, Maine, USA",https://convenientmd.com/locations/portland-me-urgent-care/,+1 207-517-3838,Closes soon ⋅ 8 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOd7scYbwha9lHNCppeAv5SvLKCat8AO2S3pQ2r=w408-h272-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:26:42.452Z,,,
https://www.google.com/maps/place/Local+Infusion/data=!4m7!3m6!1s0x4cb29911f3a132c5:0x70a05fe82ed17d40!8m2!3d43.6371817!4d-70.3283153!16s%2Fg%2F11svvcmg6x!19sChIJxTKh8xGZskwRQH3RLuhfoHA,Local Infusion,5.0,84,Medical clinic,,"34 Atlantic Pl suite a 34, South Portland, ME 04106, United States","JMPC+VM South Portland, Maine, USA",https://www.mylocalinfusion.com/,+1 207-888-4694,Closes soon ⋅ 8 pm ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nockQKJvvjX8Lh81_wC50sUQdn2kHGjwQKQHQj3Z1OVxYygnsn5zRkRGi98jtQPSUJRlMHVAAcuR9gWWn-dm73Lq8hipO_ApzH7gZGrNU2OnEZO204KeYhEZFarh3cK_Ja-BNby=w408-h307-k-no,true,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,8 am–8 pm,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:26:48.071Z,,,
https://www.google.com/maps/place/Recovery+Room/data=!4m7!3m6!1s0x4cb29decb4c53931:0xd6aa1202931f7298!8m2!3d43.6558848!4d-70.2537015!16s%2Fg%2F11lrbz0_w5!19sChIJMTnFtOydskwRmHIfkwISqtY,Recovery Room,4.6,20,Wellness center,,"10 Dana St 2nd Floor, Portland, ME 04101, United States","MP4W+9G Portland, Maine, USA",http://recoveryroomivbar.com/,+1 207-939-4248,Closed ⋅ Opens 1 pm Mon,https://lh3.googleusercontent.com/p/AF1QipPKBkzkGyIOtIxTcNc5Ytw6FtWYsl8ylv1cVngC=w408-h316-k-no,true,Closed,1–6 pm,1–6 pm,9 am–1 pm,Closed,11 am–3 pm,10 am–1 pm,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:26:53.188Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Novella+Infusion+Portland/data=!4m7!3m6!1s0x4cb29b56dc6f3bd7:0xdef752fb9129aa4e!8m2!3d43.7037714!4d-70.2898845!16s%2Fg%2F11s93q8jzx!19sChIJ1ztv3FabskwRTqopkftS994,Novella Infusion Portland,5.0,4,Medical clinic,,"94 Auburn St # 203, Portland, ME 04103, United States","PP36+G2 Portland, Maine, USA",http://www.novellainfusion.com/,+1 207-747-1181,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOxvu__QbnALq8O7T9hFp4xfLUHE2wy1mo8qs7T=w408-h272-k-no,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:26:58.226Z,,,
https://www.google.com/maps/place/Northern+Light+Mercy+Cancer+Care/data=!4m7!3m6!1s0x4cb29c07130ce3bb:0x5f1361ac0707376f!8m2!3d43.6490406!4d-70.282586!16s%2Fg%2F1tzvw4ly!19sChIJu-MMEwecskwRbzcHB6xhE18,Northern Light Mercy Cancer Care,3.2,5,Hospital department,,"195 Fore River Pkwy #360, Portland, ME 04102, United States","JPX8+JX Portland, Maine, USA",https://northernlighthealth.org/Our-System/Mercy-Hospital/Locations/Cancer-Care,+1 207-553-6868,"Closed ⋅ Opens 8 am Mon

Confirmed by this business 9 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KxP74ogntFWQh23E5ChE2Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.66293&pitch=0&thumbfov=100,true,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:27:03.070Z,,,
https://www.google.com/maps/place/Northern+Light+Mercy+Hospital/data=!4m7!3m6!1s0x4cb29c014b0875ad:0x85eab2403ee6272b!8m2!3d43.648481!4d-70.2820749!16s%2Fg%2F1td37vgw!19sChIJrXUISwGcskwRKyfmPkCy6oU,Northern Light Mercy Hospital,3.5,125,Medical Center,,"175 Fore River Pkwy, Portland, ME 04102, United States","JPX9+95 Portland, Maine, USA",https://northernlighthealth.org/Our-System/Mercy-Hospital/Locations/Mercy-Hospital,+1 207-879-3000,"Open 24 hours

Confirmed by this business 9 weeks ago",https://lh3.googleusercontent.com/p/AF1QipO9xmLM-1giwOJKlOYND-8655aEw-r-ntw0wy0U=w408-h291-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:27:08.143Z,,,
https://www.google.com/maps/place/MaineHealth+Cancer+Care+and+IV+Therapy+-+South+Portland/data=!4m7!3m6!1s0x4cb29d9c560e009d:0x159f9a7640e73082!8m2!3d43.6388435!4d-70.323847!16s%2Fg%2F11h7tf5xl6!19sChIJnQAOVpydskwRgjDnQHaanxU,MaineHealth Cancer Care and IV Therapy - South Portland,4.4,7,Medical group,,"265 Western Ave Suite 2, South Portland, ME 04106, United States","JMQG+GF South Portland, Maine, USA",https://www.mainehealth.org/Maine-Medical-Center/services/Medical-Oncology,+1 207-661-0200,Closed ⋅ Opens 8 am Mon,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4-MR44lciCFxbxSmrx-PZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=168.81224&pitch=0&thumbfov=100,true,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:27:13.131Z,,,
https://www.google.com/maps/place/Med+Matrix+-+Functional+Medicine+and+MedSpa/data=!4m7!3m6!1s0x4cb299acba8487d5:0xa54f59288a0aa67e!8m2!3d43.6397024!4d-70.3328761!16s%2Fg%2F11kpcxmxbp!19sChIJ1YeEuqyZskwRfqYKiihZT6U,Med Matrix - Functional Medicine and MedSpa,4.7,96,Medical clinic,,"198 Maine Mall Rd, South Portland, ME 04106, United States","JMQ8+VR South Portland, Maine, USA",http://medmatrixusa.com/,+1 207-544-4643,Closed ⋅ Opens 8 am Mon,https://lh3.googleusercontent.com/p/AF1QipOEy8M5IBY4TajbRU8T1vmmvGH8jQuaHS_dgsxH=w408-h272-k-no,true,Closed,8 am–4 pm,9 am–5 pm,8 am–4 pm,9 am–5 pm,8 am–3 pm,Closed,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:27:17.909Z,LGBTQ+ friendly,,
https://www.google.com/maps/place/Restore+Hyper+Wellness/data=!4m7!3m6!1s0x4cb29944bfbc6fa3:0x9312b4ed3c88fa9f!8m2!3d43.6334942!4d-70.3221896!16s%2Fg%2F11tn9pb6w4!19sChIJo2-8v0SZskwRn_qIPO20EpM,Restore Hyper Wellness,4.9,139,Medical spa,,"100 Gorham Rd, South Portland, ME 04106, United States","JMMH+94 South Portland, Maine, USA",http://www.restore.com/locations/me-south-portland-me001?utm_source=gmb&utm_medium=Yext&y_source=1_Njg4NzM3MDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 207-250-4444,"Closed ⋅ Opens 10 am Mon

Confirmed by this business 11 weeks ago",https://lh3.googleusercontent.com/p/AF1QipMKBfBpGIKHvrbXlI1YRQA0NozgtF7nuars1UM=w408-h306-k-no,true,9 am–4 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,10 am–6 pm,9 am–4 pm,9 am–4 pm,"https://www.google.com/maps/search/Infusion+centers+in+Portland+ME/@43.670822,-70.2843825,14z",2025-09-28T23:27:22.855Z,,,
