placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,info,isBlackOwned,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,attributes
https://www.google.com/maps/place/Mortal+Healing+-+Holistic+Wellness/data=!4m7!3m6!1s0x80c8ce7482ba0057:0xf85b09ff481c4d5e!8m2!3d36.0122008!4d-115.0641569!16s%2Fg%2F11bc740vbw!19sChIJVwC6gnTOyIARXk0cSP8JW_g,Mortal Healing - Holistic Wellness,5.0,19,Medical office,"1740 W Horizon Ridge Pkwy, Henderson, NV 89012, United States","2W6P+V8 Henderson, Nevada, USA",https://mortalhealing.com/treatments/ketamine-therapy-henderson-nv/?utm_source=google&utm_medium=organic&utm_campaign=gbp_website_link,+1 702-778-6100,Open · Closes 5 pm,LGBTQ+ friendly,true,https://lh3.googleusercontent.com/p/AF1QipO5dr-hUiu0ii4s1i-AlTjeiRErJweJNvK_Q7uM=w408-h716-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:44:57.714Z,
https://www.google.com/maps/place/Superior+Health+Solutions+Functional+Medicine+Center/data=!4m7!3m6!1s0x80c8d18f85a52e83:0x91f1d454726e0bf6!8m2!3d36.006546!4d-115.091946!16s%2Fg%2F1tcvc532!19sChIJgy6lhY_RyIAR9gtuclTU8ZE,Superior Health Solutions Functional Medicine Center,3.9,28,Holistic medicine practitioner,"2410 W Horizon Ridge Pkwy ste 120, Henderson, NV 89052, United States","2W45+J6 Henderson, Nevada, USA",http://www.shslasvegas.com/,+1 702-643-9900,Open · Closes 12 pm,,,https://lh3.googleusercontent.com/p/AF1QipMLdselqesu_ZoIW5ecEMBuL46jUzlS8Ql4szNl=w408-h544-k-no,true,8 am–12 pm,2–6 pm,"8 am–12 pm, 2–6 pm","8 am–12 pm, 2–6 pm",8 am–12 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:04.456Z,
https://www.google.com/maps/place/Restore+to+Thrive/data=!4m7!3m6!1s0x80c8d118817360cd:0xdea93e41fbaaa9d4!8m2!3d36.0553091!4d-115.0495752!16s%2Fg%2F11k61y6m40!19sChIJzWBzgRjRyIAR1Kmq-0E-qd4,Restore to Thrive,5.0,5,Medical clinic,"1481 W Warm Springs Rd #136, Henderson, NV 89014, United States","3X42+45 Henderson, Nevada, USA",http://www.danellekessler.com/,+1 702-570-0858,Open 24 hours,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lMAQ-w5UPdj8_7JKRrZ1xg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=265.0972&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:09.813Z,
https://www.google.com/maps/place/Native+Sun+Nutrition+%26+Functional+Medicine/data=!4m7!3m6!1s0x80c8ce044eddd47d:0xca9a244ca0f108b3!8m2!3d35.9998826!4d-115.1013745!16s%2Fg%2F11bzx1kxbx!19sChIJfdTdTgTOyIARswjxoEwkmso,Native Sun Nutrition & Functional Medicine,5.0,14,Alternative medicine practitioner,"2637 W Horizon Ridge Pkwy STE 110, Henderson, NV 89052, United States","XVXX+XF Henderson, Nevada, USA",http://www.nativesunnutrition.com/,+1 877-817-2120,Open · Closes 6 pm,,,https://lh3.googleusercontent.com/p/AF1QipN8EpiBnLjn0PK4TIeEii7lai_K0wa_bVWtGXX3=w427-h240-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:15.103Z,
https://www.google.com/maps/place/RedRiver+Health+and+Wellness+Center+of+NV/data=!4m7!3m6!1s0x80c8ce2f5f13be4f:0xd14bc0a84a4477cb!8m2!3d36.0270812!4d-115.1012093!16s%2Fg%2F11f0kvyt4g!19sChIJT74TXy_OyIARy3dESqjAS9E,RedRiver Health and Wellness Center of NV,4.9,81,Alternative medicine practitioner,"8935 S Pecos Rd STE 21B, Henderson, NV 89074, United States","2VGX+RG Henderson, Nevada, USA",http://www.redriverhealthandwellness.com/,+1 702-367-3600,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/p/AF1QipOTREQ7xmPeTCEo1eRB12CJwCxnIJgkQ6ijdk2m=w408-h306-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:20.130Z,
https://www.google.com/maps/place/Southwest+Functional+Medicine/data=!4m7!3m6!1s0x80c8d1dd064f7815:0x6d1162217cf8f193!8m2!3d36.0557855!4d-115.1031566!16s%2Fg%2F11by_psc9r!19sChIJFXhPBt3RyIARk_H4fCFiEW0,Southwest Functional Medicine,5.0,9,Medical clinic,"3291 E Warm Springs Rd #300, Las Vegas, NV 89120, United States","3V4W+8P Las Vegas, Nevada, USA",http://www.southwestfunctionalmedicine.com/,+1 702-616-4001,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/p/AF1QipPiuK8Bgkoy2_KaIrg0aYbPRmQEWxOw0bWZlIsB=w429-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:25.334Z,
https://www.google.com/maps/place/Valhalla+Wellness+and+Medical+Centers/data=!4m7!3m6!1s0x80c8d00f7ee2f7d3:0xbadb6cd5b3eeb686!8m2!3d36.0065677!4d-115.0927854!16s%2Fg%2F11dxkmjttp!19sChIJ0_fifg_QyIARhrbus9Vs27o,Valhalla Wellness and Medical Centers,4.3,22,Wellness center,"2440 W Horizon Ridge Pkwy #100, Henderson, NV 89052, United States","2W44+JV Henderson, Nevada, USA",https://www.valhallawellness.com/,+1 702-658-0204,Open · Closes 6 pm,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iKy-YSaPSBbOpZeKnsdjTQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=334.76852&pitch=0&thumbfov=100,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:30.241Z,
https://www.google.com/maps/place/Naturopathic+Nevada/data=!4m7!3m6!1s0x80c8d1e710e06407:0xa678c8bc696113e9!8m2!3d36.0696367!4d-115.0840838!16s%2Fg%2F11q3c0kpjh!19sChIJB2TgEOfRyIAR6RNhabzIeKY,Naturopathic Nevada,4.9,59,Naturopathic practitioner,"2625 N Green Valley Pkwy UNIT 125, Henderson, NV 89014, United States","3W98+V9 Henderson, Nevada, USA",https://naturopathicnv.com/,+1 702-703-7887,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/p/AF1QipPRJFfgHKyNIcYhozNkfQPYInqvQhE_WaQQZ0lT=w426-h240-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:35.363Z,
https://www.google.com/maps/place/Limitless+Longevity+and+Functional+Medicine/data=!4m7!3m6!1s0x20a2dbe3b3416113:0xe18eb10093635d98!8m2!3d36.6985767!4d-95.73576!16s%2Fg%2F11mrydgbmc!19sChIJE2FBs-PboiARmF1jkwCxjuE,Limitless Longevity and Functional Medicine,5.0,3,Medical clinic,,,https://dramandajordan.com/,+1 702-290-2028,Open · Closes 6 pm,,,https://lh3.googleusercontent.com/p/AF1QipNVd5U1jbX5DIrSfwy2gn56DOInyWDfj-pOYH3X=w408-h326-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–6 pm,10 am–5 pm,11 am–3 pm,11 am–3 pm,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:40.219Z,
https://www.google.com/maps/place/Beyond+Functional+Medicine/data=!4m7!3m6!1s0x80c8d18f87155555:0x39c6e1c2d15078d6!8m2!3d36.0065356!4d-115.0919601!16s%2Fg%2F11fx7vty6s!19sChIJVVUVh4_RyIAR1nhQ0cLhxjk,Beyond Functional Medicine,5.0,2,Health consultant,"2410 W Horizon Ridge Pkwy ste 120, Henderson, NV 89012, United States","2W45+J6 Henderson, Nevada, USA",http://www.beyondfunctionalmedicine.com/contact/,+1 702-643-9904,,,,https://lh3.googleusercontent.com/p/AF1QipND-bRgJ5aloQBzDMgWI5Zcq7mayNzH6iGz0V34=w408-h481-k-no,true,,,,,,,,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:42.990Z,
https://www.google.com/maps/place/Vitality+Restored+Chiropractic+%26+Wellness+Center+%7C+Dr.+Brad+Partridge/data=!4m7!3m6!1s0x80c8d136b89a0d8f:0x1f20fcb1b5d041cc!8m2!3d36.012475!4d-115.0643955!16s%2Fg%2F11j0r1czs1!19sChIJjw2auDbRyIARzEHQtbH8IB8,Vitality Restored Chiropractic & Wellness Center | Dr. Brad Partridge,5.0,106,Chiropractor,"1742 W Horizon Ridge Pkwy Suite 110, Henderson, NV 89012, United States","2W6P+X6 Henderson, Nevada, USA",http://www.vitalityrestoredclinic.com/,+1 725-735-6910,Open · Closes 1 pm · Reopens 3 pm,,,https://lh3.googleusercontent.com/p/AF1QipPHT-hHBWdhvWtgPNyq3qCU2gbdj-wlK54jm676=w408-h272-k-no,true,"9 am–1 pm, 3–6 pm","9 am–1 pm, 3–5 pm",Closed,"9 am–1 pm, 3–6 pm",9 am–1 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:48.119Z,
https://www.google.com/maps/place/ReCELLebrate/data=!4m7!3m6!1s0x80c8d11ea64a8891:0xff8f43f57e862303!8m2!3d36.0141447!4d-115.0584854!16s%2Fg%2F11llccds7r!19sChIJkYhKph7RyIARAyOGfvVDj_8,ReCELLebrate,5.0,63,Local medical services,"1661 W Horizon Ridge Pkwy STE 280, Henderson, NV 89012, United States","2W7R+MJ Henderson, Nevada, USA",https://recellebrate.com/?utm_campaign=GoogleMyBusiness,+1 844-473-2355,Open · Closes 5 pm,,,https://lh3.googleusercontent.com/p/AF1QipO-6PKPBBIP88E2h6Qh-cwmiiNaIPrbqtNYRl6Y=w631-h240-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:53.216Z,
https://www.google.com/maps/place/Mother+Earth+Holistic+Arts+Studio/data=!4m7!3m6!1s0x80c8d7f24718661f:0x60aaab8baffaea49!8m2!3d36.0356367!4d-114.9911281!16s%2Fg%2F11fr10hpck!19sChIJH2YYR_LXyIARSer6r4urqmA,Mother Earth Holistic Arts Studio,5.0,53,Wellness program,"153 W Lake Mead Pkwy, Henderson, NV 89015, United States","22P5+7G Henderson, Nevada, USA",,+1 725-665-9337,Open · Closes 7 pm,Identifies as women-owned,,https://lh3.googleusercontent.com/p/AF1QipMeApHYDhAASsNwlS3124p9wFTnBSltPP9-4CTp=w408-h270-k-no,true,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,9 am–7 pm,11 am–3 pm,10 am–2 pm,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:45:58.083Z,
https://www.google.com/maps/place/Las+Vegas+Holistic+Center/data=!4m7!3m6!1s0x80c8daab6f1aaaab:0x27653d92728e24a6!8m2!3d36.0846221!4d-115.0922381!16s%2Fg%2F11hzyt3wnv!19sChIJq6oab6vayIARpiSOcpI9ZSc,Las Vegas Holistic Center,5.0,102,Holistic medicine practitioner,"5755 S Sandhill Rd SUITE C, Las Vegas, NV 89120, United States","3WM5+R4 Las Vegas, Nevada, USA",https://lasvegasholisticcenter.com/,+1 702-352-3021,,LGBTQ+ friendly,,https://lh3.googleusercontent.com/p/AF1QipOrDoYKbsZAPD-eoklUOkfJ5e4wPBuul5DmbS5p=w408-h272-k-no,true,9 am–5 pm,9 am–5 pm,9 am–12 pm,9 am–5 pm,9 am–5 pm,8 am–2 pm,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:46:03.170Z,
https://www.google.com/maps/place/Holistic+Skin+Specialist:+Sururat+Coulibaly/data=!4m7!3m6!1s0x28f8fe55476e8dd3:0xff3b4711cb47ec13!8m2!3d36.0428558!4d-115.0481746!16s%2Fg%2F11v_06x_50!19sChIJ041uR1X--CgRE-xHyxFHO_8,Holistic Skin Specialist: Sururat Coulibaly,5.0,19,Holistic medicine practitioner,"213 N Stephanie St Suite G 131, Henderson, NV 89074, United States","2XV2+4P Henderson, Nevada, USA",https://www.theholisticskincoach.com/,+1 310-628-9483,"Open · Closes 5 pm

Updated by this business 1 week ago",Identifies as women-owned,true,https://lh3.googleusercontent.com/p/AF1QipOHCLALiqwX1fylgYOdTfXvu30sru4olBVaMs8m=w408-h612-k-no,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,Closed,"https://www.google.com/maps/search/functional+medicine+in+Henderson+Las+Vegas+NV/@36.0395247,-114.9817213,14z",2026-02-23T18:46:08.273Z,
