placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,currentStatus,info,imgUrl,isClaimed,monday,tuesday,wednesday,thursday,friday,saturday,sunday,query,timestamp,error
https://www.google.com/maps/place/York+Tyre+%26+Vehicle+Services/data=!4m7!3m6!1s0x4879317167c0ed99:0x3ddbc6d95553b8d4!8m2!3d53.9768711!4d-1.0967592!16s%2Fg%2F11hblpwh9s!19sChIJme3AZ3ExeUgR1LhTVdnG2z0,York Tyre & Vehicle Services,5.0,271,Tire shop,· Kerbside pickup · Delivery,"Marten Cl, York YO30 6QD, United Kingdom","XWG3+P7 York, UK",https://www.yorkmobiletyres.co.uk/,+44 7840 119545,,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerRpDEkgpFy23aVombFJb7CHzkmQcHoporAewLlUy09n8GXsQjDdyHLA7HbDPFNjvwweGYTxDFxDNmkY-2cXw0-sP3JooaugHFUHWCjqpQbfKsTzzYZr5Wl2MllkEHQ_v0ZPD64=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:00.278Z,
https://www.google.com/maps/place/York+pitstop+Tyre+and+service/data=!4m7!3m6!1s0x487931b9015ec76b:0xfebb968594387825!8m2!3d53.9676273!4d-1.0811591!16s%2Fg%2F11yld7qdgn!19sChIJa8deAbkxeUgRJXg4lIWWu_4,York pitstop Tyre and service,4.9,33,Tire shop,,"Clarence St, York YO31 7EN, United Kingdom","XW99+3G York, UK",,+44 7535 009088,"Closes soon · 6 pm · Opens 9 am Tue

Updated by this business 11 weeks ago",,https://lh3.googleusercontent.com/gps-cs-s/AHVAwer0Mp3erANVIsA4Mo2zDyCGZMxxMBmDiavqgnfIpwbxuoRdbm47CvScFNbWWMTXV3IKtQNk4CbQGOA__ZdZR2gjfInS7nQfcwBaDtxcxuyX77U4WIyOMsGEQB0kWQNsr0jN8knTcnB-USs=w408-h306-k-no,true,9 am–6 pm,9 am–6 pm,9 am–6 pm,9 am–5 pm,9 am–6 pm,9 am–6 pm,10 am–5 pm,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:05.424Z,
https://www.google.com/maps/place/ATS+Euromaster+York/data=!4m7!3m6!1s0x487931b6ae9d4ebb:0xfbef26a4bd7e5d10!8m2!3d53.95533!4d-1.06724!16s%2Fg%2F1tggn4s8!19sChIJu06drrYxeUgREF1-vaQm7_s,ATS Euromaster York,4.3,233,Tire shop,· In-store pick-up,"2 James St, York YO10 3WW, United Kingdom","XW4M+44 York, UK",https://www.atseuromaster.co.uk/centres/north-yorkshire/york/york?utm_source=google&utm_medium=organic&utm_campaign=GBP&utm_term=York,+44 1904 412372,Closes soon · 5:30 pm · Opens 8:30 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0lmn8AS-nvrWWMCo39_nJbVR42b5gHjADXjrTXNJje86DCOVVxmowcM0CPUrmEn6zSb9PDqBxcB7nMfXmI0WC4IpreQhHIv50fRKkNfV044OGTT74kZRN_MjAfiq0yknQ0f0R=w408-h306-k-no,true,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8:30 am–5:30 pm,8 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:09.855Z,
https://www.google.com/maps/place/Sterling+Tyres+24hr+Mobile+Tyre+Service/data=!4m7!3m6!1s0xe0c607859394983:0x16eb0b1280df1f94!8m2!3d53.9717318!4d-1.0772909!16s%2Fg%2F11yl0bpxdt!19sChIJg0k5WXhgDA4RlB_fgBIL6xY,Sterling Tyres 24hr Mobile Tyre Service,5.0,12,Tire service,,"Half, White Cross Rd, York YO31 8JR, United Kingdom","XWCF+M3 York, UK",https://sterlingtyres.co.uk/mobile-tyre-fitting-york/,+44 1904 530569,Open 24 hours,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepgWG020DD1v1MQZEXQgUxYwlFcCAJXHbmcsNwLvlzpn8wEWmyH2rCjE1LQ-UH_tZ9ZEf1dyq1N4ZG0kkoWQ1nxA3SRUuvR2xjTSHW4JDj5Y2hS8DJTDPmk3xJLUsiPOLS8Urx0_Q-_I6MB=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:14.216Z,
https://www.google.com/maps/place/Kwik+Fit+-+York+-+The+Mount/data=!4m7!3m6!1s0x48793103bf292799:0xb7b7037e8478d241!8m2!3d53.9532585!4d-1.0952657!16s%2Fg%2F1tgp9sxk!19sChIJmScpvwMxeUgRQdJ4hH4Dt7c,Kwik Fit - York - The Mount,4.6,383,Tire shop,,"112 The Mount, York YO24 1AS, United Kingdom","XW33+8V York, UK",https://www.kwik-fit.com/locate-a-centre/york-the-mount?utm_medium=Google-My-Business&utm_source=Google-My-Business&utm_campaign=york-the-mount&utm_content=website-button,+44 1904 634229,Closes soon · 6 pm · Opens 8:30 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweply6MLC_nd0dT0OxxLADx2eoA4ghZmJtYq0525cAIlbOWcOcfmnL6k8FyLCrzgdqJJ1krB4P_3K-x4Pn9w4t15I_s8RSkdwWLgSFLd2FFaumaTBdJsn4jpTfEjTtr9NI_Vr-Q4=w431-h240-k-no,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–5 pm,10 am–4 pm,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:18.674Z,
https://www.google.com/maps/place/Kwik+Fit+Plus+-+York+-+Foss+Islands+Road/data=!4m7!3m6!1s0x487931b0f82a1869:0x72afe1d9e04fd995!8m2!3d53.958079!4d-1.0699965!16s%2Fg%2F1v3kml7j!19sChIJaRgq-LAxeUgRldlP4Nnhr3I,Kwik Fit Plus - York - Foss Islands Road,4.5,836,Tire shop,,"Unit 3 Foss Islands Rd, York YO31 7UL, United Kingdom","XW5J+62 York, UK",https://www.kwik-fit.com/locate-a-centre/york-foss-islands-road-plus?utm_medium=Google-My-Business&utm_source=Google-My-Business&utm_campaign=york-foss-islands-road-plus&utm_content=website-button,+44 1904 627238,Closes soon · 6 pm · Opens 8:30 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqByFU-9h688GEczMmWIWDc70_NNnsjT1ege21LaohgQWIQRlElXpIibPk2hUq5aBOXT-Ghevlt8udRipOe1fCKR01ORj5RwvO9QIQutOy7lu_IvEbTPt7rRd2v18EZwEnu40IP2g=w408-h306-k-no,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–5 pm,10 am–4 pm,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:23.088Z,
https://www.google.com/maps/place/The+Garage+Tyre+%26+Autocare/data=!4m7!3m6!1s0x487931bbc952d635:0x513f05225dc4cdfd!8m2!3d53.9633387!4d-1.0693801!16s%2Fg%2F11ckgl7kjv!19sChIJNdZSybsxeUgR_c3EXSIFP1E,The Garage Tyre & Autocare,4.9,560,Auto repair shop,,"112 Layerthorpe, Heworth, York YO31 7XU, United Kingdom","XW7J+86 York, UK",http://www.thegaragetyreandautocare.co.uk/,+44 1904 624555,Closed · Opens 8 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweo0w6hYoV_c52o-w1eLUR3Z_5Ppfn3Ull6pVcLwI3fPgnpdCCEPB8Qk8vJzFD3OBGOFGk8W8BDpoXGNiGuyuSyHCFldb1I1c5dIJrd8tq0ttUY8uoXcnDpDCbY23d-eyffYGRI=w408-h272-k-no,true,8 am–5:15 pm,8 am–5:15 pm,8 am–5:15 pm,8 am–5:15 pm,8 am–5:15 pm,8 am–1:45 pm,Closed,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:27.568Z,
https://www.google.com/maps/place/Garage+Services+%28York%29+Ltd/data=!4m7!3m6!1s0x487931b6efce775b:0xe3b09e1520e35613!8m2!3d53.9572378!4d-1.0642234!16s%2Fg%2F1tcy3tw8!19sChIJW3fO77YxeUgRE1bjIBWesOM,Garage Services (York) Ltd,4.6,52,Auto repair shop,,"5, The Raylor Centre, James St, York YO10 3DW, United Kingdom","XW4P+V8 York, UK",https://garageservicesyork.co.uk/,+44 1904 431101,Closes soon · 6 pm · Opens 8 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AHVAweolvk5seRpe76YkM3lVLVezWr6A8k-OKL7Uw5eF6_CNpnn1N-IQ2L741Gu8biYFCOoQckiJHlb8wh1EDCZ2PdMY2XBKu40wnTrJUgVqFMgZ06-gnklHBenHHLjMqW5bYkESCjFSdALfSzY=w408-h306-k-no,true,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,8 am–6 pm,9 am–12 pm,Closed,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:32.080Z,
https://www.google.com/maps/place/HiQ+Tyres+%26+Autocare+York/data=!4m7!3m6!1s0x487931ba55470db5:0xd45b7fbcad86f3f2!8m2!3d53.9605494!4d-1.0273483!16s%2Fg%2F1vtzgqs8!19sChIJtQ1HVboxeUgR8vOGrbx_W9Q,HiQ Tyres & Autocare York,4.6,178,Tire shop,· In-store shopping · In-store pick-up,"Unit 1 Outgang Ln, York YO19 5UP, United Kingdom","XX6F+63 York, UK",https://www.hiqonline.co.uk/hiq-centres/york?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=googlemybusiness,+44 1904 610101,Closes soon · 5:30 pm · Opens 8 am Tue,LGBTQ+ friendly,https://lh3.googleusercontent.com/gps-cs-s/AHVAweodiDwzuJvxeyW5GvQjN-i9DmyxsLb3_UF72AZMPnexWAAw52zN7mEBNups4bb5GHe2T3ijdL0vRKBHb_78h6z3IQtzxWBQMfFBut8_WzqdWyx7E8YbTMIa1L5vz59BMMeD7uBSCA=w408-h306-k-no,true,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,8 am–5:30 pm,Closed,Closed,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:36.438Z,
https://www.google.com/maps/place/National+Tyres+and+Autocare+-+a+Halfords+company/data=!4m7!3m6!1s0x487931ba5426da59:0x16684afa9e689dc1!8m2!3d53.9626427!4d-1.0710706!16s%2Fg%2F1tjf9sk2!19sChIJWdomVLoxeUgRwZ1onvpKaBY,National Tyres and Autocare - a Halfords company,4.0,220,Tire shop,· In-store shopping · In-store pick-up,"64 Layerthorpe, York YO31 7YW, United Kingdom","XW7H+3H York, UK",https://www.national.co.uk/branch/82/york/?utm_source=google&utm_medium=organic&utm_campaign=mybusiness,+44 1904 622179,Closes soon · 6 pm · Opens 8:30 am Tue,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepq2WA5cSkHH3MLWuOu-CjnTQ50TQ6GnIt57p-QZYRfbRgIKbEHu1a7HLCtHI1diqlIc8__QfVI9KDNv_mBwS5fNVsFcbCg1VsymED6LT5cVzSNxAIdOjlj2mq07wljt-5Qv7TE=w426-h240-k-no,true,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–6 pm,8:30 am–5 pm,Closed,"https://www.google.com/maps/search/tire+service+in+York+York+UK/@53.9614205,-1.0739108,14z",2026-03-23T17:29:40.843Z,
