placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,friday,saturday,sunday,monday,tuesday,wednesday,thursday,query,timestamp,info,error,attributes,isBlackOwned
https://www.google.com/maps/place/Precision+Garage+Door+Service+of+Bakersfield/data=!4m7!3m6!1s0x80ea4272e0133b1f:0x8b96c0ce0986d0c3!8m2!3d35.4345884!4d-119.0678064!16s%2Fg%2F11c1wtnrkb!19sChIJHzsT4HJC6oARw9CGCc7Alos,Precision Garage Door Service of Bakersfield,4.9,1412,Garage door supplier,"2130 Saturn Ct, Bakersfield, CA 93308, United States","CWMJ+RV Bakersfield, California, USA",https://precisiondoorbakersfield.com/?utm_source=gmb&utm_medium=location_bakersfield&utm_campaign=website,+1 661-249-9560,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipN94pfBkpcJ7ZIJIk3BmYUjhBG8ygTSXGSmajjb=w408-h271-k-no,true,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,5 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:44:30.244Z,,,,
https://www.google.com/maps/place/Joe%E2%80%99s+Garage+doors/data=!4m7!3m6!1s0x80ea6a7cb2c0b249:0xd2b69d47ac1141cc!8m2!3d35.331803!4d-119.034424!16s%2Fg%2F11hbp5hs8h!19sChIJSbLAsnxq6oARzEERrEedttI,Joe’s Garage doors,5.0,107,Garage door supplier,"2507 Blackstone Ct, Bakersfield, CA 93304, United States","8XJ8+P6 Bakersfield, California, USA",http://joegaragedoors.com/,+1 661-549-1922,Open ⋅ Closes 12 am,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxoY0kdBABsffgkFHnPpNwL3Qx_aQJ5rPwOkv-TevtyLMdH6RylERipgsr303wFItR7Yx7yPk2c3BWnpj7QeuWkxgkZW3byQz5DeV9F65rLBZlhrYy4DFmxlXLISxu9J8ZUdOab=w408-h306-k-no,true,Open 24 hours,7 am–12 pm,Closed,7 am–5 pm,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:44:35.912Z,,,,
https://www.google.com/maps/place/Anytime+Garage+Door+Service/data=!4m7!3m6!1s0x80ea6ac5d5790645:0x1ed961fa44b8d8f!8m2!3d35.3944296!4d-119.0965941!16s%2Fg%2F1tggb8nd!19sChIJRQZ51cVq6oARj41LpB-W7QE,Anytime Garage Door Service,4.2,33,Garage door supplier,,,http://anytimedoorrepair.com/,+1 661-699-0565,Open ⋅ Closes 9 pm,https://lh3.googleusercontent.com/p/AF1QipNqLEeP614SDtwKNIG_jQeaqhgf1r8Iu43LSvL6=w426-h240-k-no,true,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,7 am–9 pm,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:44:41.342Z,,,,
"https://www.google.com/maps/place/King+Door+Co.,+Inc./data=!4m7!3m6!1s0x80ea40531b95e461:0xffad7b9b91013b9c!8m2!3d35.3140065!4d-119.0841097!16s%2Fg%2F11clyfsk0j!19sChIJYeSVG1NA6oARnDsBkZt7rf8","King Door Co., Inc.",4.9,382,Garage door supplier,"7450 District Blvd, Bakersfield, CA 93313, United States","8W78+J9 Bakersfield, California, USA",https://kingdoor.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+1 661-399-2312,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipOrVYggOTY7GzdyQIZHZp-fOgwz2jylcwa6vffk=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:44:46.202Z,,,,
https://www.google.com/maps/place/Local+Garage+Door+Service+Inc/data=!4m7!3m6!1s0xaa341a9ec6a385f3:0xb70f5865382498cb!8m2!3d35.440986!4d-118.803595!16s%2Fg%2F11wp_zbyj1!19sChIJ84Wjxp4aNKoRy5gkOGVYD7c,Local Garage Door Service Inc,4.7,72,Garage door supplier,,,https://www.localgaragedoorsexpert.com/,+1 661-398-6989,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipMPn_ebOiAroKMjN7uuzWOYZrqxM5YKWElEj6tA=w408-h544-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:44:51.159Z,,,,
https://www.google.com/maps/place/A%26A+GarageDoor/data=!4m7!3m6!1s0x80ea6d3279e4d4db:0x9794fa8e8a528907!8m2!3d35.3889381!4d-118.8804787!16s%2Fg%2F11j_r5nrrx!19sChIJ29TkeTJt6oARB4lSio76lJc,A&A GarageDoor,5.0,123,Garage door supplier,"11105 Philip Pl, Bakersfield, CA 93306, United States","94Q9+HR Bakersfield, California, USA",,+1 661-380-6299,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipMaxOmIjQzwXYq2W-y98sUbA2XL-0cviRo9o3YK=w426-h240-k-no,true,7 am–5 pm,7 am–5 pm,Closed,7 am–5 pm,7 am–5 pm,7 am–5 pm,7 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:44:56.392Z,,,,
https://www.google.com/maps/place/J.O.S+Overhead+Door/data=!4m7!3m6!1s0x80ea6bedcbdbbbc7:0xd1b490ca0b52c9f7!8m2!3d35.3772619!4d-118.9948439!16s%2Fg%2F11kzx_cm_3!19sChIJx7vby-1r6oAR98lSC8qQtNE,J.O.S Overhead Door,5.0,6,Garage door supplier,"531 Sumner St Unit B, Bakersfield, CA 93305, United States","92G4+W3 Bakersfield, California, USA",,+1 661-549-0034,Open ⋅ Closes 4:30 pm,https://lh3.googleusercontent.com/p/AF1QipPtLVXpDjSX4cDa5mQz_6wnHOWHK630QPFw4hbe=w429-h240-k-no,true,8 am–4:30 pm,8 am–4:30 pm,Closed,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:45:01.838Z,,,,
https://www.google.com/maps/place/Doormaster+Sales/data=!4m7!3m6!1s0x80ea6a5c19b38425:0x7045713277f0e9fa!8m2!3d35.3372899!4d-119.0179547!16s%2Fg%2F1tcy4mf6!19sChIJJYSzGVxq6oAR-unwdzJxRXA,Doormaster Sales,5.0,21,Garage door supplier,"1901 S Chester Ave, Bakersfield, CA 93304, United States","8XPJ+WR Bakersfield, California, USA",http://www.doormasterkern.com/,+1 661-831-6299,Open 24 hours,https://lh3.googleusercontent.com/p/AF1QipO4laYDMzL53dAvIvYLTD6OTFRxh-N8Wp6x3JzY=w408-h261-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:45:07.215Z,Identifies as women-owned,,,
https://www.google.com/maps/place/Bakersfield+Garage+Door/data=!4m7!3m6!1s0x848179b0492b323b:0x4a164a6dfe4a24a0!8m2!3d35.2935235!4d-118.905443!16s%2Fg%2F11vqn8bmm3!19sChIJOzIrSbB5gYQRoCRK_m1KFko,Bakersfield Garage Door,5.0,132,Garage door supplier,,,https://www.bakersfieldgaragedoor.com/,+1 661-243-3400,Open ⋅ Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipPLLcLCyuK4LLiM_aGCXyV-kMomI-CeSljyH65M=w408-h408-k-no,true,8 am–5 pm,8 am–5 pm,Closed,8 am–5 pm,8 am–5 pm,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:45:12.470Z,,,,
https://www.google.com/maps/place/Guzman+Garage+Door+Repair/data=!4m7!3m6!1s0x80ea3f63785356f7:0x57219e36faa41338!8m2!3d35.767312!4d-118.7769775!16s%2Fg%2F11mnhbf6xd!19sChIJ91ZTeGM_6oAROBOk-jaeIVc,Guzman Garage Door Repair,5.0,77,Door supplier,,,,+1 661-586-4721,Open ⋅ Closes 11 pm,https://lh3.googleusercontent.com/p/AF1QipOSP96TdHPc0Q_i4_3MEVSZPL3OZmxfuiqyYtpE=w408-h306-k-no,true,6:30 am–11 pm,8 am–10 pm,6:30 am–11 pm,6:30 am–11 pm,6:30 am–11 pm,6:30 am–11 pm,6:30 am–11 pm,"https://www.google.com/maps/search/garage+door+services+in+Bakersfield+Bakersfield+CA/@35.3735112,-119.0204707,14z",2025-11-07T22:45:17.788Z,,,,
