placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,sunday,monday,tuesday,wednesday,thursday,friday,saturday,query,timestamp,info,attributes,error,isBlackOwned
https://www.google.com/maps/place/Jagoj+Mold+Remediation+Shreveport/data=!4m7!3m6!1s0x8636cd473cf1a6a7:0x3925615fe070a796!8m2!3d32.5228221!4d-93.7524329!16s%2Fg%2F11y49dt4gh!19sChIJp6bxPEfNNoYRlqdw4F9hJTk,Jagoj Mold Remediation Shreveport,5.0,16,Water damage restoration service,"414 Airport Dr, Shreveport, LA 71107, United States","G6FX+42 Shreveport, Louisiana, USA",http://jagojmoldremediationshreveport.online/,+1 318-488-3880,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerUBIad4OH5j4hCBxE4Sd-j5iqRvqbZn6gulzqJzSpdDL-RALwxPuv_4R9cF0r75swwevQtD4oUko_gQ7r50XqUcAr5MAv61tD8xY6D-P5q54PGU8QM107mb-SShFFV4Ib2N9PR=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:42:21.560Z,,,,
https://www.google.com/maps/place/Bear%27s/data=!4m7!3m6!1s0x8636d396afa5a4eb:0x236326ab61f127d3!8m2!3d32.480999!4d-93.753646!16s%2Fg%2F11tchk_zt_!19sChIJ66Slr5bTNoYR0yfxYasmYyM,Bear's,5.0,16,Water damage restoration service,"1142 Janther Pl, Shreveport, LA 71105, United States","F6JW+9G Shreveport, Louisiana, USA",https://bearsrestorations.com/,+1 318-772-3277,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepyya3qH9L-BvPWZ0HH53KyCFrYAoSsikbA5cZ_PIi4o4LlDFdp0YCYhf01T2tomaFOxVc-HUkWKNedVeGz8mSKe75alw0xwpfEthp83IVY2jdKmfR7yqL441A3H0LtepF_k3wZ=w408-h725-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:42:26.130Z,,,,
https://www.google.com/maps/place/BELFOR+Property+Restoration+of+Shreveport+-+Bossier+City/data=!4m7!3m6!1s0x8636d2dc8fe2e45f:0x42a2f74f71924db3!8m2!3d32.4678467!4d-93.8136298!16s%2Fg%2F11f_f3hrsy!19sChIJX-Tij9zSNoYRs02ScU_3okI,BELFOR Property Restoration of Shreveport - Bossier City,4.9,123,Water damage restoration service,"4149 Curtis Ln, Shreveport, LA 71109, United States","F59P+4G Shreveport, Louisiana, USA",https://www.belfor.com/us/en/belfor-shreveport-bossier-city/,+1 318-453-5029,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerMtj_kmttr0hRWLC5t0qspWnxPJlRq4GBG5GhIebJ8GQfDP8kufpcCTcRgyoib9BWnNVYx2512tnX0MRL65VjgjGB1670NRQngPc9x3xoP36ebvYmGB3N91Kn5Tp-XSYtnCFc=w408-h385-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:42:30.899Z,,,,
https://www.google.com/maps/place/Ark-La-Tex+Water+Mitigation/data=!4m7!3m6!1s0x27e07399ddbb2dbd:0x45b1829398631126!8m2!3d31.820932!4d-93.21009!16s%2Fg%2F11vymgvr6x!19sChIJvS273Zlz4CcRJhFjmJOCsUU,Ark-La-Tex Water Mitigation,5.0,10,Water damage restoration service,,,https://www.arklatexmitigation.com/,+1 318-347-3003,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerZx8YE3QmHnM-hg0DZpUONfHjup6cKnGNrsPqBMNLz8q8vz_5wzaoTA_Ua37hUxr3oHDHtE_SJV89OQnNK_qsEIBGupb8nR5BATpSQ_3NgWk1MVVwyIMy878ac3wiAz__SJo7Giw=w426-h240-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:42:35.107Z,,,,
https://www.google.com/maps/place/Prime+South+Contracting/data=!4m7!3m6!1s0x863131566784b583:0x74d4fff33c636d6e!8m2!3d32.5342874!4d-93.7733073!16s%2Fg%2F11h111kj1m!19sChIJg7WEZ1YxMYYRbm1jPPP_1HQ,Prime South Contracting,5.0,10,Water damage restoration service,"1725 N Hearne Ave suite h, Shreveport, LA 71107, United States","G6MG+PM Shreveport, Louisiana, USA",https://waterfilter.works/,+1 318-820-6800,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwepTIxbnAnF23IA1-Y2TpcumTi0_AY-M0EVqZfmNnz97l4CGufYFhjDKVTu-cUrvEmWv-816SLFf4dgy80poHXXrQnDQXt3YquR4RX72ELQqonMM7cLueho1RFAU2Ff28WbqedhG=w408-h306-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:42:39.344Z,Identifies as veteran-owned,,,
https://www.google.com/maps/place/1-800+Water+Damage+of+Shreveport/data=!4m7!3m6!1s0xd7f336fefc03e4b:0xb57be9fab39c8852!8m2!3d32.4733673!4d-93.7959335!16s%2Fg%2F11xym4xq9k!19sChIJSz7A728zfw0RUoics_rpe7U,1-800 Water Damage of Shreveport,5.0,45,Water damage restoration service,"4031 Thompson St, Shreveport, LA 71109, United States","F6F3+8J Shreveport, Louisiana, USA",https://www.1800waterdamage.com/shreveport,+1 318-891-2755,Closed · Opens 5 am Mon,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqaRgwbK3Eo2CsYLUR9yFc3Z7NW3QVaIFTNwBuRNoYmOO46HFGYeAXOiYuk4ByyT5ue_1Y-R48YHs-lmjEIfhJwRBmQlNaocn7jhgqlm3a94L_5m0f9JuDnrLwytAx2RMPMgvLhtrXf7Hmy=w641-h240-k-no,true,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,5 am–10 pm,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:42:43.665Z,,,,
https://www.google.com/maps/place/ServiceMaster+Restore+NWLA/data=!4m7!3m6!1s0x8636d310abbdf509:0x6d74822436506e09!8m2!3d32.4631188!4d-93.7764879!16s%2Fg%2F11sszh8pxy!19sChIJCfW9qxDTNoYRCW5QNiSCdG0,ServiceMaster Restore NWLA,5.0,18,Water damage restoration service,"5110 Mansfield Rd, Shreveport, LA 71108, United States","F67F+6C Shreveport, Louisiana, USA",https://www.servicemasterrestore.com/servicemaster-services-nwla/,+1 318-242-8271,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerPG7Nxuvtegjsp7BuklRGxrRXYIUeFHfUG3ZbAOxsepuACBxd8bV5xIjHy2JI8KidAoZX-1XcSQdL2p8Yu-CxsoyNcs85XspCVzGzVJiUeypzk3kbTGR157AUyzI--Z8YLeGZ0UA=w408-h307-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:42:47.951Z,,,,
https://www.google.com/maps/place/PureShield+Pros/data=!4m7!3m6!1s0x8631338eddb30da3:0x74dc97f5f98b2d43!8m2!3d32.4840175!4d-93.7236049!16s%2Fg%2F11m_828n18!19sChIJow2z3Y4zMYYRQy2L-fWX3HQ,PureShield Pros,,,Water damage restoration service,"2829 Youree Dr # 7, Shreveport, LA 71104, United States","F7MG+JH Shreveport, Louisiana, USA",https://pureshieldpros.shop/,+1 318-203-5245,"Open 24 hours

Confirmed by this business 7 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pJFFq7E3erNg9_spVk08FQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=100.866&pitch=0&thumbfov=100,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:42:52.283Z,,,,
https://www.google.com/maps/place/PuroClean+of+Shreveport/data=!4m7!3m6!1s0x8636d37933c1f9e7:0x4bbecb212cb64144!8m2!3d32.40166!4d-93.77498!16s%2Fg%2F11jq8xlbqy!19sChIJ5_nBM3nTNoYRREG2LCHLvks,PuroClean of Shreveport,4.9,225,Water damage restoration service,"668 W Bert Kouns Industrial Loop, Shreveport, LA 71118, United States","C62G+M2 Shreveport, Louisiana, USA",https://www.puroclean.com/shreveport-la-puroclean-shreveport,+1 318-532-6700,Open 24 hours,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoNq9U3ya04iMTPHIbmDbdfJ4SVm7rlPobWl2W_UbspEEAtAv-uCo3pySp7atP0Jd3oEkLyEBqvWC_GK_XcrA6KQtIBomCtax8zvXTZL2pD3lbO6w5TIpTFrMgI-nNRRWOZD8va=w408-h272-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:42:56.577Z,,,,
"https://www.google.com/maps/place/SERVPRO+of+South+Shreveport,+Bossier/data=!4m7!3m6!1s0x8636d33a590a56ef:0x5a1d9e8a0db9bddb!8m2!3d32.421852!4d-93.75541!16s%2Fg%2F1tdkh09q!19sChIJ71YKWTrTNoYR2725DYqeHVo","SERVPRO of South Shreveport, Bossier",4.8,241,Water damage restoration service,"8815 St Vincent Ave, Shreveport, LA 71106, United States","C6CV+PR Shreveport, Louisiana, USA",https://www.servpro.com/locations/la/servpro-of-south-shreveport-bossier?utm_medium=organic&utm_source=gbp,+1 318-865-4655,,https://lh3.googleusercontent.com/gps-cs-s/AHVAwerR3vdQAPmgkwPcPR7y5jFRLwL_aGiuVWMZ0GrArFBUEXVGjhgmg6mfVD2e3Ypb_wGVY95XK1bBoeHkHHCVhkQXbJinKJBIcwc_jBZnV19TshDzX6fYMKRcNfevnUysRHQ96N0M1wYsGYXH=w408-h315-k-no,true,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,"https://www.google.com/maps/search/water+damage+restoration+in+Benton+Shreveport+LA/@32.5130159,-93.7514874,14z",2026-03-23T04:43:00.878Z,,,,
