placeUrl,title,rating,reviewCount,category,address,plusCode,website,phoneNumber,currentStatus,imgUrl,isClaimed,wednesday,thursday,friday,saturday,sunday,monday,tuesday,query,timestamp,info,error,isBlackOwned,attributes
"https://www.google.com/maps/place/Oliver+Hulland,+MD/data=!4m7!3m6!1s0x89e7d1723edbb929:0x81cb0088bd2b0ffb!8m2!3d41.3520451!4d-72.8707353!16s%2Fg%2F11tff5p4q8!19sChIJKbnbPnLR54kR-w8rvYgAy4E","Oliver Hulland, MD",4.8,52,Pain control clinic,"190 Universal Dr N #101, North Haven, CT 06473, United States","942H+RP North Haven, Connecticut, USA",https://hartfordhealthcaremedicalgroup.org/OliverHulland,+1 203-234-5995,"Open · Closes 5 pm

Updated by this business 12 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Njm0D_osAiJLxFjTQFvZdA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=118.70994&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:39:42.249Z,,,,
https://www.google.com/maps/place/Advanced+Pain+MD/data=!4m7!3m6!1s0x89e7db5fc1c74ea3:0xa6e2699d876b45ec!8m2!3d41.3839574!4d-72.9043214!16s%2Fg%2F11ml2psbl6!19sChIJo07HwV_b54kR7EVrh51p4qY,Advanced Pain MD,5.0,10,Medical office,"2880 Old Dixwell Ave Suite 201, Hamden, CT 06518, United States","93MW+H7 Hamden, Connecticut, USA",https://www.apinterventions.com/,+1 203-535-0206,"Open · Closes 5 pm

Confirmed by this business 11 weeks ago",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kAtnwY2B7pD2_eD3VZaQ4Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=15.070407&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:39:47.792Z,,,,
"https://www.google.com/maps/place/Connecticut+Regional+Pain+Specialists,+LLC/data=!4m7!3m6!1s0x89e7d9ab6d512753:0x773bf2f911115a41!8m2!3d41.3861756!4d-72.9005142!16s%2Fg%2F1th29fc7!19sChIJUydRbavZ54kRQVoREfnyO3c","Connecticut Regional Pain Specialists, LLC",3.8,71,Medical Center,"2447 Whitney Ave Suite 1, Hamden, CT 06518, United States","93PX+FQ Hamden, Connecticut, USA",https://ctpainspecialists.com/,+1 203-624-4400,,https://lh3.googleusercontent.com/p/AF1QipP77-mSavxDNKIAlGdPXOkkxpc7N_Fwl7FtWD4=w408-h306-k-no,true,12–1 pm,12–1 pm,12–1 pm,Closed,Closed,12–1 pm,12–1 pm,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:39:52.122Z,,,,
https://www.google.com/maps/place/Total+Pain+Treatment+Centers+of+CT/data=!4m7!3m6!1s0x89e7d968edcefd4f:0x7cba9df91bcd6af5!8m2!3d41.3107351!4d-72.9451509!16s%2Fg%2F11tsm5fk12!19sChIJT_3O7WjZ54kR9WrNG_mdunw,Total Pain Treatment Centers of CT,4.0,37,Medical clinic,"Lower Level, 136 Sherman Ave, New Haven, CT 06511, United States","8363+7W New Haven, Connecticut, USA",https://www.totalpaintreatment.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10033640603095542734,+1 203-675-1199,Closes soon · 4:30 pm · Opens 8 am Thu,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2Jd83ejovv4YV6xT6AG8oQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.9282&pitch=0&thumbfov=100,true,8 am–4:30 pm,8 am–4:30 pm,8 am–4:30 pm,Closed,Closed,8 am–4:30 pm,8 am–4:30 pm,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:39:56.865Z,,,,
https://www.google.com/maps/place/Relief+Now+Laser+North+Haven/data=!4m7!3m6!1s0x89e7d12e22130b41:0xe865ed276e5cb0d0!8m2!3d41.4152151!4d-72.8634206!16s%2Fg%2F11tdgp2rwk!19sChIJQQsTIi7R54kR0LBcbiftZeg,Relief Now Laser North Haven,5.0,4,Pain control clinic,"1876 Hartford Tpke, North Haven, CT 06473, United States","C48P+3J North Haven, Connecticut, USA",https://www.reliefnowlasernorthhaven.com/index.html,+1 203-410-5788,Open · Closes 6 pm,https://lh3.googleusercontent.com/p/AF1QipPTSkOsgwjhvqtI4khwlJSB4u_7_y4Mg-eELRwX=w408-h307-k-no,true,9 am–6 pm,12–6 pm,9 am–3 pm,9 am–12 pm,Closed,9 am–6 pm,11 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:40:01.238Z,,,,
https://www.google.com/maps/place/Advanced+Diagnostic+Pain+Treatment+Centers/data=!4m7!3m6!1s0x89e7d838a4b23c01:0x5066776d13f33aaa!8m2!3d41.289385!4d-72.9297326!16s%2Fg%2F1tgfr4k9!19sChIJATyypDjY54kRqjrzE213ZlA,Advanced Diagnostic Pain Treatment Centers,3.8,19,Pain control clinic,"1 Long Wharf Dr #212, New Haven, CT 06511, United States","73QC+Q4 New Haven, Connecticut, USA",http://www.ihurt.com/,+1 203-624-4208,Open · Closes 5 pm,https://lh3.googleusercontent.com/p/AF1QipNJC0JqC4oVhdG4Qx0LWZx0FaCeJkfE7imHOWDg=w408-h255-k-no,true,8 am–5 pm,8 am–5 pm,8 am–5 pm,Closed,Closed,8 am–5 pm,8 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:40:05.506Z,,,,
"https://www.google.com/maps/place/Dr.+Michael+J.+Robbins,+DO/data=!4m7!3m6!1s0x89e7d838a4b23c01:0xeb704a7d42387860!8m2!3d41.292714!4d-72.922033!16s%2Fg%2F1tgpz6_5!19sChIJATyypDjY54kRYHg4Qn1KcOs","Dr. Michael J. Robbins, DO",4.6,12,Pain management physician,"150 Sargent Dr # 2, New Haven, CT 06511, United States","73VH+35 New Haven, Connecticut, USA",,+1 203-624-4208,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HdkhFNW6a126fEvNCQh3oQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.167145&pitch=0&thumbfov=100,false,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:40:07.867Z,,,,
"https://www.google.com/maps/place/Arpad+S.+Fejos,+MD/data=!4m7!3m6!1s0x89e7d11055e5e099:0xf6d789dd67d835e1!8m2!3d41.3914847!4d-72.8584665!16s%2Fg%2F11t77mv6_f!19sChIJmeDlVRDR54kR4TXYZ92J1_Y","Arpad S. Fejos, MD",4.7,58,Surgical center,"52 Washington Ave STE 3, North Haven, CT 06473, United States","94RR+HJ North Haven, Connecticut, USA",https://middlesexortho.com/physicians/arpad-fejos/?utm_source=GMBSocialClimb&utm_medium=ArpadS.Fejos%2CMD,+1 860-347-7636,,https://lh3.googleusercontent.com/p/AF1QipPdTO6IJsBNaAdNInBeaw92emhooLoJ14H2kmUD=w408-h408-k-no,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:40:10.500Z,,,,
"https://www.google.com/maps/place/Robin+Raju,+MD/data=!4m7!3m6!1s0x89e7d1b5e47389fd:0x781a7f9d0e735f34!8m2!3d41.3812635!4d-72.8790035!16s%2Fg%2F11y3_k5hgv!19sChIJ_Ylz5LXR54kRNF9zDp1_Gng","Robin Raju, MD",4.9,181,Orthopedic surgeon,"8 Devine St, North Haven, CT 06473, United States","94JC+G9 North Haven, Connecticut, USA",https://www.yalemedicine.org/specialists/robin-raju?utm_source=GMBSocialClimb&utm_medium=RobinRaju%2CMD,+1 877-925-3637,,https://lh3.googleusercontent.com/p/AF1QipOjT4w6CDECNn5375p51a6kR49ZWg8WMyb4pjkG=w426-h240-k-no,true,,,,,,,,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:40:12.725Z,,,,
"https://www.google.com/maps/place/Daniel+Kline,+MD/data=!4m7!3m6!1s0x89e7dbb11cd2a9cf:0x410141d43176f737!8m2!3d41.3852058!4d-72.9017973!16s%2Fg%2F11wyb1vlf6!19sChIJz6nSHLHb54kRN_d2MdRBAUE","Daniel Kline, MD",4.9,120,Orthopedic surgeon,"2416 Whitney Ave, Hamden, CT 06518, United States","93PX+37 Hamden, Connecticut, USA",https://www.ct-ortho.com/find-a-doctor/daniel-kline-md/,,Open · Closes 5 pm,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GE3K-XT8SSqSrh_KBOSlKg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=276.0128&pitch=0&thumbfov=100,true,9 am–5 pm,9 am–5 pm,9 am–5 pm,Closed,Closed,9 am–5 pm,9 am–5 pm,"https://www.google.com/maps/search/pain+management+physician+in+North+Haven+New+Haven+CT/@41.3909139,-72.8595447,14z",2026-01-28T20:40:17.078Z,,,,
